Citing Patent,Filing date,Publication date,Applicant,Title
US5651125 *,"Jul 10, 1995","Jul 22, 1997","Advanced Micro Devices, Inc.",High performance superscalar microprocessor including a common reorder buffer and common register file for both integer and floating point operations
US5664137 *,"Sep 7, 1995","Sep 2, 1997",Intel Corporation,Method and apparatus for executing and dispatching store operations in a computer system
US5664138 *,"Apr 3, 1992","Sep 2, 1997",Kabushiki Kaisha Toshiba,Apparatus for handling out-of-order exceptions in pipe-lined parallel processing that prevents execution of all instructions behind exception predicted instruction and aborts if exception actually occurs
US5666556 *,"Sep 19, 1996","Sep 9, 1997",Intel Corporation,Method and apparatus for redirecting register access requests wherein the register set is separate from a central processing unit
US5675758 *,"Nov 15, 1994","Oct 7, 1997","Advanced Micro Devices, Inc.",Processor having primary integer execution unit and supplemental integer execution unit for performing out-of-order add and move operations
US5680565 *,"Dec 30, 1993","Oct 21, 1997",Intel Corporation,Method and apparatus for performing page table walks in a microprocessor capable of processing speculative instructions
US5680569 *,"Sep 21, 1995","Oct 21, 1997","Advanced Micro Devices, Inc.",Cache column timing control
US5680578 *,"Jun 7, 1995","Oct 21, 1997","Advanced Micro Devices, Inc.",Microprocessor using an instruction field to specify expanded functionality and a computer system employing same
US5682492 *,"Jan 30, 1995","Oct 28, 1997","Advanced Micro Devices, Inc.",Computer processor with distributed pipeline control that allows functional units to complete operations out of order while maintaining precise interrupts
US5687110 *,"Feb 20, 1996","Nov 11, 1997","Advanced Micro Devices, Inc.",Array having an update circuit for updating a storage location with a value stored in another storage location
US5689672 *,"Oct 29, 1993","Nov 18, 1997","Advanced Micro Devices, Inc.",Pre-decoded instruction cache and method therefor particularly suitable for variable byte-length instructions
US5689693 *,"Apr 26, 1994","Nov 18, 1997","Advanced Micro Devices, Inc.",Range finding circuit for selecting a consecutive sequence of reorder buffer entries using circular carry lookahead
US5699279 *,"May 13, 1996","Dec 16, 1997","Advanced Micro Devices, Inc.",Optimized binary adders and comparators for inputs having different widths
US5721695 *,"Oct 17, 1994","Feb 24, 1998","Advanced Micro Devices, Inc.",Simulation by emulating level sensitive latches with edge trigger latches
US5721857 *,"May 22, 1996","Feb 24, 1998",Intel Corporation,Method and apparatus for saving the effective address of floating point memory operations in an out-of-order microprocessor
US5729728 *,"Sep 6, 1996","Mar 17, 1998",Intel Corporation,"Method and apparatus for predicting, clearing and redirecting unpredicted changes in instruction flow in a microprocessor"
US5737550 *,"Mar 28, 1995","Apr 7, 1998","Advanced Micro Devices, Inc.",Cache memory to processor bus interface and method thereof
US5737624 *,"Jan 31, 1996","Apr 7, 1998",Seiko Epson Corporation,Superscalar risc instruction scheduling
US5737629 *,"Jun 27, 1996","Apr 7, 1998","Advanced Micro Devices, Inc.",Dependency checking and forwarding of variable width operands
US5740398 *,"Oct 18, 1993","Apr 14, 1998",Cyrix Corporation,Program order sequencing of data in a microprocessor with write buffer
US5742791 *,"Feb 14, 1996","Apr 21, 1998","Advanced Micro Devices, Inc.",Apparatus for detecting updates to instructions which are within an instruction processing pipeline of a microprocessor
US5748516 *,"Sep 26, 1995","May 5, 1998","Advanced Micro Devices, Inc.",Floating point processing unit with forced arithmetic results
US5748935 *,"Nov 20, 1996","May 5, 1998","Sun Microsystems, Inc.",Reconstruction of young bits in annex after mispredicted execution branch in pipelined processor
US5748978 *,"May 17, 1996","May 5, 1998","Advanced Micro Devices, Inc.",Byte queue divided into multiple subqueues for optimizing instruction selection logic
US5752069 *,"Aug 31, 1995","May 12, 1998","Advanced Micro Devices, Inc.",Superscalar microprocessor employing away prediction structure
US5752259 *,"Mar 26, 1996","May 12, 1998","Advanced Micro Devices, Inc.",Instruction cache configured to provide instructions to a microprocessor having a clock cycle time less than a cache access time of said instruction cache
US5758114 *,"May 28, 1997","May 26, 1998","Advanced Micro Devices, Inc.",High speed instruction alignment unit for aligning variable byte-length instructions according to predecode information in a superscalar microprocessor
US5761105 *,"May 13, 1997","Jun 2, 1998","Advanced Micro Devices, Inc.",Reservation station including addressable constant store for a floating point processing unit
US5761712 *,"May 5, 1997","Jun 2, 1998",Advanced Micro Devices,Data memory unit and method for storing data into a lockable cache in one clock cycle by previewing the tag array
US5764946 *,"Apr 8, 1997","Jun 9, 1998",Advanced Micro Devices,Superscalar microprocessor employing a way prediction unit to predict the way of an instruction fetch address and to concurrently provide a branch prediction address corresponding to the fetch address
US5765016 *,"Sep 12, 1996","Jun 9, 1998","Advanced Micro Devices, Inc.",Reorder buffer configured to store both speculative and committed register states
US5765035 *,"Nov 20, 1995","Jun 9, 1998","Advanced Micro Devices, Inc.",Recorder buffer capable of detecting dependencies between accesses to a pair of caches
US5768555 *,"Feb 20, 1997","Jun 16, 1998","Advanced Micro Devices, Inc.",Reorder buffer employing last in buffer and last in line bits
US5768574 *,"Aug 19, 1997","Jun 16, 1998","Advanced Micro Devices, Inc.",Microprocessor using an instruction field to expand the condition flags and a computer system employing the microprocessor
US5768610 *,"Jun 7, 1995","Jun 16, 1998","Advanced Micro Devices, Inc.",Lookahead register value generator and a superscalar microprocessor employing same
US5781789 *,"Aug 31, 1995","Jul 14, 1998","Advanced Micro Devices, Inc.",Superscaler microprocessor employing a parallel mask decoder
US5787266 *,"Feb 20, 1996","Jul 28, 1998","Advanced Micro Devices, Inc.",Apparatus and method for accessing special registers without serialization
US5787474 *,"Nov 20, 1995","Jul 28, 1998","Advanced Micro Devices, Inc.",Dependency checking structure for a pair of caches which are accessed from different pipeline stages of an instruction processing pipeline
US5790821 *,"Mar 8, 1996","Aug 4, 1998","Advanced Micro Devices, Inc.",Control bit vector storage for storing control vectors corresponding to instruction operations in a microprocessor
US5794027 *,"Feb 21, 1997","Aug 11, 1998",International Business Machines Corporation,Method and apparatus for managing the execution of instructons with proximate successive branches in a cache-based data processing system
US5794028 *,"Oct 17, 1996","Aug 11, 1998","Advanced Micro Devices, Inc.",Shared branch prediction structure
US5796973 *,"Aug 6, 1997","Aug 18, 1998","Advanced Micro Devices, Inc.",Method and apparatus for decoding one or more complex instructions into concurrently dispatched simple instructions
US5796974 *,"Nov 7, 1995","Aug 18, 1998","Advanced Micro Devices, Inc.",Microcode patching apparatus and method
US5799162 *,"Sep 23, 1996","Aug 25, 1998","Advanced Micro Devices, Inc.",Program counter update mechanism
US5802338 *,"Oct 1, 1996","Sep 1, 1998",International Business Machines Corporation,Method of self-parallelizing and self-parallelizing multiprocessor using the method
US5802339 *,"Feb 14, 1997","Sep 1, 1998",Advanced Micro Devices,Pipeline throughput via parallel out-of-order execution of adds and moves in a supplemental integer execution unit
US5802588 *,"May 19, 1997","Sep 1, 1998","Advanced Micro Devices, Inc.",Load/store unit implementing non-blocking loads for a superscalar microprocessor and method of selecting loads in a non-blocking fashion from a load/store buffer
US5805853 *,"Feb 10, 1997","Sep 8, 1998","Advanced Micro Devices, Inc.",Superscalar microprocessor including flag operand renaming and forwarding apparatus
US5809271 *,"Aug 23, 1995","Sep 15, 1998",Intel Corporation,Method and apparatus for changing flow of control in a processor
US5809276 *,"Aug 15, 1996","Sep 15, 1998",Seiko Epson Corporation,System and method for register renaming
US5812810 *,"Jul 1, 1994","Sep 22, 1998",Digital Equipment Corporation,Instruction coding to support parallel execution of programs
US5812839 *,"May 5, 1997","Sep 22, 1998",Intel Corporation,Dual prediction branch system having two step of branch recovery process which activated only when mispredicted branch is the oldest instruction in the out-of-order unit
US5813033 *,"Mar 8, 1996","Sep 22, 1998","Advanced Micro Devices, Inc.",Superscalar microprocessor including a cache configured to detect dependencies between accesses to the cache and another cache
US5813045 *,"Jul 24, 1996","Sep 22, 1998","Advanced Micro Devices, Inc.",Conditional early data address generation mechanism for a microprocessor
US5815699 *,"Jun 6, 1995","Sep 29, 1998","Advanced Micro Devices, Inc.",Configurable branch prediction for a processor performing speculative execution
US5819057 *,"Jun 30, 1997","Oct 6, 1998","Advanced Micro Devices, Inc.",Superscalar microprocessor including an instruction alignment unit with limited dispatch to decode units
US5819059 *,"Apr 12, 1995","Oct 6, 1998","Advanced Micro Devices, Inc.",Predecode unit adapted for variable byte-length instruction set processors and method of operating the same
US5819080 *,"Jan 2, 1996","Oct 6, 1998","Advanced Micro Devices, Inc.",Microprocessor using an instruction field to specify condition flags for use with branch instructions and a computer system employing the microprocessor
US5822558 *,"Jan 29, 1997","Oct 13, 1998","Advanced Micro Devices, Inc.",Method and apparatus for predecoding variable byte-length instructions within a superscalar microprocessor
US5822559 *,"Jan 2, 1996","Oct 13, 1998","Advanced Micro Devices, Inc.",Apparatus and method for aligning variable byte-length instructions to a plurality of issue positions
US5822560 *,"May 23, 1996","Oct 13, 1998","Advanced Micro Devices, Inc.",Apparatus for efficient instruction execution via variable issue and variable control vectors per issue
US5822574 *,"Mar 17, 1997","Oct 13, 1998","Advanced Micro Devices, Inc.","Functional unit with a pointer for mispredicted resolution, and a superscalar microprocessor employing the same"
US5822575 *,"Sep 12, 1996","Oct 13, 1998","Advanced Micro Devices, Inc.",Branch prediction storage for storing branch prediction information such that a corresponding tag may be routed with the branch instruction
US5822778 *,"Jul 1, 1997","Oct 13, 1998","Advanced Micro Devices, Inc.",Microprocessor and method of using a segment override prefix instruction field to expand the register file
US5826052 *,"Mar 13, 1995","Oct 20, 1998","Advanced Micro Devices, Inc.",Method and apparatus for concurrent access to multiple physical caches
US5826053 *,"Sep 23, 1994","Oct 20, 1998","Advanced Micro Devices, Inc.",Speculative instruction queue and method therefor particularly suitable for variable byte-length instructions
US5826055 *,"Jun 7, 1995","Oct 20, 1998",Seiko Epson Corporation,System and method for retiring instructions in a superscalar microprocessor
US5826071 *,"Aug 31, 1995","Oct 20, 1998","Advanced Micro Devices, Inc.",Parallel mask decoder and method for generating said mask
US5828873 *,"Mar 19, 1997","Oct 27, 1998","Advanced Micro Devices, Inc.",Assembly queue for a floating point unit
US5832249 *,"Oct 3, 1997","Nov 3, 1998","Advanced Micro Devices, Inc.",High performance superscalar alignment unit
US5832293 *,"Aug 15, 1997","Nov 3, 1998","Hyundai Electronics America, Inc.","Processor architecture providing speculative, out of order execution of instructions and trap handling"
US5832297 *,"Nov 12, 1997","Nov 3, 1998","Advanced Micro Devices, Inc.",Superscalar microprocessor load/store unit employing a unified buffer and separate pointers for load and store operations
US5835511 *,"May 17, 1996","Nov 10, 1998","Advanced Micro Devices, Inc.",Method and mechanism for checking integrity of byte enable signals
US5835744 *,"Nov 20, 1995","Nov 10, 1998","Advanced Micro Devices, Inc.",Microprocessor configured to swap operands in order to minimize dependency checking logic
US5835753 *,"Apr 12, 1995","Nov 10, 1998","Advanced Micro Devices, Inc.",Microprocessor with dynamically extendable pipeline stages and a classifying circuit
US5835968 *,"Apr 17, 1996","Nov 10, 1998","Advanced Micro Devices, Inc.",Apparatus for providing memory and register operands concurrently to functional units
US5838943 *,"Mar 26, 1996","Nov 17, 1998","Advanced Micro Devices, Inc.",Apparatus for speculatively storing and restoring data to a cache memory
US5845101 *,"May 13, 1997","Dec 1, 1998","Advanced Micro Devices, Inc.",Prefetch buffer for storing instructions prior to placing the instructions in an instruction cache
US5845323 *,"Jun 30, 1997","Dec 1, 1998","Advanced Micro Devices, Inc.","Way prediction structure for predicting the way of a cache in which an access hits, thereby speeding cache access time"
US5848287 *,"Feb 20, 1996","Dec 8, 1998","Advanced Micro Devices, Inc.",Superscalar microprocessor including a reorder buffer which detects dependencies between accesses to a pair of caches
US5850532 *,"Mar 10, 1997","Dec 15, 1998","Advanced Micro Devices, Inc.",Invalid instruction scan unit for detecting invalid predecode data corresponding to instructions being fetched
US5850543 *,"Oct 30, 1996","Dec 15, 1998",Texas Instruments Incorporated,Microprocessor with speculative instruction pipelining storing a speculative register value within branch target buffer for use in speculatively executing instructions after a return
US5852727 *,"Mar 10, 1997","Dec 22, 1998","Advanced Micro Devices, Inc.",Instruction scanning unit for locating instructions via parallel scanning of start and end byte information
US5854921 *,"Aug 31, 1995","Dec 29, 1998","Advanced Micro Devices, Inc.",Stride-based data address prediction structure
US5857089 *,"Nov 12, 1997","Jan 5, 1999","Advanced Micro Devices, Inc.",Floating point stack and exchange instruction
US5859991 *,"Jan 8, 1997","Jan 12, 1999","Advanced Micro Devices, Inc.",Parallel and scalable method for identifying valid instructions and a superscalar microprocessor including an instruction scanning unit employing the method
US5859992 *,"Mar 12, 1997","Jan 12, 1999","Advanced Micro Devices, Inc.",Instruction alignment using a dispatch list and a latch list
US5859998 *,"Mar 19, 1997","Jan 12, 1999","Advanced Micro Devices, Inc.",Hierarchical microcode implementation of floating point instructions for a microprocessor
US5860104 *,"Aug 31, 1995","Jan 12, 1999","Advanced Micro Devices, Inc.",Data cache which speculatively updates a predicted data cache storage location with store data and subsequently corrects mispredicted updates
US5862065 *,"Feb 13, 1997","Jan 19, 1999","Advanced Micro Devices, Inc.",Method and circuit for fast generation of zero flag condition code in a microprocessor-based computer
US5864707 *,"Dec 11, 1995","Jan 26, 1999","Advanced Micro Devices, Inc.",Superscalar microprocessor configured to predict return addresses from a return stack storage
US5867680 *,"Jul 24, 1996","Feb 2, 1999","Advanced Micro Devices, Inc.",Microprocessor configured to simultaneously dispatch microcode and directly-decoded instructions
US5870578 *,"Dec 9, 1997","Feb 9, 1999","Advanced Micro Devices, Inc.",Workload balancing in a microprocessor for reduced instruction dispatch stalling
US5870579 *,"Nov 18, 1996","Feb 9, 1999","Advanced Micro Devices, Inc.",Reorder buffer including a circuit for selecting a designated mask corresponding to an instruction that results in an exception
US5870580 *,"Dec 13, 1996","Feb 9, 1999","Advanced Micro Devices, Inc.",Decoupled forwarding reorder buffer configured to allocate storage in chunks for instructions having unresolved dependencies
US5872943 *,"Jul 26, 1996","Feb 16, 1999","Advanced Micro Devices, Inc.",Apparatus for aligning instructions using predecoded shift amounts
US5872946 *,"Jun 11, 1997","Feb 16, 1999","Advanced Micro Devices, Inc.",Instruction alignment unit employing dual instruction queues for high frequency instruction dispatch
US5872947 *,"Oct 24, 1995","Feb 16, 1999","Advanced Micro Devices, Inc.",Instruction classification circuit configured to classify instructions into a plurality of instruction types prior to decoding said instructions
US5872951 *,"Jul 26, 1996","Feb 16, 1999","Advanced Micro Design, Inc.",Reorder buffer having a future file for storing speculative instruction execution results
US5872985 *,"Jul 27, 1995","Feb 16, 1999",Fujitsu Limited,Switching multi-context processor and method overcoming pipeline vacancies
US5875315 *,"Aug 20, 1997","Feb 23, 1999","Advanced Micro Devices, Inc.",Parallel and scalable instruction scanning unit
US5875324 *,"Oct 8, 1997","Feb 23, 1999","Advanced Micro Devices, Inc.",Superscalar microprocessor which delays update of branch prediction information in response to branch misprediction until a subsequent idle clock
US5878244 *,"Jul 26, 1996","Mar 2, 1999","Advanced Micro Devices, Inc.",Reorder buffer configured to allocate storage capable of storing results corresponding to a maximum number of concurrently receivable instructions regardless of a number of instructions received
US5878245 *,"Oct 29, 1993","Mar 2, 1999","Advanced Micro Devices, Inc.",High performance load/store functional unit and data cache
US5878255 *,"Nov 12, 1997","Mar 2, 1999","Advanced Micro Devices, Inc.",Update unit for providing a delayed update to a branch prediction array
US5878266 *,"Sep 26, 1995","Mar 2, 1999","Advanced Micro Devices, Inc.",Reservation station for a floating point processing unit
US5881265 *,"Jun 5, 1995","Mar 9, 1999","Advanced Micro Devices, Inc.",Computer processor with distributed pipeline control that allows functional units to complete operations out of order while maintaining precise interrupts
US5881278 *,"Oct 30, 1995","Mar 9, 1999","Advanced Micro Devices, Inc.",Return address prediction system which adjusts the contents of return stack storage to enable continued prediction after a mispredicted branch
US5881305 *,"Dec 13, 1996","Mar 9, 1999","Advanced Micro Devices, Inc.",Register rename stack for a microprocessor
US5881308 *,"Apr 30, 1997","Mar 9, 1999",International Business Machines Corporation,Computer organization for multiple and out-of-order execution of condition code testing and setting instructions out-of-order
US5884058 *,"Jun 18, 1997","Mar 16, 1999","Advanced Micro Devices, Inc.",Method for concurrently dispatching microcode and directly-decoded instructions in a microprocessor
US5887152 *,"Apr 12, 1995","Mar 23, 1999","Advanced Micro Devices, Inc.",Load/store unit with multiple oldest outstanding instruction pointers for completing store and load/store miss instructions
US5887185 *,"Mar 19, 1997","Mar 23, 1999","Advanced Micro Devices, Inc.",Interface for coupling a floating point unit to a reorder buffer
US5892936 *,"Jun 20, 1997","Apr 6, 1999","Advanced Micro Devices, Inc.",Speculative register file for storing speculative register states and removing dependencies between instructions utilizing the register
US5892963 *,"Feb 13, 1997","Apr 6, 1999",Seiko Epson Corporation,System and method for assigning tags to instructions to control instruction execution
US5893146 *,"Sep 23, 1997","Apr 6, 1999","Advanced Micro Design, Inc.",Cache structure having a reduced tag comparison to enable data transfer from said cache
US5896518 *,"Feb 4, 1997","Apr 20, 1999","Advanced Micro Devices, Inc.",Instruction queue scanning using opcode identification
US5896542 *,"Mar 3, 1997","Apr 20, 1999",Seiko Epson Corporation,System and method for assigning tags to control instruction processing in a superscalar processor
US5898865 *,"Jun 12, 1997","Apr 27, 1999","Advanced Micro Devices, Inc.",Apparatus and method for predicting an end of loop for string instructions
US5900012 *,"Sep 18, 1997","May 4, 1999","Advanced Micro Devices, Inc.",Storage device having varying access times and a superscalar microprocessor employing the same
US5900013 *,"Jul 26, 1996","May 4, 1999","Advanced Micro Devices, Inc.",Dual comparator scheme for detecting a wrap-around condition and generating a cancel signal for removing wrap-around buffer entries
US5901076 *,"Apr 16, 1997","May 4, 1999","Advanced Micro Designs, Inc.",Ripple carry shifter in a floating point arithmetic unit of a microprocessor
US5901302 *,"Jul 26, 1996","May 4, 1999","Advanced Micro Devices, Inc.","Superscalar microprocessor having symmetrical, fixed issue positions each configured to execute a particular subset of instructions"
US5903740 *,"Jul 24, 1996","May 11, 1999","Advanced Micro Devices, Inc.",Apparatus and method for retiring instructions in excess of the number of accessible write ports
US5903741 *,"Jul 26, 1996","May 11, 1999","Advanced Micro Devices, Inc.",Method of allocating a fixed reorder buffer storage line for execution results regardless of a number of concurrently dispatched instructions
US5903910 *,"Nov 20, 1995","May 11, 1999","Advanced Micro Devices, Inc.",Method for transferring data between a pair of caches configured to be accessed from different stages of an instruction processing pipeline
US5905997 *,"Oct 17, 1996","May 18, 1999",Amd Inc.,Set-associative cache memory utilizing a single bank of physical memory
US5915110 *,"Nov 20, 1997","Jun 22, 1999","Advanced Micro Devices, Inc.",Branch misprediction recovery in a reorder buffer having a future file
US5918056 *,"May 17, 1996","Jun 29, 1999","Advanced Micro Devices, Inc.",Segmentation suspend mode for real-time interrupt support
US5919256 *,"Mar 26, 1996","Jul 6, 1999","Advanced Micro Devices, Inc.",Operand cache addressed by the instruction address for reducing latency of read instruction
US5920710 *,"Nov 18, 1996","Jul 6, 1999","Advanced Micro Devices, Inc.",Apparatus and method for modifying status bits in a reorder buffer with a large speculative state
US5922069 *,"Oct 27, 1998","Jul 13, 1999","Advanced Micro Devices, Inc.",Reorder buffer which forwards operands independent of storing destination specifiers therein
US5930492 *,"Mar 19, 1997","Jul 27, 1999","Advanced Micro Devices, Inc.",Rapid pipeline control using a control word and a steering word
US5930832 *,"Jun 7, 1996","Jul 27, 1999",International Business Machines Corporation,Apparatus to guarantee TLB inclusion for store operations
US5931943 *,"Oct 21, 1997","Aug 3, 1999","Advanced Micro Devices, Inc.",Floating point NaN comparison
US5933618 *,"Oct 30, 1995","Aug 3, 1999","Advanced Micro Devices, Inc.",Speculative register storage for storing speculative results corresponding to register updated by a plurality of concurrently recorded instruction
US5933626 *,"Jun 12, 1997","Aug 3, 1999","Advanced Micro Devices, Inc.",Apparatus and method for tracing microprocessor instructions
US5933629 *,"Jun 12, 1997","Aug 3, 1999","Advanced Micro Devices, Inc.",Apparatus and method for detecting microbranches early
US5935239 *,"Jul 17, 1998","Aug 10, 1999","Advanced Micro Devices, Inc.",Parallel mask decoder and method for generating said mask
US5940602 *,"Jun 11, 1997","Aug 17, 1999","Advanced Micro Devices, Inc.",Method and apparatus for predecoding variable byte length instructions for scanning of a number of RISC operations
US5944812 *,"Dec 10, 1998","Aug 31, 1999","Advanced Micro Devices, Inc.",Register rename stack for a microprocessor
US5946468 *,"Nov 20, 1997","Aug 31, 1999","Advanced Micro Devices, Inc.",Reorder buffer having an improved future file for storing speculative instruction execution results
US5948098 *,"Jun 30, 1997","Sep 7, 1999","Sun Microsystems, Inc.",Execution unit and method for executing performance critical and non-performance critical arithmetic instructions in separate pipelines
US5951675 *,"Oct 27, 1998","Sep 14, 1999","Advanced Micro Devices, Inc.",Instruction alignment unit employing dual instruction queues for high frequency instruction dispatch
US5954816 *,"Nov 19, 1997","Sep 21, 1999","Advanced Micro Devices, Inc.",Branch selector prediction
US5956753 *,"Aug 19, 1997","Sep 21, 1999",Intel Corporation,Method and apparatus for handling speculative memory access operations
US5960467 *,"Aug 13, 1998","Sep 28, 1999","Advanced Micro Devices, Inc.",Apparatus for efficiently providing memory operands for instructions
US5961629 *,"Sep 10, 1998","Oct 5, 1999",Seiko Epson Corporation,"High performance, superscalar-based computer system with out-of-order instruction execution"
US5961634 *,"Jul 13, 1998","Oct 5, 1999","Advanced Micro Devices, Inc.",Reorder buffer having a future file for storing speculative instruction execution results
US5961638 *,"Apr 29, 1998","Oct 5, 1999","Advanced Micro Devices, Inc.",Branch prediction mechanism employing branch selectors to select a branch prediction
US5968163 *,"Mar 10, 1997","Oct 19, 1999","Advanced Micro Devices, Inc.",Microcode scan unit for scanning microcode instructions using predecode data
US5970235 *,"Oct 16, 1997","Oct 19, 1999","Advanced Micro Devices, Inc.",Pre-decoded instruction cache and method therefor particularly suitable for variable byte-length instructions
US5974432 *,"Dec 5, 1997","Oct 26, 1999","Advanced Micro Devices, Inc.",On-the-fly one-hot encoding of leading zero count
US5974526 *,"Dec 15, 1997","Oct 26, 1999",Seiko Corporation,Superscalar RISC instruction scheduling
US5974542 *,"Oct 30, 1997","Oct 26, 1999","Advanced Micro Devices, Inc.",Branch prediction unit which approximates a larger number of branch predictions using a smaller number of branch predictions and an alternate target indication
US5978900 *,"Dec 30, 1996","Nov 2, 1999",Intel Corporation,Renaming numeric and segment registers using common general register pool
