Unicode code point,character,UTF-8 (bin.),name
U+011A,Дљ,11000100 10011010,LATIN CAPITAL LETTER E WITH CARON
U+011B,Д›,11000100 10011011,LATIN SMALL LETTER E WITH CARON
U+011C,Дњ,11000100 10011100,LATIN CAPITAL LETTER G WITH CIRCUMFLEX
U+011D,Дќ,11000100 10011101,LATIN SMALL LETTER G WITH CIRCUMFLEX
U+011E,Дћ,11000100 10011110,LATIN CAPITAL LETTER G WITH BREVE
U+011F,Дџ,11000100 10011111,LATIN SMALL LETTER G WITH BREVE
U+0120,Д ,11000100 10100000,LATIN CAPITAL LETTER G WITH DOT ABOVE
U+0121,ДЎ,11000100 10100001,LATIN SMALL LETTER G WITH DOT ABOVE
U+0122,Дў,11000100 10100010,LATIN CAPITAL LETTER G WITH CEDILLA
U+0123,ДЈ,11000100 10100011,LATIN SMALL LETTER G WITH CEDILLA
U+0124,Д¤,11000100 10100100,LATIN CAPITAL LETTER H WITH CIRCUMFLEX
U+0125,ДҐ,11000100 10100101,LATIN SMALL LETTER H WITH CIRCUMFLEX
U+0126,Д¦,11000100 10100110,LATIN CAPITAL LETTER H WITH STROKE
U+0127,Д§,11000100 10100111,LATIN SMALL LETTER H WITH STROKE
U+0128,ДЁ,11000100 10101000,LATIN CAPITAL LETTER I WITH TILDE
U+0129,Д©,11000100 10101001,LATIN SMALL LETTER I WITH TILDE
U+012A,ДЄ,11000100 10101010,LATIN CAPITAL LETTER I WITH MACRON
U+012B,Д«,11000100 10101011,LATIN SMALL LETTER I WITH MACRON
U+012C,Д¬,11000100 10101100,LATIN CAPITAL LETTER I WITH BREVE
U+012D,Д­,11000100 10101101,LATIN SMALL LETTER I WITH BREVE
U+012E,Д®,11000100 10101110,LATIN CAPITAL LETTER I WITH OGONEK
U+012F,ДЇ,11000100 10101111,LATIN SMALL LETTER I WITH OGONEK
U+0130,Д°,11000100 10110000,LATIN CAPITAL LETTER I WITH DOT ABOVE
U+0131,Д±,11000100 10110001,LATIN SMALL LETTER DOTLESS I
U+0132,ДІ,11000100 10110010,LATIN CAPITAL LIGATURE IJ
U+0133,Ді,11000100 10110011,LATIN SMALL LIGATURE IJ
U+0134,Дґ,11000100 10110100,LATIN CAPITAL LETTER J WITH CIRCUMFLEX
U+0135,Дµ,11000100 10110101,LATIN SMALL LETTER J WITH CIRCUMFLEX
U+0136,Д¶,11000100 10110110,LATIN CAPITAL LETTER K WITH CEDILLA
U+0137,Д·,11000100 10110111,LATIN SMALL LETTER K WITH CEDILLA
U+0138,Дё,11000100 10111000,LATIN SMALL LETTER KRA
U+0139,Д№,11000100 10111001,LATIN CAPITAL LETTER L WITH ACUTE
U+013A,Дє,11000100 10111010,LATIN SMALL LETTER L WITH ACUTE
U+013B,Д»,11000100 10111011,LATIN CAPITAL LETTER L WITH CEDILLA
U+013C,Дј,11000100 10111100,LATIN SMALL LETTER L WITH CEDILLA
U+013D,ДЅ,11000100 10111101,LATIN CAPITAL LETTER L WITH CARON
U+013E,Дѕ,11000100 10111110,LATIN SMALL LETTER L WITH CARON
U+013F,Дї,11000100 10111111,LATIN CAPITAL LETTER L WITH MIDDLE DOT
U+0140,ЕЂ,11000101 10000000,LATIN SMALL LETTER L WITH MIDDLE DOT
U+0141,ЕЃ,11000101 10000001,LATIN CAPITAL LETTER L WITH STROKE
U+0142,Е‚,11000101 10000010,LATIN SMALL LETTER L WITH STROKE
U+0143,Еѓ,11000101 10000011,LATIN CAPITAL LETTER N WITH ACUTE
U+0144,Е„,11000101 10000100,LATIN SMALL LETTER N WITH ACUTE
U+0145,Е…,11000101 10000101,LATIN CAPITAL LETTER N WITH CEDILLA
U+0146,Е†,11000101 10000110,LATIN SMALL LETTER N WITH CEDILLA
U+0147,Е‡,11000101 10000111,LATIN CAPITAL LETTER N WITH CARON
U+0148,Е€,11000101 10001000,LATIN SMALL LETTER N WITH CARON
U+0149,Е‰,11000101 10001001,LATIN SMALL LETTER N PRECEDED BY APOSTROPHE
U+014A,ЕЉ,11000101 10001010,LATIN CAPITAL LETTER ENG
U+014B,Е‹,11000101 10001011,LATIN SMALL LETTER ENG
U+014C,ЕЊ,11000101 10001100,LATIN CAPITAL LETTER O WITH MACRON
U+014D,ЕЌ,11000101 10001101,LATIN SMALL LETTER O WITH MACRON
U+014E,ЕЋ,11000101 10001110,LATIN CAPITAL LETTER O WITH BREVE
U+014F,ЕЏ,11000101 10001111,LATIN SMALL LETTER O WITH BREVE
U+0150,Еђ,11000101 10010000,LATIN CAPITAL LETTER O WITH DOUBLE ACUTE
U+0151,Е‘,11000101 10010001,LATIN SMALL LETTER O WITH DOUBLE ACUTE
U+0152,Е’,11000101 10010010,LATIN CAPITAL LIGATURE OE
U+0153,Е“,11000101 10010011,LATIN SMALL LIGATURE OE
U+0154,Е”,11000101 10010100,LATIN CAPITAL LETTER R WITH ACUTE
U+0155,Е•,11000101 10010101,LATIN SMALL LETTER R WITH ACUTE
U+0156,Е–,11000101 10010110,LATIN CAPITAL LETTER R WITH CEDILLA
U+0157,Е—,11000101 10010111,LATIN SMALL LETTER R WITH CEDILLA
U+0158,Е,11000101 10011000,LATIN CAPITAL LETTER R WITH CARON
U+0159,Е™,11000101 10011001,LATIN SMALL LETTER R WITH CARON
U+015A,Ељ,11000101 10011010,LATIN CAPITAL LETTER S WITH ACUTE
U+015B,Е›,11000101 10011011,LATIN SMALL LETTER S WITH ACUTE
U+015C,Ењ,11000101 10011100,LATIN CAPITAL LETTER S WITH CIRCUMFLEX
U+015D,Еќ,11000101 10011101,LATIN SMALL LETTER S WITH CIRCUMFLEX
U+015E,Ећ,11000101 10011110,LATIN CAPITAL LETTER S WITH CEDILLA
U+015F,Еџ,11000101 10011111,LATIN SMALL LETTER S WITH CEDILLA
U+0160,Е ,11000101 10100000,LATIN CAPITAL LETTER S WITH CARON
U+0161,ЕЎ,11000101 10100001,LATIN SMALL LETTER S WITH CARON
U+0162,Еў,11000101 10100010,LATIN CAPITAL LETTER T WITH CEDILLA
U+0163,ЕЈ,11000101 10100011,LATIN SMALL LETTER T WITH CEDILLA
U+0164,Е¤,11000101 10100100,LATIN CAPITAL LETTER T WITH CARON
U+0165,ЕҐ,11000101 10100101,LATIN SMALL LETTER T WITH CARON
U+0166,Е¦,11000101 10100110,LATIN CAPITAL LETTER T WITH STROKE
U+0167,Е§,11000101 10100111,LATIN SMALL LETTER T WITH STROKE
U+0168,ЕЁ,11000101 10101000,LATIN CAPITAL LETTER U WITH TILDE
U+0169,Е©,11000101 10101001,LATIN SMALL LETTER U WITH TILDE
U+016A,ЕЄ,11000101 10101010,LATIN CAPITAL LETTER U WITH MACRON
U+016B,Е«,11000101 10101011,LATIN SMALL LETTER U WITH MACRON
U+016C,Е¬,11000101 10101100,LATIN CAPITAL LETTER U WITH BREVE
U+016D,Е­,11000101 10101101,LATIN SMALL LETTER U WITH BREVE
U+016E,Е®,11000101 10101110,LATIN CAPITAL LETTER U WITH RING ABOVE
U+016F,ЕЇ,11000101 10101111,LATIN SMALL LETTER U WITH RING ABOVE
U+0170,Е°,11000101 10110000,LATIN CAPITAL LETTER U WITH DOUBLE ACUTE
U+0171,Е±,11000101 10110001,LATIN SMALL LETTER U WITH DOUBLE ACUTE
U+0172,ЕІ,11000101 10110010,LATIN CAPITAL LETTER U WITH OGONEK
U+0173,Еі,11000101 10110011,LATIN SMALL LETTER U WITH OGONEK
U+0174,Еґ,11000101 10110100,LATIN CAPITAL LETTER W WITH CIRCUMFLEX
U+0175,Еµ,11000101 10110101,LATIN SMALL LETTER W WITH CIRCUMFLEX
U+0176,Е¶,11000101 10110110,LATIN CAPITAL LETTER Y WITH CIRCUMFLEX
U+0177,Е·,11000101 10110111,LATIN SMALL LETTER Y WITH CIRCUMFLEX
U+0178,Её,11000101 10111000,LATIN CAPITAL LETTER Y WITH DIAERESIS
U+0179,Е№,11000101 10111001,LATIN CAPITAL LETTER Z WITH ACUTE
U+017A,Еє,11000101 10111010,LATIN SMALL LETTER Z WITH ACUTE
U+017B,Е»,11000101 10111011,LATIN CAPITAL LETTER Z WITH DOT ABOVE
U+017C,Еј,11000101 10111100,LATIN SMALL LETTER Z WITH DOT ABOVE
U+017D,ЕЅ,11000101 10111101,LATIN CAPITAL LETTER Z WITH CARON
U+017E,Еѕ,11000101 10111110,LATIN SMALL LETTER Z WITH CARON
U+017F,Еї,11000101 10111111,LATIN SMALL LETTER LONG S
