Date,Match,Result,Appearance,MINS,G,A,SHT,SOG,FC,FS,Y,R
8/18/2013,KC @ SJ,W 0-1,Started,81,0,0,1,0,2,2,0,0
8/10/2013,SJ @ VAN,L 0-2,Unused Sub,0,0,0,0,0,0,0,0,0
8/3/2013,CHV @ SJ,W 0-2,Unused Sub,0,0,0,0,0,0,0,0,0
7/27/2013,POR @ SJ,W 1-2,Started,85,0,0,1,0,3,1,1,1
7/13/2013,SEA @ SJ,W 0-1,Unused Sub,0,0,0,0,0,0,0,0,0
7/6/2013,SJ @ NE,L 0-2,Unused Sub,0,0,0,0,0,0,0,0,0
7/3/2013,SJ @ CHI,L 2-3,Unused Sub,0,0,0,0,0,0,0,0,0
6/29/2013,LA @ SJ,W 2-3,Started,90,0,0,2,1,3,1,0,0
6/22/2013,SJ @ DC,L 0-1,Started,79,0,0,1,0,0,1,0,0
6/15/2013,SJ @ COL,W 2-1,Unused Sub,0,0,0,0,0,0,0,0,0
6/1/2013,SJ @ RSL,L 0-3,Started,90,0,0,2,1,3,1,0,0
5/25/2013,SJ @ DAL,L 0-1,Started,90,0,0,3,0,0,1,0,0
5/18/2013,COL @ SJ,T 1-1,Started,90,1,0,3,2,2,4,0,0
5/11/2013,SJ @ SEA,L 0-4,Unused Sub,0,0,0,0,0,0,0,0,0
5/8/2013,TOR @ SJ,W 1-2,Started,86,0,1,3,0,2,1,0,0
5/4/2013,MTL @ SJ,T 2-2,Started,76,0,0,1,0,0,3,0,0
4/27/2013,SJ @ CHV,T 2-2,Started,67,0,0,1,0,1,1,1,0
4/21/2013,POR @ SJ,T 1-1,Subbed On,30,0,0,1,0,3,0,0,0
4/14/2013,SJ @ POR,L 0-1,Unused Sub,0,0,0,0,0,0,0,0,0
4/6/2013,VAN @ SJ,T 1-1,Unused Sub,0,0,0,0,0,0,0,0,0
3/30/2013,SJ @ HOU,L 0-2,Unused Sub,0,0,0,0,0,0,0,0,0
3/23/2013,SEA @ SJ,W 0-1,Unused Sub,0,0,0,0,0,0,0,0,0
3/16/2013,SJ @ CLB,T 1-1,Unused Sub,0,0,0,0,0,0,0,0,0
3/10/2013,NY @ SJ,W 1-2,Unused Sub,0,0,0,0,0,0,0,0,0
3/3/2013,RSL @ SJ,L 2-0,Unused Sub,0,0,0,0,0,0,0,0,0
10/27/2012,SJ @ POR,T 1-1,Started,79,0,0,1,0,0,1,0,0
10/21/2012,LA @ SJ,T 2-2,Started,83,1,1,1,1,1,1,0,0
10/6/2012,SJ @ COL,W 4-1,Started,84,1,1,2,1,2,3,1,0
9/29/2012,DAL @ SJ,T 3-3,Started,72,0,1,1,1,3,0,0,0
9/22/2012,SJ @ SEA,W 2-1,Unused Sub,0,0,0,0,0,0,0,0,0
9/19/2012,POR @ SJ,T 2-2,Unused Sub,0,0,0,0,0,0,0,0,0
9/15/2012,SJ @ CHV,W 2-0,Unused Sub,0,0,0,0,0,0,0,0,0
9/2/2012,CHV @ SJ,W 0-4,Started,90,0,0,2,1,2,1,0,0
8/25/2012,COL @ SJ,W 1-4,Started,80,0,1,3,0,1,0,0,0
8/18/2012,SJ @ MTL,L 1-3,Started,74,0,0,0,0,0,1,0,0
8/11/2012,SEA @ SJ,W 1-2,Started,87,0,0,3,1,0,3,0,0
7/28/2012,CHI @ SJ,T 1-1,Unused Sub,0,0,0,0,0,0,0,0,0
7/22/2012,SJ @ VAN,L 1-2,Started,64,0,1,1,0,3,1,0,0
7/18/2012,DAL @ SJ,W 1-2,Started,69,1,0,2,1,2,0,0,0
7/14/2012,RSL @ SJ,W 0-5,Started,69,0,0,0,0,4,1,1,0
7/7/2012,SJ @ DAL,T 0-0,Started,62,0,0,1,0,2,0,0,0
7/3/2012,SJ @ POR,L 1-2,Subbed On,31,0,1,1,0,0,0,0,0
6/30/2012,LA @ SJ,W 3-4,Started,88,0,2,4,2,1,2,0,0
6/23/2012,SJ @ RSL,W 2-1,Started,90,0,0,1,1,0,2,0,0
6/20/2012,SJ @ COL,W 2-1,Started,90,0,0,4,0,2,2,1,0
5/27/2012,SJ @ KC,L 1-2,Started,90,0,0,2,2,1,2,0,0
5/23/2012,SJ @ LA,W 3-2,Subbed On,16,0,1,0,0,0,1,0,0
5/19/2012,CLB @ SJ,T 1-1,Unused Sub,0,0,0,0,0,0,0,0,0
5/13/2012,CHV @ SJ,T 1-1,Unused Sub,0,0,0,0,0,0,0,0,0
5/5/2012,SJ @ VAN,L 1-2,Started,75,0,1,3,1,1,0,1,0
5/2/2012,DC @ SJ,W 3-5,Started,90,0,0,2,0,2,2,0,0
4/28/2012,SJ @ PHI,W 2-1,Subbed On,29,0,2,2,1,0,0,0,0
4/21/2012,RSL @ SJ,W 1-3,Unused Sub,0,0,0,0,0,0,0,0,0
4/14/2012,SJ @ NY,T 2-2,Started,90,0,0,2,0,4,2,1,0
4/7/2012,VAN @ SJ,W 1-3,Started,38,0,0,0,0,0,0,0,0
3/31/2012,SJ @ SEA,W 1-0,Started,89,0,0,0,0,3,2,0,0
3/24/2012,SJ @ TOR,W 3-0,Started,72,0,1,0,0,2,2,0,0
3/17/2012,HOU @ SJ,L 1-0,Subbed On,45,0,0,3,1,0,2,0,0
3/10/2012,NE @ SJ,W 0-1,Started,64,0,0,1,0,2,1,0,0
10/22/2011,DAL @ SJ,L 2-4,Unused Sub,0,0,0,0,0,0,0,0,0
10/15/2011,VAN @ DAL,W 0-2,Started,70,1,0,3,2,2,2,1,0
10/12/2011,DAL @ CHI,W 2-1,Started,90,0,0,2,1,2,2,0,0
10/1/2011,DAL @ COL,L 0-1,Started,90,0,0,4,1,1,2,0,0
9/24/2011,HOU @ DAL,L 1-0,Subbed On,45,0,0,0,0,0,0,0,0
9/17/2011,NY @ DAL,L 1-0,Unused Sub,0,0,0,0,0,0,0,0,0
9/10/2011,DAL @ NE,L 0-2,Unused Sub,0,0,0,0,0,0,0,0,0
8/27/2011,DAL @ KC,W 3-2,Started,67,0,0,0,0,2,0,0,0
8/20/2011,SEA @ DAL,L 1-0,Started,90,0,0,5,1,0,3,0,0
8/13/2011,DAL @ PHI,T 2-2,Started,83,0,0,2,1,1,0,0,0
8/6/2011,DAL @ LA,L 1-3,Started,90,1,0,1,1,2,1,1,0
7/31/2011,CHV @ DAL,W 0-1,Started,63,1,0,3,2,0,0,0,0
7/23/2011,DAL @ NY,T 2-2,Started,90,2,0,4,3,2,1,0,0
7/20/2011,DAL @ TOR,W 1-0,Started,90,0,0,3,1,0,2,0,0
7/16/2011,DC @ DAL,T 0-0,Started,81,0,0,2,0,2,1,0,0
7/9/2011,DAL @ RSL,L 0-2,Started,75,0,0,0,0,0,1,0,0
7/2/2011,CLB @ DAL,W 0-2,Started,83,0,0,5,2,2,3,0,0
6/25/2011,POR @ DAL,W 0-4,Started,78,0,0,3,1,2,3,0,0
6/18/2011,DAL @ CHV,W 2-1,Started,79,0,0,0,0,3,0,1,0
6/12/2011,KC @ DAL,L 4-1,Started,90,0,0,2,0,1,4,0,0
6/4/2011,NE @ DAL,W 0-1,Started,89,1,0,4,4,0,0,0,0
5/28/2011,DAL @ HOU,T 2-2,Started,90,0,1,0,0,2,1,0,0
5/25/2011,DAL @ SEA,W 1-0,Started,89,0,0,1,1,0,0,0,0
5/22/2011,RSL @ DAL,T 0-0,Started,90,0,0,2,0,1,4,0,0
5/14/2011,PHI @ DAL,W 0-2,Started,90,0,1,3,2,3,3,0,0
5/11/2011,TOR @ DAL,W 0-1,Started,89,0,0,4,2,2,5,0,0
5/7/2011,DAL @ DC,T 0-0,Started,90,0,0,2,0,1,3,0,0
5/1/2011,LA @ DAL,W 1-2,Started,90,0,0,2,1,0,2,0,0
4/23/2011,DAL @ VAN,W 2-1,Started,72,0,1,2,0,1,1,0,0
4/17/2011,DAL @ POR,L 2-3,Started,90,0,0,1,0,2,3,1,0
4/8/2011,COL @ DAL,W 0-3,Started,30,0,1,0,0,0,0,0,0
4/1/2011,DAL @ CLB,L 0-2,Started,78,0,0,1,1,1,1,0,0
3/26/2011,SJ @ DAL,L 2-0,Started,90,0,0,3,1,2,1,0,0
3/19/2011,CHI @ DAL,T 1-1,Started,90,0,0,2,0,1,4,0,0
10/24/2010,DAL @ LA,L 1-2,Started,90,0,0,1,0,1,4,0,0
10/16/2010,DAL @ RSL,L 0-2,Started,90,0,0,0,0,1,2,0,0
10/9/2010,COL @ DAL,T 2-2,Started,60,0,1,2,0,1,2,0,0
10/2/2010,CHI @ DAL,W 0-3,Started,69,1,0,2,1,2,1,1,0
9/25/2010,DAL @ KC,W 3-1,Started,37,1,0,1,1,0,1,0,0
9/22/2010,NE @ DAL,T 2-2,Started,64,0,0,2,0,2,0,0,0
9/16/2010,NY @ DAL,T 2-2,Subbed On,15,0,0,0,0,1,0,1,0
9/11/2010,DAL @ SJ,T 0-0,Subbed On,28,0,0,0,0,1,0,0,0
9/4/2010,TOR @ DAL,W 0-1,Started,69,0,1,0,0,0,3,0,0
8/28/2010,DAL @ CLB,T 0-0,Unused Sub,0,0,0,0,0,0,0,0,0
8/21/2010,CHV @ DAL,W 0-1,Unused Sub,0,0,0,0,0,0,0,0,0
8/14/2010,DAL @ DC,W 3-1,Unused Sub,0,0,0,0,0,0,0,0,0
8/8/2010,PHI @ DAL,W 1-3,Unused Sub,0,0,0,0,0,0,0,0,0
7/31/2010,DAL @ COL,T 1-1,Subbed On,35,0,0,0,0,0,0,1,0
7/24/2010,DAL @ TOR,T 1-1,Unused Sub,0,0,0,0,0,0,0,0,0
7/17/2010,RSL @ DAL,W 0-2,Unused Sub,0,0,0,0,0,0,0,0,0
7/11/2010,DAL @ SEA,T 1-1,Started,64,0,0,0,0,3,1,0,0
7/3/2010,KC @ DAL,W 0-1,Started,64,0,0,1,0,1,2,1,0
6/26/2010,DAL @ CHV,W 2-1,Started,69,0,0,2,0,1,2,0,0
6/5/2010,SJ @ DAL,W 0-2,Subbed On,20,0,0,1,0,2,1,0,0
5/27/2010,DAL @ CHI,T 1-1,Unused Sub,0,0,0,0,0,0,0,0,0
5/20/2010,LA @ DAL,L 1-0,Subbed On,18,0,0,0,0,0,0,0,0
5/15/2010,DAL @ PHI,T 1-1,Subbed On,26,0,0,2,2,0,0,0,0
5/8/2010,DC @ DAL,W 0-1,Unused Sub,0,0,0,0,0,0,0,0,0
5/5/2010,DAL @ HOU,W 1-0,Unused Sub,0,0,0,0,0,0,0,0,0
5/1/2010,DAL @ NE,T 1-1,Unused Sub,0,0,0,0,0,0,0,0,0
4/22/2010,SEA @ DAL,T 2-2,Unused Sub,0,0,0,0,0,0,0,0,0
4/17/2010,DAL @ NY,L 1-2,Unused Sub,0,0,0,0,0,0,0,0,0
4/10/2010,CLB @ DAL,T 2-2,Unused Sub,0,0,0,0,0,0,0,0,0
3/27/2010,HOU @ DAL,T 1-1,Unused Sub,0,0,0,0,0,0,0,0,0
