Level,Type,,Slot,Name
50,Leather,Physical DPS,Head,Headband of the Pouncing Tiger
450,Leather,Physical DPS,Chest,Refurbished Zandalari Vestment
489,Leather,Physical DPS,Chest,Softfoot Silentwrap
450,Leather,Physical DPS,Legs,Tough Mushanhide Leggings
450,Leather,Physical DPS,Wrists,Cruel Mercy Bracers
450,Leather,Physical DPS,Hands,Surehand Grips
489,Leather,Spell DPS,Chest,Mistfall Robes
450,Leather,Spell DPS,Legs,Brambleguard Leggings
450,Leather,Spell DPS,Wrists,Sudden Insight Bracers
450,Mail,Spell Spirit,Chest,Mountain Stream Ringmail
450,Mail,Spell Spirit,Wrists,Runoff Wristguards
450,Mail,Physical DPS,Chest,Undergrowth Stalker Chestpiece
489,Mail,Physical DPS,Chest,Breastplate of the Golden Pagoda
450,Mail,Physical DPS,Legs,Leggings of Twisted Vines
450,Mail,Physical DPS,Wrists,Entombed Traitor's Wristguards
450,Mail,Physical DPS,Hands,Brushcutter's Gloves
489,Mail,Spell DPS,Chest,Robes of the Setting Sun
450,Mail,Spell DPS,Legs,Snowpack Waders
450,Mail,Spell DPS,Hands,Gloves of Forgotten Wisdom
489,Plate,Tank,Chest,Cuirass of the Twin Monoliths
489,Plate,Melee,Chest,Dawnblade's Chestguard
450,Plate,Melee,Chest,Chestplate of the Stone Lion
450,Plate,Melee,Legs,Leggings of Ponderous Advance
450,Plate,Melee,Wrists,Serrated Forearm Guards
450,Plate,Melee,Hands,Wall Breaker Gauntlets
489,Plate,Spell Spirit,Chest,Battleguard of Guo-Lai
450,Plate,Spell Spirit,Legs,Valiant's Shinguards
450,Plate,Spell Spirit,Hands,Gauntlets of Restraint
450,Plate,Spell DPS,Chest,Inner Serenity Chestplate
450,Plate,Spell DPS,Wrists,Bracers of Inner Light
87,Purple Gem,,,Tense Roguestone
88,Purple Gem,,,Perfect Tense Roguestone
87,Purple Gem,,,Assassin's Roguestone
87,Purple Gem,,,Perfect Assassin's Roguestone
90,Purple Gem,,,Assassin's Zyanite
90,Purple Gem,,,Tense Zyanite
463,Gun,Physical DPS,Ranged,Amber Sprayer of Klaxxi'vess
463,One-handed Mace,Physical DPS,One Hand,Amber Sledge of Klaxxi'vess
463,Polearm,Physical DPS,Two Hand,Amber Spear of Klaxxi'vess
463,One-handed Sword,Melee,One Hand,Amber Espada of Klaxxi'vess
463,One-handed Sword,Spell DPS,One Hand,Amber Saber of Klaxxi'vess
463,Two-handed Sword,Melee,Two Hand,Amber Flammard of Klaxxi'vess
55,Staff,Spell Spirit,Two Hand,Staff of Pilgrimage
289,Staff,Spell Spirit,Two Hand,Staff of Serenity
45,Staff,Spell Spirit,Two Hand,Sparring Staff
142,Staff,Spell Spirit,Two Hand,Staff of Fallen Blossoms
35,Staff,Spell Spirit,Two Hand,Initiate's Staff
25,Staff,Spell Spirit,Two Hand,Novice's Staff
20,Staff,Spell Spirit,Two Hand,Aspirant's Staff of Harmony
93,Staff,Spell Spirit,Two Hand,Staff of Meditation
282,Staff,Spell Spirit,Two Hand,Staff of the Summit's Breeze
20,Staff,Physical DPS,Two Hand,Aspirant's Staff of Grace
282,Staff,Physical DPS,Two Hand,Staff of the Echoing Gong
282,Staff,Physical DPS,Two Hand,Staff of the Frozen Mountain
463,Staff,Spell DPS,Two Hand,Amber Scythe of Klaxxi'vess
20,Fist Weapon,Physical DPS,One Hand,Handwrap Test
282,Fist Weapon,Physical DPS,One Hand,Tiger Lord's Razor Claws
93,Fist Weapon,Physical DPS,One Hand,Handwraps of Meditation
282,Fist Weapon,Physical DPS,One Hand,Tiger Lord's Bladed Claws
55,Fist Weapon,Physical DPS,One Hand,Handwraps of Pilgrimage
142,Fist Weapon,Physical DPS,One Hand,Handwraps of Fallen Blossoms
45,Fist Weapon,Physical DPS,One Hand,Grappling Handwraps
25,Fist Weapon,Physical DPS,One Hand,Novice's Handwraps
289,Fist Weapon,Physical DPS,One Hand,Handwraps of Serenity
35,Fist Weapon,Physical DPS,One Hand,Initiate's Handwraps
463,Dagger,Spell Spirit,One Hand,Amber Spine of Klaxxi'vess
463,Dagger,Physical DPS,One Hand,Amber Slicer of Klaxxi'vess
87,Item Enhancement,,,Enchant Bracer - Exceptional Strength (Scaling)
1,Other,,,Anatomical Dummy
90,Other,,,Water Spirit
90,Other,,,Life Spirit
