Title,Pages,File
"Filling satellite image cloud gaps to create complete images of evapotranspiration Jeppe Kjaersgaard, Richard Allen, Ricardo Trezza, Clarence Robison, Aureo Oliveira, Ramesh Dhungel & Eric Kra",102-105,
"Comparison of ET from two remote sensing-based surface energy models in south central Nebraska O. Z. Akasheh, A. Irmak, S. Irmak, I. Ratcliffe, R. Singh, P. Ranade & P. H. Gowda",106-110,
"Reference crop evapotranspiration estimated from geostationary satellite imagery H. A. R. de Bruin, Isabel F. Trigo, P. Gavilan, A. MartГѓВ­nez-Cob & M. P. GonzГѓВЎlez-Dug",111-114,
Satellite-only latent heat flux estimation Kaniska Mallick & Andrew Jarvis,115-119,
"ETLook: a novel continental evapotranspiration algorithm H. Pelgrum, I. J. Miltenburg, M. J. M. Cheema, A. Klaasse & W. G. M. Bastiaanssen",120-123,
"Analysis of energy flux estimations over Italy using time-differencing models based on thermal remote sensing data C. Cammalleri, M. C. Anderson, G. Ciraolo, G. DГўв‚¬в„ўUrso, W. P. Kustas, C. Hain, L. Schultz & J. R. Mecikalski",124-127,
"Validation of the global evapotranspiration algorithm (MOD16) in two contrasting tropical land cover types Anderson L. Ruhoff, Walter Collischonn, Adriano R. Paz, Humberto R. Rocha, Luiz E. O. C. Aragao, Yadvinder Malhi, Qiaozhen Mu & Steve W. Running",128-131,
"Integration of multi-scale thermal satellite imagery for evaluation of daily evapotranspiration at sub-field scales M. C. Anderson, W. P. Kustas, W. P. Dulaney, F. Gao & D. Sumner",132-136,
"Atmospheric correction of Landsat TM imagery for evapotranspiration estimation in the lower Colorado River basin Xiaofang Wei, Subramania I. Sritharan, Andy French, David Eckhardt, Ramani Kandiah & Andre Morton",137-140,
"Applying remotely-sensed energy balance models in Iran: potentials and limitations Samaneh Poormohammadi, Mohammad H. Rahimian & Saleh Taghvaeian",141-144,
"Utility of the thermal-based Dual-Temperature-Difference technique under strongly advective conditions during BEAREX08 William P. Kustas, Joseph G. Alfieri, Martha C. Anderson, Paul D. Colaizzi, John H. Prueger, Jose L. Chavez, Christopher M. U. Neale,",145-148,
"Towards an improved mapping of evapotranspiration in semi-arid regions Mustafa Gokmen, Christiaan van der Tol, ZoltГѓВЎn Vekerdy, Wouter Verhoef, Okke Batelaan & Hasan Z. Sarikaya",149-153,
Modelling evapotranspiration by remote sensing parameters and agro-meteorological stations Antonio H. de C. Teixeira,154-157,
Modelling sensible heat flux for sparse arid natural ecosystems using multispectral video imagery Seifeldin H. Abdalla & Christopher M. U. Neale,158-161,
"Custom software application for analysing urban landscape water use Adrian P. Welsh, Christopher M. U. Neale, Joanna Endter-Wada, & Roger K. Kjelgren",162-166,
Determination of surface resistance to evapotranspiration by remote sensing parameters in the semi-arid region of Brazil for land-use change analyses Antonio H. de C. Teixeira,167-170,
Spatial EvapoTranspiration Modelling Interface (SETMI) Hatim M. E. Geli & Christopher M. U. Neale,171-174,
"Local and global sensitivity analysis on METRIC A. Irmak, R. Kumar & R. E. Allen",175-179,
Long path scintillometry: a brief review H. A. R. De Bruin & J. G. Evans,180-183,
"The use of large aperture scintillometer and eddy covariance system for monitoring energy and water vapour fluxes over different surfaces in the Heihe River Basin, China Shaomin Liu, Ziwei Xu & Weizhen Wang",184-190,
"Incorporating LIDAR data into scintillometer-based estimates of sensible heat flux considering different atmospheric stability conditions Hatim M. E. Geli, Christopher M. U. Neale, Doyle R. Watts, John Osterberg & Robert T. Pack",191-194,
"Estimating ET using scintillometers and satellites in an irrigated vineyard in the Costa De Hermosillo, Sonora, Mexico M. Mulder, J. A. Lopez-Ibarra, C. J. Watts, J. C. Rodriguez, O. K. Hartogensis & A. F. Moene",195-198,
"Determining sensible and latent heat fluxes at satellite grid scales by two-wavelength scintillometry J. G. Evans, D. D. McNeil, R. J. Harding & H. A. R. De Bruin",199-201,
"Impact of pixel versus footprint approaches on empirically derived ET estimates from Landsat TM Lynn F. Fenstermaker, Richard L. Jasoni, Jay A. Arnone III & Dale A. Devitt",202-205,
"Ground-based riparian evapotranspiration measurements for remote sensing algorithms Ramanitharan Kandiah, Xiaofang Wei, Subramania Sritharan, Doyle Watts, Christopher Neale, John Osterberg & Sumantra Chatterjee",206-209,
How representative is a point? The spatial variability of flux measurements across short distances Joseph G. Alfieri & Peter D. Blanken,210-214,
"A comparison of the eddy covariance and lysimetry-based measurements of the surface energy fluxes during BEAREX08 Joseph G. Alfieri, William P. Kustas, John H. Prueger, Jose L. Chavez, Steven R. Evett, Christopher M. U. Neale, Martha C. Anderson, Lawre",215-218,
Parameterization based on NOAA-AVHRR NDVI to improve conceptual rainfallГўв‚¬вЂњrunoff modelling in a large West African catchment Alain Dezetter & Denis Ruelland,221-230,
"StreamГўв‚¬вЂњaquifer interaction assessment using riparian evapotranspiration estimates from remote sensing algorithms Subramania I. Sritharan, Pramila Khanal, Xiaofang Wei, Ramanitharan Kandiah, Mark H. Hatfield, Christopher Neale & Johns Osterberg",231-234,
Airborne multi-sensor platform with potential for hydrological applications: demonstration of fluorescence measurements of turbidity BjГѓВ¶rn Baschek & Axel Winterscheid,235-238,
"Integrated remote sensing of bathymetry and onshore topography for asset inspection, hydrology modelling and hazard assessment Todd J. Mitchell, Gilbert Suarez & Phil Hogan",239-242,
"Evaluating the effect of uncertainty in the delineation of a watershed over the peak flow computation LuГѓВ­sa M. S. GonГѓВ§alves, CidГѓВЎlia C. Fonte & Ricardo Gomes",243-247,
"Potential impact of Sambor Dam project on Tonle Sap Lake ecosystem based on remote sensing imaging Sushu Wu, Hiroshi Ishidaira & Wenchao Sun",248-252,
"Multi-sensor remote sensing based modelling of the water balance of endorheic lakes on the Tibetan Plateau Volker Hochschild, Jan Kropacek, Sophie Biskop, Andreas Braun, Feng Chen, Manfred Fink, Joerg Helmschrot, Shichang Kang, Peter Krause, Reik Leiter",253-256,
Effects of resolution and scale on the accuracy of Гўв‚¬Е“impervious fractionГўв‚¬Вќ for urban catchments in Australia Rebecca Trevithick & Bofu Yu,257-261,
"Impact of dynamic albedo and vegetation fraction on the simulation of drought in southeast Australia using a regional climate model Jason P. Evans, Matthew F. McCabe & Xianhong Meng",262-265,
"Monitoring land surface changes and water deficit of Horqin Sandy Land in a changing climate Haijing Wang, Irena Hajnsek & Wolfgang Kinzelbach",266-271,
"Sediment discharge from an agricultural watershed: investigating the influence of land-cover fragmentation using the GSSHA model Ariel C. Blanco, Kazuo Nadaoka & Ma. Cecilia R. Paringit",272-275,
"Earth Observation integrated modelling tool for description of the water balance and runoff production of the Tibetan Plateau Guido DГўв‚¬в„ўUrso, Walter Immerzeel, Carlo De Michele, Hongxing Zheng & Massimo Menenti",276-279,
"Sensitivity of glacial change detection on Bridge Glacier, Canada, to horizontal datum transformations Tristan Goulden, Chris Hopkinson & Micheal N. Demuth",280-283,
"Detection and feature analysis of groundwater discharge points in coastal regions around Mt Chokaisan, Japan using ALOS AVNIR-2 data Yoichi Kageyama, Chieko Shibata & Makoto Nishida",284-287,
"Remote sensing method for estimating green and blue water footprint Mireia Romaguera, Mhd Suhyb Salama, Maarten S. Krol, Zhongbo Su & Arjen Y. Hoekstra",288-291,
Analysing parameter sensitivities in a complex distributed hydrological model using remotely sensed surface temperatures Simon Stisen & Matthew F. McCabe,292-295,
Monitoring and modelling water quality parameters by means of hyperspectral data Asif M. Bhatti & Seigo Nasu,296-299,
"Using SPOT-VEG based vegetation indices compared with AVHRR-based vegetation indices for drought monitoring in the south of Iran Mohammad Amin Owrangi, Mehrdad Rahnamaei, Ali Mohammad Zadeh & Reza Afshin Sharifan",300-303,
Transformations of river bed pattern of a lowland river inferred from aerial surveys and ground penetrating radar (GPR) Marcin SГ…вЂљowik,304-307,
"Data assimilation for improving soil moisture estimation at hillslope scales: experiments with synthetic SMAP radar data Alejandro N. Flores, Dara Entekhabi & Rafael L. Bras",308-311,
"Data assimilation of space-based passive microwave soil moisture retrievals and the correction for a dynamic open water fraction Ben T. Gouweleeuw, Albert I. J. M. van Dijk & Luigi J. Renzullo",312-315,
"Estimating the global terrestrial hydrologic cycle through modelling, remote sensing and data assimilation Ming Pan, Tara J. Troy, Alok K. Sahoo, Justin Sheffield & Eric F. Wood",316-320,
"Assimilation of remotely sensed snow cover within land surface models to support early detection of agricultural drought John Halquist, Gregory M. Fall & Dagang Wang",321-324,
"Remote sensing and GIS in inflow estimation for reservoir operations Гўв‚¬вЂњ Magat Dam, Philippines Czar Jakiri S. Sarmiento, Rhodora M. Gonzalez & Peter M. Castro",325-328,
"Using selective drainage methods to hydrologically-condition and hydrologically-enforce LiDAR-derived surface flow Sandra Poppenga, Bruce Worstell, Jason Stoker & Susan Greenlee",329-332,
"Changes in topographic context of the Yanamarey Glacier in the Tropical Peruvian Andes Kyung In Huh, Bryan G. Mark & Chris Hopkinson",333-336,
"Sensitivity of modelled evapotranspiration to canopy characteristics within the Western Boreal Plain, Alberta Laura Chasmer, Richard Petrone, Scott Brown, Chris Hopkinson, Carl Mendoza, John Diiwu, William Quinton & Kevin Devito",337-340,
"Hydrological implications of periglacial expansion in the Peyto Glacier catchment, Canadian Rockies Chris Hopkinson, Michael N. Demuth & Michael Sitar",341-344,
"Sensitivity of topographic slope and modelled watershed soil loss to DEM resolution Tristan Goulden, Chris Hopkinson & Rob Jamieson",345-349,
"Estimation of vegetation hydrodynamic density using high density airborne laser scanning data M. Z. A. Rahman, B. Gorte & M. Menenti",350-353,
"Relationships between snowpack depth and primary LiDAR point cloud derivatives in a mountainous environment Chris Hopkinson, John Pomeroy, Chris DeBeer, Chad Ellis & Axel Anderson",354-358,
"Delineation of lakes and channels in the Mackenzie Delta, NWT, using airborne LiDAR Neville Crasto, Chris Hopkinson, Philip Marsh, Donald L. Forbes & Ian Spooner",359-362,
"Estimation of composite hydrodynamic roughness over land with high density airborne laser scanning data M. Z. A. Rahman, B. Gorte & M. Menenti",363-366,
SWEHydro Model and AMSR-E observations: an effective tool to reconstruct snowmelt runoff timing and magnitude Joan Ramage & Kathryn A. Semmens,367-370,
"Regional and temporal patterns of soil moisture during CLASIC using passive microwave satellite observations Rajat Bindlish, Thomas J. Jackson, Yongqain Wang, Jiancheng C. Shi & Jeffery Basara",371-374,
"Polarimetric change detection for wetlands A. Schmitt, B. Brisco, S. Kaya & K. Murnaghan",375-279,
"Canadian SAR remote sensing for the Terrestrial Wetland Global Change Research Network (TWGCRN) S. Kaya, B. Brisco, A. Cull, A. Gallant, W. Sadinski & D. Thompson",380-383,
"Potential for improved crop yield prediction through assimilation of satellite-derived soil moisture data I. E. Mladenova, W. T. Crow, P. Doraiswamy, W. Teng & S. Milak",384-387,
Assessing the impact of Invasive Alien Plants on South African water resources using remote sensing techniques Caren Jarmain & Wouter M. L. Meijninger,388-392,
"Salt cedar biomass study in Cibola national wildlife refuge Xiaofang Wei, Subramania I. Sritharan, John Osterberg, John Davenport & Terrell Washington",393-396,
"Basal crop coefficient from remote sensing assessment in rain-fed grapes in southeast Spain Isidro Campos, Alfonso Calera, Claudio BalbontГѓВ­n, Enrique A. Torres, JosГѓВ© GonzГѓВЎlez-Piqueras & Christopher M. U. Neale",397-400,
"Coupling remote sensing and FAO-56 for a distributed water budget model in large areas: HidroMORE Enrique A. Torres, Alfonso Calera, Jose GonzГѓВЎlez-Piqueras, Eva Rubio, Isidro Campos & Claudio Balbontin",401-405,
"Estimating Palo Verde irrigation district evapotranspiration using MODIS enhanced vegetation index and micro-meteorological data Sumantra Chatterjee, Subramania Sritharan, Doyle Watts & Thaddeus Tarpey",406-409,
"Comparison of Sap Flux, Moisture Flux Tower and MODIS Enhanced Vegetation Index methods for estimating riparian evapotranspiration Pamela L. Nagler, Edward P. Glenn & Kiyomi Morino",410-413,
"Irrigation scheduling decision support for field-scale, surface irrigation using remote sensing and ground-based data Douglas Hunsaker, Andrew French, Peter Waller, Eduardo Bautista1, Patrick Royer, Kelly Thorp, Pedro Andrade-Sanchez & John Heun",414-418,
"Operational irrigation services from remote sensing: the irrigation advisory plan for the Campania Region, Italy Guido DГўв‚¬в„ўUrso, Carlo De Michele & Francesco Vuolo",419-422,
"Earth Observation for irrigation and river basin management in an operational way: the SPIDER system Alfonso Calera, Anna Osann, Guido DГўв‚¬в„ўUrso, Christopher Neale & Juan Manuel Moreno",423-426,
"The spatial and temporal variation of crop water consumption and the impact on water productivity in the Limpopo River basin Xueliang Cai, Poolad Karimi, Mutsa Masiyandima & Hilmy Sally",427-430,
"Remote sensing techniques as a tool for development of small scale urban runoff model Wai Yeung Yan, Ahmed Shaker, Darko Joksimovic & A. Dialame",431-434,
"SEBAL evapotranspiration estimates for the improvement of distributed hydrological model runoff and soil moisture predictions Nawa Raj Pradhan, Aaron R. Byrd, Fred L. Ogden & Jan M. H. Hendrickx",435-439,
Estimating African daily evapotranspiration using MODIS and MSG data Zhigang Sun & Mekonnen Gebremichael,440-443,
Threshold and parameter optimization method of the radar classified ZГўв‚¬вЂњI relationship and its application in flood forecasting Song Xingyuan & Luo Peng,444-448,
"The impacts of radar-precipitation-estimation on streamflow simulation with HSPF Huijun Xu, Qizhong Guo & Yangbo Chen",449-454,
"New generation flood forecasting in China: opportunity, research and challenge Yangbo Chen",454-458,
"ASAR/ENVISAT images for the calibration of the wind hydrodynamic effect on DoГѓВ±ana wetlands Belen Marti-Cardona, Thanh Duc Tran, Ernest Blade-Castellet & Josep Dolz-Ripolles",459-463,
"Global scale simulation of flood plain inundation with low resolution space-borne data Guy J.-P. Schumann, Jeffrey C. Neal & Paul D. Bates",464-467,
"Calibration of rainfallГўв‚¬вЂњrunoff models based on satellite observations of river width at the basin outlet Wenchao Sun, Hiroshi Ishidaira, Satish Bastola & Sushu Wu",468-472,
