,_____ air produces severed rising motions,Unstable
,___________ air is associated with strong temperature inversions,Stable
,The movement of water between and within the atmosphere and the Earth can be described as the _____ cycle.,Hydrologic
,"When making air rise, the height at which condensation occurs is called the _____",LCL
,An abundance of precipitation usually falls on the upwind side of the mountain called the ______ side,Windward
,"When a falling rain drop reaches a constant speed, it is said to have reached a ____velocity",Terminal
,The instrument used to measure liquid rainfall reaching the ground is called a ____,Rain guage
,Scientists attempt to make a cloud produce rain or snow with a process called ____,Cloud seeding
,"Rain that falls from a cloud, passes through a cold layer, and freezes into ice pellets is known as _____",Sleet
,The gas that constitutes about 78% of all the gases in Earth's atmosphere is called ____,Nitrogen
,"As you increase in altitude, the pressure in the atmosphere ______",Decreases logarithmically
,Incoming solar radiation is often referred to as:,Insolation
,"The higher the Sun's alt, the the ____",More direct the Sun's rays
,The date of the vernal equinox in the Northern Hemisphere is:,March 21st
,The latitude of the Arctic Circle is:,66.5 degrees N
,"The Earth reflects about 30% of the Sun's rays that come into the atmosphere, this reflection is termed:",Albedo
,Which method of light scattering primarily affects shorter wavelength radiation?,Rayleigh Scattering
,Net radiation is:,Defined as the difference between absorbed and emitted radiation.
,Most of the energy emitted by the Earth is in the form of _____ radiation,Longwave
,______ force creates the wind and always points from high to low pressure.,Pressure gradient
,"In the Northern Hemisphere, winds associated with a high pressure system blow _____",Clockwise outwards from the center
,What instrument is used to measure air pressure?,Mercurial barometer
,If stormy weather were approaching the pressure tendency would probably be,Falling
,Which instrument measures wind direction and speed at the same time.,Aerovane
,A trough in the upper atmosphere is usually associated with a _____ pressure system.,Low
,"On March 21st, an observer at the S. Pole would see the Sun at noon:",On the horizon
,"On June 21st, an observer at 23.5 N would see the Sun at noon:",At the zenith
,"On June 21st, an observer at the Arctic Circle would see the Sun at noon:",At the alt of ~47 about the S point
,___________ air needs the parcel to reach saturation before air can freely rise,Conditionally unstable
,1800 UTC corresponds to ____ central standard time,Noon
,2135 Z corresponds to ____ central standard time,3:35 PM
,0041 Z corresponds to ____ central standard time,6:41 PM
,The front which is often associated with severe thunderstorms is a:,Cold front
,The front with the steepest slope is a:,Cold front
,The slowest moving frontal zone is a:,Stationary front
,Lake effect snow is associated with which air mass:,Continental Pacific
,The global pressure zone that produces abundant precip and warm temps is the:,Equatorial Low
,Fast moving currents of air found near the top of the troposphere are called:,Jet streams
,"If an observer witnesses cirrus clouds, followed by cirrostratus, and then altostratus, then a _____ front must be approaching",Warm
,An air mass originating over the Gulf of Mexico would be considered:,Maritime Tropical
,"Which air mass may produce an occasional ""Nor'easter"" in the winter?",Maritime Pacific
,"Usually, ______ produce several hours of moderate to gentle precipitation over a large region.",Warm
,Which is considered to be a boundary between two different air masses?,Warm and Cold fronts
,An mP air mass is:,Humid and Cold
,A Santa Ana or Chinook wind is a:,"Very dry, warm wind flowing down a mountain slope."
,When a cold front catches up to and overtakes a warm front the resulting merger creates:,An occluded front
,A sea breeze usually originates during the:,Day and flows toward the land
,Sea breezes usually don't occur during the winter because:,The land is usually colder than the surrounding water during winter
,"When the wind flows basically from west to east with no real prominent rossby waves indicated on the map, the general flow is though of as:",Zonal
,The Bermuda High is an example of a:,Semi-permanent cell
,The polar front is usually located near the location of which pressure zone:,Subpolar low
,The ITCZ would be recongnizable on a satellite map of the globe by observing a zone of:,Clouds and precip near the equator
,"When heigh lines on a 500 mb map rise towards the poles during a meridional pattern, these ripples can be thought of as:",Ridges
,"In some global locations, it rains for months at a time and then it stops raining for months at a time due to a reversal of the wind regime. These rainy periods are called:",Monsoons
,When air flows up a mountain slope created by pressure differences this is called a _____ breeze,Land
,An air mass is best defined as a large body of air:,With similar temperatures and moisture characteristics
,The dew point is most likely to be highest in a ____ air mass,Maritime Tropical
,Warm air flowing upward along the boundary between a warm and cold front leading to extensive cloud cover is referred to as:,Overrunning
,Drylines are best describes as boundaries separating:,Humid air from dry air
,The numerical pressure difference between Darwin and Tahiti is indexed by the:,Souther Oscillation
,"During an El Nino event, the equitorial ocean temperatures in the Eastern Pacific:",Are much warmer than normal
,"Maps of the global distribution of 500 mb heights show lower values at the pole, which is due primarily to:",Lower temps at the pole
,Usually the pressure gradient force would be strongest at the:,700 mb level
,The warm ocean current located adjacent to the East coast of the US is called:,Gulf Stream
,The fastest moving front:,Cold
,The front associated with squall lines:,Cold
,The front that produces the same weather over a long period:,Stationary
,The front that is usually preceded by high cirrus clouds,Warm
,The boundary between two differing air masses is called a ____,Front
,Another name for the sub polar low is the ________,Polar front
,A ridge is considered ___ pressure,high
,"Cold, dense air flowing down a mountain slope is called a ______ wind",Katabatic
