Round Trip Date,MANILA-SG BEST PRICE PHP,SG-MANILA BEST PRICE PHP
"29 August 2011, Monday","1,499.00","2,899.00"
"30 August 2011, Tuesday","2,899.00","2,399.00"
"31 August 2011, Wednesday","1,499.00","2,899.00"
"01 September 2011, Thursday","2,399.00","2,399.00"
"02 September 2011, Friday","2,399.00","1,499.00"
"03 September 2011, Saturday","2,399.00","2,399.00"
"04 September 2011, Sunday","3,399.00","2,399.00"
"05 September 2011, Monday","1,499.00","2,399.00"
"06 September 2011, Tuesday","1,499.00","2,399.00"
"07 September 2011, Wednesday","1,499.00","1,499.00"
"08 September 2011, Thursday","2,399.00","1,499.00"
"09 September 2011, Friday","2,399.00","2,399.00"
"10 September 2011, Saturday","1,499.00","2,399.00"
"11 September 2011, Sunday","3,399.00","2,399.00"
"12 September 2011, Monday","1,499.00","2,399.00"
"13 September 2011, Tuesday","1,499.00","1,499.00"
"14 September 2011, Wednesday","1,499.00","1,499.00"
"15 September 2011, Thursday","2,399.00","2,399.00"
"16 September 2011, Friday","2,399.00","2,399.00"
"17 September 2011, Saturday","1,499.00","2,399.00"
"18 September 2011, Sunday","3,399.00","2,399.00"
"19 September 2011, Monday","1,499.00","2,399.00"
"20 September 2011, Tuesday","1,499.00","1,499.00"
"21 September 2011, Wednesday","1,499.00","1,499.00"
"22 September 2011, Thursday","3,999.00","1,499.00"
"23 September 2011, Friday","3,999.00","1,499.00"
"24 September 2011, Saturday","2,399.00","2,399.00"
"25 September 2011, Sunday","2,399.00","3,999.00"
"26 September 2011, Monday","2,399.00","3,999.00"
"27 September 2011, Tuesday","2,899.00","3,399.00"
"28 September 2011, Wednesday","1,499.00","2,899.00"
"29 September 2011, Thursday","1,499.00","2,899.00"
"30 September 2011, Friday","2,399.00","1,499.00"
"01 October 2011, Saturday","1,499.00","2,399.00"
"02 October 2011, Sunday","3,399.00","2,399.00"
"03 October 2011, Monday","1,499.00","2,399.00"
"04 October 2011, Tuesday","1,499.00","1,499.00"
"05 October 2011, Wednesday","1,499.00","1,499.00"
"06 October 2011, Thursday","1,499.00","1,499.00"
"07 October 2011, Friday","2,399.00","1,499.00"
"08 October 2011, Saturday","1,499.00","2,399.00"
"09 October 2011, Sunday","3,999.00","2,399.00"
"10 October 2011, Monday","1,499.00","2,399.00"
"11 October 2011, Tuesday","1,499.00","1,499.00"
"12 October 2011, Wednesday","1,499.00","1,499.00"
"13 October 2011, Thursday","1,499.00","1,499.00"
"14 October 2011, Friday","2,399.00","1,499.00"
"15 October 2011, Saturday","1,499.00","1,499.00"
"16 October 2011, Sunday","3,999.00","2,399.00"
"17 October 2011, Monday","1,499.00","2,399.00"
"18 October 2011, Tuesday","1,499.00","1,499.00"
"19 October 2011, Wednesday","1,499.00","1,499.00"
"20 October 2011, Thursday","1,499.00","1,499.00"
"21 October 2011, Friday","2,399.00","1,499.00"
"22 October 2011, Saturday","1,499.00","2,399.00"
"23 October 2011, Sunday","3,999.00","2,399.00"
"24 October 2011, Monday","1,499.00","2,399.00"
"25 October 2011, Tuesday","2,499.00","2,499.00"
"26 October 2011, Wednesday","2,399.00","1,499.00"
"27 October 2011, Thursday","4,858.00","4,599.00"
"28 October 2011, Friday","5,988.00","4,599.00"
"29 October 2011, Saturday","5,988.00","5,258.00"
"30 October 2011, Sunday","4,599.00","4,858.00"
"31 October 2011, Monday","2,399.00","4,858.00"
"01 November 2011, Tuesday","2,899.00","5,399.00"
"02 November 2011, Wednesday","1,499.00","4,599.00"
"03 November 2011, Thursday","4,398.00","4,599.00"
"04 November 2011, Friday","2,399.00","2,399.00"
"05 November 2011, Saturday","2,899.00","2,399.00"
"06 November 2011, Sunday","3,399.00","2,399.00"
"07 November 2011, Monday","1,499.00","2,399.00"
"08 November 2011, Tuesday","2,499.00","2,499.00"
"09 November 2011, Wednesday","1,499.00","1,499.00"
"10 November 2011, Thursday","1,499.00","1,499.00"
"11 November 2011, Friday","2,399.00","1,499.00"
"12 November 2011, Saturday","1,499.00","1,499.00"
"13 November 2011, Sunday","3,399.00","2,399.00"
"14 November 2011, Monday","1,499.00","2,399.00"
"15 November 2011, Tuesday","1,499.00","1,499.00"
"16 November 2011, Wednesday","1,499.00","1,499.00"
"17 November 2011, Thursday","1,499.00","1,499.00"
"18 November 2011, Friday","2,399.00","1,499.00"
"19 November 2011, Saturday","1,499.00","2,399.00"
"20 November 2011, Sunday","3,399.00","2,399.00"
"21 November 2011, Monday","1,499.00","2,399.00"
"22 November 2011, Tuesday","1,499.00","1,499.00"
"23 November 2011, Wednesday","1,499.00","1,499.00"
"24 November 2011, Thursday","2,399.00","1,499.00"
"25 November 2011, Friday","2,399.00","1,499.00"
"26 November 2011, Saturday","2,399.00","2,399.00"
"27 November 2011, Sunday","2,499.00","2,499.00"
"28 November 2011, Monday","1,499.00","2,399.00"
"29 November 2011, Tuesday","1,499.00","2,399.00"
"30 November 2011, Wednesday","1,499.00","2,399.00"
"01 December 2011, Thursday","2,399.00","2,399.00"
"02 December 2011, Friday","2,399.00","2,399.00"
"03 December 2011, Saturday","1,499.00","2,399.00"
"04 December 2011, Sunday","2,399.00","2,399.00"
"05 December 2011, Monday","1,499.00","2,399.00"
"06 December 2011, Tuesday","1,499.00","2,399.00"
"07 December 2011, Wednesday","1,499.00","2,399.00"
"08 December 2011, Thursday","1,499.00","2,399.00"
"09 December 2011, Friday","2,399.00","2,399.00"
"10 December 2011, Saturday","1,499.00","2,899.00"
"11 December 2011, Sunday","3,399.00","2,399.00"
"12 December 2011, Monday","1,499.00","2,399.00"
"13 December 2011, Tuesday","1,499.00","2,399.00"
"14 December 2011, Wednesday","1,499.00","2,399.00"
"15 December 2011, Thursday","1,499.00","2,399.00"
"16 December 2011, Friday","2,399.00","6,998.00"
"17 December 2011, Saturday","2,399.00","8,999.00"
"18 December 2011, Sunday","3,399.00","8,999.00"
"19 December 2011, Monday","1,499.00","6,628.00"
"20 December 2011, Tuesday","2,399.00","8,398.00"
"21 December 2011, Wednesday","7,199.00","7,598.00"
"22 December 2011, Thursday","5,798.00","8,099.00"
"23 December 2011, Friday","6,299.00","6,398.00"
"24 December 2011, Saturday","11,099.00","9,198.00"
"25 December 2011, Sunday","5,948.00","8,999.00"
"26 December 2011, Monday","10,348.00","7,458.00"
"27 December 2011, Tuesday","6,258.00","8,999.00"
"28 December 2011, Wednesday","7,199.00","6,488.00"
"29 December 2011, Thursday","6,258.00","8,099.00"
"30 December 2011, Friday","6,299.00","6,258.00"
"31 December 2011, Saturday","11,099.00","9,999.00"
"01 January 2012, Sunday","6,258.00","8,999.00"
"02 January 2012, Monday","10,658.00","6,698.00"
"03 January 2012, Tuesday","6,398.00","8,999.00"
"04 January 2012, Wednesday","7,199.00","4,858.00"
"05 January 2012, Thursday","5,298.00","8,058.00"
"06 January 2012, Friday","6,299.00","1,499.00"
"07 January 2012, Saturday","11,099.00","2,399.00"
"08 January 2012, Sunday","5,298.00","2,399.00"
"09 January 2012, Monday","9,198.00","2,399.00"
"10 January 2012, Tuesday","4,398.00","1,499.00"
"11 January 2012, Wednesday","1,499.00","1,499.00"
"12 January 2012, Thursday","1,499.00","1,499.00"
"13 January 2012, Friday","2,399.00","1,499.00"
"14 January 2012, Saturday","1,499.00","1,499.00"
"15 January 2012, Sunday","3,399.00","2,399.00"
"16 January 2012, Monday","1,499.00","2,399.00"
"17 January 2012, Tuesday","1,499.00","1,499.00"
"18 January 2012, Wednesday","1,499.00","1,499.00"
"19 January 2012, Thursday","1,499.00","1,499.00"
"20 January 2012, Friday","2,399.00","1,499.00"
"21 January 2012, Saturday","2,499.00","2,499.00"
"22 January 2012, Sunday","3,399.00","2,399.00"
"23 January 2012, Monday","1,499.00","2,399.00"
"24 January 2012, Tuesday","1,499.00","1,499.00"
"25 January 2012, Wednesday","1,499.00","1,499.00"
"26 January 2012, Thursday","1,499.00","1,499.00"
"27 January 2012, Friday","2,399.00","1,499.00"
"28 January 2012, Saturday","1,499.00","1,499.00"
"29 January 2012, Sunday","2,399.00","2,399.00"
"30 January 2012, Monday","1,499.00","2,399.00"
"31 January 2012, Tuesday","1,499.00","1,499.00"
"01 February 2012, Wednesday","1,499.00","1,499.00"
"02 February 2012, Thursday","1,499.00","1,499.00"
"03 February 2012, Friday","2,399.00","1,499.00"
"04 February 2012, Saturday","1,499.00","1,499.00"
"05 February 2012, Sunday","3,499.00","2,499.00"
"06 February 2012, Monday","1,499.00","2,399.00"
"07 February 2012, Tuesday","1,499.00","1,499.00"
"08 February 2012, Wednesday","1,499.00","1,499.00"
"09 February 2012, Thursday","1,499.00","1,499.00"
"10 February 2012, Friday","2,399.00","1,499.00"
"11 February 2012, Saturday","1,499.00","1,499.00"
"12 February 2012, Sunday","2,399.00","2,399.00"
"13 February 2012, Monday","1,499.00","2,399.00"
"14 February 2012, Tuesday","1,499.00","1,499.00"
"15 February 2012, Wednesday","1,499.00","1,499.00"
"16 February 2012, Thursday","1,499.00","1,499.00"
"17 February 2012, Friday","2,399.00","1,499.00"
"18 February 2012, Saturday","1,499.00","1,499.00"
"19 February 2012, Sunday","3,399.00","2,399.00"
"20 February 2012, Monday","1,499.00","2,399.00"
"21 February 2012, Tuesday","1,499.00","1,499.00"
"22 February 2012, Wednesday","1,499.00","1,499.00"
"23 February 2012, Thursday","1,499.00","1,499.00"
"24 February 2012, Friday","2,399.00","1,499.00"
"25 February 2012, Saturday","1,499.00","1,499.00"
"26 February 2012, Sunday","3,399.00","2,399.00"
"27 February 2012, Monday","1,499.00","2,399.00"
"28 February 2012, Tuesday","1,499.00","1,499.00"
"29 February 2012, Wednesday","1,499.00","1,499.00"
"01 March 2012, Thursday","1,499.00","1,499.00"
"02 March 2012, Friday","2,399.00","1,499.00"
"03 March 2012, Saturday","1,499.00","1,499.00"
"04 March 2012, Sunday","3,399.00","2,399.00"
"05 March 2012, Monday","1,499.00","2,399.00"
"06 March 2012, Tuesday","1,499.00","1,499.00"
"07 March 2012, Wednesday","1,499.00","1,499.00"
"08 March 2012, Thursday","1,499.00","1,499.00"
"09 March 2012, Friday","2,399.00","1,499.00"
"10 March 2012, Saturday","1,499.00","1,499.00"
"11 March 2012, Sunday","3,399.00","2,399.00"
"12 March 2012, Monday","1,499.00","2,399.00"
"13 March 2012, Tuesday","1,499.00","1,499.00"
"14 March 2012, Wednesday","1,499.00","1,499.00"
"15 March 2012, Thursday","1,499.00","1,499.00"
"16 March 2012, Friday","2,399.00","1,499.00"
"17 March 2012, Saturday","1,499.00","1,499.00"
"18 March 2012, Sunday","3,399.00","2,399.00"
"19 March 2012, Monday","1,499.00","2,399.00"
"20 March 2012, Tuesday","1,499.00","1,499.00"
"21 March 2012, Wednesday","1,499.00","1,499.00"
"22 March 2012, Thursday","1,499.00","1,499.00"
"23 March 2012, Friday","2,399.00","1,499.00"
"24 March 2012, Saturday","1,499.00","1,499.00"
"25 March 2012, Sunday","3,399.00","2,399.00"
"26 March 2012, Monday","1,499.00","2,399.00"
"27 March 2012, Tuesday","1,499.00","1,499.00"
"28 March 2012, Wednesday","1,499.00","1,499.00"
"29 March 2012, Thursday","1,499.00","1,499.00"
"30 March 2012, Friday","2,399.00","1,499.00"
"31 March 2012, Saturday","1,499.00","1,499.00"
"01 April 2012, Sunday","3,399.00","2,399.00"
"02 April 2012, Monday","1,499.00","2,399.00"
"03 April 2012, Tuesday","1,499.00","1,499.00"
"04 April 2012, Wednesday","1,499.00","1,499.00"
"05 April 2012, Thursday","1,499.00","1,499.00"
"06 April 2012, Friday","2,899.00","1,499.00"
"07 April 2012, Saturday","1,499.00","1,499.00"
"08 April 2012, Sunday","3,399.00","2,399.00"
"09 April 2012, Monday","1,499.00","2,399.00"
"10 April 2012, Tuesday","1,499.00","1,499.00"
"11 April 2012, Wednesday","1,499.00","1,499.00"
"12 April 2012, Thursday","1,499.00","1,499.00"
"13 April 2012, Friday","2,399.00","2,399.00"
"14 April 2012, Saturday","2,399.00","2,399.00"
"15 April 2012, Sunday","2,399.00","2,399.00"
