Stock of Quasi Money By Country,Stock of quasi money,Updated,Rank
The stock of quasi money of Slovenia is,"$15,900,000,000",31-Dec-08,#50
The stock of quasi money of Panama is,"$15,840,000,000",31-Dec-08,#51
The stock of quasi money of Oman is,"$14,570,000,000",31-Dec-08,#52
The stock of quasi money of Serbia is,"$14,110,000,000",31-Dec-08,#53
The stock of quasi money of Sri Lanka is,"$11,150,000,000",31-Dec-08,#54
The stock of quasi money of Venezuela is,"$10,930,000,000",31-Dec-08,#55
The stock of quasi money of Angola is,"$10,410,000,000",31-Dec-08,#56
The stock of quasi money of Ecuador is,"$9,790,000,000",31-Dec-08,#57
The stock of quasi money of Guatemala is,"$9,700,000,000",31-Dec-08,#58
The stock of quasi money of Uruguay is,"$9,409,000,000",31-Dec-08,#59
The stock of quasi money of Belarus is,"$8,784,000,000",31-Dec-08,#60
The stock of quasi money of Malta is,"$8,771,000,000",31-Jan-08,#61
The stock of quasi money of Lithuania is,"$8,731,000,000",31-Dec-09,#62
The stock of quasi money of Brunei is,"$8,151,000,000",30-Mar-09,#63
The stock of quasi money of Nepal is,"$7,490,000,000",1-Apr-09,#64
The stock of quasi money of Mauritius is,"$6,914,000,000",31-Dec-08,#65
The stock of quasi money of Bolivia is,"$6,339,000,000",31-Dec-08,#66
The stock of quasi money of Albania is,"$6,251,000,000",31-Dec-08,#67
The stock of quasi money of Yemen is,"$6,077,000,000",31-Oct-09,#68
The stock of quasi money of The Dominican Republic is,"$5,902,000,000",31-Dec-08,#69
The stock of quasi money of Bosnia and Herzegovina is,"$5,614,000,000",31-Dec-08,#70
The stock of quasi money of Honduras is,"$5,574,000,000",31-Dec-08,#71
The stock of quasi money of Latvia is,"$5,572,000,000",31-Dec-08,#72
The stock of quasi money of Estonia is,"$5,478,000,000",31-Dec-08,#73
The stock of quasi money of Kenya is,"$5,468,000,000",31-Dec-08,#74
The stock of quasi money of Iraq is,"$5,415,000,000",31-Dec-08,#75
The stock of quasi money of The West Bank is,"$5,251,000,000",31-Dec-08,#76
The stock of quasi money of The Cayman Islands is,"$5,230,000,000",31-Dec-08,#77
The stock of quasi money of The Bahamas is,"$4,637,000,000",31-Dec-08,#78
The stock of quasi money of Libya is,"$4,264,000,000",31-Dec-08,#79
The stock of quasi money of Jamaica is,"$4,244,000,000",31-Dec-08,#80
The stock of quasi money of Botswana is,"$4,183,000,000",31-Dec-08,#81
The stock of quasi money of Azerbaijan is,"$4,125,000,000",31-Dec-08,#82
The stock of quasi money of Barbados is,"$3,701,000,000",31-Dec-08,#83
The stock of quasi money of Trinidad and Tobago is,"$3,506,000,000",31-Dec-08,#84
The stock of quasi money of Iceland is,"$3,440,000,000",31-Dec-08,#85
The stock of quasi money of Tanzania is,"$3,362,000,000",31-Dec-08,#86
The stock of quasi money of Cambodia is,"$3,197,000,000",31-Dec-08,#87
The stock of quasi money of Costa Rica is,"$3,143,000,000",31-Dec-08,#88
The stock of quasi money of Macedonia is,"$3,132,000,000",31-Dec-08,#89
The stock of quasi money of Nicaragua is,"$1,810,000,000",31-Dec-08,#91
The stock of quasi money of Mozambique is,"$1,752,000,000",31-Dec-08,#92
The stock of quasi money of Papua New Guinea is,"$1,726,000,000",31-Dec-08,#93
The stock of quasi money of Zambia is,"$1,618,000,000",31-Dec-08,#94
The stock of quasi money of Georgia is,"$1,606,000,000",31-Dec-08,#95
The stock of quasi money of Paraguay is,"$1,599,000,000",31-Dec-08,#96
The stock of quasi money of Mongolia is,"$1,545,000,000",31-Dec-08,#97
The stock of quasi money of Uganda is,"$1,485,000,000",31-Dec-08,#98
The stock of quasi money of Afghanistan is,"$1,219,000,000",31-Dec-08,#99
The stock of quasi money of Namibia is,"$1,158,000,000",31-Dec-08,#100
The stock of quasi money of Laos is,"$1,080,000,000",31-Dec-08,#101
The stock of quasi money of Eritrea is,"$1,053,000,000",31-Dec-08,#102
The stock of quasi money of Suriname is,"$1,018,000,000",31-Dec-08,#103
The stock of quasi money of Armenia is,"$950,100,000",31-Dec-08,#104
The stock of quasi money of Antigua and Barbuda is,"$939,900,000",31-Dec-08,#105
The stock of quasi money of Aruba is,"$890,300,000",31-Dec-08,#106
The stock of quasi money of Guyana is,"$817,600,000",31-Dec-08,#107
The stock of quasi money of Saint Lucia is,"$800,100,000",31-Dec-08,#108
The stock of quasi money of El Salvador is,"$788,700,000",31-Dec-08,#109
The stock of quasi money of Cape Verde is,"$721,300,000",31-Dec-08,#110
The stock of quasi money of Saint Kitts and Nevis is,"$680,600,000",31-Dec-08,#111
The stock of quasi money of Madagascar is,"$667,200,000",31-Dec-08,#112
The stock of quasi money of Belize is,"$653,800,000",31-Dec-08,#113
The stock of quasi money of Grenada is,"$578,100,000",31-Dec-08,#114
The stock of quasi money of Tajikistan is,"$544,000,000",31-Dec-08,#115
The stock of quasi money of Maldives is,"$488,000,000",31-Dec-08,#116
The stock of quasi money of Anguilla is,"$449,500,000",31-Dec-08,#117
The stock of quasi money of Swaziland is,"$441,500,000",31-Dec-08,#118
The stock of quasi money of Vanuatu is,"$430,000,000",31-Dec-08,#119
The stock of quasi money of Djibouti is,"$338,000,000",31-Dec-08,#120
The stock of quasi money of Saint Vincent and the Grenadines is,"$302,700,000",31-Dec-08,#121
The stock of quasi money of Dominica is,"$289,900,000",31-Dec-08,#122
The stock of quasi money of Rwanda is,"$227,400,000",31-Dec-08,#123
The stock of quasi money of Burundi is,"$189,900,000",31-Dec-08,#124
The stock of quasi money of Seychelles is,"$188,500,000",31-Dec-08,#125
The stock of quasi money of Samoa is,"$162,800,000",31-Dec-08,#126
The stock of quasi money of Lesotho is,"$108,100,000",31-Dec-08,#127
The stock of quasi money of Tonga is,"$100,700,000",31-Dec-08,#128
The stock of quasi money of The Solomon Islands is,"$96,790,000",31-Dec-08,#129
The stock of quasi money of Timor-Leste is,"$89,880,000",31-Dec-08,#130
The stock of quasi money of Montserrat is,"$45,420,000",31-Dec-08,#131
The stock of quasi money of Comoros is,"$41,740,000",31-Dec-08,#132
The stock of quasi money of Sao Tome and Principe is,"$36,950,000",31-Dec-08,#133
