,Title,Commenter,Date,Thread
5,Cherry picking time and this time the bogus al-hunud al-humr [279 words],dhimmi no more,"Sep 27, 2009 10:54",155095
3,Cherry picking time and this time the bogus al-hunud al-humr part deux [161 words],dhimmi no more,"Sep 29, 2009 08:01",155095
3,Armenian Genocide [15 words],david,"Oct 15, 2009 18:39",155095
2,The 'alleged genocide' is a fib and MYTH ... nothing more [151 words],Levo,"Dec 29, 2009 14:46",155095
2,Turkish Propaganda? [287 words],Can The turk,"Mar 6, 2010 09:07",155095
5,Turkish Propaganda and Talk about Hatred [143 words],Young MC,"Mar 25, 2010 15:38",155095
7,A lot of Turks and other muslims died during and especially after the Genocyde. [384 words],edward Demian,"Feb 4, 2011 08:06",155095
6,We are all Armenians and get used to it [97 words],dhimmi no more,"Feb 4, 2011 18:30",155095
,genocide denying [53 words],Edward Demiraiakian,"Aug 25, 2014 00:31",155095
,I disagree [249 words] w/response from Daniel Pipes,Solkhar,"May 3, 2009 11:18",154865
1,As Always - West Versus East [350 words],M. Tovey,"May 7, 2009 18:45",154865
,Turkey had to be paid off to accept danish secretary general of NATO [88 words],o.wilhelmsson,"Apr 27, 2009 05:00",154516
1,"Turkey, a trojan horse into the NATO camp as destabilizer of the western allience. [119 words]",o.wilhelmsson,"Apr 27, 2009 04:51",154515
2,Europe's Slide to Islamization [205 words],TruthWFree,"Apr 28, 2009 11:29",154515
1,Halki or legal murder of the Ecumenical Patriachate by the Turkish state [776 words],Ianus,"Apr 28, 2009 18:21",154515
,Your In Depth Analysis [328 words],TruthWFree,"Apr 30, 2009 01:26",154515
3,"""What they have done to the Armenians, they will do to us one day too"". [1860 words]",Ianus,"May 2, 2009 17:50",154515
1,Facts: 37 islamist terrorists have been arrested in Turkey yesterday! [11 words],Isaac Haskiya,"Apr 22, 2009 03:47",154252
1,Imam Erdogan still at large [100 words],Ianus,"Apr 22, 2009 17:54",154252
,do you really believe these rubbish? [147 words],yigit,"Jun 23, 2009 10:33",154252
17,"Ne mutlu 'tГјrk deДџilim' diyene! (Happy is he who will say ""I am not a Turk"" ! ) [818 words]",Ianus,"Jun 24, 2009 05:09",154252
1,lol [89 words],YIGIT,"Jun 26, 2009 12:33",154252
4,Islamo-Kemalism [685 words],Ianus,"Jun 27, 2009 06:41",154252
1,Ataturk and Homosexuality [116 words],Edward Demian,"Feb 4, 2011 11:50",154252
1,Answer the Ataturk and homosexuality [112 words],Liz K.,"Oct 27, 2011 17:21",154252
1,It is turkish [75 words],Ahmet,"Apr 13, 2013 09:35",154252
1,It's Turkish too. [5 words],Ianus,"Apr 16, 2013 14:12",154252
,The article being about Turkish membership in Nato.......... [226 words],Isaac Haskiya,"Apr 21, 2009 11:54",154228
4,Turkey as protector of NATO [1172 words],Ianus,"Apr 24, 2009 08:55",154228
1,Turkey should be Ousted from Nato [143 words],Matthew,"Apr 16, 2009 15:05",153973
,Turket still belong in NATO [245 words],sufi Imdad ALI soomro,"Apr 17, 2009 06:12",153973
,playing by the rules [596 words],the Grand Infidel of Kaffiristan,"Apr 18, 2009 02:16",153973
1,Taliban are animals [30 words],Ano,"Apr 19, 2009 02:37",153973
,Disband NATO and start and effective Alliance Agaist Islam... [354 words],Chet Limbright,"Apr 19, 2009 06:08",153973
,this is realy super vision... [40 words],Kocmar from Turkey,"Oct 28, 2009 04:16",153973
,don't insult animals [68 words],Ravi Ranjan Singh 'BharatPanthi',"May 4, 2010 05:58",153973
4,"Turkish ""secularists"" at work in Northern Cyprus - the Devil's mockery [750 words]",Ianus,"Apr 15, 2009 16:03",153923
,Pope's Visit to Jordan [134 words],TruthWFree,"May 8, 2009 13:54",153923
,Eurabia - Catholic style [1093 words],Ianus,"May 9, 2009 18:14",153923
,Catholic Style [812 words],TruthWFree,"May 10, 2009 19:07",153923
,The Islamic captivity of the Church [2036 words],Ianus,"May 13, 2009 17:56",153923
,Hellenistic ideals? [63 words],Ugri,"May 14, 2009 02:46",153923
,Public personalities [107 words],pdm,"May 14, 2009 10:05",153923
,Jesus Christ killing Olympian gods [529 words],Ianus,"May 14, 2009 18:44",153923
1,Contemplating Christianity [116 words],Ugri,"May 16, 2009 11:26",153923
1,Pila = 'a practical joke' [276 words],Ianus,"May 17, 2009 06:57",153923
,Terve taas Ianus [106 words],Ugri,"May 18, 2009 08:26",153923
,A Good Idea of Christianity [587 words],M. Tovey,"May 21, 2009 13:26",153923
4,STOP ANTI-TURKISM [85 words],Sengun Taygun,"Apr 14, 2009 17:35",153891
5,"""STOP ANTITURKISM"" REPEAT SWEET TURKISH LIES INSTEAD ! [494 words]",Ianus,"Apr 15, 2009 16:47",153891
,fanatism [145 words],yasemin,"Apr 15, 2009 21:26",153891
,you don't HAVE to join them [275 words],the Grand Infidel of Kaffiristan,"Apr 16, 2009 19:47",153891
2,The quesiton is not whether or not Turks are evil [81 words],Straight_Talk_Luigi,"Apr 16, 2009 21:11",153891
,Our dear yasemin so what is the name of that priest that told you that all was Ok for non Muslims in Torkeya? Let me guess you made this one up [517 words],dhimmi no more,"Apr 17, 2009 07:42",153891
1,"""It is so simple"" - a Turkish narcissist reveals [274 words]",Ianus,"Apr 17, 2009 09:51",153891
,Who is this Д°anus? ?? [72 words],Actually,"Apr 17, 2009 10:19",153891
1,sengub tayun [116 words],btilly,"Apr 17, 2009 16:05",153891
1,Actually (Turkey) Knows everything [54 words],Infidel,"Apr 17, 2009 21:01",153891
,dark lands [154 words],berk akk,"Apr 18, 2009 02:52",153891
,"""Actually"", know your hard facts, please [22 words]",Ugri,"Apr 18, 2009 02:57",153891
,"So what did we learn from our dear ""actually""? Nothing actually [273 words]",dhimmi no more,"Apr 18, 2009 07:42",153891
1,Ignorance is bliss and who can be against bliss? [294 words],Ianus,"Apr 18, 2009 07:51",153891
,past and present [996 words],the Grand Infidel of Kaffiristan,"Apr 19, 2009 00:03",153891
1,islamophobic [61 words],Anon,"Apr 19, 2009 03:27",153891
,"""Armenian genocide""? None of your business! Stop denying the Aborigines' genocide instead! [1346 words]",Ianus,"Apr 19, 2009 09:39",153891
,agree change needed [285 words],the Grand Infide of Kaffiristan,"Apr 20, 2009 04:03",153891
,CONGRATULATIONS [234 words],berk akk,"Apr 20, 2009 04:09",153891
2,compromised European values [1394 words],the grand Infidel of Kaffiristan,"Apr 21, 2009 06:44",153891
,Our dear Berk and much more drivel [120 words],dhimmi no more,"Apr 21, 2009 07:57",153891
2,Imam Erdogan [896 words],Ianus,"Apr 21, 2009 17:24",153891
1,agreements [245 words],berk akk,"Apr 22, 2009 14:50",153891
,There is no Armenian geoncide. [227 words],yasemin,"Apr 22, 2009 19:44",153891
,Take it easy [129 words],yasemin,"Apr 22, 2009 20:35",153891
1,the future ? ..... more of the same [1078 words],the Grand Infide of Kaffiristan,"Apr 22, 2009 20:44",153891
1,Rational and irrational agreements [1332 words],Ianus,"Apr 23, 2009 15:15",153891
,My religion is 5 times cooler than yours! [120 words],???,"Apr 24, 2009 03:54",153891
1,The Armenian Genocide and those that deny it [86 words],dhimmi no more,"Apr 24, 2009 18:42",153891
,one difference [50 words],the Grand Infidel of Kaffiristan,"Apr 25, 2009 01:09",153891
1,The epidemic of 'offenditis' [761 words],Ianus,"Apr 25, 2009 07:39",153891
2,The Armenian Genocide and those that deny it. The long version [867 words],dhimmi no more,"Apr 25, 2009 10:15",153891
2,"Had Hitler won, we would hear a Nazi version of yasemin assuring us : ""There is no Jewish geoncide"". [2930 words]",Ianus,"Apr 25, 2009 17:33",153891
,Turkey is watching you ... with US help! [547 words],Ianus,"Apr 26, 2009 17:45",153891
,CONTRADICTIONS [130 words],BERK AKK,"Apr 27, 2009 09:20",153891
1,POLONEZKOY [215 words],BERK AKK,"Apr 27, 2009 10:19",153891
,"Enlightment- To Ianus, the Grand Infidel of Kafiristan, and dhimmi no more [472 words]",TruthWFree,"Apr 27, 2009 12:50",153891
2,Naming the unnamed [62 words],Ianus,"Apr 27, 2009 16:10",153891
,Ghazi [254 words],Ianus,"Apr 27, 2009 17:18",153891
1,The scholar that shall remain unnamed will be named [445 words],dhimmi no more,"Apr 27, 2009 18:02",153891
,Allah for Hitler - Moslem SS Units = c. 415 000 - 440 000 Moslem SS-men [477 words],Ianus,"Apr 27, 2009 18:15",153891
1,B. Lewis and cohorts [83 words],Young MC,"Apr 27, 2009 18:18",153891
,"Saudis - 100% Moslem , Turks - 99,8% Moslem [94 words]",Ianus,"Apr 27, 2009 18:30",153891
2,Thanks [146 words],Ianus,"Apr 28, 2009 16:42",153891
,ghazi mustafa kemal [116 words],berk akk,"Apr 29, 2009 01:54",153891
,MEANING OF PROOF [345 words],BERK AKK,"Apr 29, 2009 05:03",153891
1,Turkish ethnographic zoos [1209 words],Ianus,"Apr 29, 2009 16:42",153891
,You need an [55 words],Sengun Taygun,"Apr 29, 2009 16:43",153891
,Jihadist Mustafa Kemal Pasha and his Turkish hagiographer Berk Akk [500 words],Ianus,"Apr 29, 2009 17:49",153891
,You too ... [425 words],Ianus,"Apr 29, 2009 19:23",153891
1,"Turk ""needs an ..."" [152 words]",Young MC,"Apr 29, 2009 20:25",153891
1,red herrings back in business [983 words],the Grand Infidel of Kaffiristan,"Apr 29, 2009 20:35",153891
1,"The ""Ottoman slap"" and our dear Sengun [246 words]",dhimmi no more,"Apr 30, 2009 06:45",153891
,"""Easy falsifying of anti-turkic words"" made difficult [1313 words]",Ianus,"Apr 30, 2009 08:21",153891
,EDUCATION [151 words],BERK AKK,"Apr 30, 2009 09:08",153891
,SAKHARYA RД°VER [203 words],berk akk,"Apr 30, 2009 10:05",153891
,REFUTATION [237 words],berk akk,"Apr 30, 2009 11:06",153891
2,Ataturkistan [1231 words],Ianus,"May 1, 2009 10:42",153891
,initial discussion [242 words],berk akk,"May 1, 2009 13:51",153891
4,Turkish historical solipsism [1280 words],Ianus,"May 1, 2009 16:14",153891
2,More Turkish solipsism [293 words],Ianus,"May 1, 2009 16:41",153891
,PRIVATE PROPERTY [354 words],BERK akk,"May 2, 2009 18:51",153891
,self observatД±ons [64 words],BERK akk,"May 2, 2009 19:37",153891
,expensive upkeep [240 words],the Grand Infidel of Kaffiristan,"May 2, 2009 23:12",153891
1,"0,000 076 % [526 words]",Ianus,"May 3, 2009 04:55",153891
2,Turkish fata morgana [1365 words],Ianus,"May 3, 2009 06:45",153891
,"Hey, dhimmi no more [92 words]",sengun,"May 3, 2009 17:40",153891
1,"Greetings, Ianus! Glad to see you so prolifically kicking. [192 words]",kman,"May 3, 2009 20:28",153891
,limon von sanders [263 words],berk akk,"May 4, 2009 03:14",153891
,self observation [360 words],berk akk,"May 4, 2009 05:05",153891
,"""unimportant anti-Turkists"" [56 words]",Sengun,"May 4, 2009 14:38",153891
1,Turk Slaps Himself [85 words],Young MC,"May 5, 2009 20:17",153891
1,Baby Ataturk [1401 words],Ianus,"May 6, 2009 08:17",153891
1,Important pro-Turkists and Kemalist slaps [245 words],Ianus,"May 6, 2009 08:55",153891
,Google - a weapon of anti-Turkism [1181 words],Ianus,"May 6, 2009 10:15",153891
,talking about critics [767 words],berk akk,"May 7, 2009 04:39",153891
,giving name to someone [776 words],berk akk,"May 7, 2009 08:01",153891
,Naming the unnamed and the Armenian Genocide and the legal case against Turkey [417 words],dhimmi no more,"May 7, 2009 08:06",153891
1,Turk's Mumble and Ignorance [184 words],Young MC,"May 8, 2009 19:14",153891
1,"Melt down time and our dear Sengun and the ""ottoman slap"" [302 words]",dhimmi no more,"May 8, 2009 19:24",153891
,comunication limit 2 [111 words],berk akk,"May 9, 2009 04:27",153891
1,Ottoman maps [241 words],Ianus,"May 9, 2009 18:43",153891
1,Our dear BERK and Arabic again a language that he cannot read speak or write [131 words],dhimmi no more,"May 9, 2009 18:52",153891
,my master [88 words],BERKA AKK,"May 10, 2009 04:25",153891
,GREAT PEACE [102 words],berk akk,"May 10, 2009 06:40",153891
1,"Turks and ""comunication limit 2"" [164 words]",Young MC,"May 10, 2009 06:44",153891
,The Chinese way [497 words],Ianus,"May 10, 2009 16:14",153891
1,Ataturk's last fairy tale [114 words],Ianus,"May 10, 2009 16:55",153891
2,New defenders of Turkey against her old friends [1908 words],Ianus,"May 11, 2009 16:20",153891
2,The word Ghazi [365 words],dhimmi no more,"May 11, 2009 19:52",153891
1,"Always good to hear from you ""Ianus"". [343 words]",kman,"May 12, 2009 00:48",153891
,wrong impressions [1335 words],berk akk,"May 12, 2009 04:12",153891
,best of limits [147 words],berk akk,"May 12, 2009 05:26",153891
,Fiend as friend [117 words],Ianus,"May 12, 2009 08:33",153891
5,"""GREAT PEACE"" - a diabolical parody by Berk Akk [696 words]",Ianus,"May 12, 2009 09:48",153891
1,"""I will support them just like a rope will support a man who is going to be hanged"" . [853 words]",Ianus,"May 13, 2009 03:58",153891
,lessons are in school [683 words],berk akk,"May 13, 2009 04:49",153891
1,Liars' sensibilities and chewing gum as an insult to Ataturk's memory [3127 words],Ianus,"May 13, 2009 08:20",153891
1,"Cowardice and ""best of limits"" [343 words]",Young MC,"May 13, 2009 11:08",153891
,The coming global turmoil [933 words],Ianus,"May 13, 2009 14:58",153891
,Greetings Ianus. You have earned your plaudits on history. [878 words],kman,"May 14, 2009 01:09",153891
,Д± give in [925 words],berk akk,"May 14, 2009 04:23",153891
1,meaning of words [145 words],berk akk,"May 14, 2009 04:45",153891
1,Conflicts which have no solution [2299 words],Ianus,"May 14, 2009 17:30",153891
1,"TROLL and ""meaning of words"" [339 words]",Young MC,"May 14, 2009 19:39",153891
,waking the bear [105 words],the Grand Infidel of Kaffiristan,"May 14, 2009 21:54",153891
,thank you for your comments till now [155 words],berk akk,"May 15, 2009 02:19",153891
3,"""Thanks Allah I am a Moslem"" ...and a Turk [401 words]",Ianus,"May 15, 2009 07:42",153891
,Sura 9:29 [729 words],TruthWFree,"May 15, 2009 15:35",153891
,Turkey's Place in History [327 words],M. Tovey,"May 19, 2009 19:41",153891
,your invitation [62 words],berk akk,"May 23, 2009 16:12",153891
,My Point [46 words],TruthWFree,"May 26, 2009 22:49",153891
,who is responsible for violence [71 words],BERKA AKK,"May 29, 2009 18:56",153891
,Violence [129 words],TruthWFree,"Jun 1, 2009 18:53",153891
,resonse [50 words],Gonca,"Sep 8, 2009 09:51",153891
1,turks have been interacting with europeans ? [84 words],A real turk,"Sep 22, 2009 23:00",153891
1,Who is the great inventor of racism/holocaust/extortion? [250 words],Justin,"Oct 16, 2009 17:22",153891
5,Whoever is the great inventor of racism/holocaust/extortion the Turks are masters thereof [1203 words],Ianus,"Oct 19, 2009 07:14",153891
,Stuermer invention [212 words],Facts Veritas,"Jul 26, 2012 15:32",153891
1,Your inventions for a change [524 words],Ianus,"Jul 26, 2012 19:26",153891
1,And speaking of Wey Ri Tahs aka Veritas and those that deny the Armenian genocide shame on them [100 words],dhimmi no more,"Jul 27, 2012 07:37",153891
7,The crime of the Armenian Genocide and those that deny it [155 words],dhimmi no more,"Jul 27, 2012 07:52",153891
11,Those who get bribed for denying the Armenian genocide and those who get bribed for not mentioning it at all [1506 words],Ianus,"Jul 30, 2012 14:50",153891
5,The crimes of the Turks against humanity [445 words],dhimmi no more,"Jul 31, 2012 07:19",153891
4,The Armenian Genocide in the extant Arabic language literary sources [76 words],dhimmi no more,"Jul 31, 2012 07:47",153891
3,The Armenian Genocide in the extant Arabic language literary sources part two [295 words],dhimmi no more,"Aug 1, 2012 18:23",153891
2,"Not the Germans , the Turks are to blame [178 words]",Ianus,"Aug 2, 2012 05:37",153891
3,The Armenian Genocide in the extant Arabic language literary sources part three [402 words],dhimmi no more,"Aug 3, 2012 06:07",153891
5,"Did the Arab press also lament ""200 000 women, girls and children ...forcibly converted to Islam"" by al-itihadiyuun? [604 words]",Ianus,"Aug 4, 2012 11:45",153891
4,The Armenian Genocide in the extant Arabic language literary sources part four [1047 words],dhimmi no more,"Aug 5, 2012 06:55",153891
4,PBS sells its soul to the Turkish devil [115 words],dhimmi no more,"Aug 5, 2012 07:11",153891
3,"""First we kill the Armenians, then the Greeks, then the Kurds."" [156 words]",Ianus,"Aug 6, 2012 03:21",153891
2,The Armenian Genocide and those that deny it [157 words],dhimmi no more,"Aug 6, 2012 19:21",153891
1,Egypt like the US has never recognized the Armenian genocide. [153 words],Ianus,"Aug 7, 2012 02:27",153891
3,The Armenian Genocide in the extant Arabic language literary sources part five [351 words],dhimmi no more,"Aug 7, 2012 19:01",153891
,Cartoon characters- DNM and Ianus [296 words],Mozere,"Aug 8, 2012 07:29",153891
4,Meltdown Muslim/Turkish style [146 words],dhimmi no more,"Aug 8, 2012 18:36",153891
2,Turkish hypocrisy [71 words],dhimmi no more,"Aug 8, 2012 18:46",153891
6,The Armenian Genocide and those that deny it part two [1007 words],dhimmi no more,"Aug 9, 2012 06:13",153891
3,"No new ones , Mozere ? [150 words]",Ianus,"Aug 10, 2012 06:03",153891
6,What evidence is neeeded ? [201 words],Ianus,"Aug 10, 2012 06:19",153891
1,No more hatred between peoples [207 words],Mozere,"Aug 10, 2012 10:31",153891
7,Our dear Mozere is talking about: no hate! Really? [660 words],dhimmi no more,"Aug 10, 2012 17:54",153891
,"Jew-hunting Turkish style - ""the rabbi"" against Turkey [632 words]",Ianus,"Apr 14, 2009 07:22",153850
,"you try hard to create us more enemies, but this one is fairy tail. [201 words]",yasemin,"Apr 19, 2009 23:30",153850
4,Turkish flags on a mosque in Gazastan [1333 words],Ianus,"Apr 21, 2009 05:23",153850
1,our dear yasemin al-munafiqa al-kabeera and chrarity starts at home darling [45 words],dhimmi no more,"Apr 21, 2009 08:02",153850
,RELIGIONS [83 words],BERK AKK,"Apr 14, 2009 04:15",153847
,"""We primates..."" [197 words]",Ianus,"Apr 15, 2009 17:04",153847
,berk akk [101 words],btilly',"Apr 16, 2009 04:22",153847
,Our dear BERK who is no more than another victim of the Turks [45 words],dhimmi no more,"Apr 17, 2009 07:46",153847
,insulting other religions is primitive behaviour [51 words],berk AKK,"Apr 17, 2009 09:21",153847
,EXTERMINATED RELIGIONS [106 words],berk akk,"Apr 17, 2009 09:40",153847
,berk akk [39 words],btilly',"Apr 17, 2009 21:39",153847
3,The difference between Islamization and Christianization [1098 words],Ianus,"Apr 18, 2009 05:40",153847
2,"Truth as an insult , lying as a good behaviour. [600 words]",Ianus,"Apr 18, 2009 07:26",153847
3,Our dear Berk and the Qur'an [240 words],dhimmi no more,"Apr 19, 2009 07:29",153847
,primitive book by your argument [37 words],Skeptic,"Apr 20, 2009 00:10",153847
,TURKISH PEOPLE ARE AGAINST RACISM [169 words],berk akk,"Apr 20, 2009 02:42",153847
,who is wrong [72 words],BERK AKK,"Apr 20, 2009 04:35",153847
,INTERNATIONAL CONFERENCE [226 words],BERK AKK,"Apr 20, 2009 05:13",153847
,BRAVERY AND SAVAGERY [44 words],BERK AKK,"Apr 20, 2009 05:23",153847
2,"Turkish Mephistopheles' proposes : ""Please you can try at least to compromise ;)"" [241 words]",Ianus,"Apr 21, 2009 05:54",153847
1,"8.55 ... Good ayat, wrong translation ! [1296 words]",Ianus,"Apr 21, 2009 07:53",153847
2,"""Civilized"" Turks [357 words]",Ianus,"Apr 21, 2009 15:41",153847
,peace at yurt peace at world [217 words],BERK AKK,"Apr 22, 2009 03:40",153847
1,Our dear berk is against racism but the Armenian Genocide? well that is another matter [653 words],dhimmi no more,"Apr 22, 2009 07:44",153847
2,""" Those who are not of pure Turkish stock can have only one right in this country , the right to be servants and slaves."" [1066 words]",Ianus,"Apr 22, 2009 07:50",153847
3,"An old caricature - a Turk sitting on a heap of kafirs' skulls and preaching : ""Peace at yurt, peace at world"" [1310 words]",Ianus,"Apr 23, 2009 06:53",153847
,we are your friends [98 words],berk akk,"Apr 26, 2009 14:01",153847
1,our friends? [557 words],the Grand Infidel of Kaffiristan,"Apr 27, 2009 06:53",153847
,NATO MEMBER TURKEY [271 words],berk akk,"Apr 27, 2009 07:07",153847
,BYZANTINE EMPIRE [149 words],berk akk,"Apr 27, 2009 08:36",153847
,"All is fiction without imagination, garbage words of the hypocrat and the pretender [155 words]",yasemin,"Apr 27, 2009 09:04",153847
4,"""For a Turk only a Turk can be a friend"" - a Turkish saying [900 words]",Ianus,"Apr 27, 2009 15:41",153847
1,Unless pro-Turkish reality has no right to exist [609 words],Ianus,"Apr 27, 2009 16:56",153847
1,The amazing Turks and self hate [483 words],dhimmi no more,"Apr 27, 2009 18:23",153847
2,al-nasikh wa al-mansukh and the Qur'an a book that our dear BREK cannot read in Arabic [366 words],dhimmi no more,"Apr 27, 2009 20:37",153847
,ATTIDUDES OF COUNTRIES [394 words],berk akk,"Apr 28, 2009 04:13",153847
1,"Berk akk, aren't you a Turkish imam ? [1051 words]",Ianus,"Apr 28, 2009 15:05",153847
,revisionists needed [1279 words],the Grand Infidel of Kaffiristan,"Apr 28, 2009 21:47",153847
,TURKEY AND S.ARABIA [287 words],BERK AKK,"Apr 29, 2009 02:49",153847
2,Our dear BERK and Mecca and the Byzantine Empire [104 words],dhimmi no more,"Apr 29, 2009 20:07",153847
1,Ignorance Seeking Amiability ... [344 words],Young MC,"Apr 30, 2009 02:54",153847
,commentД±ng style [69 words],berk akk,"Apr 30, 2009 15:06",153847
1,All roads lead to Allah for Turks and Saudis [1210 words],Ianus,"Apr 30, 2009 17:21",153847
1,Our dear BERK and on being clueless [321 words],dhimmi no more,"Apr 30, 2009 20:44",153847
,DEFINITION OF HOLY [307 words],BERK,"May 1, 2009 12:49",153847
,ways of commenting [28 words],BERK akk,"May 1, 2009 16:16",153847
,wrong critter [39 words],the Grand Infidel of Kaffiristan,"May 1, 2009 20:55",153847
1,Behaving Ruthless while Requesting Amiability [74 words],Young MC,"May 2, 2009 04:23",153847
2,"The Greek name ""Itsanbul"" [640 words]",Ianus,"May 2, 2009 06:09",153847
,trade volume [190 words],BERK akk,"May 2, 2009 19:24",153847
1,Fre in Germany - outcry in Turkey. Turkish barber beheaded in Saudi Arabia - secularist silence [694 words],Ianus,"May 3, 2009 08:03",153847
,Allah's patent for al-buraq [77 words],Ianus,"May 3, 2009 08:27",153847
,SLAVERY [55 words],BERK akk,"May 3, 2009 12:07",153847
,anatola [388 words],BERKA AKK,"May 3, 2009 12:41",153847
,OUR DEAR BERK [72 words],berk akk,"May 4, 2009 01:59",153847
5,"Islambul, Hittite genocide, return of Hittite Turks to Hattusha and back to Turan [1434 words]",Ianus,"May 4, 2009 06:27",153847
2,oil-gotten gains [364 words],the Grand Infidel of Kaffiristan,"May 4, 2009 21:40",153847
,BEYOND 4000 [781 words],berk akk,"May 5, 2009 05:27",153847
1,The holy revisited [653 words],dhimmi no more,"May 6, 2009 07:09",153847
3,Turkish anti-scientific masterpieces [2426 words],Ianus,"May 6, 2009 17:07",153847
,who are turks [279 words],berk akk,"May 7, 2009 08:40",153847
2,Allah's Wunderwaffe al-Buraq [691 words],Ianus,"May 8, 2009 16:58",153847
1,Our dear bERK and on being clueless part deux [225 words],dhimmi no more,"May 8, 2009 20:20",153847
1,The holy revisited part deux [561 words],dhimmi no more,"May 8, 2009 20:48",153847
,limits for personal comunication [274 words],BERKA AKK,"May 9, 2009 04:21",153847
,the fastest pie in the sky [268 words],the Grand Infidel of Kaffiristan,"May 9, 2009 08:26",153847
1,Slavery and Illiteracy [178 words],Young MC,"May 9, 2009 10:04",153847
,way of speaking [131 words],BERK AKK,"May 10, 2009 05:48",153847
,chocolate country [43 words],berk akk,"May 10, 2009 05:53",153847
,limits and Turkish happiness [846 words],Ianus,"May 10, 2009 06:12",153847
2,Our dear bERK and on being clueless part trois [185 words],dhimmi no more,"May 11, 2009 19:35",153847
1,Kemal in chocolate country [341 words],Ianus,"May 12, 2009 08:08",153847
2,Who are Turks ? [419 words],Ianus,"May 12, 2009 10:53",153847
