Terms,Title,Summary,URL
Reader offers,Reader offers,Special offers and discounts for readers of The Irish Times,//readeroffers.irishtimes.com
Travel offers,Travel Offers,"From beach holidays and city breaks, to escorted tours and cruises, our travel offers have something for everyone",//traveloffers.irishtimes.com
Dating,Irish Times Dating,Start your free membership today,//dating.irishtimes.com
"Subscriptions, digital subscriptions, standard digital subscriptions, premium digital subscriptions, premium subscriptions",Digital subscriptions,Find the subscription bundle that's right for you,//www.irishtimes.com/digital-subscriptions
"newspaper, delivery, weekend newspaper, digital subscription, print subscription",Print + Digital subscriptions,Subscribe to The Irish Times newspaper and website,//www.irishtimes.com/digital-print-subscriptions
"Home delivery, Delivery, newspaper",News delivery,Choose from a range of IrelandвЂ™s most popular newspapers and magazines delivered to your home or office before 7.30am each day. Choose the publications and delivery days that suit your requirements.,//www.newsdelivery.ie
"Digital Edition, epaper, replica edition, newspaper",ePaper,Read full editions of The Irish Times in true printed format and get all your latest news across multiple devices.,//www.irishtimes.com/epaper
"Newspaper Archive, replica",Irish Times Newspaper Archive,"Browse full issues from 1859 to present day, see all articles, photos and ads as they originally appeared",//www.irishtimes.com/archive
"Irish Times eBooks, The Best of Miriam Lord, An Irishman's diary, 25 years of Irish Life through the columns of Fintan O'Toole, Do the think we're eejits?, Ireland and Me: reflections by emigrants, Scotland's Moment - The story of the referendum, Fall of the Wall - 25 years on",Irish Times eBooks,The Irish Times eBooks offer a selection of some of the best writing from The Irish Times journalists,//www.irishtimes.com/more/ebooks
"obituaries, deaths",Obituaries,Obituaries from The Irish Times,//www.irishtimes.com/life-and-style/people/obituaries
"Memorable Moments, Birthday Books, Anniversary Books,gifts",Memorable Moments,Commemorate any special date with a beautifully recreated edition of The Irish Times from that day.,//www.memorablemoments.ie
"Sports diary 2015, Sports diary, Sports calendar 2015, Sports calendar, Sports events, fixtures",Sports Diary 2015,Browse the major sporting events of 2015,//www.irishtimes.com/sport/sports-diary-2015
