Animal,Title,Class,Phylum
Lion,Animals are Sleeping,Mammal-Land,Chordata-vertebrata
Lions,Twas the Day Before Zoo Day,Mammal-Land,Chordata-vertebrata
Lizard,Animals are Sleeping,Reptile,Chordata-vertebrata
Llamas,Twas the Day Before Zoo Day,Mammal-Land,Chordata-vertebrata
Loggerhead Sea Turtle,Carolina's Story,Reptile,Chordata-vertebrata
Loggerhead Sea Turtle,If a Dolphin Were a Fish,Reptile,Chordata-vertebrata
Loggerhead Sea Turtle,Turtle Summer,Reptile,Chordata-vertebrata
Loon,Loon Chase,Bird,Chordata-vertebrata
Magpie,The Best Nest,Bird,Chordata-vertebrata
Magpie,Moose and Magpie,Bird,Chordata-vertebrata
Manatee,ABC Safari,Mammal-Marine,Chordata-vertebrata
Manatee,If a Dolphin Were a Fish,Mammal-Marine,Chordata-vertebrata
Manatee,Water Beds,Mammal-Marine,Chordata-vertebrata
Marsh Rabbits,"Day in the Salt Marsh, A?",Mammal-Land,Chordata-vertebrata
Meadowlark,The Best Nest,Bird,Chordata-vertebrata
Meerkats,Twas the Day Before Zoo Day,Mammal-Land,Chordata-vertebrata
Mink,River Beds,,
Mole,In My Backyard,Mammal-Land,Chordata-vertebrata
Monkeys,Twas the Day Before Zoo Day,Mammal-Land,Chordata-vertebrata
Moon Snail,Turtle Summer,Uni-valve,Mollusk
Moose,Moose and Magpie,Mammal-Land,Chordata-vertebrata
Mourning dove,The Best Nest,Bird,Chordata-vertebrata
Mouse,Blackberry Banquet,,
Muskrat,Whistling Wings,,
Mussel Snail,Turtle Summer,Bi-valve,Mollusk
Nanday Conure Parrot,If You Were a Parrot,Bird,Chordata-vertebrata
Narwhal,In Arctic Waters,Mammal-Marine,Chordata-vertebrata
Newt,ABC Safari,Amphibian,Chordata-vertebrata
Northern Fur Seal,Water Beds,Mammal-Marine,Chordata-vertebrata
Northern oriole,The Best Nest,Bird,Chordata-vertebrata
Octopus,If a Dolphin Were a Fish,Cehpalopod,Mollusk
Octopus,Octavia and Her Purple Ink Cloud,Cehpalopod,Mollusk
Orca Whale,Ocean Seasons,Mammal-Marine,Chordata-vertebrata
Orca Whale,Water Beds,Mammal-Marine,Chordata-vertebrata
Owl,ABC Safari,Bird,Chordata-vertebrata
Owl,Little Skink's Tail?,Bird,Chordata-vertebrata
Owl,Animals are Sleeping,Bird,Chordata-vertebrata
Owl - Barred,Pieces of Another World,Bird,Chordata-vertebrata
Owl Butterfly,Rainforest Grew All Around,Insect,Arthropod
Oyster,"Day in the Salt Marsh, A?",Bi-valve,Mollusk
Pack Rat,Sort it Out!,,
Painted Turtle,Tudley Didn't Know,Reptile,Chordata-vertebrata
Parrotfish,Octavia and Her Purple Ink Cloud,Fish-bony,Chordata-vertebrata
Pelican,If a Dolphin Were a Fish,Bird,Chordata-vertebrata
Pelican,Turtle Summer,Bird,Chordata-vertebrata
Penguin,ABC Safari,Bird,Chordata-vertebrata
Periwinkle Snail,"Day in the Salt Marsh, A?",Uni-valve,Mollusk
Platypus,Kersplatypus,Mammal-Land,Chordata-vertebrata
Platypus,River Beds,,
Poison Dart Frog,Rainforest Grew All Around,Amphibian,Chordata-vertebrata
Polar Bear,In Arctic Waters,Mammal-marine,Chordata-vertebrata
Polar bear,Animals are Sleeping,Mammal-Marine,Chordata-vertebrata
Porcupine,In My Backyard,Mammal-Land,Chordata-vertebrata
Porcupine,Little Skink's Tail?,Mammal-Land,Chordata-vertebrata
Porcupine Fish,Octavia and Her Purple Ink Cloud,Fish-bony,Chordata-vertebrata
Puffin,Ocean Seasons,Bird,Chordata-vertebrata
Quail,ABC Safari,Bird,Chordata-vertebrata
Rabbit,Happy Birthday to Whooo?,Mammal-Land,Chordata-vertebrata
Rabbit,In My Backyard,Mammal-Land,Chordata-vertebrata
Raccoon,"Day in the Salt Marsh, A?",Mammal-Land,Chordata-vertebrata
Raccoon,In My Backyard,Mammal-Land,Chordata-vertebrata
Raccoon,Pieces of Another World,Mammal-Land,Chordata-vertebrata
Raccoon,Whistling Wings,,
Rhinoceros,ABC Safari,Mammal-Land,Chordata-vertebrata
Rhinos,Twas the Day Before Zoo Day,Mammal-Land,Chordata-vertebrata
Ring Billed Gull,Turtle Summer,Bird,Chordata-vertebrata
River Otter,"Day in the Salt Marsh, A?",Mammal-Marine,Chordata-vertebrata
River Otter,River Beds,,
Robin,The Best Nest,Bird,Chordata-vertebrata
Royal Tern,Turtle Summer,Bird,Chordata-vertebrata
Salmon,Ocean Seasons,Fish-bony,Chordata-vertebrata
Sand Dollar,Turtle Summer,Echinoidea,Echinoderms
Sanderlings,Turtle Summer,Bird,Chordata-vertebrata
Scarlet Macaw,If You Were a Parrot,Bird,Chordata-vertebrata
Screech-owl,The Best Nest,Bird,Chordata-vertebrata
Sea Gull,"Day in the Salt Marsh, A?",Bird,Chordata-vertebrata
Sea Lion,ABC Safari,Mammal-Marine,Chordata-vertebrata
Sea Otter,Ocean Seasons,Mammal-Marine,Chordata-vertebrata
Sea Otter,Water Beds,Mammal-Marine,Chordata-vertebrata
Sea Star,Turtle Summer,Asteroidea,Echinoderms
Seahorse,Happy Birthday to Whooo?,Fish-bony,Chordata-vertebrata
Seahorse,Octavia and Her Purple Ink Cloud,Fish-bony,Chordata-vertebrata
Seal,In Arctic Waters,Mammal-Marine,Chordata-vertebrata
Seal,Animals are Sleeping,Mammal-Marine,Chordata-vertebrata
Shark,If a Dolphin Were a Fish,Fish-cartilaginous,Chordata-vertebrata
Shark,Octavia and Her Purple Ink Cloud,Fish-cartilaginous,Chordata-vertebrata
Shrimp,"Day in the Salt Marsh, A?",Crustacean,Arthropod
Shrimp,Ocean Seasons,Crustacean,Arthropod
Skink,Little Skink's Tail?,Reptile,Chordata-vertebrata
Skunk,Happy Birthday to Whooo?,Mammal-Land,Chordata-vertebrata
Skunk,In My Backyard,Mammal-Land,Chordata-vertebrata
Sloth,"Rainforest Grew All Around, The?",Mammal-Land,Chordata-vertebrata
Sloth,Animals are Sleeping,Mammal-Land,Chordata-vertebrata
Snake,In My Backyard,Reptile,Chordata-vertebrata
Snakes,Twas the Day Before Zoo Day,Reptile,Chordata-vertebrata
Squirrel,In My Backyard,Mammal-Land,Chordata-vertebrata
Squirrel,Little Skink's Tail?,Mammal-Land,Chordata-vertebrata
Squirrel,Blackberry Banquet,,
Starling,The Best Nest,Bird,Chordata-vertebrata
Sting Ray,If a Dolphin Were a Fish,Fish-cartilaginous,
Terrapin,Turtles In My Sandbox,Reptile,Chordata-vertebrata
Tiger,ABC Safari,Mammal-Land,Chordata-vertebrata
Toucan,Rainforest Grew All Around,Bird,Chordata-vertebrata
Toucans,Twas the Day Before Zoo Day,Bird,Chordata-vertebrata
Tundra Swan,Whistling Wings,,
Turtles,Twas the Day Before Zoo Day,Reptile,Chordata-vertebrata
Turtles,Where Should Turtle Be?,Reptile,Chordata-vertebrata
,,,
Urchin,Ocean Seasons,Echinoidea,Echinoderms
Urial,ABC Safari,Mammal-Land,Chordata-vertebrata
Vervet or Green Monkey,Giraffe Who Was Afraid of Heights?,Mammal-Land,Chordata-vertebrata
Vulture,ABC Safari,Bird,Chordata-vertebrata
Wallaby,Kersplatypus,Mammal-Land,Chordata-vertebrata
Walrus,In Arctic Waters,Mammal-Marine,Chordata-vertebrata
Walrus,Water Beds,Mammal-Marine,Chordata-vertebrata
Water Vole,River Beds,,
Whip-poor-will,The Best Nest,Bird,Chordata-vertebrata
White-Tailed Deer,Little Skink's Tail?,Mammal-Land,Chordata-vertebrata
Wolf,ABC Safari,Mammal-Land,Chordata-vertebrata
Wolf,One Wolf Howls,Mammal-Land,Chordata-vertebrata
X-ray Fish,ABC Safari,Fish-bony,Chordata-vertebrata
Yak,ABC Safari,Mammal-Land,Chordata-vertebrata
Zebra,ABC Safari,Mammal-Land,Chordata-vertebrata
Zebras,Twas the Day Before Zoo Day,Mammal-Land,Chordata-vertebrata
Zooplankton,Ocean Seasons,varies,varies
