Sir James George Frazier,1854-1941,"anthropologist, author of The Golden Bow"
Irving Langmuir,1881-1857,Nobel prize chemist
Rumford,,
Charles Friedel,1932-1899,Chemist
James Mason Crafts,,Chemist
Johann Heinrich Lambert,1827-1777,"mathematician, physicist, astronomer, proved the irrationality of pi, hyperbolic trig functions, theorems on conics, theoretical photometry"
Joseph WIlson Swan,1828-1914,carbon-filament incandescent light
Alfred Nobel,1833-1896,"Started the Nobel prizes, with the money he made from inventing dynamite. 355 patents."
Joseph Stefan,1835-1893,blackbody radiation
Ernst Mach,1838-1916,Refused to believe in atoms
Joseph Dewar,1842-1923,"Liquified nitrogen, Dewar flask"
Charles Lapworth,1842-1920,catalogued Ordovician strata
Ludwig Boltzmann,1844-1906,statistical mechanics
Georg Cantor,1845-1918,
WIllard F. Libby,1908-1980,1960 Nobel prize for radiocarbon dating
Roland Eotvos,1848-1919,gravitational and inertial mass equivalent
Roderick Murchison,,geologist
Sir Horace Lamb,1849-1934,"math, hydrodynamics, wave theory"
Ferdinand Georg Frobenius,1849-1917,mathematician
Oliver Heaviside,1850-1925,"electromagnetism, operational calculus, vectors"
Geroge Francis FitzGerald,1851-1901,Lorentz-FitzGerald contraction for Michelson-Morley experiment
John Henry Poiynting,1852-1914,Poynting?s vector for electromagnetic waves
Henri Poincare,1854-1912,
Janne Rydberg,1854-1919,
Edwin H. Hall,1855-1938,
Heinrich Hertz,1857-1894,electromagnetism
Nikola Tesla,1857-1943,alternating current
MORETOCOME,,
Alexander Mikhailovich Liapunov,1857-1918,mathematician
Sir William Maddock Bayliss,1860-1924,physiologist
William Shirley Bayley,1861-1943,geologist
Robert Thompson Leiper,1881-,biologist
Gilbert Newton Lewis,1875-1946,Lewis acids/bases
Bronsted,,chemist
Isidor Isaac Rabi,1898-1988,1944 Nobel Magnetic resonance
Otto Stern,1888-1969,1943 Nobel - magnetic moment of a proton
Robert Shapiro,,"biochemist, wrote Origins : A Skeptics Guide to the Creation of Life on Earth"
Chandra Wickamasinghe,,
Ignaz Semmelweiss,,reduced hospital mortality by having patients wash hands in chlorinated lime
Fred Hoyle,,
Morowitz,,
Edward Jenner,1749-1823,"smallpox vaccine from cowpox. Son of a clergyman, he vaccinated many poor people for free"
Max Born,,
Silliam Smith,1769-1839,Father of English geology
Charles Laveran,1845-1922,discovered the plasmodian that causes malaria
Nicola Tesla,1832-1943,
Ernest Rutherford,1871-1933,
Georg Simon Ohm,1787-1854,
Charles de Coulomb,1736-1806,
Joseph Henry,1797-1878,
Neinrich Rudolf Hertz,1857-1894,
James Prescott Joule,1818-1889,
Ernst Mach,1838-1916,physicist who refused to believe in atoms
Glenn T. Seborg,1912-1999,Shared 1951 Nobel prize in chemistry
George Wierstrauss,,
Alessandro Volta,1745-1827,Made the first battery
James Watt,1731-1819,
William Eduard Weber,1804-1891,
Fritz Haber,,1918 Nobel prize for ammonia synthesis
de Bakey,,
Cooley,,
Paul Chu,,
Albert A. Michelson,1852-1931,Precisely measured the speed of light. Nobel (physics)
Morley,,
Willem Einthoven,1860-1927,physiologist who invented the electrocardiogram
Gotthold Ferdinand Eisenstein,1823-1852,mathematician binary quadratic forms
Walfrid Van Ikman,1874-1954,oceanographer and physicist
Christaan Eijkman,1858-1939,vitamin deficiencies
George Theobald,1859-1934,Pathology. Killed bateria cultures can give immunity
Solomon Lefschetz,1884-1972,Topology
Frederic & Irene Joliot-Curie,1900-1958 1897-1956,co-discovered artificial radioactivity
John Cockcroft,1897-1967,co-invented particle accelerator
Anton van Leeuwenhook,1632-1723,"made 250 microscopes up to 270X. First to see bacteria, protozoa, rotifers"
Tsung Dae Lee (Chinese born American),1926-,Nobel physicist
Maurice H. F. Wilkins,1916-,Shared the Nobel prize with Watson and Crick
Fermat,,corresponded with Pascal
Jack Kilby,,Nobel prize for co-inventing the transistor
Simon Newcout(sp?),1835-1909,famous astronomer who taught that heavier than air flight was impossible.
Louis-Victor de Broglie,,1929 Nobel prize in Physics
Paul Ehrenfest,,physicist and Einstein?s friend
Wheeler,,
WIlliam Gilbert,1544-1603,thought the earth is a giant magnet
Willebrod Snell,1580-1626,Snell?s Law of refraction
Joseph J. Thomson,,1906 Nobel (physics)
Conrad Lorenz,,
Johannes D. van der Waals,,1910 Nobel prize
Otto Hahn,1879-1968,1/2 1944 Nobel fission
Alexander Fleming,1881-1955,Observed penicillin
Erwin Schroedinger,1887-1961,Shared 1933 Nobel for atomic theory of wave mechanics
Wallace Hume Carothers,1896-1937,Chemist
John D. Cockroft,1897-1967,Shared 1951 Nobel transmuted elements
Patrick Maynard Stuart Blackett,1897-1974,developed the cloud chamber
Howard Walter Florey,1898-1968,co-discovered of penicillin
P.A.M. Dirac,,
Wolfgang Pauli,1900-1958,1954 Nobel Paul exclusion principle
Thomas Watson,,
Thomas R. Cech,,Shared 1989 Nobel prize for self-replicating RNA. Very careful in his speech to not say anything beyond what research demonstrates
Ernest Thomas Sinton Walton,1903-1995,Shared 1951 Nobel for transmuting elements
George Gamow (Russina-Amer.),1904-1968,nuclear reactions in stars
Otto Frisch,1904-1979,Uranium fission
(Julius) Robert Oppenheimer,1904-1967,Worked on the atom bomb
Emilio Segre,1905-1989,Shared 1959 Nobel for anti-proton
Own Chamberlain,1920-,Shared 1959 Nobel for anti-proton
Nikolai Basov (Russian),1922-2001,Theoretical basis of the maser
Lars Onsager,(1931),
Max K.E.L. Planck,,1918 Nobel prize
Neils Bohr,1885-1962,"1922 Nobel, electrons orbit in energy states"
Hubble,,
Wilhelm Roentgen,,1901 Nobel prize
Antoine Cesar Becquerel,1788-1878,electrochemistry
Alexandre Becquerel,1820-1891,
Louis Alfred Becquerel,1814-1862,
Antoine Henri Becquerel,1852-1908,Shared 1903 Nobel prize
