S. No.,Name of the Peaks,Altitude in Meter,Himal,Zone
49,Kanchenjunga (Main),8586,Kanchenjunga,Mechi
50,Kanchenjunga,8476,Kanchenjunga,Mechi
51,Kanchenjunga (South),8476,Kanchenjunga,Mechi
52,Kang guru,6981,Peri,Gandaki
53,Kangtega (Kantega),6779,Khumbu,Sagarmatha
54,Kanjeralwa,6612,Kanjiroba,Karnali
55,Kanijiroba (Main Peak),6883,Kanjiroba,Karnali
56,Khatang,6782,Rolwaling,Janakpur
57,Kangtokla,6294*,Kanjiroba,Karnali
58,Lamjung Himal,6983,Annapurna,Gandaki
59,Langsisa Ri,6427*,Jugal,Bagmati
60,Langtang Lirung,7234,Langtang,Bagmati
61,Lhotse,8516,Khumbu,Sagarmatha
62,Lhotse Shar,8400,Khumbu,Sagarmatha
63,Lobuje West,6145*,Khumbu,Sagarmatha
64,Lemgpa Peak,6954,Kanchenjunga,Mechi
65,Makalu I,8463,Mahalangur,Koshi
66,Makalu II (Kangchugtse),7678,Mahalangur,Koshi
67,Manapathi,6380*,Dhaulagiri,Dhaulagiri
68,Manaslu,8163,Mansiri,Gandaki
69,Manaslu North,7157,Mansiri,Gandaki
70,Nampa,6755,Gurans,Mahakali
71,Ngojumbakang,7743,Khumbu,Sagarmatha
72,Nilgiri Central,6940,Nilgiri,Dhaulagiri
73,Nilgiri North,7061,Nilgiri,Dhaulagiri
74,Nilgiri South,6839,Nilgiri,Dhaulagiri
75,Numbur,6957,Rolwaling,Sagarmatha
76,Nuptse,7855,Khumbu,Sagarmatha
77,Ngadi Chuli (Peak 29 Dakura),7871,Mansiri,Gandaki
78,Nampa South,6580,Byas-Rikhi,Darchula Bajhang
79,Patrasi,6450*,Patrasi,Karnali
80,Pumori,7161,Khumbu,Sagarmatha
81,Putha Hiunchuli,7246,Dhaulagiri,Dhaulagiri
82,Pathivara Chuli,7125,Kanchenjunga,Mechi
83,Pasang Lhamu Chuli (Jasamba),7351,Mahalangur Khumbu,Sagarmatha
84,Raksha Urai,6593,Urai Lekh,Bajhang
85,Ramdrong,4499*,Lamjung,Gandaki
86,Ramchaur,4499*,Kanchenjunga,Mechi
87,Ramtang,6601,Kanchenjunga,Mechi
88,Saipal,7031,Gurans/Saipal,Mahakali
89,Shantishikhar,7591,Mahalangur Khumbu,Sagarmatha
90,Shartse,7459,Khumbu,Sagarmatha
91,Sisne,5849*,Sisne,Karnali
92,Sita Chuchura,6611,Dhaulagiri,Dhaulagiri
93,"Saipal, East",6882,Saipal,Bajhang
94,Surma-Sarivar North,6523,Surma Sarovar Lekh,Bajhang
95,Sagarmatha,8848,Khumbu,Sagarmatha
96,Shey Shikar,6139*,Kanjiroba,Karnali
97,Tawoche,6501,Khumbu,Sagarmatha
98,Thamserku,6230*,Khumbu,Sagarmatha
99,Tilicho Peak,7134,Annapurna,Gandaki
100,Tukuche Peak,6920,Dhaulagiri,Dhaulagiri
101,Tripura Hiunchuli (Hanging Glacier Peak),6563,Kanjiroba,Karnali
102,Tso Jarpo,6518,Kanjiroba,Dolpa
103,Tarke Kang,7193,Annapurna,Gandaki
104,Tengkoma,6215*,Kanchenjunga,Mechi
105,Varaha Shikar(Fang),7647,Annapurna,Dhaulagiri
106,Yalung Kang,8505,Kanchenjunga,Mechi
107,Yala,5732*,Langtang,Bagmati
