Title,Director(s),Released,Rating,View Date,Amazon
"I, Robot",Alex Proyas,2004,,2007-04-29,Buy It
Idiocracy,Mike Judge,2006,,2007-10-31,Buy It
In Good Company,Paul Weitz,2004,,2008-03-22,Buy It
An Inconvenient Truth,Davis Guggenheim,2006,,2007-01-20,Buy It
The Incredibles,Brad Bird,2004,,2004-11-13,Buy It
Indiana Jones and the Kingdom of the Crystal Skull,Steven Spielberg,2008,,2008-05-31,Buy It
The Informant!,Steven Soderbergh,2009,,2009-09-20,Buy It
Inglourious Basterds,Quentin Tarantino,2009,,2009-08-22,Buy It
The Insider,Michael Mann,1999,,2010-12-29,Buy It
Into the Wild,Sean Penn,2007,,2010-09-11,Buy It
The Invention of Lying,"Ricky Gervais, Matthew Robinson",2009,,2009-10-23,n/a
Iron Man,Jon Favreau,2008,,2008-11-27,Buy It
Jane Goodall's Wild Chimpanzees,David Lickley,2002,,2004-01-21,Buy It
Juno,Jason Reitman,2007,,2008-01-06,Buy It
Jurassic Park,Steven Spielberg,1993,,unknown,Buy It
Jurassic Park III,Joe Johnston,2001,,2001-07-19,Buy It
Kick-Ass,Matthew Vaughn,2010,,2010-05-15,n/a
"Kill Bill, Volume 1",Quentin Tarantino,2003,,unknown,Buy It
"Kill Bill, Volume 2",Quentin Tarantino,2004,,unknown,Buy It
King Kong,Peter Jackson,2005,,2006-01-01,Buy It
King of the Hill,Steven Soderbergh,1993,,2007-03-10,Buy It
The King's Speech,Tom Hooper,2010,,2011-05-05,Buy It
Kiss Kiss Bang Bang,Shane Black,2005,,2008-07-13,Buy It
Knocked Up,Judd Apatow,2007,,2007-06-01,Buy It
Kung Fu Hustle,Stephen Chow,2004,,2007-03-30,Buy It
Labyrinth,Jim Henson,1986,,2005-08-29,Buy It
Lars and the Real Girl,Craig Gillespie,2007,,2009-12-20,Buy It
Little Miss Sunshine,"Jonathan Dayton, Valerie Faris",2006,,2007-01-13,Buy It
The Lives of Others,Florian Henckel von Donnersmarck,2006,,2008-03-29,Buy It
"Lock, Stock and Two Smoking Barrels",Guy Ritchie,1998,,2007-07-20,Buy It
Lord of War,Andrew Niccol,2005,,2005-09-24,Buy It
Lost in Translation,Sofia Coppola,2003,,unknown,Buy It
The Lost World: Jurassic Park,Steven Spielberg,1997,,unknown,Buy It
Love Actually,Richard Curtis,2003,,unknown,Buy It
The Machinist,Brad Anderson,2004,,2009-01-19,Buy It
Mad Hot Ballroom,Marilyn Agrelo,2005,,2006-11-11,Buy It
Malibu's Most Wanted,John Whitesell,2003,,2006-01-22,Buy It
Man on Fire,Tony Scott,2004,,2007-11-24,Buy It
Man on Wire,James Marsh,2008,,2009-09-12,Buy It
The Manchurian Candidate,Jonathan Demme,2004,,2005-11-12,Buy It
Matchstick Men,Ridley Scott,2003,,2010-10-29,Buy It
The Matrix,"Andy Wachowski, Larry Wachowski",1999,,unknown,Buy It
The Matrix Reloaded,"Andy Wachowski, Larry Wachowski",2003,,2003-08-21,Buy It
The Matrix Revolutions,"Andy Wachowski, Larry Wachowski",2003,,2003-11-05,Buy It
Mean Girls,Mark Waters (VIII),2004,,2005-03-19,Buy It
Meet the Fockers,Jay Roach,2004,,2006-01-01,Buy It
Memento,Christopher Nolan,2000,,2007-12-01,Buy It
Metallica: Some Kind of Monster,"Joe Berlinger, Bruce Sinofsky",2004,,2006-07-11,Buy It
Michael Clayton,Tony Gilroy,2007,,2008-03-29,Buy It
Million Dollar Baby,Clint Eastwood,2004,,2010-07-05,Buy It
Minority Report,Steven Spielberg,2002,,unknown,Buy It
Miracle,Gavin O'Connor,2004,,unknown,Buy It
Mission: Impossible III,J.J. Abrams,2006,,2008-12-27,Buy It
Monster House,Gil Kenan,2006,,2007-08-11,Buy It
Monster-in-Law,Robert Luketic,2005,,2007-12-15,Buy It
Monty Python and the Holy Grail,"Terry Gilliam, Terry Jones",1975,,2008-11-26,Buy It
The Motorcycle Diaries,Walter Salles,2004,,2006-09-15,Buy It
Mr. & Mrs. Smith,Doug Liman,2005,,2005-06-11,Buy It
"Mr. Death: The Rise and Fall of Fred A. Leuchter, Jr.",Errol Morris,1999,,2011-04-16,Buy It
Mr. Holland's Opus,Stephen Herek,1995,,unknown,Buy It
Muppet Treasure Island,Brian Henson,1996,,2009-05-02,Buy It
Murderball,"Henry Alex Rubin, Dana Adam Shapiro",2005,,2007-02-05,Buy It
Napoleon Dynamite,Jared Hess,2004,,2005-03-18,Buy It
National Lampoons: Animal House,John Landis,1978,,unknown,Buy It
Nick and Norah's Infinite Playlist,Peter Sollett,2008,,2009-09-12,Buy It
The Nightmare Before Christmas,Henry Selick,1993,,2007-11-03,Buy It
9,Shane Acker,2009,,2009-09-13,Buy It
No Country for Old Men,"Ethan Coen, Joel Coen",2007,,2008-01-12,Buy It
North by Northwest,Alfred Hitchcock,1959,,unknown,Buy It
Ocean's Eleven,Steven Soderbergh,2001,,2002-01-08,Buy It
Ocean's Thirteen,Steven Soderbergh,2007,,2008-02-22,Buy It
Ocean's Twelve,Steven Soderbergh,2004,,2008-01-26,Buy It
Office Space,Mike Judge,1999,,unknown,Buy It
Old School,Todd Phillips,2003,,2006-03-11,Buy It
Oldboy,Chan-wook Park,2003,,2008-07-05,Buy It
Once,John Carney,2007,,2011-02-19,Buy It
One Flew Over the Cuckoo's Nest,Milos Forman,1975,,2007-11-24,Buy It
The Other Guys,Adam McKay,2010,,2011-09-09,Buy It
Pan's Labyrinth,Guillermo del Toro,2006,,2008-02-04,Buy It
Panic Room,David Fincher,2002,,unknown,Buy It
Patton,Franklin J. Schaffner,1970,,2006-08-18,Buy It
Pi,Darren Aronofsky,1998,,2007-02-17,Buy It
Pineapple Express,David Gordon Green,2008,,2009-02-07,Buy It
Pirates of the Caribbean: At World's End,Gore Verbinski,2007,,2007-05-28,Buy It
Pirates of the Caribbean: Dead Man's Chest,Gore Verbinski,2006,,2006-08-05,Buy It
Pirates of the Caribbean: The Curse of the Black Pearl,Gore Verbinski,2003,,2003-08-30,Buy It
The Pixar Story,Leslie Iwerks,2007,,2011-06-28,n/a
Predator,John McTiernan,1987,,2011-03-19,Buy It
The Prestige,Christopher Nolan,2006,,2007-08-07,Buy It
Pretty Woman,Garry Marshall,1990,,2008-04-20,Buy It
Pride & Prejudice,Joe Wright,2005,,2005-12-11,Buy It
Primer,Shane Carruth,2004,,2006-07-02,Buy It
The Producers,Susan Stroman,2005,,2006-05-17,Buy It
The Producers,Mel Brooks,1968,,2005-09-03,Buy It
Public Enemies,Michael Mann,2009,,2009-07-04,n/a
Pulp Fiction,Quentin Tarantino,1994,,2005-07-11,Buy It
Punch-Drunk Love,Paul Thomas Anderson,2002,,unknown,Buy It
The Pursuit of Happyness,Gabriele Muccino,2006,,2008-05-24,Buy It
Quantum of Solace,Marc Forster,2008,,2008-12-14,Buy It
The Queen,Stephen Frears,2006,,2007-01-21,Buy It
Queen of the Damned,Michael Rymer,2002,,unknown,Buy It
The Quiet Man,John Ford,1952,,2009-09-26,Buy It
Rachel Getting Married,Jonathan Demme,2008,,2009-03-20,Buy It
Raising Arizona,Joel Coen,1987,,2010-04-26,Buy It
Ralph Nader: An Unreasonable Man,"Henriette Mantel, Steve Skrovan",2006,,2008-01-20,Buy It
Ratatouille,"Brad Bird, Jan Pinkava",2007,,2007-11-28,Buy It
The Reader,Stephen Daldry,2008,,2011-04-21,Buy It
Rear Window,Alfred Hitchcock,1954,,2005-10-30,Buy It
Red Dragon,Brett Ratner,2002,,2007-10-14,Buy It
Reindeer Games,John Frankenheimer,2000,,unknown,Buy It
Reservoir Dogs,Quentin Tarantino,1992,,2006-05-27,Buy It
Restrepo,"Tim Hetherington, Sebastian Junger",2010,,2011-02-14,Buy It
The Road,John Hillcoat,2009,,2011-08-06,Buy It
Road House,Rowdy Herrington,1989,,2006-12-29,Buy It
Road to Perdition,Sam Mendes,2003,,unknown,Buy It
Rumor Has It,Rob Reiner,2005,,2006-06-25,Buy It
Running with Scissors,Ryan Murphy,2006,,2008-01-17,Buy It
Sabrina,Billy Wilder,1954,,2006-05-01,Buy It
Saved!,Brian Dannelly,2004,,2005-07-08,Buy It
Saving Private Ryan,Steven Spielberg,1998,,unknown,Buy It
A Scanner Darkly,Richard Linklater,2006,,2006-07-13,Buy It
Schindler's List,Steven Spielberg,1993,,unknown,Buy It
Seabiscuit,Gary Ross,2003,,unknown,Buy It
The Secret of NIMH,Don Bluth,1982,,2009-03-22,Buy It
The Sentinel,Clark Johnson,2006,,2007-07-06,Buy It
Se7en,David Fincher,1995,,unknown,Buy It
Shaun of the Dead,Edgar Wright,2004,,2006-07-03,Buy It
Sherlock Holmes,Guy Ritchie,2009,,2009-12-27,n/a
The Shining,Stanley Kubrick,1980,,2006-07-28,Buy It
Sideways,Alexander Payne,2004,,2005-07-20,Buy It
The Silence of the Lambs,Jonathan Demme,1991,,2006-06-24,Buy It
Simone,Andrew Niccol,2002,,unknown,Buy It
Sin City,"Robert Rodriguez, Frank Miller",2000,,2005-04-01,Buy It
A Single Man,Tom Ford,2009,,2010-08-01,Buy It
The Sixth Sense,M. Night Shyamalan,1999,,unknown,Buy It
Sleepless in Seattle,Nora Ephron,1993,,2007-09-02,Buy It
Slumdog Millionaire,"Danny Boyle, Loveleen Tandan",2008,,2009-04-25,Buy It
The Social Network,David Fincher,2010,,2011-05-14,Buy It
"South Park: Bigger, Longer, and Uncut",Trey Parker,1999,,unknown,Buy It
Space Cowboys,Clint Eastwood,2000,,2008-01-05,Buy It
Spanglish,James L. Brooks,2004,,2005-06-24,Buy It
Sphere,Barry Levinson,1998,,2006-01-07,Buy It
Spider-Man,Sam Raimi,2002,,unknown,Buy It
Spider-Man 2,Sam Raimi,2004,,2004-08-01,Buy It
Spider-Man 3,Sam Raimi,2007,,2007-05-06,Buy It
Star Wars: Episode III - Revenge of the Sith,George Lucas,2005,,2005-05-27,Buy It
State of Play,Kevin Macdonald,2009,,2009-05-10,n/a
The Stepford Wives,Frank Oz,2004,,2004-06-11,Buy It
The Story of Us,Rob Reiner,1999,,unknown,Buy It
Stranger Than Fiction,Marc Forster,2006,,2007-08-28,Buy It
Super Troopers,Jay Chandrasekhar,2001,,2005-12-26,Buy It
Superbad,Greg Mottola,2007,,2007-08-25,Buy It
Superman Returns,Bryan Singer,2006,,2006-07-03,Buy It
Sweeney Todd: The Demon Barber of Fleet Street,Tim Burton,2007,,2007-12-18,Buy It
Sweet Home Alabama,Andy Tennant,2002,,unknown,Buy It
Syriana,Stephen Gaghan,2005,,2006-07-31,Buy It
Taken,Pierre Morel,2008,,2009-06-13,Buy It
Talladega Nights: The Ballad of Ricky Bobby,Adam McKay,2006,,2006-08-26,Buy It
Taxi Driver,Martin Scorsese,1976,,2010-04-30,Buy It
Team America: World Police,Trey Parker,2004,,2008-04-02,Buy It
Terminator Salvation,McG,2009,,2009-05-23,n/a
Thank You for Smoking,Jason Reitman,2005,,2006-11-24,Buy It
The Cooler,Wayne Kramer,2003,,2009-03-01,Buy It
There Will Be Blood,Paul Thomas Anderson,2007,,2008-05-03,Buy It
This Is Spinal Tap,Rob Reiner,1984,,2007-11-21,Buy It
Three Kings,David O. Russell,1999,,unknown,Buy It
The Town,Ben Affleck,2010,,2011-08-27,Buy It
Trading Places,John Landis,1983,,2008-03-05,Buy It
Training Day,Antoine Fuqua,2001,,2010-12-27,Buy It
Trinity and Beyond,Peter Kuran,1995,,2006-09-12,Buy It
TRON: Legacy,Joseph Kosinski,2010,,2011-01-07,Buy It
Tropic Thunder,Ben Stiller,2008,,2010-02-06,Buy It
12 Monkeys,Terry Gilliam,1995,,2008-04-19,Buy It
Twilight,Catherine Hardwicke,2008,,2009-04-18,Buy It
Up,"Pete Docter, Bob Peterson",2009,,2010-05-29,Buy It
Up in the Air,Jason Reitman,2009,,2010-12-27,Buy It
V for Vendetta,James McTeigue,2005,,2007-02-09,Buy It
Valkyrie,Bryan Singer,2008,,2011-04-09,Buy It
Vanilla Sky,Cameron Crowe,2001,,unknown,Buy It
Vertigo,Alfred Hitchcock,1958,,2006-12-29,Buy It
Wag the Dog,Barry Levinson,1997,,2005-10-06,Buy It
Waking Sleeping Beauty,Don Hahn,2009,,2010-12-18,Buy It
Walk Hard: The Dewey Cox Story,Jake Kasdan,2007,,2010-03-27,Buy It
Walk the Line,James Mangold,2005,,2006-09-04,Buy It
WALL-E,Andrew Stanton,2008,,2009-01-10,Buy It
Wallace & Gromit in The Curse of the Were-Rabbit,"Steve Box, Nick Park",2005,,2006-04-02,Buy It
The War of the Worlds,Byron Haskin,1953,,2007-10-20,Buy It
War of the Worlds,Steven Spielberg,2005,,2005-07-04,Buy It
Watchmen,Zack Snyder,2009,,2009-03-07,Buy It
Wedding Crashers,David Dobkin,2005,,2006-07-01,Buy It
What's Eating Gilbert Grape,Lasse Hallstr?m,1993,,2006-07-25,Buy It
The World's Fastest Indian,Roger Donaldson,2005,,2006-08-12,Buy It
The Wrestler,Darren Aronofsky,2008,,2010-03-23,Buy It
