World rank,City,Country,City population,Metro population,Mayor
n/r,Aachen,Germany,"259,000","1,240,000",Marcel Philipp
n/r,Braunschweig,Germany,"246,000",,Gert Hoffmann
n/r,Chemnitz,Germany,"243,000","1,082,000",Barbara Ludwig
n/r,Krefeld,Germany,"236,000",,Gregor Kathstede
n/r,Halle,Germany,"233,000",,Dagmar Szabados
n/r,Magdeburg,Germany,"230,000",,Lutz Trümper
n/r,Freiburg,Germany,"220,000",,Dieter Salomon
n/r,Oberhausen,Germany,"216,000",,Klaus Wehling
n/r,Lübeck,Germany,"211,000",,Bernd Saxe
n/r,Erfurt,Germany,"203,000",,Andreas Bausewein
n/r,Rostock,Germany,"201,000",,Roland Methling
192,ACCRA,Ghana,"1,605,000","2,756,000",Alfred Vanderpuije
216,Kumasi,Ghana,"1,500,000","2,500,000",Samuel Sarpong
518,ATHENS,Greece,"757,000","3,216,000",Giorgos Kaminis
n/r,Thessaloniki,Greece,"407,000","798,000",Vasilis Papageorgopoulos
372,GUATEMALA CITY,Guatemala,"1,090,000","2,564,000",Alvaro Arzú
145,CONAKRY,Guinea,"1,931,000",,Mamadou Wasco Camara
376,PORT-AU-PRINCE,Haiti,"1,083,000","1,728,000",Jean Yves Jason
326,Tegucigalpa,Honduras,"1,200,000","1,324,000",Ricardo Alvarez
175,BUDAPEST,Hungary,"1,712,000","2,503,000",István Tarlós
3,Mumbai (Bombay),India,"13,900,000","21,200,000",Shraddha Jadhav
5,DELHI,India,"12,100,000","16,713,000",Kanwar Sain
33,Bangalore,India,"5,840,000","6,562,000",SK Nataraj
34,Surat,India,"5,390,000","6,347,000",Rajendra Desai
36,Kolkata,India,"5,100,000","15,420,000",Bikash Ranjan Bhattacharya
44,Chennai,India,"4,600,000","7,330,000",M Subramaniam
45,Ahmadabad,India,"4,525,000","6,168,000",Kanaji Thakor
60,Hyderabad,India,"3,637,000","6,290,000",Banda Karthika Reddy
71,Pune,India,"3,337,000","4,470,000",Mohansingh Rajpal
75,Kanpur,India,"3,100,000","4,865,000",Ravindra Patani
78,Jaipur,India,"3,050,000","5,690,000",Jyoti Khandelwal
85,Durg,India,"2,810,000",,Dr Shiv Kumar Tamer
117,Nagpur,India,"2,420,000",,Archana Dehankar
121,Lucknow,India,"2,342,000","2,686,000",Dinesh Sharma
147,Indore,India,"1,912,000","1,920,000",Krishna Murari Moghe
160,Patna,India,"1,800,000","2,500,000",GhanShyam Kumar
184,Agra,India,"1,650,000","1,800,000",Anjula Singh Mahaur
190,Nashik,India,"1,620,000",,Nayana Gholap
213,Pimpri Chinchwad,India,"1,515,000",,Yogesh Behl
219,Vadodara,India,"1,500,000","3,642,000",Balakrishna Shukla
231,Bhopal,India,"1,458,000","1,600,000",Krishna Gaur
256,Ludhiana,India,"1,400,000","4,400,000",n/k
268,Thane,India,"1,375,000",,Ashjok Vaity
269,Varanasi,India,"1,375,000","3,150,000",Kaushalendra Singh
283,Rajkot,India,"1,336,000",,Sandhya Vyas
298,Ranchi,India,"1,290,000",,Rama Khalkho
306,Meerut,India,"1,277,000",,n/k
320,Allahabad,India,"1,215,000","1,250,000",Jitendr Nath Singh
329,Amritsar,India,"1,195,000","1,300,000",Shawet Malik
339,Aurangabad,India,"1,168,000",,Vijaya Rahatkar
351,Solapur,India,"1,134,000",,Aruna Vakase
355,Madurai,India,"1,130,000",,Thenmozhi Gopinathan
358,Jabalpur,India,"1,117,000","1,150,000",Prabhat Sahu
370,Mirat,India,"1,095,000","1,095,000",n/k
383,Dhanbad,India,"1,065,000","1,200,000",n/k
387,Faridabad,India,"1,055,000","2,193,000",n/k
406,Haora,India,"1,008,000",,Sri Gopal Mukherjee
407,Haora,India,"1,008,000","1,020,000",Sri Gopal Mukherjee
408,Jodhpur,India,"1,007,000",,Om Kumari Gehlot
420,Ghaziabad,India,"970,000",,Damyanti Goel
421,Visakhapatnam,India,"970,000","1,330,000",B N Vishnu
428,Vijayawada,India,"957,000","1,150,000",Ratna Bindu
433,Coimbatore,India,"931,000","1,446,000",R.Venkatachalam
440,Srinagar,India,"915,000","1,050,000",Salman Sagar
449,Chandigarh,India,"901,000",,n/k
455,Sholapur,India,"890,000","890,000",n/k
488,Thiruvananthapuram,India,"810,000","955,000",C Jayan Babu
492,Guwahati,India,"808,000","820,000",Dolly Borah
498,Hubli,India,"801,000","801,000",n/k
501,Mysore,India,"799,000",,Purushotham
517,Tiruchchirappalli,India,"760,000","863,000",n/k
532,Jalandhar,India,"714,000","764,000",n/k
542,Gwalior,India,"690,000","866,000",Sameeksha Gupta
549,Aligarh,India,"680,000","1,116,000",n/k
552,Amravati,India,"678,000","1,031,000",n/k
559,Bhubaneswar,India,"659,000","1,455,000",n/k
563,Jamshedpur,India,"630,000","1,135,000",n/k
583,Bhilai,India,"564,000","942,000",n/k
n/r,Kozhikode,India,"437,000",,M. Bhaskaran
11,JAKARTA,Indonesia,"10,100,000","24,100,000",Fauzi Bowo
77,Surabaya,Indonesia,"3,100,000","3,700,000",Bambang D H
106,Bandung,Indonesia,"2,510,000","3,829,000",Dada Rosada
141,Medan,Indonesia,"1,990,000","2,390,000",Rahudman Harahap
195,Palembang,Indonesia,"1,600,000",,Eddy Santana Putra
203,Tangerang,Indonesia,"1,545,000",,Wahidin Halim
259,Semarang,Indonesia,"1,393,000","1,400,000",Soemarmo HS
338,Ujung Pandang,Indonesia,"1,170,000","1,254,000",n/k
360,Makasar,Indonesia,"1,113,000",,Ilham Arief Sirajuddin
460,Bogor,Indonesia,"866,000",,Diani Budiarto
481,Padang,Indonesia,"820,000","900,000",Fauzi Bahar
522,Bandar Lampung,Indonesia,"743,000","1,123,000",n/k
523,Malang,Indonesia,"742,000","921,000",n/k
600,Surakarta,Indonesia,"533,000","857,000",n/k
n/r,Denpasar,Indonesia,"491,000","934,000",n/k
n/r,Yogyakarta,Indonesia,"417,000","840,000",n/k
n/r,Mataram,Indonesia,"330,000","1,081,000",n/k
n/r,Cirebon,Indonesia,"319,000","926,000",n/k
n/r,Tegal,Indonesia,"238,000","784,000",n/k
16,TEHRAN,Iran,"8,430,000","13,450,000",Mohammad Bagher Ghalibaf
81,Mashhad,Iran,"2,910,000","3,000,000",Mohammad Pejman
197,Esfahan,Iran,"1,584,000","2,600,000",Morteza Saqaeian Nejad
248,Tabriz,Iran,"1,420,000",,Alireza Novin
264,Karaj,Iran,"1,380,000",,n/k
282,Ahwaz,Iran,"1,338,000","1,500,000",Saeed Mombeini
318,Shiraz,Iran,"1,228,000","1,300,000",Mehran E'temad
393,Qom,Iran,"1,042,000",,n/k
477,Kermanshah,Iran,"823,000","966,000",n/k
32,Baghdad,Iraq,"6,050,000","6,500,000",Sabir al-Issawi
168,Basrah,Iraq,"1,760,000","3,800,000",Jabbar Jaber Al-Latif
295,Irbil,Iraq,"1,294,000","1,5000,000",n/k
348,Mosul,Iraq,"1,139,000","1,139,000",n/k
n/r,Dublin,Ireland,"506,000","1,661,000",Emer Costello
514,Jerusalem,Israel,"764,000","1,029,000",Nir Barkat Nazareth
n/r,TEL AVIV,Israel,"383,000","3,250,000",Ron Huldai
n/r,Haifa,Israel,"276,000","975,000",Yona Yahav
90,ROME,Italy,"2,732,000","3,555,000",Gianni Alemanno
289,Milan,Italy,"1,302,000","4,051,000",Letizia Moratti
423,Naples,Italy,"963,000","3,000,000",Rosa Russo Jervolino
442,Turin,Italy,"910,000","1,617,000",Sergio Chiamparino
546,Palermo,Italy,"684,000","947,000",Diego Cammarata
n/r,Florence,Italy,"375,000","825,000",Matteo Renzi
n/r,Catania,Italy,"337,000","831,000",n/k
56,Abidjan,Ivory Coast,"3,800,000","4,000,000",Pierre Djédji Amondji
n/r,Bouakt,Ivory Coast,"531,000","775,000",n/k
562,KINGSTON,Jamaica,"650,000","925,000",n/k
15,TOKYO,Japan,"8,653,000","31,036,000",Shintaro Ishihara
59,Yokohama,Japan,"3,655,000",,Fumiko Hayashi
95,Osaka,Japan,"2,647,000","17,590,000",Kunio Hiramatsu
125,Nagoya,Japan,"2,260,000","9,250,000",Takashi Kawamura
148,Sapporo,Japan,"1,906,000","2,130,000",Fumio Ueda
206,Kobe,Japan,"1,534,000","1,560,000",Tatsuo Yada
227,Kyoto,Japan,"1,466,000","1,500,000",Daisaku Kadokawa
234,Fukuoka,Japan,"1,450,000","2,230,000",Hiroshi Yoshida
261,Kawasaki,Japan,"1,390,000","1,450,000",Takao Abe
334,Saitama,Japan,"1,183,000",,Hayato Shimizu
336,Hiroshima,Japan,"1,174,000","1,700,000",Tadatoshi Akiba
396,Sendai,Japan,"1,032,000","1,300,000",Emiko Okuyama
418,Kitakyushu,Japan,"985,000","1,050,000",Kenji Kitahashi
424,Chiba,Japan,"962,000","970,000",Toshihito Kumagai
470,Sakai,Japan,"836,000",,Keisuke Kiharac
482,Hamamatsu,Japan,"815,000","1,093,000",Yasutomo Suzuki
486,Niigata,Japan,"812,000",,Akira Shinoda
530,Shizuoka,Japan,"718,000","1,211,000",Zenkichi Kojima
539,Okayama,Japan,"700,000","1,250,000",Shigeo Takaya
n/r,Okinawa,Japan,"129,000",,Kita Kurose
146,AMMAN,Jordan,"1,919,000","2,524,000",Omar Maani
244,ALMATY,Kazakhstan,"1,420,000","1,500,000",Akhmetzhan Yesimov
496,ASTANA,Kazakhstan,"803,000",,Imangali Tasmagambetov
458,Mombasa,Kenia,"880,000",,Ahmed Abubakar Mohdhar
74,NAIROBI,Kenya,"3,130,000","3,300,000",Geoffrey Majiwa
n/r,KUWAIT CITY,Kuwait,"96,000","2,380,000",n/k
513,BISHKEK,Kyrgyzstan,"765,000","800,000",Nariman Tuleyev
n/r,Osh,Kyrgyztan,"230,000",,Melis Myrzakmatov
528,RIGA,Latvia,"725,000","878,000",Nils Usakovs
309,BEIRUT,Lebanon,"1,250,000","2,600,000",Abdel Mounim Ariss
594,MONROVIA,Liberia,"543,000","1,010,000",Ophelia Hoff Saytumah
179,TRIPOLI,Libya,"1,683,000","2,270,000",Abdullatif Abdulrahman Aldaali
226,Benghazi,Libya,"1,471,000","1,500,000",n/k
593,VILNIUS,Lithuania,"545,000",,Vilius Navickas
