Body of Water,Alternate Name,Location
Dingley Pond (Upper),,T04 R05 NBKP
Dixon Pond,,Pierce Pond Twp
Dole Pond,,Dole Brook Twp
Dority Pond,,Hammond Twp
Dubois Pond,,Prentiss Twp
Duncan Pond,,Prentiss Twp
Durgin Pond,,Johnson Mountain
East Pond,,Smithfield
Ellis Pond,,Chase Stream Twp
Embden Pond,,Embden
Enchanted Pond,,Upper Enchanted Twp
Enchanted Pond (Little),,Upper Enchanted Twp
Everett Pond,,King and Bartlett Twp
Fahi Pond,,Embden
Felker Pond,,King and Bartlett Twp
Fernald Pond,,Pierce Pond Twp
Fish Pond,,Thorndike Twp
Fish Pond,,Moxie Gore
Fish Pond (Big),,Holeb Twp
Fish Pond (Little),,Holeb Twp
Fish Pond (Little),,Alder Brook Twp
Fisher Pond,,T04 R05 NBKP
Flagstaff Lake,Dead River Flowage,Flaggstaff Twp
Fogg Pond,,Long Pond Twp
Foley Pond,,Comstock Twp
Foley Pond #1 (Little),,T04 R18 Twp
Frost Pond,,T04 R05 NBKP
Frypan Pond,,Squaretown Twp
Gammon Pond,,"Freeman Twp., New Portland"
Gilman Pond,,Lexington Twp
Gordon Pond,,Upper Enchanted Twp
Gordon Pond (Little),,Lower Enchanted Twp
Grace Pond,,Upper Enchanted Twp
Grass Pond,,Pierce Pond Twp
Grassy Pond,,Holeb Twp
Grenier Pond (Big),,T04 R05 NBKP
Hale Pond,,Alder Brook Twp
Halfmoon Pond,,St Albans
Hall Pond,,Prentiss Twp
Hancock Pond,,Embden
Heald Pond,,Caratunk
Heald Pond (Little),,Caratunk
Heald Pond,,Moose River
Helen Pond,,Pierce Pond Twp
High Pond,,Pierce Pond Twp
Hill Pond,,T04 R05 NBKP
Holeb Pond,,Holeb Twp
Horseshoe Pond,,East Moxie Twp
Horseshoe Pond,,Parlin Pond Twp
Horseshoe Pond,,Pierce Pond Twp
Horseshoe Pond,,Chase Stream Twp
Horseshoe Pond,,T03 R05 BKP WKR
Hurricane Pond,,T05 R20 WELS
Huston Brook Pond,,Dead River Twp
Hutch Pond,,Hammond Twp
Indian Pond,,Lexington Twp
Indian Pond,,Indian Stream Twp
Indian Pond (Big),,St Albans
Little Indian Pond,,Squaretown Twp
Indian Pond (Little),,St. Albans
Iron Pond,,Hobbstown Twp
Ironbound Pond,,Alder Brook Twp
Island Pond,,Chase Stream Twp
Jackson Pond,,Concord Twp
Jewett Pond,,Pleasant Ridge Plt
Jones Pond,,Bald Mountain Twp T04 R03
Kilgore Pond,,Pierce Pond Twp
Kilgore Pond (Upper),,Pierce Pond Twp
King & Bartlett Lake,,King and Bartlett Twp
King Lake (Little),,King & Bartlett Twp
King Pond,,Bowtown Twp
Kingsbury & Mayfield Ponds,,Mayfield Twp
Knights Pond,,Squaretown Twp
Ladd Pond,,Mercer
Lake George,,Canaan
Lane Pond,,Comstock Twp
Lane Pond (Little),,Hammond Twp
Lang Pond & Little Lang Pond,,Parlin Pond Twp
Lily Pond,Merrill Pond,Concord Twp
Long Pond,Little Long Pond,Chase Stream Twp
Long Pond,Martin Pond,The Forks Plt
Long Pond,,Long Pond Twp
Long Pond,,Forsyth Twp
Long Pond,,Taunton & Raynham
Long Pond,,King & Bartlett Twp
Long Pond,,Dole Brook Twp
Loon Pond,,Attean Twp
Loon Stream Deadwater,,Saint John Twp
Lost Pond,,Pleasant Ridge Plt
Lost Pond,,Russell Pond Twp
Lost Pond,,T03 R05 BKP WKR
Luther Pond,,Thorndike Twp
MacDougall Pond,,Caratunk
Mary Petuche Pond,,Prentiss Twp
Martin Pond,Long Pond,The Forks Plt
Mayfield Pond,,Brighton Plt
McKenney Pond,,Holeb Twp
Mill Pond,Clear Pond,Pleasant Ridge Plt
Misery Pond,,Misery Twp
Misery Pond (Upper),,Misery Twp
Moore Pond,,Bradstreet Twp
Moose Pond,,Hartland
Moose Pond,,Bowtown Twp
Morrill Pond,,Hartland
Mosquito Pond,,The Forks Plt
Mosquito Pond (Little),,The Forks Plt
Mountain Dimmick Pond,,Caratunk
Moxie Pond,,East Moxie Twp
Moxie Pond (Little),,East Moxie Twp
Oaks Pond,,Skowhegan
Ossie Pond,,Bald Mountain Twp
Otter Pond,,Bowtown Twp
Otter Pond,,Sandwich Academy Grant
Otter Pond (Little),,Sandwich Academy Grant
Otter Pond (North),,Bowtown Twp
Palmer Pond,,Mayfield Twp
Parker Pond,,T03 R05 BKP WKR
Parlin Pond,,Parlin Pond Twp
Penobscot Lake,,Dole Brook Twp
Pickerel Pond,,Pierce Pond Twp
Pierce Pond,,Pierce Pond Twp
Pleasant Pond,,Caratunk
Rancourt Pond,,Dennistown Plt
Ripley Pond,,Ripley
Robinson Pond,,Caratunk
Rock Pond,,T05 R06 BKP WKR
Roderique Pond,,Rockwood Strip-West
Round Pond,,Squaretown Twp
Round Pond,,Chase Stream Twp
Rowe Pond,,Pleasant Ridge Plt
Rowell Pond,,Solon
Russell Pond,,Russell Pond Twp
Safford Pond,,Lexington
Saint Francis Lake,,T08 R16 WELS
Saint John Lake (Little),,T05 R20 WELS
Saint John Pond (Fifth),,T05 R17 WELS
Saint John Pond (Fourth),,T05 R17 WELS
Saint John Pond (Second),,T04 R17 WELS
Saint John Pond (Third),,T04 R17 WELS
Saint John Pond (Upper & Lower First),,T04 R17 WELS
Sandy Pond,,Embden
Seboomook Lake,,Seboomook Twp
Shaw Pond,,T03 R04 BKP WKR
Shaw (Lower),Parker Pond,T03 R04 BKP WKR
Sibley Pond,,Canaan
Smith Pond,Weeks Pond,Brighton Plt
Smith Pond,,Forsythe Twp
Smith Pond,,Parlin Pond Twp
Spaulding Pond,,Dole Brook Twp
Spectacle Pond,,King and Bartlett Twp
Spencer Lake,,Hobbstown Twp
Spencer Pond,,T04 R18 Twp
Split Rock Pond,,Pierce Pond Twp
Spring Lake,,T03 R04 BKP WKR
Spruce Pond,,Lexington Twp
Stafford Pond,,Hartland Twp
Starbird Pond,,Hartland Twp
Sugar Berth Pond,,Dennistown Plt
Sunday Pond,,Caratunk
Summit Pond,,T14 R17 WELS
Supply Pond,,Moose River
Ten Thousand Acre Pond,,Chase Stream Twp
Tibbetts Pond,,Concord Twp
Tobey Pond,,Johnson Mountain
Tomhegan Pond,,West Middlesex Canal
Trickey Pond,,Alder Brook Twp
Trout Pond,,Brighton Plt
Turner Pond,,T07 R16 WELS
Turner Pond (Big),,Forsyth Twp
Turner Pond (Little),,Forsyth Twp
Unnamed Pond,,Dole Brook Twp
Unnamed Pond,,Dole Brook Twp
Unnamed Pond,,Prentiss Twp
Unnamed Pond,,Prentiss Twp
Unnamed Pond,Camp Stove Pond,Johnson Mountain
Unnamed Pond,Muddyboot Pond,Misery Twp
Wellman Ponds,,Prentiss Twp
Wentworth Pond,Ironbound Pond,Solon
Wesserunsett Lake,,Madison
Whipple Pond,,T05 R07 BKP WKR
Whites Pond,,Palmyra
Withee Pond,,Mayfield Twp
Wood Pond (Big),,Attean Twp
Wood Pond (Little Big),,Dennistown Plt
Woodlot Pond,,Holeb Twp
Wyman Lake,,Carrying Place Twp
Wyman Pond,,Brighton Plt
