Year,,Voted By,Inducted As,Votes,% of Ballots
1973,Warren Spahn,BBWAA,Player,316.0,83.2%
1973,Mickey Welch,Veterans,Player,,
1972,Yogi Berra,BBWAA,Player,339.0,85.6%
1972,Josh Gibson,Negro League,Player,,
1972,Lefty Gomez,Veterans,Player,,
1972,Will Harridge,Veterans,Pioneer/Executive,,
1972,Sandy Koufax,BBWAA,Player,344.0,86.9%
1972,Buck Leonard,Negro League,Player,,
1972,Early Wynn,BBWAA,Player,301.0,76.0%
1972,Ross Youngs,Veterans,Player,,
1971,Dave Bancroft,Veterans,Player,,
1971,Jake Beckley,Veterans,Player,,
1971,Chick Hafey,Veterans,Player,,
1971,Harry Hooper,Veterans,Player,,
1971,Joe Kelley,Veterans,Player,,
1971,Rube Marquard,Veterans,Player,,
1971,Satchel Paige,Negro League,Player,,
1971,George Weiss,Veterans,Pioneer/Executive,,
1970,Lou Boudreau,BBWAA,Player,232.0,77.3%
1970,Earle Combs,Veterans,Player,,
1970,Ford Frick,Veterans,Pioneer/Executive,,
1970,Jesse Haines,Veterans,Player,,
1969,Roy Campanella,BBWAA,Player,270.0,79.4%
1969,Stan Coveleski,Veterans,Player,,
1969,Waite Hoyt,Veterans,Player,,
1969,Stan Musial,BBWAA,Player,317.0,93.2%
1968,Kiki Cuyler,Veterans,Player,,
1968,Goose Goslin,Veterans,Player,,
1968,Joe Medwick,BBWAA,Player,240.0,84.8%
1967,Branch Rickey,Veterans,Pioneer/Executive,,
1967,Red Ruffing,Run Off,Player,266.0,86.9%
1967,Lloyd Waner,Veterans,Player,,
1966,Casey Stengel,Veterans,Manager,,
1966,Ted Williams,BBWAA,Player,282.0,93.4%
1965,Pud Galvin,Veterans,Player,,
1964,Luke Appling,Run Off,Player,189.0,94.0%
1964,Red Faber,Veterans,Player,,
1964,Burleigh Grimes,Veterans,Player,,
1964,Miller Huggins,Veterans,Manager,,
1964,Tim Keefe,Veterans,Player,,
1964,Heinie Manush,Veterans,Player,,
1964,Monte Ward,Veterans,Player,,
1963,John Clarkson,Veterans,Player,,
1963,Elmer Flick,Veterans,Player,,
1963,Sam Rice,Veterans,Player,,
1963,Eppa Rixey,Veterans,Player,,
1962,Bob Feller,BBWAA,Player,150.0,93.8%
1962,Bill McKechnie,Veterans,Manager,,
1962,Jackie Robinson,BBWAA,Player,124.0,77.5%
1962,Edd Roush,Veterans,Player,,
1961,Max Carey,Veterans,Player,,
1961,Billy Hamilton,Veterans,Player,,
1959,Zack Wheat,Veterans,Player,,
1957,Sam Crawford,Veterans,Player,,
1957,Joe McCarthy,Veterans,Manager,,
1956,Joe Cronin,BBWAA,Player,152.0,78.8%
1956,Hank Greenberg,BBWAA,Player,164.0,85.0%
1955,Home Run Baker,Veterans,Player,,
1955,Joe DiMaggio,BBWAA,Player,223.0,88.8%
1955,Gabby Hartnett,BBWAA,Player,195.0,77.7%
1955,Ted Lyons,BBWAA,Player,217.0,86.5%
1955,Ray Schalk,Veterans,Player,,
1955,Dazzy Vance,BBWAA,Player,205.0,81.7%
1954,Bill Dickey,BBWAA,Player,202.0,80.2%
1954,Rabbit Maranville,BBWAA,Player,209.0,82.9%
1954,Bill Terry,BBWAA,Player,195.0,77.4%
1953,Ed Barrow,Veterans,Pioneer/Executive,,
1953,Chief Bender,Veterans,Player,,
1953,Tommy Connolly,Veterans,Umpire,,
1953,Dizzy Dean,BBWAA,Player,209.0,79.2%
1953,Bill Klem,Veterans,Umpire,,
1953,Al Simmons,BBWAA,Player,199.0,75.4%
1953,Bobby Wallace,Veterans,Player,,
1953,Harry Wright,Veterans,Pioneer/Executive,,
1952,Harry Heilmann,BBWAA,Player,203.0,86.8%
1952,Paul Waner,BBWAA,Player,195.0,83.3%
1951,Jimmie Foxx,BBWAA,Player,179.0,79.2%
1951,Mel Ott,BBWAA,Player,197.0,87.2%
1949,Mordecai Brown,Old Timers,Player,,
1949,Charlie Gehringer,Run Off,Player,159.0,85.0%
1949,Kid Nichols,Old Timers,Player,,
1948,Herb Pennock,BBWAA,Player,94.0,77.7%
1948,Pie Traynor,BBWAA,Player,93.0,76.9%
1947,Mickey Cochrane,BBWAA,Player,128.0,79.5%
1947,Frankie Frisch,BBWAA,Player,136.0,84.5%
1947,Lefty Grove,BBWAA,Player,123.0,76.4%
1947,Carl Hubbell,BBWAA,Player,140.0,87.0%
1946,Jesse Burkett,Old Timers,Player,,
1946,Frank Chance,Old Timers,Player,,
1946,Jack Chesbro,Old Timers,Player,,
1946,Johnny Evers,Old Timers,Player,,
1946,Clark Griffith,Old Timers,Player,,
1946,Tommy McCarthy,Old Timers,Player,,
1946,Joe McGinnity,Old Timers,Player,,
1946,Eddie Plank,Old Timers,Player,,
1946,Joe Tinker,Old Timers,Player,,
1946,Rube Waddell,Old Timers,Player,,
1946,Ed Walsh,Old Timers,Player,,
1945,Roger Bresnahan,Old Timers,Player,,
1945,Dan Brouthers,Old Timers,Player,,
1945,Fred Clarke,Old Timers,Player,,
1945,Jimmy Collins,Old Timers,Player,,
1945,Ed Delahanty,Old Timers,Player,,
1945,Hugh Duffy,Old Timers,Player,,
1945,Hughie Jennings,Old Timers,Player,,
1945,King Kelly,Old Timers,Player,,
1945,Jim O'Rourke,Old Timers,Player,,
1945,Wilbert Robinson,Old Timers,Manager,,
1944,Kenesaw Landis,Old Timers,Pioneer/Executive,,
1942,Rogers Hornsby,BBWAA,Player,182.0,78.1%
1939,Cap Anson,Old Timers,Player,,
1939,Eddie Collins,BBWAA,Player,213.0,77.7%
1939,Charlie Comiskey,Old Timers,Pioneer/Executive,,
1939,Candy Cummings,Old Timers,Pioneer/Executive,,
1939,Buck Ewing,Old Timers,Player,,
1939,Lou Gehrig,Special Election,Player,,
1939,Willie Keeler,BBWAA,Player,207.0,75.5%
1939,Old Hoss Radbourn,Old Timers,Player,,
1939,George Sisler,BBWAA,Player,235.0,85.8%
1939,Al Spalding,Old Timers,Pioneer/Executive,,
1938,Pete Alexander,BBWAA,Player,212.0,80.9%
1938,Alexander Cartwright,Centennial,Pioneer/Executive,,
1938,Henry Chadwick,Centennial,Pioneer/Executive,,
1937,Morgan Bulkeley,Centennial,Pioneer/Executive,,
1937,Ban Johnson,Centennial,Pioneer/Executive,,
1937,Nap Lajoie,BBWAA,Player,168.0,83.6%
1937,Connie Mack,Centennial,Manager,,
1937,John McGraw,Veterans,Manager,,
1937,Tris Speaker,BBWAA,Player,165.0,82.1%
1937,George Wright,Centennial,Pioneer/Executive,,
1937,Cy Young,BBWAA,Player,153.0,76.1%
1936,Ty Cobb,BBWAA,Player,222.0,98.2%
1936,Walter Johnson,BBWAA,Player,189.0,83.6%
1936,Christy Mathewson,BBWAA,Player,205.0,90.7%
1936,Babe Ruth,BBWAA,Player,215.0,95.1%
1936,Honus Wagner,BBWAA,Player,215.0,95.1%
