,Movie,Rel.,Director,Reviewed
,The Third Man,1949,"Reed, Carol",20101208
,The Bucket List,2007,"Reiner, Rob",20080620
,A Few Good Men,1992,"Reiner, Rob",20070601
,Up in the Air,2009,"Reitman, Jason",20100708
,Spy Who Came In from the Cold,1965,"Ritt, Martin",20090903
,Bob Roberts,1992,"Robbins, Tim",20061119
,Walkabout,1971,"Roeg, Nicolas",20110209
,Pleasantville,1998,"Ross, Gary",20070907
,Bonneville,2006,"Rowley, Christopher",20090730
,The Fighter,2010,"Russell, David O.",20110406
,The Ultimate Gift,2007,"Sajbel, Michael",20080822
,Follow the Fleet,1936,"Sandrich, Mark",20070810
,Colossus: The Forbin Project,1970,"Sargent, Joseph",20110413
,Lone Star,1996,"Sayles, John",20070124
,Get Low,2009,"Schneider, Aaron",20110316
,The Aviator,2004,"Scorsese, Martin",20070629
,The Departed,2006,"Scorcese, Martin",20070615
,Robin Hood,2010,"Scott, Ridley",20110112
,Enemy of the State,1998,"Scott, Tony",20070406
,"War, Inc.",2008,"Seftel, Joshua",20081030
,Evan Almighty,2007,"Shadyac, Tom",20071019
,Hairspray,2007,"Shankman, Adam",20070817
,Waitress,2007,"Shelly, Adrienne",20080215
,The Happening,2008,"Shyamalan, M. Night",20081127
,Imitation of Life,1959,"Sirk, Douglas",20111130
,RV,2006,"Sonnenberg, Barry",20061118
,Imitation of Life (1934),1934,"Stahl, John",20111207
,WALL-E,2008,"Stanton, Andrew",20081120
,Forgetting Sarah Marshall,2008,"Stoller, Nicholas",20081010
,JFK,1991,"Stone, Oliver",20081113
,W.,2008,"Stone, Oliver",20090305
,Grace is Gone,2008,"Strouse, James",20081016
,Fool's Gold,2008,"Tennant, Andy",20080703
,Out of the Past,1947,"Tourneur, Jacques",20091015
,Silent Running,1972,"Trumbull, Douglas",20101013
,The International,2009,"Tykwer, Tom",20090723
,City Slickers,1991,"Underwood, Ron",20110824
,Good Will Hunting,1997,"Van Sant, Gus",20090402
,Milk,2008,"Van Zant, Gus",20090709
,Black Book,2006,"Verhoeven, Paul",20071123
,Gilda,1946,"Vidor, Charles",20100211
,The Matrix,1999,"Wachowski, A and L",20070330
,Secretariat,2010,"Wallace, Randall",20110907
,The Great Debaters,2007,"Washington, Denzel",20080523
,(500) Days of Summer,2009,"Webb, Marc",20100311
,The Way Back,2010,"Weir, Peter",20110608
,A Better Life,2011,"Weitz, Chris",20111116
,The Company Men,2010,"Wells, John",20110810
,Lost Weekend,1945,"Wilder, Billy",20110427
,Road to Guantanamo,2006,"Winterbottom, Michael",20070207
,Hot Fuzz,2007,"Wright, Edgar",20070504
,The Best Years of Our Lives,1946,"Wyler, William",20101117
,High Noon,1952,"Zinnemann, Fred",20091029
,Blood Diamond,2006,"Zwick, Edward",20070706
,Legends of the Fall,1995,"Zwick, Edward",20100714
,,,,
