Lake,Location,Basin countries,Residence time
Loch Lomond,"Dunbartonshire, Central Scotland","Scotland, United Kingdom",0000001.9001.9 years
Lake Balaton,Hungary,Hungary,0000002.0002 years
Lake Rotoroa,"Hamilton, Waikato, North Island",New Zealand,0000002.000approx. 2 years
Lake Tutira,"Hawke's Bay, North Island",New Zealand,0000002.0002 years
T?rlersee,Canton of Zurich,Switzerland,0000002.000730 days
Pf?ffikersee,Canton of Zurich,Switzerland,0000002.0852.085 years
Caniapiscau Reservoir,Quebec,Canada,0000002.2002.2 years
Lake Sils / Silsersee /Lej da Segl,"Engadin, Grisons",Switzerland,0000002.2002.2 years
Wilersee,Canton of Zug,Switzerland,0000002.2002.2 years
Great Pond,Maine,United States,0000002.3002.3 years
Moberly Lake,British Columbia,Canada,0000002.4002.4 years
P?ij?nne,,Finland,0000002.5002.5 years
Lake Erie,North America,"Canada, United States",0000002.6002.6 years
Rangeley Lake,"Franklin County, Maine",United States,0000002.6002.6 years
Lake Brienz / Brienzersee,Canton of Berne,Switzerland,0000002.6902.69 years
Ammersee / Lake Ammer,Upper Bavaria,Germany,0000002.7002.7 years
Gro?er Pl?ner See,Schleswig-Holstein,Germany,0000003.0003 years
Paudash Lake,"Haliburton County, Ontario",Canada,0000003.0003 years
Moosehead Lake,Maine,United States,0000003.1003.1 years
Trekanten,,Sweden,0000003.1003.1 years
Great East Lake,"Carroll County, New Hampshire; York County, Maine",United States,0000003.3003.3 years
Lake Champlain,North America,"Canada, United States",0000003.3003.3 years
Flathead Lake,Montana,United States,0000003.4003.4 years
Lake Lucerne /Vierwaldst?ttersee,Central Switzerland,Switzerland,0000003.4003.4 years
Lake Winnipeg,"Manitoba, Canada","Canada, United States",0000003.5003.5 years
Lac de Paladru,Is?re,France,0000003.6003.6 years
Lake Hallwil / Hallwilersee,Aargau,Switzerland,0000003.9003.9 years
Flaten,southern Stockholm,Sweden,0000004.0004 years
Lake Annecy / Lac d'Annecy,Haute-Savoie,France,0000004.0004 years
Lake Maggiore / Verbano / Lago Maggiore,"Lombardy and Piedmont, Italy; Canton Ticino, Switzerland","Italy, Switzerland",0000004.0004 years
Todos los Santos Lake,,Chile,0000004.0004 years
Lake Baldegg / Baldeggersee,Canton of Lucerne,Switzerland,0000004.2004.2 years
Lake Iseo / Lago d'Iseo,Lombardy,Italy,0000004.2004.2 years
Lake Constance / Bodensee,"Germany, Switzerland, Austria","Germany, Switzerland, Austria, Liechtenstein",0000004.3004.3 years
Corey Lake,Michigan,United States,0000004.4004.4 years
Elk and Beaver Lakes,"Saanich, British Columbia",Canada,"0000004.4004.4 years (Elk Lake),"
Lake Como,"Lombardy, Italy",Italy,0000004.5004.5 years
Lake Mendota,Wisconsin,United States,0000004.5004.5 years
Sea of Galilee,,Israel,0000005.0005 years
Bannwaldsee,"Allg?u, Bavaria",Germany,0000005.2005.2 years
Sebago Lake,"Cumberland County, Maine",United States,0000005.2505.1 to 5.4 yrs
Kennisis Lake,"Haliburton Highlands, Ontario",Canada,0000005.2605.26 years
Bay Lake,"Crow Wing County, Minnesota",United States,0000005.5004-7 years
Lake Biwa / ???,,Japan,0000005.5005.5 years
Jordan Pond,"Hancock County, Maine",United States,0000006.0006 years
Lago di Mergozzo,Piedmont,Italy,0000006.0006 years
Lake Ontario,North America,"Canada, United States",0000006.0006 years
Lac la Nonne,Alberta,Canada,0000006.5006.5 years
Lago di Candia,Province of Turin,Italy,0000006.5006 or 7 years
?gerisee,Canton of Zug,Switzerland,0000006.8006.8 years
Loch Morar,"Morar, Lochaber, Highland, Scotland",United Kingdom,0000006.8706.87 years
Lake Powell,Utah/Arizona,United States,0000007.2007.2 years
Millst?tter See / Lake Millstatt,Carinthia,Austria,0000007.5007.5 years
Moose Lake,Alberta,Canada,0000007.5007.5 years
Schaalsee,Schleswig-Holstein,Germany,0000007.5005 to 10 years
Iliamna Lake,"Lake and Peninsula Borough, Alaska",United States,0000007.8007.8 years
Lac du Bourget,"Savoie, France",France,0000008.0008 years
Odell Lake,"Klamath County, Oregon",United States,0000008.0008 years
Lake Lugano /Lago di Lugano,"Ticino, Lombardy","Switzerland, Italy",0000008.2008.2 years
Lake Neuch?tel / Lac de Neuch?tel / Neuenburgersee,,Switzerland,0000008.2008.2 years
Lake Orta /Lago d?Orta /Cusio,Piedmont,Italy,0000008.9008.9 years
Weissensee,Carinthia,Austria,0000009.2009.2 years
Quesnel Lake,British Columbia,Canada,0000010.10010.1 years
Schweriner See,Mecklenburg-Vorpommern,Germany,0000010.10010.1 years
Lake Taupo,"Taupo District, Waikato Region, North Island",New Zealand,0000010.50010.5 years
W?rthersee / Lake W?rth,west of Klagenfurt,Austria,0000010.50010.5 years
Lake Chelan,Washington,United States,0000010.60010.6 years
Lake Geneva,"Switzerland, France","Switzerland, France",0000011.40011.4 years
Lake Wakatipu,"Queenstown-Lakes District, Otago Region, South Island",New Zealand,0000012.000c. 12 years
Higgins Lake,Michigan,United States,0000012.50012.5 years
Crescent Lake,"Klamath County, Oregon",United States,0000013.00013 years
Lake Zug / Zugersee,,Switzerland,0000014.70014.7 years
M?ritz,Mecklenburg-Vorpommern,Germany,0000015.00015 years (?)
Western Brook Pond,"Gros Morne National Park, Newfoundland, Newfoundland and Labrador",Canada,0000015.40015.4 years
Lake Sempach / Sempachersee,Canton of Lucerne,Switzerland,0000016.90016.9 years
Skaneateles Lake,New York,United States,0000018.00018 years
Cayuga Lake,New York,United States,0000018.20018.2 years
Bear Lake,Idaho/Utah,United States,0000019.60019.6 years
Green Lake,"Green Lake County, Wisconsin",United States,0000021.00021 years
Lake Starnberg /Starnberger See,Bavaria,Germany,0000021.00021 years
Lake Huron,North America,"Canada, United States",0000022.00022 years
Lake Garda / Lago di Garda,Northern Italy,Italy,0000026.80026.8 years
Waldo Lake,"Cascade Mountains, OregonPortland, Oregon",United States,0000032.00032 years
Crystal Lake,"Benzie County, Michigan",United States,0000045.00030 to 60 years
Lake Columbia,"Jackson County, Michigan",United States,0000047.00047 years
Okanagan Lake,British Columbia,Canada,0000052.80052.8 years
Lake Ohrid,,"the Republic of Macedonia, Albania",0000070.00070 years
Lake Michigan,United States,United States,0000099.00099 years
Arendsee,Saxony-Anhalt,Germany,0000100.000100 years
Gull Lake,Alberta,Canada,0000101.000>100 years
Lake Yosemite,California,United States,0000121.000121 years
Great Bear Lake,Northwest Territories,Canada,0000124.000124 years
Crater Lake,Oregon,United States,0000157.000157 years
Lake Superior,North America,"Canada, United States",0000191.000191 years
Caspian Sea,,"Azerbaijan, Iran, Kazakhstan, Russia. Turkmenistan",0000250.000250 years
Lake Baikal,,Russia,0000350.000330 years
Lake Tahoe,"California, Nevada",United States,0000650.000650 years
Lake Titicaca,,Peru Bolivia,0001343.0001343 years
Lakes Qaban,,Russia,0002000.000several thousand years
Lake Poyang,,China,0005000.0005000 years
Lake Vostok,,Antarctica,"13300.00013,300 years"
Lake Eucumbene,New South Wales,Australia,13300.0001958 Years
