Title,Category,Rating,Release
Panzer Tactics DS,Simulation,n/a,TBA
Puzzle de Harvest Moon,Puzzle,n/a,11/30/06
Rampage: Total Destruction,Action,n/a,11/30/06
Yu-Gi-Oh! GX Spirit Caller,Strategy,n/a,01/01/07
Final Fantasy Crystal Chronicles: Ring of Fates,RPG,n/a,TBA
Super Collapse! 3,Puzzle,n/a,01/01/07
Underground Pool,Sports,n/a,01/14/07
Barbie 12 Dancing Princesses,Action,n/a,11/15/06
Star Wars: Lethal Alliance,Simulation,n/a,12/11/06
Full Metal Alchemist: Dual Sympathy,Action,n/a,12/11/06
Kirby: Squeak Squad,Platform,n/a,12/03/06
March of the Penguins,Adventure,n/a,11/19/06
Uno,Cards,n/a,11/13/06
Lara Croft Tomb Raider: Legend,Action,n/a,11/13/06
Nicktoons: Battle for Volcano Island,Action,n/a,10/23/06
Micro Machines V4,Driving,n/a,11/06/06
Barbie in The 12 Dancing Princesses,Action,n/a,11/06/06
Over the Hedge: Hammy Goes Nuts,Action,n/a,10/23/06
Scooby Doo! Who's Watching Who?,Action,n/a,10/10/06
Monster Bomber,Puzzle,n/a,10/09/06
Garfield: A Tail of Two Kitties,Action,n/a,10/08/06
Harlem Globetrotters World Tour,Sports,n/a,09/25/06
Kirby DS,Platform,n/a,TBA
Winx Club: Quest for the Codex,Action,n/a,11/06/06
"Legend of Zelda: Phantom Hourglass, The",RPG,n/a,09/30/07
Dogz,Simulation,n/a,11/19/06
Charlotte's Web,Action,n/a,11/13/06
Catz,Simulation,n/a,11/29/06
Shrek Smash n' Crash Racing,Driving,n/a,03/05/07
Horsez,Simulation,n/a,11/27/06
Xiaolin Showdown,Fighting,n/a,11/27/06
Star Fox DS,Action,n/a,TBA
Bionicle Heroes,Action,n/a,11/13/06
Disney's The Little Mermaid: Ariel's Undersea Adventure,Action,n/a,09/24/06
F-24: Stealth Fighter,Simulation,n/a,02/12/07
Platinum Sudoku,Puzzle,n/a,07/02/07
Nintendo DS Browser,Other,n/a,06/03/07
Dragon Ball Z: Harukanaru Densetsu,Action,n/a,06/04/07
Planet Puzzle League,Puzzle,n/a,06/03/07
Tank Beat,Shooter,n/a,05/28/07
Pony Friends,Other,n/a,05/28/07
Surf's Up,Sports,n/a,05/28/07
Sea World: Shamu's Big Adventure,Action,n/a,11/07/05
Diner Dash,Puzzle,n/a,05/21/07
Time Ace,Simulation,n/a,06/11/07
Zendoku,Puzzle,n/a,06/11/07
SimCity DS,Strategy,n/a,06/18/07
Chicken Shoot,Action,n/a,07/01/07
Touchmaster,Puzzle,n/a,06/24/07
Hoshigami Remix: Ruining Blue Earth,Strategy,n/a,06/25/07
Ratatouille,Action,n/a,06/25/07
Harry Potter and the Order of the Phoenix,Action,n/a,06/24/07
Fullmetal Alchemist: Trading Card Game,Cards,n/a,10/14/07
"SpongeBob SquarePants: Lights, Camera, Pants!",Party,n/a,TBA
Brothers in Arms: DS,Shooter,n/a,06/18/07
Naruto: Ninja Council 3,Fighting,n/a,05/21/07
Pirates of the Caribbean: At World's End,Action,n/a,05/21/07
Code Lyoko,Action,n/a,05/14/07
Theme Park,Strategy,n/a,03/19/07
Puzzle Quest: Challenge of Warlords,Puzzle,n/a,03/19/07
Yu-Gi-Oh! World Championship Tournament 2007,Strategy,n/a,03/19/07
Steel Horizon,Strategy,n/a,03/19/07
Disney's Herbie Rescue Rally,Driving,n/a,03/14/07
Mind Quiz: Your Brain Coach,Puzzle,n/a,03/12/07
Major League Baseball 2K7,Sports,n/a,03/18/07
Marvel Trading Card Game,Cards,n/a,05/21/07
TMNT,Fighting,n/a,03/19/07
Disney's Meet the Robinsons,Action,n/a,03/26/07
POGO Island,Puzzle,n/a,03/25/07
Touch the Dead,Shooter,n/a,05/14/07
Shrek the Third,Action,n/a,04/30/07
Spider-Man 3,Platform,n/a,05/03/07
Castlevania: Portrait of Ruin,Platform,n/a,12/04/06
SNK vs. Capcom Card Fighters DS,Strategy,n/a,04/23/07
Classic Action: Devilish,Pinball,n/a,04/23/07
7 Wonders,Puzzle,n/a,09/16/07
"Settlers, The",Strategy,n/a,08/20/07
Trioncube,Puzzle,n/a,02/19/07
