Game,Genre,Platform,Release
Lost Planet: Extreme Condition,Action,PS3,02/26/08
Lost: Via Domus,Adventure,PS3,02/26/08
Madden NFL 07,Sports,PS3,11/17/06
Madden NFL 08,Sports,PS3,08/14/07
Madden NFL 09,Sports,PS3,08/12/08
Major League Baseball 2K7,Sports,PS3,02/27/07
Major League Baseball 2K8,Sports,PS3,03/04/08
Marvel: Ultimate Alliance,Action RPG,PS3,11/07/06
Marvel: Ultimate Alliance 2,Action - RPG,PS3,09/15/09
Medal of Honor Airborne,Shooter,PS3,11/19/07
Mercenaries 2: World in Flames,Action,PS3,08/31/08
Metal Gear Online,Action,PS3,TBA
Metal Gear Solid 4: Guns of the Patriots,Action,PS3,06/12/08
Midnight Club: Los Angeles,Racing,PS3,10/07/08
MLB 07: The Show,Sports,PS3,05/15/07
MLB 08: The Show,Sports,PS3,03/04/08
Mobile Suit Gundam: Crossfire,Action,PS3,11/13/06
Mortal Kombat vs. DC Universe,Fighting,PS3,11/10/08
MotorStorm,Racing,PS3,03/06/07
MotorStorm: Pacific Rift,Racing,PS3,10/07/08
MX vs ATV Untamed,Racing,PS3,12/17/07
NASCAR 08,Sports,PS3,07/23/07
NBA 2K7,Sports,PS3,11/13/06
NBA 2K8,Sports,PS3,10/02/07
NBA 2K9,Sports,PS3,10/31/08
NBA Live 08,Sports,PS3,10/02/07
NBA Live 09,Sports,PS3,10/07/08
NBA '07,Sports,PS3,11/13/06
NBA '09: The Inside,Sports,PS3,10/07/08
NBA ?08,Sports,PS3,10/02/07
NCAA Football 08,Sports,PS3,07/17/07
Need for Speed Carbon,Racing,PS3,11/14/06
Need for Speed ProStreet,Racing,PS3,11/13/07
Need for Speed Undercover,Racing,PS3,11/18/08
NFL Tour,Sports,PS3,01/08/08
NHL 08,Sports,PS3,09/11/07
NHL 09,Sports,PS3,09/09/08
NHL 2K7,Sports,PS3,03/23/07
NHL 2K8,Sports,PS3,09/10/07
NHL 2K9,Sports,PS3,09/08/08
Ninja Gaiden Sigma,Action,PS3,07/03/07
Pirates of the Caribbean: At World's End,Action,PS3,05/22/07
Prototype,Action,PS3,Summer 2008
Pure,Racing,PS3,09/16/08
Ratatouille,Action,PS3,October 2007
Ratchet & Clank Future: Tools of Destruction,Action,PS3,10/23/07
Red Faction: Guerrilla,Shooter,PS3,TBA 2009
Resident Evil 5,Action / Survival Horror,PS3,TBA 2008
Resistance 2,First Person Shooter,PS3,11/04/08
Resistance: Fall of Man,FPS,PS3,11/14/06
Ridge Racer 7,Racing,PS3,11/13/06
Rock Band,Music,PS3,11/20/07
Saints Row 2,Action,PS3,10/14/08
Saint's Row,Action,PS3,Cancelled
SEGA Rally Revo,Racing,PS3,10/09/07
Shaun White Snowboarding,Sports,PS3,11/17/08
Silent Hill 5,Adventure,PS3,TBA 2008
Silent Hill: Homecoming,Action/Adventure,PS3,09/30/08
Skate,Sports,PS3,09/24/07
SOCOM: Confrontation,Action,PS3,10/14/08
Soldier of Fortune: Pay Back,FPS,PS3,11/13/07
Sonic the Hedgehog,Platformer,PS3,01/30/07
Spider-Man 3,Action,PS3,05/04/07
Spider-Man: Web of Shadows,Action/Adventure,PS3,10/21/08
Star Wars: The Force Unleashed,Action,PS3,09/16/08
Street Fighter IV,Fighting,PS3,TBA 2008
Street Fighter IV,Fighting,PS3,TBA 2008
Stuntman: Ignition,Racing Action,PS3,09/17/07
Super Street Fighter IV,Fighting,PS3,Spring 2010
Surf's Up,Action,PS3,05/29/07
The Agency,Shooter,PS3,TBA
The BIGS,Sports,PS3,06/25/07
The Bourne Conspiracy,Action,PS3,06/03/08
The Chronicles of Narnia: Prince Caspian,Action,PS3,05/16/08
The Chronicles of Riddick: Assault on Dark Athena,FPS,PS3,TBA 2008
The Club,Action,PS3,02/19/08
The Darkness,Action,PS3,06/25/07
The Elder Scrolls IV: Oblivion,RPG,PS3,03/19/07
The Godfather: The Don's Edition,Action,PS3,03/22/07
The Incredible Hulk,Action,PS3,06/05/08
The Orange Box,Action,PS3,12/11/07
The Simpsons Game,Adventure,PS3,10/30/07
Tiger Woods PGA Tour 07,Sports,PS3,11/14/06
Tiger Woods PGA Tour 08,Sports,PS3,08/28/07
Tiger Woods PGA Tour 09,Sports,PS3,08/26/08
Time Crisis 4,Shooter,PS3,11/20/07
TimeShift,Shooter,PS3,12/19/07
TNA iMPACT,Sports,PS3,09/09/08
Tom Clancy's Ghost Recon Advanced Warfighter 2,FPS,PS3,08/21/07
Tom Clancy's Rainbow Six: Vegas,FPS,PS3,06/26/07
Tom Clancy?s Rainbow Six Vegas 2,Action,PS3,03/18/08
Tomb Raider Underworld,Action/Adventure,PS3,11/18/08
Tony Hawk's Project 8,Sports,PS3,11/07/06
Tony Hawk's Proving Ground,Sports,PS3,10/15/07
Top Spin 3,Sports,PS3,06/23/08
Transformers: The Game,Action,PS3,06/26/07
Turning Point: Fall of Liberty,FPS,PS3,02/26/08
Turok,Action,PS3,02/05/08
Uncharted 2: Among Thieves,Action,PS3,10/13/09
Uncharted: Drake?s Fortune,Action,PS3,11/20/07
Unreal Tournament 3,FPS,PS3,12/10/07
Untold Legends: Dark Kingdom,RPG,PS3,11/15/06
Viking: Battle for Asgard,Action,PS3,03/25/08
Virtua Fighter 5,Fighting,PS3,02/20/07
Virtua Tennis 3,Sports,PS3,03/22/07
Warhawk,Action - Flight,PS3,08/28/07
World in Conflict,Strategy,PS3,Fall 2008
WWE SmackDown! vs. Raw 2008,Sports,PS3,11/13/07
X-Men Origins: Wolverine,Action,PS3,05/01/09
