Title(s) [10][11][12][13],Year first released [10][11][14][15],Developer [14][16],Publisher [10][11][14][17][18],Regions released [10][11][12][13][19],Number of players [10][12][13][20],ESRB/ ELSPA rating [10][17][21],Genre [10][11][15][18][22][23]
Bass Rush: ECOGEAR PowerWorm Championship,2000,Visco Corporation,Visco Corporation,JP,1,?,Sports/Fishing
Batman Beyond: Return of the Joker ?Batman of the Future: Return of the JokerPAL,2000,Kemco,Ubisoft,"NA, PAL",1,E/3+,Action/Adventure
BattleTanx,1998,3DO,3DO,NA,4 !1?4,T/?,Simulation/Tank Combat
BattleTanx: Global Assault,1999,3DO,3DO,"NA, PAL",4 !1?4,T/11+,Simulation/Tank Combat
Battlezone: Rise of the Black Dogs,2000,Climax Entertainment,Crave Entertainment,NA,4 !1?4,E/?,Simulation/Tank Combat
Beetle Adventure Racing! ?As Aventuras do FuscaBRZ ?HSV Adventure RacingAUS,1999,Paradigm Entertainment,Electronic Arts,"JP, NA, PAL",4 !1?4,E/3+,Racing/Autombile/Adventure
Big Mountain 2000 ?Snow SpeederJP,2000,Imagineer,SouthPeak Interactive Imagineer,"JP, NA",4 !1?4,E/?,Snowboarding/Skiing
Bio F.R.E.A.K.S.,1998,Saffire,Midway,"NA, PAL",4 !1?4,M/11+,Arcade/Fighting
Blast Corps ?Blast DozerJP,1997,Rare,Nintendo,"JP, NA, PAL",1,K-A/3+,Strategy/Demolition
Blues Brothers 2000,2000,Player 1,Titus Software,"NA, PAL",2 !1?2,E/3+,Adventure/3D Platformer
Body Harvest,1998,DMA Design,Midway,"NA, PAL",1,T/11+,Action/Adventure/3D shooter
Bomberman 64 ?Baku BombermanJP,1997,Hudson Soft,Nintendo,"JP, NA, PAL",4 !1?4,K-A/3+,Adventure/Puzzle
Bomberman 64,2001,Racjin,Hudson Soft,JP,4 !1?4,?,Arcade/Action/Puzzle
Bomberman 64: The Second Attack ?Baku Bomberman 2JP,1999,Hudson Soft,Vatical Entertainment,"JP, NA",4 !1?4,E/?,Action/Adventure
Bomberman Hero ?Bomberman Hero: Millian Ojosama wo SukueJP,1999,Hudson Soft,Nintendo,"JP, NA, PAL",1,E/3+,Action/Adventure
Bottom of the 9th,1999,Konami,Konami,NA,4 !1?4,E/?,Sports/Baseball
Brunswick Circuit Pro Bowling,1999,Point of View,THQ,NA,4 !1?4,E/?,Sports/Bowling
Buck Bumble,1998,Argonaut Games,Ubisoft,"JP, NA, PAL",4 !1?4,E/3+,Action/Adventure/Shooter
BugA Bug's Life,1999,Traveller's Tales,Activision,"NA, PAL",1,E/3+,Adventure/3D Platformer
Bust-A-Move '99 ?Bust-A-Move 3 DXPAL ?Puzzle Booble 64JP,1999,Distinctive Developments,Acclaim,"JP, NA, PAL",4 !1?4,E/3+,Arcade/Action/Puzzle
Bust-A-Move 2: Arcade Edition,1998,Taito,Taito,"NA, PAL",2 !1?2,E/3+,Arcade/Action/Puzzle
California Speed,1999,Atari Games,Midway,NA,4 !1?4,E/?,Racing/Automobile
Carmageddon 64,2000,SCi,Titus Software,"NA, PAL",2 !1?2,M/15+,Racing/Battle
Castlevania ?Akumajo Dracula MokushirokuJP,1999,Konami,Konami,"JP, NA, PAL",1,T/11+,Adventure/3D Platformer
Castlevania: Legacy of Darkness ?Akumajo Dracula Mokushiroku Gaiden: Legend of CornellJP,1999,Konami,Konami,"JP, NA, PAL",1,T/11+,Adventure/3D Platformer
Centre Court Tennis ?Let's SmashJP,1998,Hudson Soft,BigBen Interactive Hudson Soft,"JP, PAL",4 !1?4,?/3+,Sports/Tennis
Chameleon Twist,1997,Japan System Supply,Sunsoft,"JP, NA, PAL",4 !1?4,K-A/3+,Adventure/3D Platformer
Chameleon Twist 2,1999,Japan System Supply,Sunsoft,"JP, NA, PAL",1,E/3+,Adventure/3D Platformer
Charlie Blast's Territory,1999,Realtime Associates,Kemco,"NA, PAL",4 !1?4,E/3+,Strategy/Puzzle
Chopper Attack ?Wild ChoppersJP,1998,SETA,Midway SETA,"JP, NA, PAL",1,T/11+,Simulation/Helicopter/Shooter
Choro Q 64 2: Hachamecha Grand Prix Race,1999,Locomotive Games,Takara,JP,4 !1?4,?,Racing/Battle
Ch?k?kan Night: Pro Yaky? King,1996,Genki,Imagineer,JP,4 !1?4,?,Sports/Baseball
Ch?k?kan Night: Pro Yaky? King 2,1999,Genki,Imagineer,JP,4 !1?4,?,Sports/Baseball
ClayFighter 63?,1997,Interplay,Interplay,"NA, PAL",4 !1?4,T/3+,Arcade/Fighting
ClayFighter 63 1/3 Sculptor's Cut,1998,Interplay,Interplay,NA,4 !1?4,T/?,Arcade/Fighting
Command & Conquer,1999,Westwood Studios,Nintendo,"NA, PAL",1,T/11+,Simulation/War Plan/Strategy
Conker's Bad Fur Day,2001,Rare,"THQ, Rare","NA, PAL",4 !1?4,M/15+,Action/Adventure/3D Platformer
Cruis'n Exotica,2000,Gratuitous Games,Midway,NA,2 !1?2,E/?,Racing/Automobile
Cruis'n USA,1996,Midway,Midway,"NA, PAL",2 !1?2,K-A/3+,Racing/Automobile
Cruis'n World,1998,Midway,Midway,"NA, PAL",4 !1?4,E/3+,Racing/Automobile
Custom Robo,1999,Noise,Nintendo,JP,4 !1?4,?,Arcade/Action/Fighting
Custom Robo V2,2000,Noise,Nintendo,JP,4 !1?4,?,Arcade/Action/Fighting
CyberTiger,2000,Saffire,Electronic Arts,"NA, PAL",4 !1?4,E/3+,Sports/Golf
Daikatana,2000,Kemco,Kemco,"JP, NA, PAL",4 !1?4,M/15+,Action/3D Shooter
Dance Dance Revolution Disney Dancing Museum,2000,Konami,Konami,JP,2 !1?2,?,Arcade/Dancing Skills
Dark Rift ?Space DynamitesJP,1997,Kronos Digital,Vic Tokai,"JP, NA, PAL",2 !1?2,T/15+,Arcade/Fighting
Densha de Go! 64,1999,Taito,Taito,JP,1,?,Simulation/Train
Derby Stallion 64,1999,Parity Bit,Media Factory,JP,4 !1?4,?,Sports/Horse racing
Destruction Derby 64,1999,Looking Glass Studios,THQ,"NA, PAL",4 !1?4,E/11+,Racing/Battle
Dezaemon 3D,1998,Athena,Athena,JP,1,?,Game design/Action/Shooter
Diddy Kong Racing,1997,Rare,Nintendo,"JP, NA, PAL",4 !1?4,K-A/3+,Racing/Adventure/Battle
Donald Duck: Goin' Quackers ?Donald Duck's Quack AttackPAL,2000,Ubisoft,Ubisoft,"NA, PAL",1,E/3+,Adventure/3D Platformer
Disney's Tarzan,2000,Eurocom,Activision,"NA, PAL",1,E/3+,Adventure/3D Platformer
Donkey Kong 64,1999,Rare,Nintendo,"JP, NA, PAL",4 !1?4,E/3+,Action/Adventure/3D Platformer
Doom 64,1997,Midway,Midway,"JP, NA, PAL",1,M/15+,Action/Adventure/3D Shooter
Doraemon: Nobita to Mittsu no Seirei Ishi,1997,Epoch,Epoch,JP,4 !1?4,?,Adventure/3D Platformer
Doraemon 2: Nobita to Hikari no Shinden,1998,Epoch,Epoch,JP,1,?,Adventure/3D Platformer
Doraemon 3: Nobita no Machi SOS!,2000,Epoch,Epoch,JP,1,?,Adventure/3D Platformer
Dr. Mario 64,2001,Nintendo,Nintendo,NA,4 !1?4,E/?,Arcade/Action/Puzzle
Dual Heroes,1998,Hudson Soft,Electro Brain,"JP, NA, PAL",4 !1?4,T/11+,Arcade/Fighting
Duck Dodgers Starring Daffy Duck ?Daffy Duck starring as Duck DodgersPAL,2000,Paradigm Entertainment,Atari Games,"NA, PAL",4 !1?4,E/3+,Adventure/3D Platformer
Duke Nukem 64,1997,Eurocom,GT Interactive,"NA, PAL",4 !1?4,M/18+,Action/Adventure/3D Shooter
Duke Nukem: Zero Hour,1999,Eurocom,GT Interactive,"NA, PAL",4 !1?4,M/15+,Action/Adventure/3D Shooter
Earthworm Jim 3D,1999,VIS Entertainment,Rockstar Games,"NA, PAL",1,E/3+,Action/Adventure/3D Platformer
ECW Hardcore Revolution,2000,Acclaim,Acclaim,"NA, PAL",4 !1?4,M/15+,Sports/Wrestling
Eik? no Saint Andrews,1996,SETA,SETA,JP,4 !1?4,?,Sports/Golf
Elmo's Letter Adventure,1999,Realtime Associates,NewKidCo,NA,1,eC/?,Learning/Mini games
Elmo's Number Journey,1999,Realtime Associates,NewKidCo,NA,1,eC/?,Learning/Mini games
Excitebike 64,2000,Left Field Productions,Nintendo,"JP, NA, PAL",4 !1?4,E/3+,Racing/Simulation/Motorcycle
Extreme-G,1997,Probe Entertainment,Acclaim,"JP, NA, PAL",4 !1?4,K-A/3+,Racing
Extreme-G 2,1998,Probe Entertainment,Acclaim,"JP, NA, PAL",4 !1?4,E/3+,Racing
F-1 World Grand Prix,1998,Paradigm Entertainment,Video System,"JP, NA, PAL",4 !1?4,E/3+,Racing/Grand Prix
F-1 World Grand Prix II,2000,Paradigm Entertainment,Video System,PAL,4 !1?4,?/3+,Racing/Grand Prix
F-Zero X,1998,Nintendo,Nintendo,"JP, NA, PAL",4 !1?4,E/3+,Racing/Battle
F1 Pole Position 64 ?Human Grand Prix: The New GenerationJP,1997,Human Entertainment,Ubisoft,"JP, NA, PAL",1,K-A/3+,Racing/Grand Prix
F1 Racing Championship,2000,Ubisoft,Ubisoft,PAL,2 !1?2,?/3+,Racing/Grand Prix
Famista 64,1997,Namco,Namco,JP,4 !1?4,?,Sports/Baseball
FIFA '99,1998,Electronic Arts,Electronic Arts,"NA, PAL",4 !1?4,E/3+,Sports/Soccer
FIFA: Road to World Cup 98,1997,Electronic Arts,Electronic Arts,"JP, NA, PAL",4 !1?4,K-A/3+,Sports/Soccer
FIFA Soccer 64,1997,Electronic Arts,Electronic Arts,"NA, PAL",4 !1?4,K-A/3+,Sports/Soccer
Fighters Destiny ?Fighting CupJP,1998,Imagineer,Ocean,"JP, NA, PAL",2 !1?2,T/11+,Arcade/3D Fighting
Fighter Destiny 2 ?Kakuto Densho: F-Cup ManiaxJP,2000,Imagineer,SouthPeak Interactive,"JP, NA",2 !1?2,T/?,Arcade/3D Fighting
Fighting Force 64,1999,Core Design,Crave Entertainment,"NA, PAL",2 !1?2,T/15+,Action/Adventure/Fighting
Flying Dragon ?Hiryu Ken TwinJP,1998,Culture Brain,Natsume,"JP, NA, PAL",4 !1?4,T/3+,Arcade/3D Fighting
Forsaken 64,1998,Probe Entertainment,Iguana UK,"NA, PAL",4 !1?4,M/15+,Action/Adventure/3D Shooter
Fox Sports College Hoops '99,1998,Z-Axis,Fox Interactive,NA,4 !1?4,E/?,Sports/Basketball
Fushigi no Dungeon: F?rai no Shiren 2: Oni Sh?rai! Siren-j?!,2000,Chunsoft,Chunsoft,JP,4 !1?4,?,Adventure/RolePlaying
G.A.S.P!! Fighters' NEXTream ?Deadly ArtsNA,1998,Konami,Konami,"JP, NA, PAL",4 !1?4,T/11+,Arcade/Fighting
Gauntlet Legends,1998,Atari Games,Midway,"JP, NA, PAL",4 !1?4,T/15+,Action/Adventure/Hack and Slash
Getter Love!!,1998,Hudson Soft,Hudson Soft,JP,4 !1?4,?,Simulation/Social
Gex 3: Deep Cover Gecko,1998,Gratuitous Games,Crave Entertainment,"NA, PAL",1,E/11+,Adventure/3D Platformer
Gex 64,1998,Realtime Associates,Midway,"NA, PAL",1,E/3+,Adventure/3D Platformer
Glover,1998,Interactive Studios,Hasbro Interactive,"NA, PAL",1,E/3+,Adventure/3D Platformer
Goemon Mononoke Sugoroku,1998,Konami,Konami,JP,4 !1?4,?,Board Game/Mini games
Goemon's Great Adventure ?Mystical Ninja 2: Starring GoemonPAL ?Ganbare Goemon: Dero Dero Dochu Obake Tenko MoriJP,1998,Konami,Konami,"JP, NA, PAL",4 !1?4,E/3+,Adventure/Role Playing
Golden Nugget 64,1998,Westwood Studios,Electronic Arts,NA,4 !1?4,E/?,Gambling/Casino
GoldenEye 007,1997,Rare,Nintendo,"JP, NA, PAL",4 !1?4,T/15+,Action/Adventure/3D Shooter
GT 64: Championship Edition ?City Tour Grandprix: Zen Nihon GT SenshukenJP,1998,Imagineer,Ocean Imagineer,"JP, NA, PAL",4 !1?4,E/3+,Racing/Autombile
Hamster Monogatari 64,2001,Culture Brain,Culture Brain,JP,1,?,Simulation/Role Playing/Mini games
Harvest Moon 64 ?Bokujo MonogatariJP,1999,Toy Box Creative,Natsume,"JP, NA",1,E/?,Simulation/Role Playing/Farming
Heiwa Pachinko World 64,1997,Shouei System,Shouei System,JP,1,?,Gambling/Pachinko
Hercules: The Legendary Journeys,2000,Player 1,Titus Software,"NA, PAL",1,T/11+,Adventure/ Fighting
HeXen,1997,Software Creations,GT Interactive,"JP, NA, PAL",4 !1?4,M/11+,Action/Adventure/3D Shooter
"Hey You, Pikachu! ?Pikachu Genki DechuJP",1998,Ambrella,Nintendo,"JP, NA",1,E/?,Simulation/Life
Hot Wheels Turbo Racing,1999,Stormfront Studios,Electronic Arts,"NA, PAL",4 !1?4,E/3+,Racing/Stunt
Hybrid Heaven,1999,Konami,Konami,"JP, NA, PAL",2 !1?2,T/11+,Action/Adventure
Hydro Thunder,2000,Eurocom,Midway,"NA, PAL",4 !1?4,E/3+,Racing/Speed boat
Ide Y?suke no Mahjong Juku,2000,SETA,SETA,JP,1,?,Gambling/Mahjong
Iggy's Reckin' Balls ?Iggy Kun no Bura2PoyonJP,1998,Iguana Entertainment,Acclaim,"JP, NA, PAL",4 !1?4,E/3+,Racing/Battle
Indiana Jones and the Infernal Machine,2000,Factor 5,LucasArts,NA,1,T/?,Adventure/Action/3D Platformer
Indy Racing 2000,2000,Paradigm Entertainment,Infogrames,NA,4 !1?4,E/?,Racing/Automobile
International Superstar Soccer '98 ?Jikky? World Soccer: World Cup France '98JP,1998,Konami,Konami,"JP, NA, PAL",4 !1?4,E/3+,Sports/Soccer
International Superstar Soccer 2000 ?Jikky? J-League 1999: Perfect Striker 2JP,1999,Konami,Konami,"JP, NA, PAL",4 !1?4,E/3+,Sports/Soccer
International Superstar Soccer 64 ?Jikky? World Soccer 3JP,1997,Konami,Konami,"JP, NA, PAL",4 !1?4,K-A/3+,Sports/Soccer
International Track & Field 2000 ?International Track & Field: Summer GamesPAL ?Ganbare! Nippon! Olympics 2000JP,2000,Konami,Konami,"JP, NA, PAL",4 !1?4,E/3+,Sports/Track and Field
Itoi Shigesato no Bass Tsuri No. 1,2000,HAL Laboratory,Nintendo,JP,1,?,Sports/Fishing
J-League Dynamite Soccer 64,1997,A-Max,Imagineer,JP,4 !1?4,?,Sports/Soccer
J-League Eleven Beat 1997,1997,Hudson Soft,Hudson Soft,JP,4 !1?4,?,Sports/Soccer
J. League Live 64,1997,Electronic Arts,Electronic Arts,JP,4 !1?4,?,Sports/Soccer
J-League Tactics Soccer,1999,ASCII Entertainment,ASCII Entertainment,JP,4 !1?4,?,Sports/Soccer
Jang? Simulation Mahjong-d? 64,1998,Konami,Konami,JP,1,?,Gambling/Mahjong
Jeopardy!,1998,GameTek,GameTek,NA,1,K-A/?,Game Show
Jeremy McGrath Supercross 2000,2000,Acclaim,Acclaim,"NA, PAL",4 !1?4,E/3+,Racing/Motorcycle
Jet Force Gemini ?Star TwinsJP,1999,Rare,Rare,"JP, NA, PAL",4 !1?4,T/11+,Action/Adventure
Jikky? GI Stable,1999,Konami,Konami,JP,4 !1?4,?,Sports/Horse Racing
Jikky? J. League: Perfect Striker,1996,Konami,Konami,JP,4 !1?4,?,Sports/Soccer
Jikky? Powerful Pro Yaky? 4,1997,Konami,Konami,JP,4 !1?4,?,Sports/Baseball
Jikky? Powerful Pro Yaky? 5,1998,Konami,Konami,JP,4 !1?4,?,Sports/Baseball
Jikky? Powerful Pro Yaky? 6,1999,Konami,Konami,JP,4 !1?4,?,Sports/Baseball
Jikky? Powerful Pro Yaky? 2000,2000,Konami,Konami,JP,4 !1?4,?,Sports/Baseball
Jikky? Powerful Pro Yaky? Basic-ban 2001,2001,Konami,Konami,JP,4 !1?4,?,Sports/Baseball
Jinsei Game 64,1999,Takara,Takara,JP,4 !1?4,?,Board Game
"Ken Griffey, Jr.'s Slugfest",1999,Angel Studios,Nintendo,NA,4 !1?4,E/?,Sports/Baseball
Killer Instinct Gold,1996,Rare,Nintendo,"NA, PAL",2 !1?2,T/15+,Arcade/3D Fighting
Kira tto Kaiketsu! 64 Tanteidan,1999,Pandora Box,Imagineer,JP,4 !1?4,?,Adventure/Detective/Puzzle
Kirby 64: The Crystal Shards ?Hoshi no Kirby 64JP,2000,HAL Laboratory,Nintendo,"JP, NA, PAL",4 !1?4,E/3+,Adventure/2D Platformer
Knife Edge: Nose Gunner ?Knife EdgePAL,1998,Kemco,Kemco,"JP, NA, PAL",4 !1?4,E/3+,Action/3D Rail Shooter
Knockout Kings 2000,1999,Black Ops Entertainment,Electronic Arts,"NA, PAL",2 !1?2,T/11+,Sports/Boxing
Kobe Bryant in NBA Courtside,1998,Left Field Productions,Nintendo,"NA, PAL",4 !1?4,E/3+,Sports/Basketball
Last Legion UX,1999,Yuke's,Hudson Soft,JP,4 !1?4,?,Arcade/3D Fighting/Robots
Legend MThe Legend of Zelda: Majora's Mask,2000,Nintendo,Nintendo,"JP, NA, PAL",1,E/11+,Action/Adventure
Legend OThe Legend of Zelda: Ocarina of Time,1998,Nintendo,Nintendo,"JP, NA, PAL",1,E/3+,Action/Adventure
LEGO Racers,1999,High Voltage Software,LEGO Media,"NA, PAL",2 !1?2,E/3+,Simulation/Auto Racing
Lode Runner 3-D,1999,Big Bang,Infogrames,"JP, NA, PAL",1,E/3+,Adventure/Strategy/Puzzle
Mace: The Dark Age,1997,Atari Games,Midway,"NA, PAL",4 !1?4,M/15+,Arcade/ 3D Fighting
Madden Football 64,1997,Electronic Arts,Electronic Arts,"NA, PAL",4 !1?4,K-A/3+,Sports/American Football
Madden NFL 99,1998,Electronic Arts,Electronic Arts,"NA, PAL",4 !1?4,E/3+,Sports/American Football
Madden NFL 2000,1999,Electronic Arts,Electronic Arts,NA,4 !1?4,E/?,Sports/American Football
Madden NFL 2001,2000,Electronic Arts,Electronic Arts,NA,4 !1?4,E/?,Sports/American Football
Madden NFL 2002,2001,Electronic Arts,Electronic Arts,NA,4 !1?4,E/?,Sports/Rugby/American Football
Magical Tetris Challenge,1999,Capcom,Capcom,"JP, NA, PAL",4 !1?4,E/3+,Arcade/Action/Puzzle
Mahjong 64,1997,Chat Noir,Koei,JP,1,?,Simulation/Gambling
Mahjong H?r?ki Classic,1997,Imagineer,Imagineer,JP,1,?,Simulation/Gambling
Mahjong Master,1996,Konami,Konami,JP,1,?,Simulation/Gambling
"Major League Baseball Featuring Ken Griffey, Jr.",1998,Angel Studios,Nintendo,"NA, PAL",4 !1?4,E/?,Sports/Baseball
Mario Golf,1999,Camelot,Nintendo,"JP, NA, PAL",4 !1?4,E/3+,Sports/Golf
Mario Kart 64,1996,Nintendo,Nintendo,"JP, NA, PAL",4 !1?4,K-A/3+,Racing/Battle
Mario no Photopi,1998,Tokyo Electron,Tokyo Electron,JP,1,?,Photography/Puzzle
Mario Party,1998,Hudson Soft,Nintendo,"JP, NA, PAL",4 !1?4,E/3+,Board Games
Mario Party 2,1999,Hudson Soft,Nintendo,"JP, NA, PAL",4 !1?4,E/3+,Board Games
Mario Party 3,2000,Hudson Soft,Nintendo,"JP, NA, PAL",4 !1?4,E/3+,Board Games
Mario Tennis ?Mario Tennis 64JP,2000,Camelot,Nintendo,"JP, NA, PAL",4 !1?4,E/3+,Sports/Tennis
Masters '98: Haruka Naru Augusta,1997,T&E Soft,T&E Soft,JP,4 !1?4,?,Sports/Golf
Mega Man 64 ?Rockman Dash: Hagane no BokenshinJP,2000,Capcom,Capcom,"JP, NA",1,E/?,Action/Adventure
Michael Owen's WLS 2000 ?Mia Hamm 64 SoccerNA ?RTL World League Soccer 2000GER ?Telefoot Soccer 2000FRA,2000,Silicon Dreams,THQ SouthPeak Interactive,"NA, PAL",4 !1?4,E/3+,Sports/Soccer
Mickey's Speedway USA ?Mickey no Racing Challenge USAJP,2000,Rare,Nintendo,"JP, NA, PAL",4 !1?4,E/3+,Racing/Battle
Micro Machines 64 Turbo,1999,Codemasters,Midway,"NA, PAL",4 !1?4,E/3+,Racing/Battle
Midway's Greatest Arcade Hits: Volume 1,2000,Digital Eclipse,Midway,NA,1,E/?,Arcade/Compilation
Mike Piazza's Strike Zone,1998,Devil's Thumb Entertainment,GT Interactive,NA,2 !1?2,E/?,Sports/Baseball
Milo's Astro Lanes,1998,Player 1,Crave Entertainment,"NA, PAL",4 !1?4,E/3+,Sports/Bowling
Mischief Makers ?Yuke Yuke!! Trouble MakersJP,1997,Treasure,Nintendo,"JP, NA, PAL",1,K-A/3+,Action/Adventure/2D Platformer
Mission: Impossible,1998,Infogrames,Ocean,"NA, PAL",1,T/11+,Action/Adventure
Monaco Grand Prix ?Racing Simulation: Monaco Grand PrixPAL,1999,Ubisoft,Ubisoft,"NA, PAL",4 !1?4,E/3+,Racing/Automobile
Monopoly,1999,Mind's Eye,Hasbro Interactive,NA,4 !1?4,E/?,Board Games
Monster Truck Madness 64,1999,Edge of Reality,Rockstar Games,"NA, PAL",4 !1?4,E/3+,Racing/Automobile/Off Road
Morita Shogi 64,1998,SETA,SETA,JP,1,?,Board Game/Strategy
Mortal Kombat 4,1998,Eurocom,Midway,"NA, PAL",2 !1?2,M/18+,Arcade/3D Fighting
Mortal Kombat Mythologies: Sub-Zero,1997,Avalanche Software,Midway,"NA, PAL",1,M/18+,Action/Adventure/2D Fighting
Mortal Kombat Trilogy,1996,Midway,Midway,"NA, PAL",2 !1?2,M/15+,Arcade/2D Fighting
Ms. Pac-Man Maze Madness,2000,Mass Media,Namco,NA,4 !1?4,E/?,Arcade/Adventure/Maze
Multi-Racing Championship,1997,Genki,Ocean,"JP, NA, PAL",4 !1?4,K-A/3+,Racing/Automobile
Mystical Ninja Starring Goemon ?Ganbare Goemon: Neo Momoyama Bakufu no OdoriJP,1997,Konami,Konami,"JP, NA, PAL",1,E/11+,Adventure/Role Playing
Nagano Winter Olympics '98 ?Hyper Olympics in NaganoJP,1997,Konami,Konami,"JP, NA, PAL",4 !1?4,K-A/3+,Sports/Winter Sports
Namco Museum 64,1999,Mass Media,Namco,NA,1,E/?,Arcade/Compilation
NASCAR 99,1998,Stormfront Studios,Electronic Arts,"NA, PAL",4 !1?4,E/3+,Simulation/Automotive Racing
NASCAR 2000,1999,Stormfront Studios,Electronic Arts,NA,4 !1?4,E/?,Simulation/Automotive Racing
NBA Courtside 2: Featuring Kobe Bryant,1999,Left Field Productions,Nintendo,NA,4 !1?4,E/?,Sports/Basketball
NBA Hangtime,1997,Midway,Midway,"NA, PAL",4 !1?4,K-A/3+,Sports/Basketball
NBA In The Zone '98 ?NBA Pro '98PAL,1998,Konami,Konami,"JP, NA, PAL",4 !1?4,K-A/3+,Sports/Basketball
NBA In The Zone '99 ?NBA Pro '99PAL ?NBA in the Zone 2JP,1999,Konami,Konami,"JP, NA, PAL",4 !1?4,E/3+,Sports/Basketball
NBA In The Zone 2000,2000,Konami,Konami,"NA, PAL",4 !1?4,E/3+,Sports/Basketball
NBA Jam '99,1998,Iguana Entertainment,Acclaim,"NA, PAL",4 !1?4,E/3+,Sports/Basketball
NBA Jam 2000,1999,Iguana Entertainment,Acclaim,"NA, PAL",4 !1?4,E/3+,Sports/Basketball
NBA Live '99,1998,NuFX,Electronic Arts,"NA, PAL",4 !1?4,E/3+,Sports/Basketball
NBA Live 2000,1999,NuFX,Electronic Arts,"NA, PAL",4 !1?4,E/3+,Sports/Basketball
NBA Showtime: NBA on NBC,1999,Eurocom,Midway,NA,4 !1?4,E/?,Sports/Basketball
Neon Genesis Evangelion,1999,BEC,Bandai,JP,4 !1?4,?,Arcade/Fighting
New Japan Pro Wrestling: T?hkon Road Brave Spirits,1998,Yuke's,Hudson Soft,JP,4 !1?4,?,Sports/Wrestling
"New Japan Pro Wrestling: T?hkon Road Brave Spirits 2, The Next Generation",1998,Yuke's,Hudson Soft,JP,4 !1?4,?,Sports/Wrestling
New TThe New Tetris,1999,H2O Entertainment,Nintendo,"NA, PAL",4 !1?4,E/3+,Arcade/Action/Puzzle
NFL Blitz,1998,Midway,Midway,NA,4 !1?4,E/?,Sports/American Football
NFL Blitz 2000,1999,Midway,Midway,NA,4 !1?4,E/?,Sports/American Football
NFL Blitz 2001,2000,Point of View,Midway,NA,4 !1?4,E/?,Sports/American Football
