Code,Airport Name,City,State
ELP,El Paso International Airport,El Paso,TX
OMA,Eppley Airfield,Omaha,NE
FAI,Fairbanks International Airport,Fairbanks,AK
FLL,Fort Lauderdale Hollywood International Airport,Fort Lauderdale,FL
VPS,Fort Walton Beach Airport,Valparaiso,FL
FAT,Fresno Air Terminal,Fresno,CA
MKE,General Mitchell International Airport,Milwaukee,WI
GRR,Gerald R. Ford International Airport,Grand Rapids,MI
GCN,Grand Canyon National Park Airport,Grand Canyon,AZ
ROC,Greater Rochester International Airport,Rochester,NY
GSP,Greenville/Spartanburg Airport,Greenville,SC
GUM,Guam International Airport,Agana,GU
GPT,Gulfport-Biloxi International Airport,Gulfport,MS
MDT,Harrisburg International Airport,Harrisburg,PA
ITO,Hilo International Airport,Hilo,HI
HOU,Hobby Airport,Houston,TX
HNL,Honolulu International Airport,Honolulu,HI
HSV,Huntsville International Airport,Huntsville,AL
IND,Indianapolis International Airport,Indianapolis,IN
JAN,Jackson-Evers International Airport,Jackson,MS
JAX,Jacksonville International Airport,Jacksonville,FL
JFK,John F. Kennedy International Airport,New York,NY
SNA,John Wayne Airport,Orange County,CA
JNU,Juneau International Airport,Juneau,AK
OGG,Kahului Airport,Kahului,HI
MCI,Kansas City International Airport,Kansas City,MO
KOA,Kona International Airport,Keahole,HI
LGA,La Guardia Airport,New York,NY
STL,Lambert-St. Louis International Airport,Saint Louis,MO
ABE,Lehigh Valley International Airport,Allentown,PA
LIH,Lihue Airport,Lihue,HI
LIT,Little Rock National Airport,Little Rock,AR
LGB,Long Beach Airport,Long Beach,CA
LAX,Los Angeles International Airport,Los Angeles,CA
SDF,Louisville International Airport,Louisville,KY
LBB,Lubbock International Airport,Lubbock,TX
SJU,Luis Munoz Marin International Airport,San Juan,PR
ISP,Macarthur Airport,Islip,NY
MHT,Manchester Airport,Manchester,NH
LAS,Mccarran International Airport,Las Vegas,NV
TYS,Mcghee Tyson Airport,Knoxville,TN
MEM,Memphis Airport,Memphis,TN
MIA,Miami International Airport,Miami,FL
MAF,Midland International Airport,Midland,TX
MSP,Minneapolis/St. Paul International Airport,Minneapolis,MN
MYR,Myrtle Beach Airport,Myrtle Beach,SC
BNA,Nashville International Airport,Nashville,TN
MSY,New Orleans International Airport,New Orleans,LA
EWR,Newark Liberty International Airport,Newark,NJ
PHF,Newport News/Williamsburg International Airport,Newport News,VA
ORF,Norfolk International Airport,Norfolk,VA
XNA,Northwest Arkansas Regional Airport,Fayetteville,AR
OAK,Oakland International Airport,Oakland,CA
ONT,Ontario International Airport,Ontario,CA
MCO,Orlando International Airport,Orlando,FL
SFB,Orlando Sanford International Airport,Sanford,FL
PBI,Palm Beach International Airport,West Palm Beach,FL
PSP,Palm Springs International Airport,Palm Springs,CA
PNS,Pensacola Regional Airport,Pensacola,FL
PHL,Philadelphia International Airport,Philadelphia,PA
PHX,Phoenix Sky Harbor International Airport,Phoenix,AZ
GSO,Piedmont Triad International Airport,Greensboro,NC
PIT,Pittsburgh International Airport,Pittsburgh,PA
CMH,Port Columbus International Airport,Columbus,OH
PDX,Portland International Airport,Portland,OR
PWM,Portland International Jetport,Portland,ME
MLI,Quad City International Airport,Moline,IL
RDU,Raleigh-Durham International Airport,Rdu Airport,NC
RNO,Reno-Tahoe International Airport,Reno,NV
RIC,Richmond International Airport,Richmond,VA
DCA,Ronald Reagan Washington National Airport,Washington,DC
SMF,Sacramento International Airport,Sacramento,CA
GSN,Saipan International Airport,Saipan Island,CQ
SLC,Salt Lake City International Airport,Salt Lake City,UT
SAT,San Antonio International Airport,San Antonio,TX
SAN,San Diego International Airport,San Diego,CA
SFO,San Francisco International Airport,San Francisco,CA
SJC,San Jose International Airport,San Jose,CA
SBA,Santa Barbara Airport,Santa Barbara,CA
SRQ,Sarasota-Bradenton International Airport,Sarasota,FL
SAV,Savannah/Hilton Head International Airport,Savannah,GA
SEA,Seattle/Tacoma International Airport,Seattle,WA
SBN,South Bend Regional Airport,South Bend,IN
RSW,Southwest Florida International Airport,Fort Myers,FL
GEG,Spokane International Airport,Spokane,WA
PIE,St. Petersburg-Clearwater International Airport,Saint Petersburg,FL
SYR,Syracuse Hancock International Airport,Syracuse,NY
PVD,T.F. Green Airport,Providence,RI
TLH,Tallahassee Regional Airport,Tallahassee,FL
TPA,Tampa International Airport,Tampa,FL
TUS,Tucson International Airport,Tucson,AZ
TUL,Tulsa International Airport,Tulsa,OK
HRL,Valley International Airport,Harlingen,TX
IAD,Washington Dulles International Airport,Washington,DC
HPN,Westchester County Airport,White Plains,NY
ICT,Wichita Mid-Continent Airport,Wichita,KS
OKC,Will Rogers World Airport,Oklahoma City,OK
