Centre,Country,#of Patients
Ospedale a Vibo Valentia,ITALY,8
Szpital Specjalistyczny w Konskich,POLAND,8
Ospedale Valduce di Como,ITALY,8
Luton and Dunstable Hospital,UK,8
Royal United Hospital Bath,UK,7
Doncaster Royal Infirmary,UK,7
Central University Hospital,POLAND,7
Box Hill Hospital,AUSTRALIA,7
Nepean Hospital,AUSTRALIA,7
Harstad Sykehus,NORWAY,7
King's College Hospital,UK,7
Bristol Royal Infirmary,UK,6
Stepping Hill Hospital,UK,6
University Hospital North Durham,UK,6
Birmingham Heartlands Hospital,UK,6
Wansbeck General Hospital,UK,6
Royal Liverpool University Hospital,UK,5
University Hospital MAS,SWEDEN,5
Belfast City Hospital,UK,5
"City Hospital, Sandwell & West Birmingham Hospital",UK,5
Princess Royal Hospital Brighton & Sussex University Hospitals Trust,UK,5
Vastervik Hospital,SWEDEN,5
Sunderland Royal Hospital,UK,4
Royal Preston Hospital,UK,4
Royal London Hospital,UK,4
"Royal West Sussex NHS Trust, St Richard's Hospital",UK,4
The Royal Wolverhampton Hospitals NHS Trust,UK,4
Clinica Dr Pederzoli Spa,ITALY,4
University Hospital of Northern Sweden,SWEDEN,4
Alesund Sjukehus,NORWAY,4
Ospedale di Cattinara - Trieste,ITALY,4
Morriston Hospital,UK,4
Queen's Hospital Romford,UK,4
Visby Hospital,SWEDEN,4
Helsingborgs lasarett,SWEDEN,4
Leicester General Hospital,UK,3
Instituto Nacional de Neurologia y Neurojrugia MVS,MEXICO,3
Krankenhaus G?ttlicher Heiland,AUSTRIA,3
The Queen Elizabeth Hospital Birmingham,UK,3
Sundsvall Hospital,SWEDEN,3
Colchester Hospital University Foundation Trust,UK,3
Great Western Hospital,UK,3
"Nevill Hall Hospital, Aneurin Bevan Local Health",UK,3
"Darent Valley Hospital, Dartford & Gravesham NHS Trust",UK,3
Ulster Hospital,UK,3
Ospedale Civile San Matteo Degli Infermi - Spoleto,ITALY,2
**Leicester Royal Infirmary,UK,2
"Medisinsk Avdeling, Asher and Baerum Hospital",NORWAY,2
John Radcliffe Hospital,UK,2
Ospedale Silvestrini - Perugia,ITALY,2
Sykehuset Namsos,NORWAY,2
University Hospital Lund,SWEDEN,2
Derriford Hospital,UK,2
"Mater Salutis Hospital, Legnago VR",ITALY,2
Salford Royal Hospital Foundation NHS Trust,UK,2
Queen Elizabeth Hospital (Kings Lynn),UK,2
Karlstad Central Hospital,SWEDEN,1
Victoria Hospital,UK,1
Universit?tsspital Z?rich,SWITZERLAND,1
Medway Maritime Hospital,UK,1
Vasteras Hospital,SWEDEN,1
Sandwell General Hospital,UK,1
Southampton General Hospital,UK,1
West Cumberland Hospital,UK,1
SPSK im. Prof. W. Orlowskiego CMKP,POLAND,1
Volda sjukehus,NORWAY,1
Warrington & Halton Hospitals NHS Foundation Trust,UK,1
Torbay Hospital,UK,1
Ospedale Guglielmo da Saliceto - Piacenza,ITALY,1
