Rank,Company,Country,Industry,Sales ($bil),Profits ($bil),Assets ($bil),Market Value ($bil)
56,France Telecom,France,Telecommunications Services,65.92,4.30,132.06,62.39
57,Sanofi-aventis,France,Drugs & Biotechnology,41.99,7.54,114.85,98.07
58,Ford Motor,United States,Consumer Durables,118.31,2.72,194.85,41.80
59,Commonwealth Bank,Australia,Banking,31.84,3.81,500.20,75.10
60,RWE Group,Germany,Utilities,66.57,4.98,130.36,47.93
61,Novartis,Switzerland,Drugs & Biotechnology,44.27,8.40,90.89,126.22
62,BHP Billiton,Australia/United Kingdom,Materials,50.21,5.88,74.86,192.45
63,Zurich Financial Services,Switzerland,Insurance,70.27,3.22,366.66,34.71
64,Statoil,Norway,Oil & Gas Operations,79.76,3.16,97.09,72.26
65,Generali Group,Italy,Insurance,123.14,1.83,607.37,35.19
66,Roche Holding,Switzerland,Drugs & Biotechnology,47.35,7.51,69.64,146.19
67,Westpac Banking Group,Australia,Banking,31.19,3.04,519.03,70.99
68,Rio Tinto,United Kingdom/Australia,Materials,41.83,4.87,95.01,118.34
69,Lukoil,Russia,Oil & Gas Operations,86.34,9.14,70.94,45.18
70,Anheuser-Busch InBev,Belgium,"Food, Drink & Tobacco",36.76,4.61,111.58,81.48
71,GlaxoSmithKline,United Kingdom,Drugs & Biotechnology,45.83,8.94,65.38,95.36
72,Merck & Co,United States,Drugs & Biotechnology,27.43,12.90,112.09,116.11
73,Crédit Agricole,France,Banking,91.96,1.61,"2,227.22",34.42
74,Munich Re,Germany,Insurance,59.31,3.67,284.21,30.12
75,Apple,United States,Technology Hardware & Equip,46.71,9.36,53.93,189.51
75,Cisco Systems,United States,Technology Hardware & Equip,35.53,6.07,76.40,140.85
77,Rosneft,Russia,Oil & Gas Operations,34.70,6.51,83.11,83.19
78,Mitsubishi Corp,Japan,Trading Companies,63.12,3.80,109.74,42.64
79,National Australia Bank,Australia,Banking,32.50,2.29,574.41,48.80
80,Vale,Brazil,Materials,27.82,5.88,100.81,145.14
81,CVS Caremark,United States,Retailing,98.73,3.70,61.64,47.85
82,Itaúsa,Brazil,Conglomerates,66.36,2.25,342.63,28.74
83,ANZ Banking,Australia,Banking,26.91,2.60,420.52,53.72
84,Tesco,United Kingdom,Food Markets,77.94,3.10,65.61,51.43
85,Unilever,Netherlands/United Kingdom,"Food, Drink & Tobacco",57.05,4.83,52.05,91.33
86,Honda Motor,Japan,Consumer Durables,102.82,1.41,117.24,63.22
86,Toronto-Dominion Bank,Canada,Banking,23.60,2.90,517.28,55.43
88,Iberdrola,Spain,Utilities,35.15,3.94,125.21,42.16
89,Comcast,United States,Media,35.76,3.64,112.73,47.76
90,China Life Insurance,China,Insurance,24.01,3.12,153.13,118.75
91,Bank of Nova Scotia,Canada,Banking,23.27,3.29,460.93,47.26
92,UnitedHealth Group,United States,Health Care Equipment & Svcs,87.14,3.82,59.05,39.40
93,Sberbank,Russia,Banking,23.27,3.20,220.62,57.70
94,United Technologies,United States,Conglomerates,52.92,3.83,55.76,65.28
95,Nordea Bank,Sweden,Banking,22.81,3.41,729.06,39.42
96,Bank of Communications,China,Banking,19.05,4.17,392.83,57.34
97,BASF,Germany,Chemicals,72.63,2.02,72.06,52.12
98,Walt Disney,United States,Media,36.29,3.31,69.31,61.17
99,Standard Chartered Group,United Kingdom,Banking,20.94,3.38,435.56,46.16
100,AstraZeneca,United Kingdom,Drugs & Biotechnology,32.80,7.52,53.63,63.56
