Name,Artist,Genre
CHINA GROVE,"DOOBIE BROTHERS, THE",CLASSIC ROCK
COME AWAY WITH ME,NORAH JONES,POP
COME TOGETHER,"BEATLES, THE",OLDIES
CRAZY,"CLINE, PATSY",COUNTRY
CRAZY TRAIN,"OZBORN, OZZIE",CLASSIC ROCK
CREEP,RADIOHEAD,ROCK
DANCIN IN THE STREETS,MARTHA REEVES AND THE VANDELLAS,OLDIES
DANCING QUEEN,ABBA,DISCO
DESPERADO,EAGLES,CLASSIC ROCK
DOCK OF THE BAY,"REDDING, OTTIS",OLDIES
DON'T ROCK THE JUKEBOX,"JACKSON, ALAN",COUNTRY
DON'T STOP BELIEVIN',JOURNEY,CLASSIC ROCK
DON'T STOP TIL YOU GET ENOUGH,"JACKSON, MICHAEL",POP
DON'T YOU FORGET ABOUT ME,SIMPLE MINDS,POP
DOWN WITH THE SICKNESS,DISTURBED,ROCK
DREAMS,FLEETWOOD MAC,CLASSIC ROCK
EASY,"COMMODORES, THE",POP
FAITHFULLY,JOURNEY,CLASSIC ROCK
FAMILY TRADITION,"WILLIAMS JR, HANK",COUNTRY
FEVER,"LEE, PEGGY",STANDARDS
FIGHT FOR YOUR RIGHT TO PARTY,"BEASTIE BOYS, THE",ROCK
FISHIN' IN THE DARK,NITTY GRITTY DIRT BAND,COUNTRY
FOLSOM PRISON,"CASH, JOHNNY",COUNTRY
FOR ONCE IN MY LIFE,STEVIE WONDER,DISCO
FREE FALLIN,"PETTY, TOM",CLASSIC ROCK
FREE YOUR MIND,EN VOGUE,POP
FRIENDS IN LOW PLACES,"BROOKS, GARTH",COUNTRY
GET BACK,"BEATLES, THE",OLDIES
GET DOWN TONIGHT,KC AND THE SUNSHINE BAND,DISCO
GET THIS PARTY STARTED,PINK,POP
GIRLS JUST WANNA HAVE FUN,"LAUPER, CYNDI",POP
GIVE ME ONE REASON,"CHAPMAN, TRACY",POP
GIVE ME SOME LOVIN',SPENCER DAVIS GROUP,OLDIES
GIVE ME THREE STEPS,LYNARD SKYNARD,CLASSIC ROCK
GOOD TIMES,CHIC,DISCO
GOT TO BE REAL,"LYNN, CHERYL",DISCO
GREAT BALLS OF FIRE,"BERRY, CHUCK",OLDIES
GUNPOWDER AND LEAD,"LAMBERT, MIRANDA",COUNTRY
HARD TO HANDLE,"BLACK CROWES, THE",ROCK
HARDER TO BREATH,MAROON 5,ROCK
HEART SHAPED BOX,NIRVANNA,ROCK
HEARTBREAKER,"BENETAR, PAT",ROCK
HEATWAVE,MARTHA REEVES AND THE VANDELLAS,OLDIES
HELLA GOOD,NO DOUBT,POP
HERE FOR THE PARTY,"WILSON, GRETCHEN",COUNTRY
HERE I GO AGAIN,WHITESNAKE,CLASSIC ROCK
HEY JUDE,"BEATLES, THE",OLDIES
HIT ME WITH YOUR BEST SHOT,"BENETAR, PAT",ROCK
HONKY TONK WOMEN,"ROLLING STONES, THE",CLASSIC ROCK
HOT AND COLD,"PERRY, KATY",POP
HOT BLOODED,FORIENGER,ROCK
HOTSTUFF,"SUMMER, DONNA",DISCO
HOUND DOG,ELVIS,OLDIES
HOW SWEET IT IS,"TAYLOR, JAMES",CLASSIC ROCK
HURTS SO GOOD,"MELLENCAMP, JOHN COUGAR",CLASSIC ROCK
I FEEL GOOD,"BROWN, JAMES",OLDIES
I GOTTA FEELING,BLACK EYED PEAS,POP
I HATE MYSELF FOR LOVIN' YOU,"JETT, JOAN",ROCK
I HEARD IT THROUGH THE GRAPEVINE,"KNIGHT, GLADYS",OLDIES
I HEARD IT THROUGH THE GRAPEVINE,"GAYE, MARVIN",OLDIES
I HOPE YOU DANCE,"WOMACK, LEE ANN",COUNTRY
I KISSED A GIRL,"PERRY, KATY",POP
I LIKE IT I LOVE IT,"MCGRAW, TIM",COUNTRY
I LOVE ROCK AND ROLL,"JETT, JOAN",ROCK
I WALK THE LINE,"CASH, JOHNNY",COUNTRY
I WANT YOU BACK,"JACKSON, MICHAEL",POP
I WANT YOU TO WANT ME,CHEAP TRICK,CLASSIC ROCK
I WILL ALWAYS LOVE YOU,"HOUSTON, WHITNEY",POP
I WILL SURVIVE,"GAYNOR, GLORIA",DISCO
I WISH,"WONDER, STEVIE",POP
I'LL TAKE YOU THERE,"STAPLE SISTERS, THE",DISCO
I'M THE ONLY ONE,MELLISSA ETHERIDGE,ROCK
I'M YOURS,"MRAZ, JASON",ROCK
"ICE, ICE BABY",VANILLA ICE,RAP
IF YOU COULD ONLY SEE,TONIC,ROCK
INDEPENDENCE DAY,"MCBRIDE, MARTINA",COUNTRY
IRONIC,"MORRISETTE, ALANIS",ROCK
JACK AND DIANE,"MELLENCAMP, JOHN COUGAR",CLASSIC ROCK
JAILHOUSE ROCK,ELVIS,OLDIES
JESSIE'S GIRL,"SPRINGFIELD, RICK",ROCK
JOHNNY B GOOD,"BERRY, CHUCK",OLDIES
JUST DANCE,LADY GAGA,POP
KEROSENE,"LAMBERT, MIRANDA",COUNTRY
KISS,PRINCE,POP
KNOCK ON WOOD,"STEWART, AMY",DISCO
LADIES NIGHT,KOOL AND THE GANG,DISCO
LADY MARMELADE,PINK/AGULIARIA...,POP
LANDSLIDE,FLEETWOOD MAC,CLASSIC ROCK
LAST DANCE,"SUMMER, DONNA",DISCO
LAST DANCE WITH MARY JANE,"PETTY, TOM",CLASSIC ROCK
LAST NAME,"UNDERWOOD, CARRIE",COUNTRY
LE FREAK,CHIC,DISCO
LEAVE THE PIECES,"WRECKERS, THE",COUNTRY
LET'S GET IT ON,"GAYE, MARVIN",OLDIES
LET'S GO CRAZY,PRINCE,POP
LET'S GROOVE TONIGHT,"EARTH, WIND, AND FIRE",DISCO
LET'S STAY TOGETHER,"GREEN, AL",OLDIES
LIFE IS A HIGHWAY,"COCHRAN, TOM",ROCK
LIGHTS,JOURNEY,CLASSIC ROCK
LIKE A VIRGIN,MADONNA,POP
LITTLE WHITE CHURCH,LITTLE BIG TOWN,COUNTRY
LIVING ON A PRAYER,BON JOVI,ROCK
LONG TRAIN RUNNIN',DOOBIE BROTHERS,ROCK
LOVE SHACK,"B-52'S, THE",POP
LOVE STORY,"SWIFT, TAYLOR",COUNTRY
"LOVIN', TOUCHIN', SQUEEZIN'",JOURNEY,CLASSIC ROCK
LUMP,THE PRESIDENTS OF THE UNITED STATES,ROCK
LYIN' EYES,EAGLES,CLASSIC ROCK
MAN! I FEEL LIKE A WOMAN,"TWAIN, SHANIA",COUNTRY
MARGARITAVILLE,"BUFFET, JIMMY",CLASSIC ROCK
MARY JANES LAST DANCE,TOM PETTY,ROCK
ME AND BOBBY MCGEE,"JOPLIN, JANIS",CLASSIC ROCK
MERCY,DUFFY,POP
MR. BRIGHTSIDE,"KILLERS, THE",ROCK
MUSIC,MADONNA,POP
MUSTANG SALLY,WILSON PICKETT,OLDIES
MY GIRL,"TEMPTATIONS, THE",OLDIES
MY OWN WORST ENEMY,LIT,ROCK
MY SHARONA,"KNACK, THE",CLASSIC ROCK
MY WAY,"SINATRA, FRANK",STANDARDS
MY WISH,RASCAL FLATTS,COUNTRY
NATURAL WOMAN,"FRANKLIN, ARETHA",OLDIES
NEED YOU NOW,LADY ANTEBELLUM,COUNTRY
NEW SENSATION,INXS,POP
"NEW YORK, NEW YORK","SINATRA, FRANK",STANDARDS
NOTHING BUT A GOOD TIME,POISON,CLASSIC ROCK
OLD TIME ROCK AND ROLL,"SEGAR, BOB",CLASSIC ROCK
ON BROADWAY,"BENSON, GEORGE",STANDARDS
ON THE ROAD AGAIN,"NELSON, WILLIE",COUNTRY
ONE WAY OR ANOTHER,BLONDIE,ROCK
OPEN ARMS,JOURNEY,ROCK
OUR SONG,"SWIFT, TAYLOR",COUNTRY
PARALYZER,FINGER ELEVEN,ROCK
PARTY IN THE USA,MILEY CYRUS,POP
PIECE OF MY HEART,"JOPLIN, JANIS",CLASSIC ROCK
PINK HOUSES,"MELLENCAMP, JOHN COUGAR",CLASSIC ROCK
PLAY THAT FUNKY MUSIC,WILD CHERRY,DISCO
PLEASE DON'T STOP THE MUSIC,RHIANNA,POP
PLUSH,STP,ROCK
POKER FACE,LADY GAGA,POP
POUR SOME SUGAR ON ME,DEF LEPPARD,ROCK
PURPLE RAIN,PRINCE,POP
RAISE YOUR GLASS,PINK,POP
REBEL YELL,BILLIE IDOL,ROCK
REMEDY,SEETHER,ROCK
RESPECT,"FRANKLIN, ARETHA",OLDIES
ROCK AND ROLL,LED ZEPPLIN,CLASSIC ROCK
ROCK AND ROLL ALL NITE,KISS,CLASSIC ROCK
ROCKSTAR,NICKLEBACK,ROCK
ROLLERCOASTER,RED HOT CHILI PEPPERS,ROCK
ROLLING IN THE DEEP,ADELE,POP
ROSANNA,TOTO,ROCK
SAD BUT TRUE,METALLICA,ROCK
SATISFACTION,"ROLLING STONES, THE",CLASSIC ROCK
SAVE A HORSE RIDE A COWBOY,BIG AND RICH,COUNTRY
SEPARATE WAYS,JOURNEY,CLASSIC ROCK
SEPTEMBER,EARTH WIND AND FIRE,POP
SEXY BACK,JUSTIN TIMBERLAKE,POP
SHAKE YOUR BODY DOWN TO THE GROUND,"JACKSON, MICHAEL",POP
"SHAKE, SHAKE, SHAKE",KC AND THE SUNSHINE BAND,DISCO
SHAKEY GROUND,"TEMPTATIONS, THE",OLDIES
SHE'S COUNTRY,JASON ALDEAN,COUNTRY
SHOULD I STAY OR SHOULD I GO,THE KNACK,ROCK
SHOUT,ISLEY BROTHERS,OLDIES
SHUT UP AND DRIVE,RHIANNA,POP
SINCE I FELL FOR YOU,STANDARD,STANDARDS
SINCE YOU BEEN GONE,"CLARKSON, KELLY",POP
SINGED SEAL DELIVERED,"WONDER, STEVIE",POP
SOMEBODY TO LOVE,JEFFERSON AIRPLANE,CLASSIC ROCK
SOMETHING MORE,SUGARLAND,COUNTRY
SOUL MAN,SAM AND DAVE,OLDIES
START ME UP,"ROLLING STONES, THE",CLASSIC ROCK
STEAMROLLER BLUES,"TAYLOR, JAMES",CLASSIC ROCK
STONE IN LOVE,JOURNEY,CLASSIC ROCK
STRAWBERRY WINE,"CARTER, DEANA",COUNTRY
SUMMER NIGHTS,GREASE,SOUNDTRACK
SUMMER OF 69,"ADAMS, BRIAN",ROCK
SUMMERTIME,"HOLIDAY, BILLIE",STANDARDS
SUPERSTITIOUS,"WONDER, STEVIE",POP
SUSPICIOUS MINDS,ELVIS,OLD
SWEET CAROLINE,"DIAMOND, NEIL",CLASSIC ROCK
SWEET CHILD OF MINE,GUNS AND ROSES,ROCK
SWEET EMOTION,AEROSMITH,ROCK
SWEET HOME ALABAMA,LYNARD SKYNARD,CLASSIC ROCK
TAKE IT EASY,EAGLES,CLASSIC ROCK
TAKING CARE OF BUSINESS,BACHMAN TURNER OVERDRIVE,ROCK
TALK DIRTY TO ME,POISION,CLASSIC ROCK
THAT'S THE WAY I LIKE IT,KC AND THE SUNSHINE BAND,DISCO
THAT'S THE WAY OF THE WORLD,EARTH WIND AND FIRE,POP
THE BEST DAYS OF YOUR LIFE,KELLIE PICKLER,COUNTRY
THE BEST OF MY LOVE,THE EMOTIONS,DISCO
THE CHAIR,"STRAIGHT, GEORGE",COUNTRY
THE FIREMAN,"STRAIGHT, GEORGE",COUNTRY
THE JOKER,STEVE MILLER BAND,CLASSIC ROCK
THE WARRIOR,SCANDAL,ROCK
THINK,"FRANKLIN, ARETHA",OLDIES
TROUBLE,"TRITT, TRAVIS",COUNTRY
TUSH,ZZ TOP,CLASSIC ROCK
TWIST AND SHOUT,"BEATLES, THE",OLDIES
U & UR HAND,PINK,POP
U CAN'T TOUCH THIS,MC HAMMER,RAP
UMBRELLA,RHIANNA,POP
UNCHAINED MELODY,"RIGHTEOUS BROTHERS, THE",OLDIES
USE SOMEBODY,KINGS OF LEON,ROCK
WALK AWAY,"CLARKSON, KELLY",POP
WALK THIS WAY,AEROSMITH,ROCK
WALKING AFTER MIDNIGHT,"CLINE, PATSY",COUNTRY
WANNA BE STARTIN' SOMETHIN',"JACKSON, MICHAEL",POP
WANTED DEAD OR ALIVE,BON JOVI,ROCK
WE ARE FAMILY,SISTER SLEDGE,DISCO
WE ARE THE CHAMPIONS,QUEEN,CLASSIC ROCK
WE WILL ROCK YOU,QUEEN,CLASSIC ROCK
WHAT YOU NEED,INXS,POP
WHAT'S UP,4 NON BLONDES,ROCK
WHEN WILL I BE LOVED,"RONSTANDT, LINDA",CLASSIC ROCK
WHITE LIAR,MIRANDA LAMBERT,COUNTRY
WHO WOULDN'T WANNA BE ME,"URBAN, KEITH",COUNTRY
WHOLE LOTTA LOVE,LED ZEPPLIN,CLASSIC ROCK
WHOLE LOTTA SHAKIN',"LEWIS, JERRY LEE",OLDIES
WORD UP,CAMEO,POP
WORKIN' FOR THE WEEKEND,LOVERBOY,CLASSIC ROCK
WORKING MAN BLUES,"HAGGARD, MERLE",COUNTRY
YMCA,"VILLAGE PEOPLE, THE",DISCO
YOU BELONG WITH ME,TAYLOR SWIFT,COUNTRY
YOU GIVE LOVE A BAD NAME,BON JOVI,ROCK
YOU NEVER EVEN CALLED ME BY MY NAME,"COE, DAVID ALLEN",COUNTRY
YOU REALLY GOT ME,VAN HALEN,CLASSIC ROCK
YOU REALLY GOT ME,"KNACK, THE",CLASSIC ROCK
YOU SHOOK ME ALL NIGHT LONG,AC/DC,ROCK
YOU'RE NO GOOD,"RONSTANDT, LINDA",CLASSIC ROCK
YOU'RE THE ONE THAT I WANT,GREASE,SOUNDTRACK
YOU'VE LOST THAT LOVIN' FEELIN,"RIGHTEOUS BROTHERS, THE",OLDIES
YOUR LOVE,"OUTFIELD, THE",ROCK
ZOMBIE,THE CRANBERRIES,ROCK
