#,Catholics,Population,Percent Catholic,Country,Dioceses,Diocesan Priests,Religious Priests,Total Priests,Permanent Deacons,Male Religious,Female Religious,Parishes
59,"2,964,000","397,673,000",.75%,China,117,"2,270","2,289","4,559",6,"1,933","6,079","2,335"
60,"2,841,000","18,805,000",15.11%,C?te d'Ivoire,14,652,237,889,6,533,831,287
61,"2,799,000","3,823,000",73.21%,Puerto Rico,5,369,365,734,418,469,"1,158",327
62,"2,766,000","3,457,000",80.01%,Lithuania,8,681,98,779,4,145,773,677
63,"2,675,000","21,520,000",12.43%,Ghana,18,876,193,"1,069",1,476,794,366
64,"2,315,000","3,176,000",72.89%,Uruguay,10,203,256,459,76,382,"1,089",226
65,"2,233,000","8,241,000",27.10%,Antilles,21,287,337,624,81,518,"1,055",465
66,"2,077,000","4,114,000",50.49%,Congo,7,176,62,238,1,152,232,158
67,"1,883,000",-,,Lebanon,23,"1,001",602,"1,603",4,"1,030","2,728","1,253"
68,"1,875,000","21,709,000",8.64%,Romania,12,"1,551",182,"1,733",4,437,"1,326","1,430"
69,"1,799,000","2,107,000",85.38%,Panama,8,199,197,396,64,270,447,186
70,"1,688,000","4,968,000",33.98%,Papua New Guinea,19,185,328,513,7,672,861,305
71,"1,646,000","7,155,000",23.00%,Benin,10,394,107,501,,227,939,212
72,"1,623,000","1,997,000",81.27%,Slovenia,3,854,296,"1,150",8,372,741,803
73,"1,545,000","13,169,000",11.73%,Burkina Faso,13,559,157,716,,491,"1,218",141
74,"1,483,000","5,968,000",24.85%,Togo,7,321,127,448,,337,735,151
75,"1,364,000","20,204,000",6.75%,Sri Lanka,11,648,307,955,,626,"2,300",391
76,"1,300,000","47,760,000",2.72%,Yemen,1,9,36,45,1,36,64,20
77,"1,282,000","14,580,000",8.79%,Zimbabwe,8,183,220,403,12,528,"1,049",208
78,"1,191,000","165,809,000",.72%,Pakistan,7,122,112,234,1,208,662,114
79,"1,030,000","10,310,000",9.99%,Belarus,4,214,157,371,,207,354,402
80,"971,000","1,811,000",53.62%,Lesotho,4,67,80,147,,150,653,86
81,"793,000","3,492,000",22.71%,Central African Republic,9,139,138,277,,189,334,114
82,"789,000","147,125,000",.54%,Russian Federation,5,126,142,268,3,193,309,426
83,"784,000","24,740,000",3.17%,Malaysia,8,179,48,227,1,101,558,142
84,"767,000","823,000",93.20%,East Timor,2,44,69,113,,195,289,37
85,"720,000","8,178,000",8.80%,Chad,8,131,111,242,,157,375,109
86,"703,000","2,500,000",28.12%,Pacific (Oceania),17,213,260,473,141,463,837,345
87,"673,000","10,357,000",6.50%,Senegal,7,267,127,394,,336,719,125
88,"615,000","1,325,000",46.42%,Gabon,6,57,61,118,1,95,167,64
89,"603,000","58,304,000",1.03%,Myanmar,12,515,29,544,,159,"1,454",290
90,"595,000","645,000",92.25%,R?union,1,58,52,110,13,86,505,75
91,"548,000","586,000",93.52%,Equatorial Guinea,3,63,45,108,2,86,208,69
92,"541,000","9,878,000",5.48%,Serbia and Montenegro,7,205,46,251,7,57,319,265
93,"533,000","59,862,000",.89%,Ethiopia,10,189,289,478,1,461,596,246
94,"509,000","127,851,000",.40%,Japan,16,501,"1,088","1,589",12,"1,407","6,263",848
95,"464,000","2,981,000",15.57%,Bosnia and Herzegovina,3,266,361,627,1,437,499,276
96,"459,000","3,945,000",11.63%,New Zealand,7,317,201,518,9,366,944,271
97,"432,000","465,000",92.90%,Cape Verde,2,17,35,52,,42,134,31
98,"430,000","2,381,000",18.06%,Latvia,4,108,27,135,1,32,109,267
99,"425,000","1,000,000",42.50%,Syria,17,199,77,276,12,96,375,227
100,"414,000","3,500,000",11.83%,Iraq,15,142,37,179,9,71,424,119
101,"388,000","448,000",86.61%,Luxembourg,1,180,68,248,7,80,566,275
102,"375,000","2,235,000",16.78%,Namibia,3,19,63,82,45,97,399,91
103,"368,000","386,000",95.34%,Malta,2,477,448,925,,524,"1,047",79
104,"310,000","1,178,000",26.32%,Mauritius,2,61,40,101,,74,244,49
105,"303,000","22,158,000",1.37%,Taiwan,7,226,479,705,,644,"1,056",452
106,"299,000",-,,Egypt,12,205,327,532,,462,"1,323",205
107,"292,000","63,922,000",.46%,Thailand,10,433,229,662,,434,"1,439",436
108,"283,000","119,062,000",.24%,Bangladesh,6,126,131,257,,226,"1,059",81
109,"270,000",-,,Armenia,2,6,17,23,,27,43,48
110,"235,000","2,460,000",9.55%,Albania,4,22,26,48,,35,177,72
111,"227,000","15,039,000",1.51%,Mali,6,79,71,150,,88,280,42
112,"186,000","5,966,000",3.12%,Sierra Leone,3,69,51,120,,80,39,61
113,"182,000","15,889,000",1.15%,Kazakhstan,4,45,29,74,,40,100,46
114,"171,000","6,646,000",2.57%,Guinea,3,80,19,99,,36,100,56
115,"165,000","2,850,000",5.79%,Liberia,3,36,16,52,,29,42,49
116,"162,000","4,185,000",3.87%,Singapore,1,70,67,137,,132,202,30
117,"158,000","2,650,000",5.96%,Kuwait,1,2,8,10,1,8,13,4
118,"148,000","4,968,000",2.98%,Eritrea,3,80,252,332,,347,562,110
119,"144,000","8,977,000",1.60%,Sweden,1,73,78,151,23,96,215,41
120,"123,000","11,862,000",1.04%,Greece,11,53,37,90,3,65,124,86
121,"121,000","138,000",87.68%,S?o Tom? and Pr?ncipe,1,2,7,9,,15,36,12
122,"120,000","1,300,000",9.23%,Guinea-Bissau,2,13,54,67,,78,133,30
123,"91,000","437,000",20.82%,Solomon Islands,3,38,29,67,,43,95,27
124,"83,000","1,735,000",4.78%,Botswana,2,16,40,56,1,44,72,33
125,"83,000",-,,Palestine,2,86,304,390,,509,"1,209",74
126,"75,000","5,939,000",1.26%,Libya,4,3,20,23,,20,133,13
127,"74,000","8,000,000",.93%,Bulgaria,3,17,35,52,,43,87,56
128,"74,000",-,,Israel,2,58,30,88,,38,612,18
129,"70,000","82,000",85.37%,Seychelles,1,8,8,16,1,9,53,17
130,"55,000","4,556,000",1.21%,Norway,3,27,43,70,3,48,173,32
131,"55,000","990,000",5.56%,Swaziland,1,11,15,26,,23,58,15
132,"39,000","6,524,000",.60%,Laos,4,12,,12,,2,83,77
133,"35,000","5,501,000",.64%,Denmark,1,39,38,77,5,43,222,50
134,"35,000","1,680,000",2.08%,Gambia,1,15,10,25,,21,42,54
135,"31,000",-,,Jordan,1,23,5,28,,5,15,28
136,"29,000","32,000",90.63%,Monaco,1,13,5,18,1,5,15,6
137,"28,000",-,,Turkey,6,11,50,61,2,68,115,43
138,"25,000","33,000",75.76%,Liechtenstein,1,19,10,29,,10,57,10
139,"24,000",-,,Iran,5,6,11,17,3,11,30,17
140,"23,000","31,700,000",.07%,Morocco,2,6,40,46,,56,239,40
141,"21,000","347,000",6.05%,Brunei Darussalam,1,3,1,4,,1,2,3
142,"21,000","28,000",75.00%,Gibraltar,1,9,1,10,,4,9,6
143,"21,000","12,571,000",.17%,Cambodia,3,6,36,42,,47,72,36
144,"20,000","4,247,000",.47%,Moldova,1,6,8,14,1,18,40,11
145,"20,000","9,700,000",.21%,Tunisia,1,13,21,34,,25,139,11
146,"16,000","11,880,000",.13%,Niger,2,14,30,44,,35,81,17
147,"14,000","2,350,000",.60%,Macedonia,2,12,3,15,,3,32,7
148,"10,000","780,000",1.28%,Cyprus,1,5,2,7,,5,3,9
149,"8,000","5,206,000",.15%,Finland,1,6,10,16,1,12,36,7
150,"7,000","557,000",1.26%,Djibouti,1,2,5,7,,9,19,6
151,"7,000","24,421,000",.03%,Nepal,1,9,40,49,,56,115,42
152,"6,000","6,000",100.00%,Saint Pierre and Miquelon,1,,2,2,,2,6,2
153,"5,000","1,370,000",.36%,Estonia,1,9,5,14,,5,21,6
154,"5,000","290,000",1.72%,Iceland,1,6,5,11,,5,34,4
155,"4,000","907,000",.44%,Comoros,1,1,3,4,,4,4,2
156,"4,000","2,600,000",.15%,Mauritania,1,3,10,13,,10,34,6
157,"3,000","31,135,000",.01%,Algeria,4,36,56,92,1,77,195,37
