University Name,University Location,University Type
Eastern Washington University,Cheney (WA),Public
Edgewood College,Madison (WI),Private
Edinboro University,Edinboro (PA),Public
Elms College,Chicopee (MA),Private
Emory University,Atlanta (GA),Private
Excelsior College,Albany (NY),Private
Fairfield University,Fairfield (CT),Private
Fairleigh Dickinson University,Teaneck (NJ),Private
Fayetteville State University,Fayetteville (NC),Public
Felician College,Lodi (NJ),Private
Fitchburg State College,Fitchburg (MA),Public
Florida A&M University,Tallahassee (FL),Public
Florida Atlantic University,Boca Raton (FL),Public
Florida Gulf Coast University,Fort Myers (FL),Public
Florida International University,Miami (FL),Public
Florida State University,Tallahassee (FL),Public
Fort Hays State University,Hays (KS),Public
Gardner-Webb University,Boiling Springs (NC),Private
George Mason University,Fairfax (VA),Public
Georgetown University,"Washington, D.C.",Private
Georgia College & State University,Milledgeville (GA),Public
Georgia Southern University,Statesboro (GA),Public
Georgia State University,Atlanta (GA),Public
Gonzaga University,Spokane (WA),Private
Governors State University,University Park (IL),Public
Grambling State University,Grambling (LA),Public
Grand Valley State University,Allendale (MI),Public
Gwynedd-Mercy College,Gwynedd Valley (PA),Private
Hampton University,Hampton (VA),Private
Harding University,Searcy (AR),Private
Hardin-Simmons University,Abilene (TX),Private
Hawaii Pacific University,Honolulu (HI),Private
Holy Family University,Philadelphia (PA),Private
Hope College,Holland (MI),Private
Houston Baptist University,Houston (TX),Private
Howard University,"Washington, D.C.",Private
Humboldt State University,Arcata (CA),Public
Hunter College,New York (NY),Public
Husson College,Bangor (ME),Private
Idaho State University,Pocatello (ID),Public
Illinois State University,Normal (IL),Public
Indiana State University,Terre Haute (IN),Public
Indiana University,Bloomington (IN),Public
Indiana University - Purdue University Fort Wayne,Fort Wayne (IN),Public
Indiana University - Purdue University Indianapolis,Indianapolis (IN),Public
Indiana University East,Richmond (IN),Public
Indiana University Kokomo,Kokomo (IN),Public
Indiana University Northwest,Gary (IN),Public
Indiana University of Pennsylvania,Indiana (PA),Public
Indiana University South Bend,South Bend (IN),Public
Indiana University Southeast,New Albany (IN),Public
Indiana Wesleyan University,Indiana (IN),Private
Jacksonville State University,Jacksonville (AL),Public
James Madison University,Harrisonburg (VA),Public
Johns Hopkins University,Baltimore (MD),Private
Kean University,Union (NJ),Public
Kennesaw State University,Kennesaw (GA),Public
Kent State University,Kent (OH),Public
Kentucky Christian College,Grayson (KY),Private
Kentucky State University,Frankfort (KY),Public
Keuka College,Penn Yan (NY),Private
La Salle University,Philadelphia (PA),Private
Lamar University,Beaumont (TX),Public
Lehman College,Bronx (NY),Public
Lewis University,Romeoville (IL),Private
Lewis-Clark State College,Lewiston (ID),Public
Liberty University,Lynchburg (VA),Private
Loma Linda University,Loma Linda (CA),Private
Long Island University,Brookville (NY),Private
Louisiana College,Pineville (LA),Private
Louisiana State University Health Sciences Center - New Orleans,New Orleans (LA),Public
Lourdes College,Sylvania (OH),Private
Loyola University Chicago,Chicago (IL),Private
Loyola University New Orleans,New Orleans (LA),Private
Lynchburg College,Lynchburg (VA),Private
MacMurray College,Jacksonville (IL),Private
Madonna University,Livonia (MI),Private
Malone College,Canton (OH),Private
Mansfield University,Mansfield (PA),Public
Marquette University,Milwaukee (WI),Private
Marshall University,Huntington (WV),Public
Marymount University,Arlington (VA),Private
Maryville University,Saint Louis (MO),Private
Marywood University,Scranton (PA),Private
McNeese State University,Lake Charles (LA),Public
Medical College of Georgia,Augusta (GA),Public
Medical College of Ohio,Toledo (OH),Public
Medical University of South Carolina,Charleston (SC),Public
Mercer University,Macon (GA),Private
Mercy College,Dobbs Ferry (NY),Private
Messiah College,Grantham (PA),Private
Metropolitan State College of Denver,Denver (CO),Public
Metropolitan State University,Saint Paul (MN),Public
MGH Institute of Health Professions,Boston (MA),Private
Michigan State University,East Lansing (MI),Public
Middle Tennessee State University,Murfreesboro (TN),Public
Midwestern State University,Wichita Falls (TX),Public
Millersville University,Millersville (PA),Public
Minnesota State University - Mankato,Mankato (MN),Public
Minnesota State University - Moorhead,Moorhead (MN),Public
Minot State University,Minot (ND),Public
Mississippi College,Clinton (MS),Private
Mississippi University for Women,Columbus (MS),Public
Molloy College,Rockville Centre (NY),Private
Monmouth University,West Long Branch (NJ),Private
Montana State University - Bozeman,Bozeman (MT),Public
Morehead State University,Morehead (KY),Public
Mount Carmel College of Nursing,Columbus (OH),Private
Mount Marty College,Yankton (SD),Private
Mount Mary College,Milwaukee (WI),Private
Mount Saint Mary College,Newburgh (NY),Private
Murray State University,Murray (KY),Public
National University,San Diego (CA),Private
Nazareth College,Rochester (NY),Private
Nebraska Methodist College,Omaha (NE),Private
Nebraska Wesleyan University,Lincoln (NE),Private
Neumann College,Aston (PA),Private
New Jersey City University,Jersey City (NJ),Public
New Mexico State University,Las Cruces (NM),Public
Newman University,Wichita (KS),Private
Niagara University,Niagara University (NY),Private
North Carolina A&T State University,Greensboro (NC),Public
North Carolina Central University,Durham (NC),Public
North Dakota State University,Fargo (ND),Public
North Georgia College & State University,Dahlonega (GA),Public
North Park University,Chicago (IL),Private
Northeastern State University,Tahlequah (OK),Public
Northeastern University,Boston (MA),Private
Northern Arizona University,Flagstaff (AZ),Public
Northern Illinois University,De Kalb (IL),Public
Northern Kentucky University,Highland Heights (KY),Public
Northern Michigan University,Marquette (MI),Public
Northwest Nazarene University Idaho,Nampa (ID),Private
Northwestern State University,Natchitoches (LA),Public
Nova Southeastern University,Fort Lauderdale (FL),Private
Oakland University,Rochester (MI),Public
Oakwood College,Huntsville (AL),Private
"Ohio State University, The",Columbus (OH),Public
Ohio University,Athens (OH),Public
Oklahoma Baptist University,Shawnee (OK),Private
Oklahoma City University,Oklahoma City (OK),Private
Old Dominion University,Norfolk (VA),Public
Olivet Nazarene University,Bourbonnais (IL),Private
Oregon Health & Science University,Portland (OR),Public
Otterbein College,Westerville (OH),Private
Pace University,New York (NY),Private
Pacific Lutheran University,Tacoma (WA),Private
Pacific Union College,Angwin (CA),Private
Palm Beach Atlantic University,West Palm Beach (FL),Private
Pennsylvania State University,University Park (PA),Public
Pittsburg State University,Pittsburg (KS),Public
Point Loma Nazarene University,San Diego (CA),Private
Prairie View A&M University,Prairie View (TX),Public
Presentation College,Aberdeen (SD),Private
Purdue University,West Lafayette (IN),Public
Queens University of Charlotte,Charlotte (NC),Private
Quincy University,Quincy (IL),Private
Quinnipiac University,Hamden (CT),Private
Radford University,Radford (VA),Public
Regis College,Weston (MA),Private
Rhode Island College,Providence (RI),Public
Rivier College,Nashua (NH),Private
Roberts Wesleyan College,Rochester (NY),Private
Rush University,Chicago (IL),Private
Rutgers University,New Brunswick (NJ),Public
Rutgers University - Newark,Newark (NJ),Public
Sacred Heart University,Fairfield (CT),Private
Sage Graduate School,Troy (NY),Private
Saginaw Valley State University,University Center (MI),Public
Saint Ambrose University,Davenport (IA),Private
Saint Joseph College,West Hartford (CT),Private
Saint Louis University,Saint Louis (MO),Private
Saint Mary's College,Notre Dame (IN),Private
Saint Olaf College,Northfield (MN),Private
Saint Peter's College,Jersey City (NJ),Private
Saint Xavier University,Chicago (IL),Private
Salem State College,Salem (MA),Public
Salisbury University,Salisbury (MD),Public
Salve Regina University,Newport (RI),Private
Samford University,Birmingham (AL),Private
Samuel Merritt College,Oakland (CA),Private
San Diego State University,San Diego (CA),Public
San Fransisco State University,San Francisco (CA),Public
San Jose State University,San Jose (CA),Public
Seattle Pacific University,Seattle (WA),Private
Seattle University,Seattle (WA),Private
Seton Hall University,South Orange (NJ),Private
Shenandoah University,Winchester (VA),Private
Simmons College,Boston (MA),Private
Slippery Rock University,Slippery Rock (PA),Public
Sonoma State University,Rohnert Park (CA),Public
South Carolina State University,Orangeburg (SC),Public
South Dakota State University,Brookings (SD),Public
Southeast Missouri State University,Cape Girardeau (MO),Public
Southeastern Louisiana University,Hammond (LA),Public
Southern Adventist University,Collegedale (TN),Private
Southern Arkansas University,Magnolia (AR),Public
Southern Connecticut State University,New Haven (CT),Public
Southern Illinois University - Edwardsville,Edwardsville (IL),Public
Southern University - Baton Rouge,Baton Rouge (LA),Public
Southwest Missouri State University,Springfield (MO),Public
Southwestern Adventist University,Keene (TX),Private
Southwestern Oklahoma State University,Weatherford (OK),Public
Spalding University,Louisville (KY),Private
St. Cloud State University,Saint Cloud (MN),Public
St. John Fisher College,Rochester (NY),Private
State University of West Georgia,Carrollton (GA),Public
Stephen F. Austin State University,Nacogdoches (TX),Public
Stony Brook University,Stony Brook (NY),Public
SUNY - New Paltz,New Paltz (NY),Public
SUNY - Plattsburgh,Plattsburgh (NY),Public
SUNY Downstate Medical Center,Brooklyn (NY),Public
SUNY Upstate Medical University,Syracuse (NY),Public
Syracuse University,Syracuse (NY),Private
Tarleton State University,Stephenville (TX),Public
Temple University,Philadelphia (PA),Public
Tennessee State University,Nashville (TN),Public
Texas A&M International University,Laredo (TX),Public
Texas A&M University-Corpus Christi,Corpus Christi (TX),Public
Texas A&M University-Texarkana,Texarkana (TX),Public
Texas Christian University,Fort Worth (TX),Private
Texas Tech University HSC - Lubbock,Lubbock (TX),Public
Texas Woman's University,Denton (TX),Public
Thomas Jefferson University,Philadelphia (PA),Private
Towson University,Towson (MD),Public
Trinity Christian College,Palos Heights (IL),Private
Troy State University,Troy (AL),Public
Tuskegee University,Tuskegee (AL),Private
Uniformed Services University of the Health Sciences,Bethesda (MD),Public
Union University,Jackson (TN),Private
University at Buffalo,Buffalo (NY),Public
"University of Akron, The",Akron (OH),Public
University of Alabama - Birmingham,Birmingham (AL),Public
University of Alabama - Huntsville,Huntsville (AL),Public
University of Alabama - Tuscaloosa,Tuscaloosa (AL),Public
University of Alaska Anchorage,Anchorage (AK),Public
University of Arizona,Tucson (AZ),Public
University of Arkansas - Fayetteville,Fayetteville (AR),Public
University of Arkansas - Little Rock,Little Rock (AR),Public
University of Arkansas - Monticello,Monticello (AR),Public
University of Arkansas for Medical Sciences,Little Rock (AR),Public
University of California - Los Angeles,Los Angeles (CA),Public
University of California - San Francisco,San Francisco (CA),Public
University of Central Arkansas,Conway (AR),Public
University of Central Florida,Orlando (FL),Public
University of Central Oklahoma,Edmond (OK),Public
University of Cincinnati,Cincinnati (OH),Public
University of Colorado - Colorado Springs,Colorado Springs (CO),Public
University of Colorado Health Sciences Center,Denver (CO),Public
University of Connecticut,Storrs (CT),Public
University of Delaware,Newark (DE),Public
University of Detroit Mercy,Detroit (MI),Private
University of Evansville,Evansville (IN),Private
University of Florida,Gainesville (FL),Public
University of Hartford,West Hartford (CT),Private
University of Hawaii - Manoa,Honolulu (HI),Public
University of Illinois - Chicago,Chicago (IL),Public
University of Indianapolis,Indianapolis (IN),Private
University of Iowa,Iowa City (IA),Public
University of Kansas Medical Center,Kansas City (KS),Public
University of Kentucky,Lexington (KY),Public
University of Louisiana - Lafayette,Lafayette (LA),Public
University of Louisiana - Monroe,Monroe (LA),Public
University of Louisville,Louisville (KY),Public
University of Maine,Orono (ME),Public
University of Mary,Bismarck (ND),Private
University of Maryland - Baltimore,Baltimore (MD),Public
University of Massachusetts - Amherst,Amherst (MA),Public
University of Massachusetts - Boston,Boston (MA),Public
University of Massachusetts - Dartmouth,North Dartmouth (MA),Public
University of Massachusetts - Lowell,Lowell (MA),Public
University of Massachusetts Medical School,Worcester (MA),Public
University of Medicine & Dentistry of New Jersey,Newark (NJ),Public
University of Memphis,Memphis (TN),Public
University of Miami,Coral Gables (FL),Private
University of Michigan - Ann Arbor,Ann Arbor (MI),Public
University of Michigan - Flint,Flint (MI),Public
University of Minnesota - Twincities,Minneapolis (MN),Public
University of Mississippi Medical Center,Jackson (MS),Public
University of Missouri - Columbia,Columbia (MO),Public
University of Missouri - Kansas City,Kansas City (MO),Public
University of Missouri - St. Louis,Saint Louis (MO),Public
University of Mobile,Mobile (AL),Private
University of Nebraska Medical Center,Omaha (NE),Public
"University of Nevada, Las Vegas",Las Vegas (NV),Public
"University of Nevada, Reno",Reno (NV),Public
University of New England,Biddeford (ME),Private
University of New Hampshire,Durham (NH),Public
University of New Mexico,Albuquerque (NM),Public
University of North Alabama,Florence (AL),Public
University of North Carolina - Chapel Hill,Chapel Hill (NC),Public
University of North Carolina - Greensboro,Greensboro (NC),Public
University of North Carolina - Pembroke,Pembroke (NC),Public
University of North Carolina - Wilmington,Wilmington (NC),Public
University of North Dakota,Grand Forks (ND),Public
University of North Florida,Jacksonville (FL),Public
University of Northern Colorado,Greeley (CO),Public
University of Oklahoma Health Sciences Center,Oklahoma City (OK),Public
University of Pennsylvania,Philadelphia (PA),Private
University of Pittsburgh,Pittsburgh (PA),Public
University of Portland,Portland (OR),Private
University of Rhode Island,Kingston (RI),Public
University of Rochester,Rochester (NY),Private
University of Saint Francis,Fort Wayne (IN),Private
University of San Diego,San Diego (CA),Private
University of San Francisco,San Francisco (CA),Private
University of Scranton,Scranton (PA),Private
University of South Alabama,Mobile (AL),Public
University of South Carolina-Columbia,Columbia (SC),Public
University of South Dakota,Vermillion (SD),Public
University of South Florida,Tampa (FL),Public
University of Southern Indiana,Evansville (IN),Public
University of Southern Maine,Portland (ME),Public
University of Southern Mississippi,Hattiesburg (MS),Public
University of Tampa,Tampa (FL),Private
"University of Tennessee Health Science Center, The",Memphis (TN),Public
University of Tennessee-Chattanooga,Chattanooga (TN),Public
University of Tennessee-Knoxville,Knoxville (TN),Public
University of Tennessee-Martin,Martin (TN),Public
University of Texas - Arlington,Arlington (TX),Public
University of Texas - Austin,Austin (TX),Public
University of Texas - El Paso,El Paso (TX),Public
University of Texas - Pan American,Edinburg (TX),Public
University of Texas - Tyler,Tyler (TX),Public
University of Texas Health Science Center - Houston,Houston (TX),Public
University of Texas Health Science Center - San Antonio,San Antonio (TX),Public
University of Texas Medical Branch,Galveston (TX),Public
University of the Incarnate Word,San Antonio (TX),Private
University of Utah,Salt Lake City (UT),Public
University of Vermont,Burlington (VT),Public
University of Virginia,Charlottesville (VA),Public
University of Washington,Seattle (WA),Public
University of Washington - Bothell,Bothell (WA),Public
University of Washington - Tacoma,Tacoma (WA),Public
University of West Florida,Pensacola (FL),Public
University of Wisconsin - Eau Claire,Eau Claire (WI),Public
University of Wisconsin - Green Bay,Green Bay (WI),Public
University of Wisconsin - Madison,Madison (WI),Public
University of Wisconsin - Milwaukee,Milwaukee (WI),Public
University of Wisconsin - Oshkosh,Oshkosh (WI),Public
University of Wyoming,Laramie (WY),Public
Ursuline College,Pepper Pike (OH),Private
Valdosta State University,Valdosta (GA),Public
Valparaiso University,Valparaiso (IN),Private
Vanderbilt University,Nashville (TN),Private
Villanova University,Villanova (PA),Private
Virginia Commonwealth University,Richmond (VA),Public
Viterbo University,La Crosse (WI),Private
Wagner College,Staten Island (NY),Private
Walla Walla College,College Place (WA),Private
Washburn University,Topeka (KS),Public
Washington State University,Pullman (WA),Public
Wayne State University,Detroit (MI),Public
Webster University,Saint Louis (MO),Private
Wesley College,Dover (DE),Private
West Chester University,West Chester (PA),Public
West Texas A&M University,Canyon (TX),Public
West Virginia University,Morgantown (WV),Public
Western Carolina University,Cullowhee (NC),Public
Western Connecticut State University,Danbury (CT),Public
Western Kentucky University,Bowling Green (KY),Public
Western Michigan University,Kalamazoo (MI),Public
Western University of Health Sciences,Pomona (CA),Private
Westminster College,Salt Lake City (UT),Private
Wheeling Jesuit University,Wheeling (WV),Private
Wichita State University,Wichita (KS),Public
Widener University,Chester (PA),Private
Wilkes University,Wilkes-Barre (PA),Private
William Paterson University,Wayne (NJ),Public
Wilmington College,New Castle (DE),Private
Winona State University,Winona (MN),Public
Worcester State College,Worcester (MA),Public
Wright State University,Dayton (OH),Public
Xavier University,Cincinnati (OH),Private
Yale University,New Haven (CT),Private
Youngstown State University,Youngstown (OH),Public
