Rank,Country / Territory,Population
144,Namibia,"2,031,000"
145,Slovenia,"1,967,000"
146,Lesotho,"1,795,000"
147,Botswana,"1,765,000"
148,Guinea-Bissau,"1,586,000"
149,The Gambia,"1,517,000"
150,Gabon,"1,384,000"
151,Estonia,"1,330,000"
152,Trinidad and Tobago,"1,305,000"
153,Mauritius,"1,245,000[5]"
154,Swaziland,"1,032,000"
155,East Timor,"947,000"
156,Fiji,"848,000"
157,Cyprus,"835,000"
158,Qatar,"813,000"
159,Comoros,"798,000[6]"
160,Djibouti,"793,000"
161,R?union (France),"785,000"
162,Guyana,"751,000"
163,Bahrain,"727,000"
164,Cape Verde,"507,000"
165,Equatorial Guinea,"504,000"
166,Solomon Islands,"478,000"
167,Luxembourg,"465,000"
168,Macau (PRC),"460,000"
169,Suriname,"449,000"
170,Guadeloupe (France),"448,000"
171,Malta,"402,000"
172,Martinique (France),"396,000"
173,Brunei,"374,000"
174,Western Sahara,"341,000"
175,Maldives,"329,000"
176,The Bahamas,"323,000"
177,Iceland,"295,000"
178,Barbados,"270,000"
179,Belize,"270,000"
180,French Polynesia (France),"257,000"
181,New Caledonia (France),"237,000"
182,Vanuatu,"211,000"
183,French Guiana (France),"187,000"
184,Samoa,"185,000"
185,Netherlands Antilles (Netherlands),"183,000"
186,Guam (US),"170,000"
187,Saint Lucia,"161,000"
188,S?o Tom? and Pr?ncipe,"157,000"
189,Channel Islands (UK),"149,000[7]"
190,Saint Vincent and the Grenadines,"119,000"
191,U.S. Virgin Islands (US),"112,000"
192,Federated States of Micronesia,"110,000"
193,Grenada,"103,000"
194,Tonga,"102,000"
195,Aruba (Netherlands),"99,000"
196,Kiribati,"99,000"
197,Antigua and Barbuda,"81,000"
198,Northern Mariana Islands (US),"81,000"
199,Seychelles,"81,000"
200,Dominica,"79,000"
201,Isle of Man (UK),"77,000"
202,Andorra,"67,000"
203,American Samoa (US),"65,000"
204,Bermuda (UK),"64,000"
205,Marshall Islands,"62,000"
206,Greenland (Denmark),"57,000"
207,Faroe Islands (Denmark),"47,000"
208,Cayman Islands (UK),"45,000"
209,Saint Kitts and Nevis,"43,000"
210,Liechtenstein,"35,000"
211,Monaco,"35,000"
212,Gibraltar (UK),"28,000"
213,San Marino,"28,000"
214,Turks and Caicos Islands (UK),"26,000"
215,British Virgin Islands (UK),"22,000"
216,Palau,"20,000"
217,Cook Islands (NZ),"18,000"
218,Wallis and Futuna (France),"15,000"
219,Nauru,"14,000"
220,Anguilla (UK),"12,000"
221,Tuvalu,"10,000"
222,Saint-Pierre and Miquelon (France),"6,000"
223,Saint Helena (UK),"5,000[8]"
224,Montserrat (UK),"4,000"
225,Falkland Islands (UK),"3,000"
226,Vatican City,"1,000"
227,Niue (NZ),"1,000"
228,Tokelau (UK),"1,000"
229,Pitcairn Islands (UK),67
