State/Province,Lake Name,File Size
Oklahoma,Oologah Lake * (updated 08/16/2004),974 KB
Oklahoma,"Overholser, Lake",571 KB
Oklahoma,Pine Creek Lake,351 KB
Oklahoma,"RC Longmire, Lake",252 KB
Oklahoma,Sardis Lake,428 KB
Oklahoma,Skiatook Lake * (updated 08/16/2004),788 KB
Oklahoma,Sooner Lake,305 KB
Oklahoma,Spavinaw Lake,251 KB
Oklahoma,Stanley Draper Lake,"1,513 KB"
Oklahoma,Tenkiller Lake,627 KB
Oklahoma,"Thunderbird, Lake",457 KB
Oklahoma,Tom Steed Reservoir,254 KB
Oklahoma,Webbers Falls Reservoir,"1,008 KB"
Oklahoma,Wes Watkins Reservoir,468 KB
Oregon,"Simtustus, Lake * Also includes Lake Billy Chinook, OR",670 KB
Oregon,Wickiup Reservoir,352 KB
Pennsylvania,"Pittsburgh Rivers Shows navigation chart info for the Allegheny, Ohio, and Monongahela Rivers in the Pittsburgh area","4,559 KB"
South Carolina,"Keowee, Lake","1,504 KB"
South Carolina,"Wylie, Lake *","1,519 KB"
South Dakota,Big Stone Lake,323 KB
Tennessee,Fort Loudoun Lake (updated 06/07/2004),"2,313 KB"
Tennessee,J Percy Priest Reservoir (updated 06/07/2004),"1,499 KB"
Texas,Alan Henry Reservoir *,224 KB
Texas,Alvarado Park Lake,311 KB
Texas,"Amistad, Lake *","1,619 KB"
Texas,"Arrowhead, Lake",481 KB
Texas,"Bastrop, Lake *",309 KB
Texas,Baylor Creek Reservoir *,240 KB
Texas,"Belton Lake Also includes Stillhouse Hollow Lake, TX","1,403 KB"
Texas,Brady Creek Reservoir *,285 KB
Texas,Brandy Branch Reservoir *,256 KB
Texas,"Bridgeport, Lake",565 KB
Texas,Buffalo Creek Reservoir *,228 KB
Texas,"Casa Blanca, Lake *",421 KB
Texas,Cedar Creek Reservoir *,941 KB
Texas,"Cherokee, Lake",408 KB
Texas,"Clyde, Lake",239 KB
Texas,"Coleman, Lake",184 KB
Texas,Cooper Lake,363 KB
Texas,"Corpus Christi, Lake",684 KB
Texas,"E V Spence, Lake *",363 KB
Texas,Eagle Mountain Lake,525 KB
Texas,"Georgetown, Lake",412 KB
Texas,Gibbons Creek Reservoir,347 KB
Texas,"Gladewater, Lake",519 KB
Texas,"Granbury, Lake *",667 KB
Texas,Greenbelt Reservoir,248 KB
Texas,"Hawkins, Lake *",282 KB
Texas,"Holbrook, Lake * Also includes Lake Fork Reservoir, TX and Lake Quitman, TX",981 KB
Texas,"Jacksonville, Lake *",385 KB
Texas,"Kickapoo, Lake",254 KB
Texas,"Lake Fork Reservoir * (updated 05/02/2005) Also includes Lake Holbrook, TX and Lake Quitman, TX",981 KB
Texas,"Limestone, Lake",382 KB
Texas,Lost Creek Lake *,258 KB
Texas,"Lyndon B Johnson, Lake *",715 KB
Texas,MacKenzie Reservoir *,169 KB
Texas,"McQueeney, Lake *",428 KB
Texas,"Mexia, Lake",260 KB
Texas,Millers Creek Reservoir *,186 KB
Texas,"Nacogdoches, Lake",260 KB
Texas,"Nasworthy, Lake * Also includes Twin Buttes Reservoir, TX",571 KB
Texas,Navarro Mills Lake,398 KB
Texas,"Nocona, Lake",274 KB
Texas,"O' the Pines, Lake (updated on 06/07/2004)",858 KB
Texas,"Pinkston, Lake *",181 KB
Texas,"Quitman, Lake * Also includes Lake Fork Reservoir, TX and Lake Holbrook, TX",981 KB
Texas,Palo Pinto Lake *,208 KB
Texas,Pat Mayse Lake,272 KB
Texas,Red Bluff Reservoir *,177 KB
Texas,Richland Chambers Reservoir,817 KB
Texas,Sheldon Reservoir *,"1,221 KB"
Texas,Somerville Lake,421 KB
Texas,"Stillhouse Hollow Lake Also includes Belton Lake, TX","1,403 KB"
Texas,"Texana, Lake",579 KB
Texas,Tradinghouse Creek Reservoir,478 KB
Texas,"Twin Buttes Reservoir Also includes Lake Nasworthy, TX",571 KB
Texas,"Tyler, Lake",620 KB
Texas,Waco Lake,663 KB
Texas,"Weatherford, Lake",355 KB
Texas,"Welsh, Lake",268 KB
Texas,White River Reservoir,105 KB
Texas,Wright Patman Lake,647 KB
Utah,Jordanelle Reservoir,578 KB
Utah/Wyoming,Flaming Gorge Reservoir,691 KB
Virginia,"Anna, Lake","1,110 KB"
Virginia,Philpott Lake,650 KB
West Virginia,"Beech Fork Lake Also includes East Lynn Lake, WV",688 KB
West Virginia,"East Lynn Lake Also includes Beech Fork Lake, WV",688 KB
West Virginia,RD Bailey Lake,340 KB
Wisconsin,"Mendota, Lake",451 KB
Wyoming,Glendo Reservoir *,293 KB
Wyoming,Jackson Lake,"2,088 KB"
