Rank,Title of Great Novel,Year,Author,Religious Affiliation of Author
62,The Good Soldier,1915,Ford Madox Ford,Catholic; agnostic
63,The Awakening,1899,Kate Chopin,Catholic
64,A Passage to India,1924,E. M. Forster,
65,Herzog,1964,Saul Bellow,Orthodox Jew (lapsed); Anthroposophist
66,Germinal,1855,Emile Zola,Catholic
67,Call It Sleep,1934,Henry Roth,Jewish
68,U.S.A. Trilogy,1930-38,John Dos Passos,Catholic
69,Hunger,1890,Knut Hamsun,
70,Berlin Alexanderplatz,1929,Alfred Doblin,Catholic
71,Cities of Salt,1984-89,'Abd al-Rahman Munif,
72,The Death of Artemio Cruz,1962,Carlos Fuentes,Catholic
73,A Farewell to Arms,1929,Ernest Hemingway,Catholic
74,Brideshead Revisited,1945,Evelyn Waugh,Catholic
75,The Last Chronicle of Barset,1866-67,Anthony Trollope,Anglican
76,The Pickwick Papers,1836-67,Charles Dickens,Anglican
77,Robinson Crusoe,1719,Daniel Defoe,Protestant Dissenter (Presbyterian)
78,The Sorrows of Young Werther,1774,Johann Wolfgang von Goethe,Deist
79,Candide,1759,Voltaire,raised in Jansenism; later Deist
80,Native Son,1940,Richard Wright,Seventh-day Adventist; Communist
81,Under the Volcano,1947,Malcolm Lowry,Methodist; Anglican; agnostic
82,Oblomov,1859,Ivan Goncharov,
83,Their Eyes Were Watching God,1937,Zora Neale Hurston,
84,Waverley,1814,Sir Walter Scott,Anglican
85,Snow Country,"1937, 1948",Kawabata Yasunari,
86,Nineteen Eighty-Four,1949,George Orwell,Anglican
87,The Betrothed,"1827, 1840",Alessandro Manzoni,Catholic
88,The Last of the Mohicans,1826,James Fenimore Cooper,Episcopalian
89,Uncle Tom's Cabin,1852,Harriet Beecher Stowe,Episcopalian; Congregationalist
90,Les Miserables,1862,Victor Hugo,Catholic
91,On the Road,1957,Jack Kerouac,Catholic; Buddhism
92,Frankenstein,1818,Mary Shelley,
93,The Leopard,1958,Giuseppe Tomasi di Lampedusa,Catholic
94,The Catcher in the Rye,1951,J.D. Salinger,Jewish Catholic; Scientologist
95,The Woman in White,1860,Wilkie Collins,
96,The Good Soldier Svejk,1921-23,Jaroslav Hasek,Catholic
97,Dracula,1897,Bram Stoker,Church of Ireland (Anglican)
98,The Three Musketeers,1844,Alexandre Dumas,agnostic; Catholic
99,The Hound of Baskervilles,1902,Arthur Conan Doyle,Catholic; Spiritualist
100,Gone with the Wind,1936,Margaret Mitchell,Catholic
