Number,Fell Name,Height (m),Height (Ft),GPS reference,Guide,Steve,Justine,Emily,Sophie,Diva
34,Carrock Fell,660,2165,NY 34176 33638,,,,,,
35,Castle Crag,290,951,NY 24934 15937,,,,,,
36,Catbells,451,1480,NY 24406 19852,,,,,,
37,Catstycam,890,2920,NY 34811 15823 ?,The Eastern Fells,,,,,
38,Caudale Moor,763,2503,NY 41867 09997,,,,,,
39,Causey Pike,637,2090,NY 21876 20851,,,,,,
40,Caw Fell,690,2264,NY 13198 11001,,,,,,
41,Clough Head,726,2382,NY 33393 22541,The Eastern Fells,,,,,
42,Cold Pike,701,2300,NY 26289 03613 ?,,,,,,
43,Coniston Old Man,803,2635,SD 27237 97815,,,,,,
44,Crag Fell,523,1716,NY 09729 14384,,,,,,
45,Crinkle Crags,859,2818,NY 24863 04869 ?,,,,,,
46,Dale Head,753,2470,NY 22301 15324,,,,,,
47,Dodd,502,1647,NY 24368 27225,,,,,,
48,Dollywagon Pike,858,2815,NY 34629 13063,The Eastern Fells,,,,,
49,Dove Crag,792,2598,NY 37454 10437,The Eastern Fells,,,,,
50,Dow Crag,778,2552,SD 26254 97794,,,,,,
51,Eagle Crag,520,1706,NY 27535 12098,,,,,,
52,Eel Crag (Crag Hill),839,2753,NY 19267 20364,,,,,,
53,Esk Pike,885,2904,NY 23670 07529,,,,,,
54,Fairfield,873,2864,NY 35861 11722,The Eastern Fells,,,,,
55,Fellbarrow,416,1365,NY 13219 24245,,,,,,
56,Fleetwith Pike,648,2126,NY 20587 14167,,,,,,
57,Froswick,720,2362,NY 43519 08518,,,,,,
58,Gavel Fell,526,1726,NY 11699 18386,,,,,,
59,Gibson Knott,420,1378,NY 31845 09923,,,,,,
60,Glaramara,783,2569,NY 24723 10565,,,,,,
61,Glenridding Dodd,442,1450,NY 38048 17558,The Eastern Fells,,,,,
62,Gowbarrow Fell,481,1578,NY 40764 21817,The Eastern Fells,,,,,
63,Grange Fell,410,1345,NY 26470 16274,,,,,,
64,Grasmoor,852,2795,NY 17481 20351,,,,,,
65,Gray Crag,699,2293,NY 42675 11882,,,,,,
66,Graystones,456,1496,NY 17758 26494,,,,,,
67,Great Borne,616,2021,NY 12398 16379,The Western Fells,,,,,
68,Great Calva,690,2264,NY 29089 31188,,,,,,
69,Great Carrs,780,2559,NY 27045 00880,,,,,,
70,Great Cockup,526,1726,NY 27336 33311,,,,,,
71,Great Crag,440,1444,NY 27002 14682,,,,,,
72,Great Dodd,857,2812,NY 34193 20556,The Eastern Fells,,,,,
73,Great End,910,2986,NY 22670 08385,,,,,,
74,Great Gable,899,2949,NY 21102 10317,,,,,,
75,Great Mell Fell,537,1762,NY 39682 25363,The Eastern Fells,,,,,
76,Great Rigg,766,2513,NY 35600 10500,The Eastern Fells,,,,,
77,Great Scafell,651,2136,NY 29135 33898,,,,,,
78,Green Crag,489,1604,SD 20025 98274,,,,,,
79,Green Gable,801,2628,NY 21472 10716,,,,,,
80,Grey Crag,638,2093,NY 49721 07185,,,,,,
81,Grey Friar,770,2526,NY 26009 00359,,,,,,
82,Grey Knotts,697,2287,NY 21731 12567,,,,,,
83,Grike,488,1601,NY 08495 14076,,,,,,
84,Grisedale Pike,791,2595,NY 19839 22544,,,,,,
85,Hallin Fell,388,1273,NY 43303 19817,,,,,,
86,Hard Knott,549,1801,NY 23193 02369,,,,,,
87,Harrison Stickle,736,2415,NY 28180 07393,,,,,,
88,Hart Crag,822,2697,NY 36907 11208,The Eastern Fells,,,,,
89,Hart Side,756,2480,NY 35891 19725,The Eastern Fells,,,,,
90,Harter Fell (Eskdale),653,2142,SD 21881 99718,,,,,,
91,Harter Fell (Mardale),778,2552,NY 45970 09332,,,,,,
92,Hartsop Above How,580,1903,NY 38315 12005,,,,,,
93,Hartsop Dodd,618,2028,NY 412 118,The Eastern Fells,,,,,
94,Haycock,797,2615,NY 14477 10722,,,,,,
95,Haystacks,597,1959,NY 19338 13206,,,,,,
96,Helm Crag,405,1329,NY 32630 09353,,,,,,
97,Helvellyn,950,3117,NY 34167 15158,The Eastern Fells,,,,,
98,Hen Comb,509,1670,NY 13213 18119,,,,,,
99,Heron Pike,612,2008,NY 35599 08300,The Eastern Fells,,,,,
100,High Crag,744,2441,NY 18060 14017,The Western Fells,,,,,
101,High Hartsop Dodd,519,1703,NY 39357 10766,The Eastern Fells,,,,,
102,High Pike (Caldbeck),658,2159,NY 31873 35002,,,,,,
103,High Pike (Scandale),656,2152,NY 37443 08830,The Eastern Fells,,,,,
104,High Raise (Langdale),762,2500,NY 28074 09536,,,,,,
105,High Raise (Martindale),802,2631,NY 44826 13453,,,,,,
106,High Rigg,354,1161,NY 30860 21994,,,,,,
107,High Seat,608,1995,NY 28709 18049,,,,,,
108,High Spy,653,2142,NY 23413 16234,,,,,,
109,High Stile,807,2648,NY 16748 14783,,,,,,
110,High Street,828,2717,NY 44078 11045,,,,,,
111,High Tove,515,1690,NY 28922 16512,,,,,,
112,Hindscarth,727,2385,NY 21565 16517,,,,,,
113,Holme Fell,317,1040,NY 31528 00654,,,,,,
114,Hopegill Head,770,2526,NY 18566 22165,,,,,,
115,Ill Bell,757,2484,NY 43668 07725,,,,,,
116,Illgill Head,609,1998,NY 16542 04800,,,,,,
117,Kentmere Pike,730,2395,NY 46565 07792,,,,,,
118,Kidsty Pike,780,2559,NY 44738 12577,,,,,,
119,Kirk Fell,802,2631,NY 19498 10485,The Western Fells,,,,,
120,Knott,710,2329,NY 29622 32985,,,,,,
121,Knott Rigg,556,1824,NY 19742 18868,,,,,,
122,"Knott, The",739,2425,NY 43709 12682,,,,,,
123,Lank Rigg,541,1775,NY 09164 11955,,,,,,
124,Latrigg,368,1207,NY 27886 24685,,,,,,
125,Ling Fell,373,1224,NY 17959 28590,,,,,,
126,Lingmell,800,2625,NY 20925 08144,,,,,,
127,Lingmoor Fell,469,1539,NY 30277 04605,,,,,,
128,Little Hart Crag,637,2090,NY 38734 10028,The Eastern Fells,,,,,
129,Little Mell Fell,505,1657,NY 42318 24027,The Eastern Fells,,,,,
130,Loadpot Hill,671,2201,NY 45689 18129,,,,,,
131,Loft Crag,680,2231,NY 27743 07135,,,,,,
132,Long Side,734,2408,NY 24881 28441,,,,,,
133,Longlands fell,483,1585,NY 27590 35402,,,,,,
134,Lonscale Fell,715,2346,NY 28544 27171,,,,,,
135,Lord's Seat,552,1811,NY 20437 26558,,,,,,
136,Loughrigg Fell,335,1099,NY 34697 05139,,,,,,
137,Low Fell,428,1404,NY 13730 22618,,,,,,
138,Low Pike,508,1667,NY 37354 07832,The Eastern Fells,,,,,
139,Maiden Moor,576,1890,NY 23688 17115,,,,,,
140,Mardall Ill Bell,760,2493,NY 44760 10118,,,,,,
141,Meal Fell,550,1804,NY 28259 33711,,,,,,
142,Mell Break,512,1680,NY 14843 18562,,,,,,
143,Middle Dodd,654,2146,NY 39736 09571,The Eastern Fells,,,,,
144,Middle Fell?,582,1909,NY 15080 07269,,,,,,
145,Mungrisdale Common,633,2077,NY 31059 29231,,,,,,
146,Nab Scar,440,1444,NY 35538 07240,The Eastern Fells,,,,,
147,"Nab, The",576,1890,NY 43423 15194,,,,,,
148,Nethermost Pike,891,2923,NY 34408 14154,The Eastern Fells,,,,,
149,Outerside,568,1864,NY 21112 21460,,,,,,
150,Pavey Ark,700,2297,NY 28457 07903,,,,,,
151,Pike O' Blisco,705,2313,NY 27118 04212,,,,,,
152,Pike O'Stickle,709,2326,NY 27399 07356,,,,,,
153,Pillar,892,2927,NY 17126 12101,The Western Fells,,,,,
154,Place Fell,657,2156,NY 40564 16955,,,,,,
155,Raise,883,2897,NY 34277 17414,The Eastern Fells,,,,,
156,Rampsgill Head,792,2598,NY 44332 12861,,,,,,
157,Rannerdale Knotts,355,1165,NY 16730 18251,,,,,,
158,Raven Crag,461,1512,NY 30346 18757,,,,,,
159,Red Pike ( Buttermere),755,2477,NY 16054 15453,The Western Fells,,,,,
160,Red Pike (Wasdale),826,2710,NY 16530 10610,,,,,,
161,Red Screes,776,2546,NY 39649 08767,The Eastern Fells,,,,,
162,Rest Dodd,696,2283,NY 43272 13701,The Far Eastern Fells,,,,,
163,Robinson,737,2418,NY 20183 16876,,,,,,
164,Rossett Pike,650,2133,NY 24920 07565,,,,,,
165,Rosthwaite Fell,550,1807,NY 25832 12479,,,,,,
166,Sail,773,2536,NY 19820 20276,,,,,,
167,St Sunday Crag,841,2759,NY 36930 13404,The Eastern Fells,,,,,
168,Sale Fell,359,1178,NY 19443 29659,,,,,,
169,Sallows,516,1693,NY 43653 03983,,,,,,
170,Scafell?,964,3163,NY 20682 06484,,,,,,
171,Scafell Pike,978,3210,NY 21534 07218,,,,,,
172,Scar Crags,672,2205,NY 20853 20661,,,,,,
173,Scoat Fell,841,2759,NY 15940 11384,The Western Fells,,,,,
174,Seat Sandal,736,2415,NY 34399 11424,The Eastern Fells,,,,,
175,Seatallan,692,2270,NY 13964 08403,,,,,,
176,Seathwaite Fell,632,2073,NY 22904 10181,,,,,,
177,Selside Pike,655,2149,NY 49079 11183,,,,,,
178,Sergeant Man,730,2395,NY 28647 08896,,,,,,
179,Sergeant's Crag,571,1873,NY 27394 11379,,,,,,
180,Sheffield Pike,675,2215,NY 36910 18178,The Eastern Fells,,,,,
181,Shipman Knotts,587,1926,NY 47241 06212,,,,,,
182,Silver How,394,1293,NY 32479 06641,,,,,,
183,Skiddaw,931,3054,NY 26040 29085,,,,,,
184,Skiddaw Little Man,865,2838,NY 26679 27785,,,,,,
185,Slight Side,762,2500,NY 20969 05028,,,,,,
186,Sour Howes,483,1585,NY 42830 03203,,,,,,
187,Souther Pike,522,1713,NY 35472 29140,,,,,,
188,Starling Dodd,633,2077,NY 14206 15747,The Western Fells,,,,,
189,Steel Fell,553,1814,NY 31944 11157,,,,,,
190,Steel Knotts,432,1417,NY 44037 18125,,,,,,
191,Steeple,819,2687,NY 15757 11678,,,,,,
192,Stone Arthur,500,1640,NY 34752 09233,The Eastern Fells,,,,,
193,Stybarrow Dodd,843,2766,NY 34295 18923,The Eastern Fells,,,,,
194,Swirl How,802,2631,NY 27282 00551,,,,,,
195,Tarn Crag (Easedale),550,1804,NY 30358 09326,,,,,,
196,Tarn Crag (Longsleddale),664,2178,NY 48848 07852,,,,,,
197,Thornthwaite Crag,784,2572,NY 43154 10039,,,,,,
198,Thunacar Knott,723,2372,NY 27967 07990,,,,,,
199,Troutbeck Tongue,364,1194,NY 42233 06384,,,,,,
200,Ullock Pike,680,2231,NY 24441 28758,,,,,,
201,Ullscarf,726,2382,NY 29157 12172,,,,,,
202,Walla Crag,379,1243,NY 27684 21285,,,,,,
203,Wandope,772,2533,NY 18818 19737,,,,,,
204,Wansfell,487,1598,NY 40370 05267,,,,,,
205,Watson's Dodd,789,2589,NY 33568 19560,The Eastern Fells,,,,,
206,Wether Hill,670,2198,NY 45570 16780,,,,,,
207,Wetherlam,762,2500,NY 28820 01108,,,,,,
208,Whin Rigg,535,1755,NY 15135 03447,,,,,,
209,Whinlatter,525,1722,NY 19695 24903,,,,,,
210,White Side,863,2831,NY 33780 16663,The Eastern Fells,,,,,
211,Whiteless Pike,660,2165,NY 18021 18977,,,,,,
212,Whiteside,707,2320,NY 17047 21951,,,,,,
213,Yewbarrow,628,2060,NY 17338 08472,,,,,,
214,Yoke,706,2316,NY 43773 06734,,,,,,
,Totals,,,,,87,36,33,33,81
,,,,,,,,,,
,Fell Name,Height (m),Height (Ft),GPS reference,,Steve,Justine,Emily,Sophie,Diva
,Pen-y-ghent,694,2276,SD 83853 73385,,,,,,
,Whernside,736,2415,SD 73840 81410,,,,,,
,Ingleborough,723,2372,SD 74118 74560,,,,,,
,,,,,,,,,,
,Wales,,,,,,,,,
,Snowdon,1085,3560,SH 60990 54375,,,,,,
,,,,,,,,,,
