Name,Höhe,Kanton,Tourenart,Schwierigkeit,Datum,...Bericht
Piz Traunter Ovas,3152,GR,Skitour,WS,04.04.2009,
Piz Terri,3149,GR/TI,Hochtour,WS+ II,15.09.2003,
Chli Spannort,3140,UR,Alpine Skitour,ZS+ II,19.02.2011,
Gross Ruchen,3138,UR,Skitour,SS II,26.01.2008,
Hinter Schloss,3133,UR,Alpine Skitour,SS+,29.01.2011,
Piz Grialetsch,3131,GR,Skitour,S,05.05.2011,
Pizzo Pesciora,3122,TI/VS,Skitour,WS+ II,10.01.2008,
Steinh?shorn,3121,BE,Alpine Skitour,SS-,10.02.2008,
Kr?nten,3108,UR,Alpine Skitour,S II,28.04.2004,
Piz Tumpiv,3101,GR,Skitour,ZS+,15.01.2010,
Gross Muttenhorn,3099,UR/VS,Skitour,S-,07.03.2008,
Piz Giuv,3096,GR/UR,Skitour,S,10.01.2007,
Scalettahorn,3086,GR,Skitour,S,05.05.2011,
Fl?ela-Wisshorn,3085,GR,Skitour,ZS-,12.04.2009,
Zw?chten,3080,UR,Skitour,S,29.01.2008,
Bocktschingel,3079,GL/UR,Skitour,S,19.04.2009,
Lochberg,3079,UR,Skitour,S+,16.02.2008,
Piz Surpar?,3078,GR,Skitour,WS+,03.01.2010,
Bristen,3073,UR,Alpine Skitour,SS I,16.01.2009,
Pizzo Campo Tencia,3072,TI,Skitour,SS+,27.12.2008,
Ch?ebodenhorn,3070,TI/VS,Skitour,ZS,22.02.2007,
Gross Leckihorn,3068,UR/VS,Skitour,WS+,01.05.2005,
Piz Cazarauls,3063,GL/GR/UR,Skitour,ZS-,23.01.2010,
Stotzig Muttenhorn,3062,UR/VS,Skitour,SS,26.01.2011,
Pizzo Gallina,3061,TI/VS,Skitour,SS,15.01.2011,
Lorenzhorn,3048,GR,Skitour,WS+,14.03.2009,
Chilchalphorn,3040,GR,Skitour,WS,14.03.2009,
Chli Leckihorn,3023,UR/VS,Skitour,WS+,01.05.2005,
Rad?ner Rothorn,3022,GR,Skitour,WS+,11.04.2009,
Gletscher Ducan,3020,GR,Skitour,ZS-,23.04.2004,
B?chenstock,3011,UR,Skitour,S I,29.01.2008,
Piz Ravetsch,3007,GR,Alpine Skitour,ZS I,31.12.2004,
?lplihorn,3006,GR,Skitour,ZS-,23.04.2004,
Pizzo Centrale,2999,TI/UR,Skitour,S I,15.01.2005,
Piz Beverin,2998,GR,Skitour,ZS-,04.04.2003,
Stellibodenhorn,2988,UR,Skitour,S-,30.04.2005,
Salbitschijen,2981,UR,Alpine Klettertour,6b,24.07.2008,
Gemsfairenstock,2972,GL/UR,Skitour,WS+,08.03.2003,
Pizzo Lucendro,2963,TI/UR,Skitour,SS,10.01.2009,
Marchhorn,2962,TI/I,Skitour,SS,06.04.2003,
Gemsstock,2961,UR,Skitour,S,20.01.2003,
Brunnistock,2952,UR,Skitour,SS,17.03.2004,
Piz Borel,2952,GR,Alpine Skitour,ZS,31.12.2004,
Rotstock,2951,UR,Skitour,WS,20.01.2003,
Grassen,2946,BE/OW/UR,Alpine Skitour,S,01.04.2007,
Chli Bielenhorn,2940,UR,Snowboardtour,WS,21.04.2002,
Badus,2928,GR/UR,Skitour,ZS,07.01.2007,
Uri Rotstock,2928,UR,Skitour,SS,15.03.2008,
B?chistock,2914,GL,Skitour,SS I,02.01.2008,
Rott?llihorn,2913,UR,Skitour,S-,30.04.2005,
Cristallina,2912,TI,Skitour,S,23.02.2003,
Vrenelisg?rtli,2904,GL,Bergwandern,T6 II,26.06.2011,
Ruchen,2901,GL,Bergwandern,T5 II,26.06.2011,
Zervreilahorn,2898,GR,Alpine Klettertour,5b,05.09.2004,
Chrachenhorn,2891,GR,Skitour,ZS,15.02.2011,
Cima Vallaperta,2858,VS/I,Skitour,ZS,21.03.2009,
J?rihorn,2845,GR,Skitour,L+,12.04.2009,
Pizol,2844,SG,Schneeschuhtour,WS I,30.12.2008,
Helgenhorn,2837,TI/I,Skitour,WS,22.12.2006,
Rossbodenstock,2836,GR/UR,Skitour,ZS,07.01.2007,
Vorder Feldschijen,2828,UR,Alpine Klettertour,6a,23.07.2005,
Madrisahorn,2826,GR,Skitour,ZS+,04.03.2011,
Petit Clocher du Portalet,2823,VS,Alpine Klettertour,6c,03.08.2008,
Poncione Cavagnolo,2821,TI,Skitour,S I,08.12.2008,
Sulzfluh,2817,GR/A,Skitour,ZS,15.12.2002,
Ruchstock,2814,NW/UR,Skitour,SS,20.12.2007,
B?elenhorn,2808,GR,Skitour,ZS,17.02.2011,
K?rpf,2794,GL,Skitour,ZS I,13.02.2003,
Schwarzhorn,2786,BE,Skitour,WS+,11.04.2009,
Grosshorn,2781,GR,Skitour,L,12.12.2010,
Uf da Fl?e,2774,GR,Skitour,WS-,03.01.2010,
Piz Tarantschun,2769,GR,Skitour,ZS-,21.01.2008,
Wichelhorn,2767,UR,Skitour,S I,24.02.2008,
Stotzigen Firsten,2759,UR,Skitour,WS,19.01.2008,
Il Madone,2756,TI,Skitour,AS-,11.01.2009,
Pazolastock,2740,GR/UR,Skitour,WS,07.01.2007,
Grisset,2721,SZ,Skitour,SS,16.01.2010,
Mittler Griessstock,2717,UR,Skitour,SS,03.01.2009,
Poncione di Vespero,2717,TI,Skitour,SS+,03.01.2011,
R?tschenhorn,2703,GR,Skitour,S,04.03.2011,
Chli Ch?rpf,2700,GL,Skitour,WS+,22.01.2010,
Pizzo Lei di Cima,2680,TI,Skitour,S+,13.02.2004,
Poncione Val Piana,2660,TI,Skitour,S,08.12.2008,
Ch?rbsch Horn,2651,GR,Skitour,WS,01.01.2012,
Rad (Wintergipfel),2650,GL,Skitour,ZS,26.12.2008,
Drusenfluh (W-Gipfel),2628,GR/A,Alpine Klettertour,7b,10.07.2008,
Schijenflue,2627,GR/A,Skitour,ZS,14.12.2002,
Einshorn (Pkt. 2602m),2602,GR,Snowboardtour,WS,10.02.2002,
T?llistock,2580,BE,Alpine Klettertour,6a+,23.08.2006,
L?ged Windg?llen,2573,UR,Skitour,S,25.04.2009,
Pfannenstock,2573,SZ,Skitour,SS,16.01.2010,
Punta di Stou,2567,TI,Skitour,ZS,07.12.2008,
Riedchopf,2552,GR/A,Skitour,ZS,03.12.2010,
Rotspitz,2517,GR/A,Skitour,WS+,03.12.2010,
Hoch Fulen,2506,UR,Skitour,ZS,27.03.2007,
Glatten,2505,UR,Skitour,ZS+,05.03.2011,
Spitzmeilen,2501,GL/SG,Skitour,WS+ II,11.02.2008,
S?ntis,2501,AI/AR/SG,Skitour,S,22.01.2010,
Pfriendler,2495,BE,Sportklettern,5b+,08.07.2002,
Wissmilen,2483,GL/SG,Skitour,WS,11.02.2008,
Simelistock,2482,BE,Sportklettern,6b+,01.07.2007,
Rinderstock,2463,UR,Skitour,ZS,27.03.2007,
Rotr?fner,2462,SG,Skitour,S,02.01.2009,
Rossstock,2461,SZ/UR,Skitour,WS+,25.03.2007,
Eggenmandli,2448,UR,Skitour,WS+,18.02.2007,
Altmann,2436,AI/SG,Alpine Klettertour,4c,04.10.2004,
Hasenfl?eli,2412,GR,Skitour,WS I,14.12.2008,
Brisen,2404,NW/UR,Snowboardtour,S,28.03.2004,
Chaiserstuel,2400,NW/UR,Skitour,WS,20.12.2007,
Grosser Fulfirst,2384,SG,Skitour,WS+,25.02.2008,
Bl?emberg,2383,SZ/UR,Skitour,S+,15.12.2007,
Iffighore,2378,BE,Skitour,WS-,12.01.2012,
Vilan,2376,GR,Skitour,ZS,19.11.2007,
Wildhuser Schafberg,2373,SG,Skitour,S,21.03.2005,
Chli Fulfirst,2372,SG,Skitour,WS+ II,25.02.2008,
Fuggstock,2371,GL,Skitour,WS I,30.12.2010,
Rothorn,2363,GR,Skitour,WS,23.02.2011,
Gr?enenspitz,2361,GL,Skitour,S-,18.12.2010,
Risetenhoren,2357,GL/SG,Skitour,S,02.01.2009,
W?spen,2345,UR,Skitour,SS,03.01.2009,
Moor,2342,AI/SG,Sportklettern,6c,21.09.2007,
Wasserbergfirst,2341,SZ,Skitour,SS+,23.01.2010,
Silberen,2319,SZ,Skitour,WS-,13.01.2008,
Hinterrugg,2306,SG,Sportklettern,7a,05.07.2008,
Schilt,2299,GL,Skitour,WS,30.12.2004,
Redertenstock,2295,GL/SZ,Bergwandern,T5 II,28.06.2011,
Mutteristock,2294,GL/SZ,Skitour,ZS+,05.02.2005,
Rau St?ckli,2290,UR,Skitour,ZS+,05.03.2011,
Rautispitz,2283,GL,Bergwandern,T3+,03.06.2011,
Druesberg,2282,SZ,Skitour,SS,22.12.2007,
Wiggis,2282,GL,Bergwandern,T4,03.06.2011,
Brisi,2279,SG,Skitour,ZS-,30.12.2005,
Spilauer Stock,2270,UR,Skitour,WS+,25.03.2007,
Fr?msel,2267,SG,Sportklettern,6b,19.06.2007,
Ch?serrugg,2262,SG,Sportklettern,7a,05.07.2008,
Rosenlauistock,2255,BE,Sportklettern,7a,24.07.2006,
Girenspitz,2253,SG,Bergwandern,T6,18.09.2004,
Madchopf,2236,SG,Skitour,L,06.01.2007,
Fanenstock,2235,GL,Skitour,WS-,09.02.2003,
Zuestoll,2235,SG,Sportklettern,7a,16.09.2007,
Forstberg,2215,SZ,Skitour,S-,22.12.2007,
H?ch Hund,2215,SZ,Skitour,S,31.12.2010,
F?isc,2208,TI,Schneeschuhtour,ZS+,01.01.2009,
Selun,2205,SG,Skitour,WS+,16.03.2005,
Eggberg,2202,GR,Skitour,L+,14.12.2008,
Chamm,2201,GL,Skitour,S,01.02.2009,
Mieserenstock,2199,SZ,Skitour,S,31.12.2010,
Sch?ren,2194,SG,Skitour,ZS,02.04.2009,
H?chstelli,2186,GR,Skitour,L,23.02.2011,
Hagelstock,2182,UR,Skitour,WS+,25.03.2007,
F?rispitz,2179,GL,Skitour,WS,18.12.2010,
Ochsenchopf,2179,GL/SZ,Bergwandern,T6 I,28.06.2011,
Gantrisch,2175,BE,Skitour,S+,10.12.2010,
H?enerchopf,2171,SG,Skitour,L,06.01.2007,
B?rglen,2165,BE,Skitour,S+,10.12.2010,
N?geliberg,2163,SG,Skitour,WS+,02.04.2009,
Silberplatten,2158,SG,Sportklettern,6c+,16.08.2009,
Tr?smerenh?reli,2137,SZ,Skitour,ZS,23.01.2010,
Br?nnelistock,2133,GL/SZ,Bergwandern,T4 I,25.05.2011,
Tomlishorn,2129,NW/OW,Berglauf,T5 II,10.06.2011,
Teuf Hund,2126,SZ,Bergwandern,T6 II,28.08.2011,
Fronalpstock,2124,GL,Bergwandern,T4 I,10.06.2011,
Pilatus,2120,NW/OW,Berglauf,T4 I,04.06.2011,
Tw?riberg,2117,SZ,Skitour,WS+,27.12.2010,
Stelli,2111,GR,Skitour,L,23.02.2011,
Stoss,2111,SG,Skitour,WS+,11.01.2010,
Leistchamm,2101,SG,Skitour,WS+,02.04.2009,
Glattchamm,2098,SG,Skitour,S+,02.04.2009,
Zindlenspitz,2097,GL/SZ,Bergwandern,T4 I,25.05.2011,
Fluebrig,2093,SZ,Skitour,SS+,16.12.2007,
Plattenberg,2082,GL/SZ,Bergwandern,T4,29.05.2011,
Rossalpelispitz,2075,GL/SZ,Bergwandern,T4,25.05.2011,
Turner,2069,SZ,Skitour,SS,26.12.2010,
Kreuzberge,2065,SG,Sportklettern,IV,16.06.2002,
Gemmenalphorn,2062,BE,Bergwandern,T2,22.04.2011,
Schibenspitz,2060,BE,Skitour,WS,10.12.2010,
Fadeuer,2058,GR,Skitour,L,23.02.2011,
Lauiberg,2057,SZ,Bergwandern,T5,28.08.2011,
Schiberg,2044,GL/SZ,Bergwandern,T6 III,29.11.2008,
Matthorn,2041,OW,Berglauf,T3,10.06.2011,
Lachenstock,2027,GL/SZ,Bergwandern,T4,29.05.2011,
R?tistein,2025,SZ,Skitour,WS-,16.01.2011,
Wyss R?ssli,2018,SZ,Bergwandern,T4,21.06.2011,
Schmal St?ckli,2012,SZ,Sportklettern,5c+,01.07.2002,
Wilerhorn,2004,BE/OW,Bergwandern,T2,25.04.2011,
Tierberg,1989,GL/SZ,Bergwandern,T6,15.06.2011,
Wannenst?ckli,1988,GL/SZ,Bergwandern,T5,28.06.2011,
Gantspitz,1970,SZ,Bergwandern,T6,21.06.2011,
Wannenspitz,1970,GR,Skitour,WS,23.02.2011,
Biet,1966,SZ,Bergwandern,T3,28.08.2011,
Niederhorn,1950,BE,Bergwandern,T2,22.04.2011,
Schwarzchopf,1949,SG,Skitour,SS,11.01.2010,
Bockmattli,1932,SZ,Bergwandern,T4,15.06.2011,
Sch?lberg,1930,SZ,Bergwandern,T5,28.08.2011,
Firzstock,1923,GL,Skitour,WS,05.12.2009,
Fidisberg,1919,SZ,Bergwandern,T4,28.08.2011,
Grosser Mythen,1899,SZ,Bergwandern,T3,05.06.2011,
Ch?pfenberg,1896,GL/SZ,Bergwandern,T5 I,15.06.2011,
Birehubel,1850,BE,Skitour,WS,10.12.2010,
Gonzen,1829,SG,Bergwandern,T3,04.05.2011,
Gmeinenwis,1818,SG,Skitour,WS,23.12.2007,
Neuenalpspitz,1816,SG,Skitour,S,23.12.2007,
Kleiner Mythen,1811,SZ,Bergwandern,T5,10.05.2009,
Gulmen,1789,SG,Schneeschuhtour,WS,12.02.2006,
Br?ggler,1777,GL,Sportklettern,7a,27.05.2008,
Wageten,1755,GL,Snowboardtour,WS-,02.02.2002,
Gross Aubrig,1695,SZ,Skitour,SS,04.12.2010,
Furggelenstock,1656,SZ,Bergwandern,T2,08.05.2011,
Chli Aubrig,1642,SZ,Skitour,SS,04.12.2010,
Br?nnelistock,1594,SZ,Bergwandern,T1,08.05.2011,
Hudelschijen,1590,SZ,Bergwandern,T4,08.05.2011,
Gross Schijen,1572,SZ,Bergwandern,T5 II,08.05.2011,
Hochstuckli,1566,SZ,Wandern,T2,29.08.2010,
Chli Schijen,1557,SZ,Bergwandern,T5 II,08.05.2011,
Chli Mutzenstein,1504,SZ,Bergwandern,T4,21.06.2011,
Vitznauerstock,1452,LU,Bergwandern,T3,10.04.2011,
Weissenstein,1287,SO,Wandern,T1,30.10.2005,
Bachtel,1110,ZH,Wandern,T1,18.04.2011,
