,Country,Capital,Italian
153,Netherlands,Amsterdam,
154,Netherlands Antilles,"Willemstad, Curacao",
155,New Caledonia,"Noumea, South Province",
156,New Zealand,Wellington,
157,Nicaragua,Managua,
158,Niger,Niamey,
159,Nigeria,Abuja,
160,"Niue Island, New Zealand",Alofi,
161,"Norfolk Islands, Australia",Kingston,
162,Northern Mariana Islands,Saipan,
163,Norway,Oslo,
164,Oman,Muscat,Mascate
165,Pakistan,Islamabad,
166,Palau,Koror,
167,Panama,Panama (Tocumen Int?l),
168,Papua New Guinea,Port Moresby,
169,Paraguay,Asuncion,
170,Peru,Lima,
171,Philippines,Manila,
172,Pitcairn Islands,Adamstown,
173,Poland,Warsaw,Varsavia
174,Portugal,Lisbon,Lisbona
175,Puerto Rico,San Juan,
176,Qatar,Doha,
177,Reunion Island,St. Denis,
178,Romania,Bucharest,Bucarest
179,Russian Federation,Moscow,Mosca
180,Rwanda,Kigali,
181,Samoa,"Apia, Upolu Island (Faleolo)",
182,San Marino,San Marino,
183,Sao Tome and Principe,Sao Tome,
184,Saudi Arabia,Riyadh,
185,Senegal,Dakar,
186,Seychelles,"Victoria, Mahe Island",
187,Sierra Leone,Freetown,
188,Singapore,Singapore,
189,"Slovakia, Republic of",Bratislava,
190,Slovenia,Ljubljana,Lubiana
191,Solomon Islands,Honiara,
192,"Somalia, Republic of",Mogadishu,Mogadiscio
193,South Africa,Pretoria,
194,Spain,Madrid,
195,Sri Lanka,Sri Jayawardenapura,
196,St. Helena,Jamestown,
197,St. Kitts and Nevis,"Basseterre, St. Kitts",
198,St. Lucia,Castries,
199,St. Pierre et Miquelon,St. Pierre,
200,St. Vincent and the Grenadines,"Kingstown, St. Vincent Island",
201,Sudan,Khartoum,
202,Suriname,Paramaribo,
203,"Svalbard, Norway",Longyearbyen,
204,Swaziland,Mbabane,
205,Sweden,Stockholm,Stoccolma
206,Switzerland,Bern,Berna
207,Syria,Damascus,Damasco
208,Taiwan,Taipei,
209,Tajikistan,Dushanbe,
210,"Tanzania, Republic of",Dodoma,
211,Thailand,Bangkok,
212,"Togolese, Republic of",Lome,Lom?
213,Tonga,"Nukualofa, Tongatapu Island",Nuku?alofa
214,Trinidad and Tobago,Port-of-Spain,Port of Spain
215,Tunisia,Tunis,Tunisi
216,Turkey,Ankara,
217,Turkmenistan,Ashgabat,Ashabad
218,Turks and Caicos Islands,"Cockburn Town, Grand Turk",
219,Tuvalu,Funafuti,
220,Uganda,Kampala,
221,Ukraine,Kiev,
222,United Arab Emirates,Abu Dhabi,
223,United Kingdom,London,Londra
224,United States of America,"Washington, D.C.",
225,Uruguay,Montevideo,
226,Uzbekistan,Tashkent,
227,Vanuatu (New Hebrides),Port-Vila,
228,Venezuela,Caracas,
229,Vietnam,Hanoi,
230,"Virgin Islands, British","Road Town, Tortola (Beef Island)",
231,"Virgin Islands, U.S.","Charlotte Amalie, St. Thomas",
232,"Wake Island, U.S.",Wake Island,
233,Wallis and Futuna Islands,Mata Utu,Mata-Utu
234,Yemen,Sanaa,Sana?a
235,Yugoslavia,Belgrade,Belgrado
236,Zambia,Lusaka,
237,Zimbabwe,Harare,
