PEAK,RANKING,MAP,GUIDE,GRID REF,ALT (ft),ALT (m)
Crag Fell,161,NW,W,NY 097 144,"1,710",521
Crag Hill (Eel Crag),24,NW,NW,NY 193 203,"2,749",838
Crinkle Crags,17,SW,S,NY 249 049,"2,816",858
Dale Head,63,NW,NW,NY 223 154,"2,473",754
Dodd,175,NW,N,NY 244 273,"1,612",491
Dollywagon Pike,16,NE,E,NY 345 131,"2,810",856
Dove Crag,37,NE,E,NY 374 104,"2,603",793
Dow Crag,47,SW,S,SD 262 977,"2,555",779
Eagle Crag,174,NW,C,NY 275 121,"1,650",503
Eel Crag (Crag Hill),24,NW,NW,NY 193 203,"2,749",838
Esk Pike,11,SW,S,NY 230 075,"2,903",885
Fairfield,13,NE,E,NY 359 117,"2,863",873
Fellbarrow,199,NW,W,NY132 243,"1,363",415
Fleetwith Pike,114,NW,W,NY 205 142,"2,126",648
Froswick,80,SE,FE,NY 435 085,"2,339",713
Gavel Fell,159,NW,W,NY 116 184,"1,720",524
Gibson Knott,197,SE,C,NY 318 099,"1,379",420
Glaramara,45,NW,S,NY 247 105,"2,560",780
Glenridding Dodd,193,NE,E,NY 381 176,"1,425",434
Gowbarrow Fell,180,NE,E,NY 407 218,"1,579",481
Grange Fell,198,NW,C,NY 264 163,"1,363",415
Grasmoor,20,NW,NW,NY 175 204,"2,791",851
Gray Crag,91,NE,FE,NY 427 119,"2,286",697
Graystones,190,NW,NW,NY177 264,"1,476",450
Great Borne,125,NW,W,NY 124 164,"2,019",615
Great Calva,95,NW,N,NY 291 312,"2,265",690
Great Carrs,42,SW,S,NY 270 009,"2,575",785
Great Cockup,158,NW,N,NY 273 333,"1,720",524
Great Crag,187,NW,C,NY 270 147,"1,500",457
Great Dodd,19,NE,E,NY 342 206,"2,807",856
Great End,5,SW,S,NY 227 083,"2,984",910
Great Gable,7,NW,W,NY 211 103,"2,949",899
Great Mell Fell,155,NE,E,NY 397 254,"1,760",536
Great Rigg,54,NE,E,NY 356 105,"2,513",766
Great Sca Fell,113,NW,N,NY 291 339,"2,131",650
Green Crag,176,SW,S,SD 200 983,"1,602",488
Green Gable,38,NW,W,NY214 107,"2,603",793
Grey Crag,118,SE,FE,NY 497 072,"2,093",638
Grey Friar,50,SW,S,NY 260 004,"2,536",773
Grey Knotts,90,NW,W,NY 217 126,"2,287",697
Grike,177,NW,W,NY 085 141,"1,596",486
Grisedale Pike,30,NW,NW,NY 198 226,"2,593",790
Hallin Fell,203,NE,FE,NY 433 198,"1,271",387
Hard Knott,148,SW,S,NY 232 024,"1,803",550
Harrison Stickle,71,SW,C,NY 282 074,"2,403",732
Hart Crag,27,NE,E,NY 369 112,"2,698",822
Hart Side,60,NE,E,NY 358 197,"2,481",756
Harter Fell (Eskdale),112,SW,S,SD 218 997,"2,140",652
Harter Fell (Martindale),59,SE,FE,NY 460 093,"2,539",774
Hartsop Above How,140,NE,E,NY 383 120,"1,870",570
Hartsop Dodd,126,NE,FE,NY 412 118,"2,018",615
Haycock,35,NW,W,NY 145 107,"2,618",798
Haystacks,135,NW,W,NY 193 132,"1,900",579
Helm Crag,201,SE,C,NY 326 093,"1,299",396
Helvellyn,3,NE,E,NY 342 152,"3,118",950
Hen Comb,170,NW,W,NY 132 181,"1,661",506
Heron Pike,127,SE,E,NY 356 083,"2,003",611
High Crag,64,NW,W,NY 180 141,"2,443",745
High Hartsop Dodd,162,NE,E,NY 394 108,"1,702",519
High Pike (Caldbeck),107,NE,N,NY 319 350,"2,157",658
High Pike (Scandale),108,SE,E,NY 374 088,"2,155",656
High Raise (Langdale),57,NW,C,NY 281 095,"2,500",762
High Raise (Mardale),31,NE,FE,NY 448 134,"2,634",803
High Rigg,209,NW,C,NY 308 220,"1,163",354
High Seat,128,NW,C,NY 287 180,"1,995",608
High Spy,109,NW,NW,NY 234 162,"2,143",653
High Stile,30,NW,W,NY 169 148,"2,644",806
High Street,25,NE,FE,NY 440 109,"2,718",828
High Tove,168,NW,C,NY 289 165,"1,665",507
Hindscarth,73,NW,NW,NY 216 165,"2,385",727
Holme Fell,213,SW,S,NY 315 006,"1,040",317
Hopegill Head,53,NW,NW,NY 185 222,"2,525",770
Ill Bell,62,SE,FE,NY 436 077,"2,476",755
Illgill Head,129,SW,S,NY 166 048,"1,983",604
Kentmere Pike,72,SE,FE,NY 466 078,"2,397",731
Kidsty Pike,46,NE,FE,NY 448 126,"2,560",780
Kirk Fell,33,NW,W,NY 195 105,"2,630",802
Knott,82,NW,N,NY 296 330,"2,329",710
Knott Rigg,150,NW,NW,NY 197 188,"1,790",546
"Knott, The",65,NE,FE,NY 092 120,"2,423",739
Lank Rigg,152,NW,W,NY 278 247,"1,775",541
Latrigg,206,NW,N,NY 180 286,"1,203",367
Ling Fell,205,NW,NW,NY 210 082,"1,224",373
Lingmell,29,SW,S,NY 303 046,"2,649",807
Lingmoor Fell,185,SW,S,NY 387 100,"1,530",466
Little Hart Crag,119,NE,E,NY 423 240,"2,091",637
Little Mell Fell,172,NE,E,NY 457 181,"1,657",505
Loadpot Hill,102,NE,FE,NY 277 071,"2,201",671
Loft Crag,93,SW,C,NY 249 284,"2,270",692
Long Side,70,NW,N,NY 276 354,"2,405",733
Longlands Fell,178,NW,N,NY 285 272,"1,580",482
Lonscale Fell,79,NW,N,NY 204 265,"2,344",714
Lord's Seat,146,NW,NW,NY 347 051,"1,811",552
Loughrigg Fell,211,SE,C,NY 137 226,"1,101",336
Low Fell,200,NW,W,NY 374 078,"1,360",415
Low Pike,171,SE,E,NY 237 182,"1,657",505
Maiden Moor,136,NW,NW,NY 447 101,"1,887",575
Mardale Ill Bell,59,NE,FE,NY 283 337,"2,496",761
Meal Fell,153,NW,N,NY 148 195,"1,770",539
Mellbreak,166,NW,W,NY 397 096,"1,676",511
Middle Dodd,116,SE,E,NY 151 072,"2,106",642
Middle Fell,134,SW,W,NY 312 292,"1,908",582
Mungrisedale Common,121,NE,N,NY 355 065,"2,068",630
Nab Scar,192,SE,E,NY 344 142,"1,450",442
"Nab,The",137,NE,FE,NY 211 214,"1,887",575
Nethermost Pike,9,NE,E,NY 285 080,"2,920",890
Outerside,141,NW,NW,NY 271 042,"1,863",568
Pavey Ark,89,SW,C,NY 274 074,"2,288",697
Pike O'Blisco,87,SW,S,NY 171 121,"2,304",702
Pike O'Stickle,83,SW,C,NY 405 169,"2,323",708
Pillar,8,NW,W,NY 343 174,"2,927",892
Place Fell,110,NE,FE,NY 442 128,"2,142",653
Raise,12,NE,E,NY 167 183,"2,889",881
Rampsgill Head,41,NE,FE,NY 303 187,"2,581",787
Rannerdale Knotts,210,NW,NW,NY 160 154,"1,160",354
Raven Crag,186,NW,C,NY 165 106,"1,520",463
Red Pike (Buttermere),61,NW,W,NY 396 087,"2,479",756
Red Pike (Wasdale),26,NW,W,NY 433 137,"2,707",825
Red Screes,48,SE,E,NY 202 169,"2,541",774
Rest Dodd,92,NE,FE,NY 249 076,"2,278",694
Robinson,67,NW,NW,NY 257 124,"2,417",737
Rossett Pike,117,SW,S,NY 198 202,"2,106",642
Rosthwaite Fell (Bessyboot),147,NW,S,NY 194 296,"1,807",551
Sail,52,NW,NW,NY 436 040,"2,530",771
Saint Sunday Crag,23,NE,E,NY 207 065,"2,756",840
Sale Fell,208,NW,NW,NY 215 072,"1,170",357
Sallows,164,SE,FE,NY 209 207,"1,691",515
Scafell,2,SW,S,NY 160 114,"3,162",964
Scafell Pike,1,SW,S,NY 343 114,"3,210",978
Scar Crags,101,NW,NW,NY 140 084,"2,205",672
Scoat Fell,22,NW,W,NY 229 102,"2,760",841
Seat Sandal,68,NE,E,NY 491 112,"2,415",736
Seatallan,94,SW,W,NY 286 089,"2,266",691
Seathwaite Fell,130,NW,S,NY 273 114,"1,970",600
Selside Pike,111,NE,FE,NY 369 182,"2,142",653
Sergeant Man,69,SW,C,NY 472 062,"2,414",736
Sergeants' Crag,139,NW,C,NY 324 066,"1,873",571
Sheffield Pike,97,NE,E,NY 260 291,"2,232",680
Shipman Knotts,132,SE,FE,NY 266 278,"1,926",587
Silver How,202,SW,C,NY 210 050,"1,292",394
Skiddaw,4,NW,N,NY 428 032,"3,054",931
Skiddaw Little Man,15,NW,N,NY 354 287,"2,837",865
Slight Side,58,SW,S,NY 369 134,"2,499",762
Sour Howes,183,SE,FE,NY 142 157,"1,568",478
Souther Fell,165,NE,N,NY 320 112,"1,680",512
Starling Dodd,120,NW,W,NY 440 181,"2,085",636
Steel Fell,145,NE,C,NY 157 117,"1,811",552
Steel Knotts,195,NE,FE,NY 348 092,"1,414",431
Steeple,28,NW,W,NY 343 190,"2,687",819
Stone Arthur,173,SE,E,NY 273 006,"1,652",504
Stybarrow Dodd,21,NE,E,NY 303 093,"2,770",844
Swirl How,34,SW,S,NY 488 078,"2,630",802
Tarn Crag (Easedale),149,SW,C,NY 437 127,"1,801",549
Tarn Crag (Longsleddale),104,SE,FE,NY 434 152,"2,176",663
Thornthwaite Crag,44,NE,FE,NY 431 100,"2,569",783
Thunacar Knott,76,SW,C,NY 279 080,"2,351",717
Troutbeck Tongue,207,SE,FE,NY 422 064,"1,191",363
Ullock Pike,99,NW,N,NY 244 287,"2,230",680
Ullscarf,75,NW,C,NY 292 122,"2,370",722
Walla Crag,204,NW,C,NY 276 213,"1,234",376
Wandope,51,NW,NW,NY 188 197,"2,533",772
Wansfell,181,SE,FE,NY 395 045,"1,579",481
Watson's Dodd,40,NE,E,NY 335 196,"2,584",788
Wether Hill,100,NE,FE,NY 455 167,"2,210",674
Wetherlam,56,SW,S,NY 288 011,"2,502",763
Whin Rigg,156,SW,S,NY 151 034,"1,755",535
Whinlatter,163,NW,NW,NY 197 249,"1,696",517
White Side,16,NE,E,NY 337 167,"2,832",863
Whiteless Pike,106,NW,NW,NY 180 189,"2,159",658
Whiteside,84,NW,NW,NY 170 220,"2,317",706
Yewbarrow,122,SW,W,NY 173 085,"2,058",627
Yoke,85,SE,FE,NY 438 068,"2,309",704
