Name,Region,Income,GNI,Population
China,East Asia & Pacific,Upper middle income,"4,260","1,338,300,000"
Colombia,Latin America & Caribbean,Upper middle income,"5,510","46,300,196"
Comoros,Sub-Saharan Africa,Low income,820,"675,000"
"Congo, Dem. Rep.",Sub-Saharan Africa,Low income,180,"67,827,495"
"Congo, Rep.",Sub-Saharan Africa,Lower middle income,"2,310","3,758,678"
Costa Rica,Latin America & Caribbean,Upper middle income,"6,580","4,639,827"
Côte d'Ivoire,Sub-Saharan Africa,Lower middle income,"1,070","21,570,746"
Croatia,Eastern Europe & Central Asia,High income,"13,760","4,430,003"
Cyprus,Eastern Europe & Central Asia,High income,"28,237","879,723"
Czech Republic,OECD high income,High income,"17,870","10,534,920"
Denmark,OECD high income,High income,"58,980","5,565,020"
Djibouti,Middle East & North Africa,Lower middle income,"1,383","879,053"
Dominica,Latin America & Caribbean,Upper middle income,"4,960","74,000"
Dominican Republic,Latin America & Caribbean,Upper middle income,"4,860","10,225,482"
Ecuador,Latin America & Caribbean,Upper middle income,"4,510","13,774,909"
"Egypt, Arab Rep.",Middle East & North Africa,Lower middle income,"2,340","84,474,427"
El Salvador,Latin America & Caribbean,Lower middle income,"3,360","6,194,126"
Equatorial Guinea,Sub-Saharan Africa,High income,"14,680","693,385"
Eritrea,Sub-Saharan Africa,Low income,340,"5,223,994"
Estonia,OECD high income,High income,"14,360","1,340,200"
Ethiopia,Sub-Saharan Africa,Low income,380,"84,975,606"
Fiji,East Asia & Pacific,Lower middle income,"3,610","854,098"
Finland,OECD high income,High income,"47,170","5,362,610"
France,OECD high income,High income,"42,390","64,876,618"
Gabon,Sub-Saharan Africa,Upper middle income,"7,760","1,501,266"
"Gambia, The",Sub-Saharan Africa,Low income,440,"1,750,732"
Georgia,Eastern Europe & Central Asia,Lower middle income,"2,690","4,428,544"
Germany,OECD high income,High income,"43,330","81,635,580"
Ghana,Sub-Saharan Africa,Lower middle income,"1,240","24,332,755"
Greece,OECD high income,High income,"27,240","11,329,170"
Grenada,Latin America & Caribbean,Upper middle income,"5,560","104,342"
Guatemala,Latin America & Caribbean,Lower middle income,"2,740","14,376,881"
Guinea,Sub-Saharan Africa,Low income,380,"10,323,755"
Guinea-Bissau,Sub-Saharan Africa,Low income,540,"1,647,380"
Guyana,Latin America & Caribbean,Lower middle income,"3,270","761,442"
Haiti,Latin America & Caribbean,Low income,650,"9,958,175"
Honduras,Latin America & Caribbean,Lower middle income,"1,880","7,615,584"
"Hong Kong SAR, China",East Asia & Pacific,High income,"32,900","7,041,270"
Hungary,OECD high income,High income,"12,990","10,004,970"
Iceland,OECD high income,High income,"33,870","318,450"
India,South Asia,Lower middle income,"1,340","1,170,938,000"
Indonesia,East Asia & Pacific,Lower middle income,"2,580","232,516,771"
"Iran, Islamic Rep.",Middle East & North Africa,Upper middle income,"4,741","73,864,000"
Iraq,Middle East & North Africa,Lower middle income,"2,320","32,297,391"
Ireland,OECD high income,High income,"40,990","4,451,310"
Israel,OECD high income,High income,"27,340","7,577,000"
Italy,OECD high income,High income,"35,090","60,574,530"
Jamaica,Latin America & Caribbean,Upper middle income,"4,750","2,712,091"
Japan,OECD high income,High income,"42,150","127,380,000"
Jordan,Middle East & North Africa,Upper middle income,"4,350","6,093,000"
Kazakhstan,Eastern Europe & Central Asia,Upper middle income,"7,440","16,316,050"
Kenya,Sub-Saharan Africa,Low income,780,"40,862,900"
Kiribati,East Asia & Pacific,Lower middle income,"2,010","99,547"
"Korea, Rep.",OECD high income,High income,"19,890","48,875,000"
Kosovo,Eastern Europe & Central Asia,Lower middle income,"3,300","1,815,000"
Kuwait,Middle East & North Africa,High income,"36,412","2,863,000"
Kyrgyz Republic,Eastern Europe & Central Asia,Low income,880,"5,365,167"
Lao PDR,East Asia & Pacific,Lower middle income,"1,010","6,436,093"
Latvia,Eastern Europe & Central Asia,High income,"11,620","2,242,830"
Lebanon,Middle East & North Africa,Upper middle income,"9,020","4,254,583"
Lesotho,Sub-Saharan Africa,Lower middle income,"1,080","2,084,182"
Liberia,Sub-Saharan Africa,Low income,190,"4,101,767"
Lithuania,Eastern Europe & Central Asia,Upper middle income,"11,400","3,318,970"
Luxembourg,OECD high income,High income,"79,510","506,640"
"Macedonia, FYR",Eastern Europe & Central Asia,Upper middle income,"4,520","2,060,563"
Madagascar,Sub-Saharan Africa,Low income,440,"20,146,442"
Malawi,Sub-Saharan Africa,Low income,330,"14,900,841"
Malaysia,East Asia & Pacific,Upper middle income,"7,900","27,913,990"
Maldives,South Asia,Upper middle income,"4,270","313,920"
Mali,Sub-Saharan Africa,Low income,600,"15,369,809"
Marshall Islands,East Asia & Pacific,Lower middle income,"2,990","62,360"
Mauritania,Sub-Saharan Africa,Lower middle income,"1,060","3,365,675"
Mauritius,Sub-Saharan Africa,Upper middle income,"7,740","1,282,000"
Mexico,Latin America & Caribbean,Upper middle income,"9,330","108,523,000"
"Micronesia, Fed. Sts.",East Asia & Pacific,Lower middle income,"2,700","111,064"
Moldova,Eastern Europe & Central Asia,Lower middle income,"1,810","3,561,105"
Mongolia,East Asia & Pacific,Lower middle income,"1,890","2,701,117"
Montenegro,Eastern Europe & Central Asia,Upper middle income,"6,690","625,516"
Morocco,Middle East & North Africa,Lower middle income,"2,850","32,381,283"
Mozambique,Sub-Saharan Africa,Low income,440,"23,405,670"
Namibia,Sub-Saharan Africa,Upper middle income,"4,650","2,212,037"
Nepal,South Asia,Low income,490,"29,852,682"
Netherlands,OECD high income,High income,"49,720","16,622,560"
New Zealand,OECD high income,High income,"32,145","4,370,700"
Nicaragua,Latin America & Caribbean,Lower middle income,"1,080","5,822,265"
Niger,Sub-Saharan Africa,Low income,360,"15,891,482"
Nigeria,Sub-Saharan Africa,Lower middle income,"1,180","158,258,917"
Norway,OECD high income,High income,"85,380","4,882,930"
Oman,Middle East & North Africa,High income,"18,657","2,905,114"
Pakistan,South Asia,Lower middle income,"1,050","173,383,000"
Palau,East Asia & Pacific,Upper middle income,"6,460","20,519"
Panama,Latin America & Caribbean,Upper middle income,"6,990","3,508,475"
Papua New Guinea,East Asia & Pacific,Lower middle income,"1,300","6,888,387"
Paraguay,Latin America & Caribbean,Lower middle income,"2,940","6,459,727"
Peru,Latin America & Caribbean,Upper middle income,"4,710","29,496,120"
Philippines,East Asia & Pacific,Lower middle income,"2,050","93,616,853"
Poland,OECD high income,High income,"12,420","38,177,910"
Portugal,OECD high income,High income,"21,860","10,641,710"
Puerto Rico (U.S.),Latin America & Caribbean,High income,"17,280","3,980,064"
Qatar,Middle East & North Africa,High income,"76,168","1,508,322"
Romania,Eastern Europe & Central Asia,Upper middle income,"7,840","21,449,980"
Russian Federation,Eastern Europe & Central Asia,Upper middle income,"9,910","141,750,000"
Rwanda,Sub-Saharan Africa,Low income,540,"10,277,212"
Samoa,East Asia & Pacific,Lower middle income,"2,930","178,943"
São Tomé and Príncipe,Sub-Saharan Africa,Lower middle income,"1,200","165,397"
Saudi Arabia,Middle East & North Africa,High income,"16,995.78","25,988,900"
Senegal,Sub-Saharan Africa,Lower middle income,"1,050","12,860,717"
Serbia,Eastern Europe & Central Asia,Upper middle income,"5,820","7,289,300"
Seychelles,Sub-Saharan Africa,Upper middle income,"9,490","89,000"
Sierra Leone,Sub-Saharan Africa,Low income,340,"5,835,664"
Singapore,East Asia & Pacific,High income,"40,920","5,140,300"
Slovak Republic,OECD high income,High income,"16,220","5,429,970"
Slovenia,OECD high income,High income,"23,860","2,065,110"
Solomon Islands,East Asia & Pacific,Lower middle income,"1,030","535,699"
South Africa,Sub-Saharan Africa,Upper middle income,"6,100","49,962,243"
Spain,OECD high income,High income,"31,650","46,217,400"
Sri Lanka,South Asia,Lower middle income,"2,290","20,451,826"
St. Kitts and Nevis,Latin America & Caribbean,Upper middle income,"9,980","50,000"
St. Lucia,Latin America & Caribbean,Upper middle income,"4,970","174,000"
St. Vincent and the Grenadines,Latin America & Caribbean,Upper middle income,"4,850","109,284"
Sudan,Sub-Saharan Africa,Lower middle income,"1,270","43,551,941"
Suriname,Latin America & Caribbean,Upper middle income,"6,975","524,345"
Swaziland,Sub-Saharan Africa,Lower middle income,"2,600","1,201,904"
Sweden,OECD high income,High income,"49,930","9,394,130"
Switzerland,OECD high income,High income,"70,350","7,790,010"
Syrian Arab Republic,Middle East & North Africa,Lower middle income,"2,640","21,615,919"
"Taiwan, China",East Asia & Pacific,High income,"18,458","23,151,000"
Tajikistan,Eastern Europe & Central Asia,Low income,780,"7,074,845"
Tanzania,Sub-Saharan Africa,Low income,530,"45,039,573"
Thailand,East Asia & Pacific,Upper middle income,"4,210","68,139,238"
Timor-Leste,East Asia & Pacific,Lower middle income,"2,200","1,171,163"
Togo,Sub-Saharan Africa,Low income,440,"6,780,030"
Tonga,East Asia & Pacific,Lower middle income,"3,380","104,260"
Trinidad and Tobago,Latin America & Caribbean,High income,"15,380","1,343,725"
Tunisia,Middle East & North Africa,Upper middle income,"4,070","10,535,100"
Turkey,Eastern Europe & Central Asia,Upper middle income,"9,500","75,705,147"
Uganda,Sub-Saharan Africa,Low income,490,"33,796,461"
Ukraine,Eastern Europe & Central Asia,Lower middle income,"3,010","45,759,961"
United Arab Emirates,Middle East & North Africa,High income,"59,716.85","4,707,307"
United Kingdom,OECD high income,High income,"38,540","62,246,610"
United States,OECD high income,High income,"47,140","309,712,000"
Uruguay,Latin America & Caribbean,Upper middle income,"10,590","3,356,584"
Uzbekistan,Eastern Europe & Central Asia,Lower middle income,"1,280","28,160,361"
Vanuatu,East Asia & Pacific,Lower middle income,"2,760","239,651"
"Venezuela, RB",Latin America & Caribbean,Upper middle income,"11,590","28,834,000"
Vietnam,East Asia & Pacific,Lower middle income,"1,100","88,361,983"
West Bank and Gaza,Middle East & North Africa,Lower middle income,"1,523","4,152,102"
"Yemen, Rep.",Middle East & North Africa,Lower middle income,"1,060","24,255,928"
Zambia,Sub-Saharan Africa,Lower middle income,"1,070","12,926,409"
Zimbabwe,Sub-Saharan Africa,Low income,460,"12,644,041"
