World rank,City,Country,City population,Metro population,Mayor
20,Lagos,Nigeria,"7,938,000","9,123,000",n/k
62,Kano,Nigeria,"3,626,000","3,900,000",Ibrahim Shekarau
94,Port Harcourt,Nigeria,"2,667,000","3,761,000",Azubuike Nmerukini
102,Ibadan,Nigeria,"2,550,000","3,000,000",Adebayo Alao-Akala
229,Kaduna,Nigeria,"1,460,000","1,500,000",Mohammed Namadi Sambo
324,Maiduguri,Nigeria,"1,200,000","1,200,000",n/k
389,Benin,Nigeria,"1,051,000","1,052,000",n/k
450,Zaria,Nigeria,"898,000",,n/k
509,ABUJA,Nigeria,"779,000","900,000",Muhammad Adamu Aliero
527,Ogbomosho,Nigeria,"726,000","985,000",n/k
n/r,Onitsha,Nigeria,"509,000","1,001,000",n/k
n/r,Oshogbo,Nigeria,"421,000","1,309,000",n/k
72,PYONGYANG,North Korea,"3,255,000","3,400,000",n/k
479,Hamhung,North Korea,"821,000","821,000",n/k
575,OSLO,Norway,"584,000","876,000",Fabian Stang
511,Masqat-Matrah,Oman,"776,000","776,000",n/k
1,Karachi,Pakistan,"15,500,000","18,000,000",Fazlur Rehman
30,Lahore,Pakistan,"6,100,000","8,600,000",Mian Amir Mahmood
107,Faisalabad,Pakistan,"2,510,000","5,081,000",Rana Zahid Tauseef
202,Rawalpindi,Pakistan,"1,558,000","2,548,000",Raja Hamid Nawaz
237,Hyderabad,Pakistan,"1,447,000","1,500,000",Kanwar Naveed Jamil
243,Multan,Pakistan,"1,424,000","1,500,000",Mian Faisal Mukhtar
249,Gujranwala,Pakistan,"1,416,000","1,900,000",Fayyaz Ahmad Chattha
367,Peshawar,Pakistan,"1,100,000","3,100,000",Muhammad Umar Khan
n/r,Gaza,Palestine,"410,000","1,000,000",n/k
467,PANAMA CITY,Panama,"850,000","1,220,000",Bosco Vallarino
592,ASUNCION,Paraguay,"546,000","1,433,000",Evangelista Troche de Gallegos
22,LIMA,Peru,"7,606,000","8,473,000",Susana Villaran
443,Arequipa,Peru,"905,000",,Simуn Balbuena Marroquнn
7,MANILA METRO,Philippines,"11,550,000","13,503,000",Alfredo S Lim
92,Quezon City,Philippines,"2,680,000",,Herbert M Bautis
267,Caloocan,Philippines,"1,379,000",,Enrico Echiverri
272,Davao City,Philippines,"1,363,000",,Inday Sara Duterte-Carpio
520,Cebu City,Philippines,"747,000","1,198,000",Tomas R Osmena
176,WARSAW,Poland,"1,712,000","3,350,000",Hanna Gronkiewicz-Waltz
506,Lodz,Poland,"783,000","1,429,000",Jerzy Kropiwickni
519,Krakow,Poland,"755,000","1,250,000",Jacek Majchrowski
n/r,Gdansk,Poland,"457,000","866,000",Pawel Adamowicz
n/r,Katowice,Poland,"340,000","2,746,000",Piotr Uszok
587,LISBON,Portugal,"558,000","2,612,000",Antуnio Costa
n/r,Porto,Portugal,"263,000","1,210,000",Rui Rio
n/r,SAN JUAN,Puerto Rico,"442,000","2,500,000",Jorge A. Santini Padilla
140,BUCHAREST,Romania,"1,994,000","2,151,000",Sorin Oprescu
10,MOSCOW,Russia,"10,524,000","14,800,000",Sergei Sobyanin
43,St Petersburg,Russia,"4,661,000","4,900,000",Valentina Matviyenko
258,Novosibirsk,Russia,"1,396,000","1,429,000",Vladimir Gorodetsky
286,Ekaterinburg,Russia,"1,323,000","1,389,000",Eugene Porunov
304,Nizhniy Novgorod,Russia,"1,280,000","1,900,000",Vadim Bulavinov
344,Samara,Russia,"1,160,000","1,500,000",Viktor Tarkhov
350,Omsk,Russia,"1,137,000","1,145,000",Viktor Shreyder
359,Kazan,Russia,"1,115,000","1,300,000",lsur Metshin
371,Chelyabinsk,Russia,"1,092,000","1,200,000",Mikhail Yurevich
382,Rostov on Don,Russia,"1,068,000","1,250,000",Mikhail Chernyshyov
398,Ufa,Russia,"1,023,000","1,050,000",Pavel Kachkayev
403,Volgograd,Russia,"1,012,000","1,292,000",Roman Grebennikov
404,Perm,Russia,"1,010,000","1,200,000",Igor Shubin
439,Krasnoyarsk,Russia,"920,000","950,000",Pyotr Pimashkov
468,Voronezh,Russia,"849,000","950,000",Sergey Koliukh
472,Saratov,Russia,"831,000","1,100,000",Vyacheslav Leonovich Somov
534,Krasnodar,Russia,"710,000","780,000",Vladimir Yevlanov
