ENTITY,CURRENCY,ALPHABETIC CODE,NUMERIC CODE
"Korea, Democratic People's Republic Of",North Korean Won,KPW,408
"Korea, Republic Of",Won,KRW,410
Kuwait,Kuwaiti Dinar,KWD,414
Kyrgyzstan,Som,KGS,417
Lao People's Democratic Republic,Kip,LAK,418
Latvia,Latvian Lats,LVL,428
Lebanon,Lebanese Pound,LBP,422
Lesotho,Rand,ZAR,710
,(financial Rand),ZAL,991
,Loti,LSL,426
Liberia,Liberian Dollar,LRD,430
Libyan Arab Jamahiriya,Libyan Dinar,LYD,434
Liechtenstein,Swiss Franc,CHF,756
Lithuania,Lithuanian Litas,LTL,440
Luxembourg,Luxembourg Franc,LUF,442
Macau,Pataca,MOP,446
"Macedonia, The Former Yugoslav Republic Of",Denar,MKD,807
Madagascar,Malagasy Franc,MGF,450
Malawi,Kwacha,MWK,454
Malaysia,Malaysian Ringgit,MYR,458
Maldives,Rufiyaa,MVR,462
Mali,CFA Franc BCEAO,XOF,952
Malta,Maltese Lira,MTL,470
Marshall Islands,US Dollar,USD,840
Martinique,French Franc,FRF,250
Mauritania,Ouguiya,MRO,478
Mauritius,Mauritius Rupee,MUR,480
Mexico,Mexican Peso,MXN,484
,Mexican Unidad de Inversion (UDI),MXV,979
Micronesia,US Dollar,USD,840
"Moldova, Republic Of",Moldovan Leu,MDL,498
Monaco,French Franc,FRF,250
Mongolia,Tugrik,MNT,496
Montserrat,East Caribbean Dollar,XCD,951
Morocco,Moroccan Dirham,MAD,504
Mozambique,Metical,MZM,508
Myanmar,Kyat,MMK,104
Namibia,Rand,ZAR,710
,Namibia Dollar,NAD,516
Nauru,Australian Dollar,AUD,36
Nepal,Nepalese Rupee,NPR,524
Netherlands,Netherlands Guilder,NLG,528
Netherlands Antilles,Antillian Guilder,ANG,532
New Caledonia,CFP Franc,XPF,953
New Zealand,New Zealand Dollar,NZD,554
Nicaragua,Cordoba Oro,NIO,558
Niger,CFA Franc BCEAO,XOF,952
Nigeria,Naira,NGN,566
Niue,New Zealand Dollar,NZD,554
Norfolk Island,Australian Dollar,AUD,36
Northern Mariana Islands,US Dollar,USD,840
Norway,Norwegian Krone,NOK,578
Oman,Rial Omani,OMR,512
Pakistan,Pakistan Rupee,PKR,586
Palau,US Dollar,USD,840
Panama,Balboa,PAB,590
,US Dollar,USD,840
Papua New Guinea,Kina,PGK,598
Paraguay,Guarani,PYG,600
Peru,Nuevo Sol,PEN,604
Philippines,Philippine Peso,PHP,608
Pitcairn,New Zealand Dollar,NZD,554
Poland,Zloty,PLN,985
Portugal,Portuguese Escudo,PTE,620
Puerto Rico,US Dollar,USD,840
Qatar,Qatari Rial,QAR,634
Reunion,French Franc,FRF,250
Romania,Leu,ROL,642
Russian Federation,Russian Ruble,RUR,810
,Russian Ruble,RUB,643
Rwanda,Rwanda Franc,RWF,646
St Helena,St Helena Pound,SHP,654
St Kitts - Nevis,East Caribbean Dollar,XCD,951
Saint Lucia,East Caribbean Dollar,XCD,951
St Pierre and Miquelon,French Franc,FRF,250
Saint Vincent and The Grenadines,East Caribbean Dollar,XCD,951
Samoa,Tala,WST,882
San Marino,Italian Lira,ITL,380
Sao Tome and Principe,Dobra,STD,678
Saudi Arabia,Saudi Riyal,SAR,682
Senegal,CFA Franc BCEAO,XOF,952
Seychelles,Seychelles Rupee,SCR,690
Sierra Leone,Leone,SLL,694
Singapore,Singapore Dollar,SGD,702
Slovakia,Slovak Koruna,SKK,703
Slovenia,Tolar,SIT,705
Solomon Islands,Solomon Islands Dollar,SBD,90
Somalia,Somali Shilling,SOS,706
South Africa,Rand,ZAR,710
Spain,Spanish Peseta,ESP,724
Sri Lanka,Sri Lanka Rupee,LKR,144
Sudan,Sudanese Dinar,SDD,736
Suriname,Surinam Guilder,SRG,740
Svalbard and Jan Mayen Islands,Norwegian Krone,NOK,578
Swaziland,Lilangeni,SZL,748
Sweden,Swedish Krona,SEK,752
Switzerland,Swiss Franc,CHF,756
Syrian Arab Republic,Syrian Pound,SYP,760
"Taiwan, Province Of China",New Taiwan Dollar,TWD,901
Tajikistan,Somoni,TJS,972
Tajikistan (Old),Tajik Ruble (old),TJR,762
"Tanzania, United Republic Of",Tanzanian Shilling,TZS,834
Thailand,Baht,THB,764
Togo,CFA Franc BCEAO,XOF,952
Tokelau,New Zealand Dollar,NZD,554
Tonga,Pa'anga,TOP,776
Trinidad and Tobago,Trinidad and Tobago Dollar,TTD,780
Tunisia,Tunisian Dinar,TND,788
Turkey,Turkish Lira,TRL,792
Turkmenistan,Manat,TMM,795
Turks and Caicos Islands,US Dollar,USD,840
Tuvalu,Australian Dollar,AUD,36
Uganda,Uganda Shilling,UGX,800
Ukraine,Hryvnia,UAH,980
United Arab Emirates,UAE Dirham,AED,784
United Kingdom,Pound Sterling,GBP,826
United States,US Dollar,USD,840
,(Same day),USS,998
,(Next day),USN,997
United States Minor Outlaying Islands,US Dollar,USD,840
Uruguay,Peso Uruguayo,UYU,858
Uzbekistan,Uzbekistan Sum,UZS,860
Vanuatu,Vatu,VUV,548
Vatican City State (Holy See),Italian Lira,ITL,380
Venezuela,Bolivar,VEB,862
Vietnam,Dong,VND,704
Virgin Islands (British),US Dollar,USD,840
Virgin Islands (U.S.),US Dollar,USD,840
Wallis and Futuna Islands,CFP Franc,XPF,953
Western Sahara,Moroccan Dirham,MAD,504
Yemen,Yemeni Rial,YER,886
Yugoslavia,New Dinar,YUM,891
Zaire,New Zaire,ZRN,180
Zambia,Kwacha,ZMK,894
Zimbabwe,Zimbabwe Dollar,ZWD,716
,,,
,Gold Bond Markets Units,XAU,959
,Bond Markets Units,,
,European Composite Unit (EURCO),XBA,955
,European Monetary Unit (E.M.U.-6),XBB,956
,European Unit of Account 9 (E.U.A.- 9),XBC,957
,European Unit of Account 17 (E.U.A.- 17),XBD,958
,Palladium,XPD,964
,Platinum,XPT,962
,Silver,XAG,961
,,,
,Special settlement currencies,,
,UIC-Franc,XFU,Nil
,Gold-Franc,XFO,Nil
,Codes specifically reserved for testing purposes,XTS,963
,The codes assigned for transactions where no currency is involved are:,XXX,999
,Euro,EUR,978
