Platform,Developer,Game Title,Units Sold (in millions)
PS2,Electronic Arts,Madden NFL 2003,3.18
PS2,Electronic Arts,Need for Speed: Underground,3.00
PS2,Electronic Arts,Medal of Honor Frontline,2.80
PS2,Electronic Arts,Madden NFL 07,2.37
PS2,Electronic Arts,Madden NFL 2002,2.30
PS2,Electronic Arts,NBA Street,1.66
PS2,Electronic Arts,Lord of the Rings: The Two Towers,1.84
PS2,Electronic Arts,Need for Speed: Underground 2,1.19
PS2,Electronic Arts,NBA Live 2005,1.95
PS2,Electronic Arts,Medal of Honor: Rising Sun,1.81
PS2,Electronic Arts,Simpsons Road Rage,1.94
PS2,EA,The Simpsons Hit & Run,1.57
PS2,Electronic Arts,James Bond: Agent Under Fire,1.77
PS2,Electronic Arts,Need for Speed: Most Wanted,1.82
PS2,Electronic Arts,NBA Live 06,1.23
PS2,Electronic Arts,Madden NFL 2001,1.21
PS2,Electronic Arts,NBA Live 2004,1.46
PS2,Electronic Arts,NBA Street Vol. 2,1.60
PS2,Electronic Arts,Need for Speed: Hot Pursuit 2,1.61
PS2,Electronic Arts,James Bond 007: Nightfire,1.40
PS2,Electronic Arts,NCAA Football 07,1.32
PS2,Electronic Arts,NCAA Football 06,1.39
PS2,Electronic Arts,NCAA Football 2004,1.28
PS2,Electronic Arts,Lord of the Rings: Return of the King,1.04
PS2,Electronic Arts,The Sims,1.04
PS2,Electronic Arts,NCAA Football 2003,1.00
PS2,Electronic Arts,NBA Live 2003,1.18
PS2,Electronic Arts,MVP Baseball 2005,1.14
PS2,Electronic Arts,MVP Baseball 2004,1.02
PS2,Electronic Arts,Tiger Woods PGA 2004,1.13
PS2,Electronic Arts,Fight Night 2004,1.00
Xbox,Electronic Arts,Madden NFL 2006,1.41
Xbox,Electronic Arts,Madden NFL 2005,1.42
Xbox,Electronic Arts,Need for Speed: Underground 2,1.24
Xbox,Electronic Arts,Need for Speed: Underground,1.02
Xbox 360,Electronic Arts,Madden NFL 07,1.72
Xbox 360,Electronic Arts,Madden NFL 08,1.51
Xbox 360,Electronic Arts,Fight Night Round 3,1.15
GBA,Electronic Arts,Harry Potter & The Chamber of Secretse,1.10
PSP,Electronic Arts,Need for Speed: Most Wanted,1.02
,,,
PSX,Fox Interactive,Croc: Legend of Gobbos,1.39
,,,
PSX,Jaleco,Tetris Plus,1.77
,,,
PSX,Konami,Metal Gear Solid,2.81
PSX,Konami,Yu-Gi-Oh! Forbidden Memories,1.10
PS2,Konami,Yu-Gi-Oh! Duellists,1.11
PS2,Konami,Metal Gear Solid 2: Sons of Liberty,2.31
PS2,Konami,Metal Gear Solid 3: Snake Eater,1.42
PS2,Konami,Dance Dance Revolution Max 2,1.09
GBA,Konami,Frogger's Adventure,1.31
GBA,Konami,Yu-Gi-Oh! Eternal Duelist Soul,1.29
,,,
N64,LucasArts,Star Wars Episode 1: Racer,1.71
N64,LucasArts,Star Wars: Rogue Squadron,1.59
PS2,LucasArts,Star Wars: Battlefront II,2.01
PS2,LucasArts,Star Wars: Battlefront,1.77
PS2,LucasArts,LEGO Star Wars,1.88
PS2,LucasArts,LEGO Star Wars II: The Original Trilogy,1.08
PS2,LucasArts,Star Wars Episode III: Revenge of the Sith,1.41
Xbox,LucasArts,Star Wars: Knights of the Old Republic,1.48
Xbox,LucasArts,Star Wars: Battlefront,1.12
GC,LucasArts,Star Wars: Battlefront II,1.03
,,,
Xbox 360,Microsoft,Halo 3,4.54
Xbox 360,Microsoft,Forza Motorsport 2,2.23
Xbox,Microsoft,Halo 2,6.67
Xbox,Microsoft,Halo: Combat Evolved,4.91
Xbox,Microsoft,Fable,1.97
Xbox,Microsoft,Project Gotham Racing,1.40
Xbox,Microsoft,Gears of War,1.12
,,,
PSX,Midway,Mortal Kombat Trilogy,2.01
PS2,Midway,Mortal Kombat: Deadly Alliance,1.70
PS2,Midway,NFL Blitz,1.27
PS2,Midway,Spy Hunter,1.07
,,,
PSX,Namco,Tekken 3,3.24
PSX,Namco,Namco Museum Vol. 3,2.24
PSX,Namco,Tekken 2,2.00
PSX,Namco,Namco Museum Vol. 1,1.65
PSX,Namco,Pac-Man World,1.24
GBA,Namco,Namco Museum,2.96
GBA,Namco,Pac-Man Collection,1.06
N64,Namco,Namco Museum 64,1.04
PS2,Namco,Tekken Tag Tournament,1.61
PS2,Namco,Namco Museum,1.80/td>
PS2,Namco,Tekken 4,1.46
PS2,Namco,Ace Combat 4: Shattered Skies,1.97
PS2,Namco,Pac-Man World 2,1.21
GC,Namco,Soul Calibur 2,1.00
,,,
SNES,Nintendo,Donkey Kong Country,3.79
SNES,Nintendo,Donkey Kong Country 2,2.16
SNES,Nintendo,Killer Instinct,1.33
SNES,Nintendo,Donkey Kong Country 3,1.12
N64,Nintendo,Super Mario 64,6.87
N64,Nintendo,GoldenEye 007,5.74
N64,Nintendo,Mario Kart 64,5.50
N64,Nintendo,Legend of Zelda: Ocarina of Time,4.06
N64,Nintendo,Donkey Kong 64,2.67
N64,Nintendo,Pokemon Stadium,3.16
N64,Nintendo,Pokemon Stadium 2,1.01
N64,Nintendo,Super Smash Brothers,2.93
N64,Nintendo,Diddy Kong Racing,2.89
N64,Nintendo,Star Fox 64,2.76
N64,Nintendo,Pokemon Snap,2.22
N64,Nintendo,Star Wars: Shadow of the Empire,1.98
N64,Nintendo,Wave Race 64,1.95
N64,Nintendo,Banjo-Kazooie,1.85
N64,Nintendo,Legend of Zelda: Majora's Mask,1.63
N64,Nintendo,Cruisin USA,1.68
N64,Nintendo,Perfect Dark,1.51
N64,Nintendo,Yoshi's Story,1.10
N64,Nintendo,Mario Party 2,1.26
N64,Nintendo,1080 Snowboarding,1.23
N64,Nintendo,Mario Party,1.23
GBC,Nintendo,Pokemon Yellow,5.10
GBC,Nintendo,Pokemon Blue,5.02
GBC,Nintendo,Pokemon Red,4.83
GBC,Nintendo,Pokemon Silver,3.85
GBC,Nintendo,Pokemon Gold,3.75
GBC,Nintendo,Super Mario Bros. DX,2.80
GBC,Nintendo,Pokemon Crystal,1.65
GBC,Nintendo,Pokemon Trading Card Game,1.51
GBA,Nintendo,Super Mario World: Super Mario Advance 2,3.16
GBA,Nintendo,Super Mario Advance,2.85
GBA,Nintendo,Pokemon Ruby,2.84
GBA,Nintendo,Pokemon Sapphire,2.76
GBA,Nintendo,Super Mario Advance 4: Super Mario World,2.88
GBA,Nintendo,Pokemon Fire Red,2.12
GBA,Nintendo,Pokemon Leaf Green,2.12
GBA,Nintendo,Mario Kart: Super Circuit,2.53
GBA,Nintendo,Pokemon Emerald,2.44
GBA,Nintendo,Legend of Zelda: A Link to the Past + Four Swords,1.63
GBA,Nintendo,Super Mario Advance 3: Yoshi's Island,1.58
GBA,Nintendo,Mario & Luigi Superstar Saga,1.46
GBA,Nintendo,Metroid Fusion,1.13
GBA,Nintendo,Kirby: Nightmare in Dreamland,1.12
GBA,Nintendo,Donkey Kong Country,1.10
GC,Nintendo,Super Smash Bros. Melee,4.06
GC,Nintendo,Super Mario Sunshine,3.73
GC,Nintendo,Mario Kart: Double Dash!!,3.85
GC,Nintendo,Legend of Zelda: Wind Waker,2.47
GC,Nintendo,Luigi's Mansion,2.19
GC,Nintendo,Animal Crossing,1.68
GC,Nintendo,Metroid Prime,1.49
GC,Nintendo,Pokemon Colosseum,1.15
GC,Nintendo,Mario Party 4,1.10
GC,Nintendo,Paper Mario: The Thousand Year Door,1.23
GC,Nintendo,Mario Golf: Toadstool Tour,1.03
NDS,Nintendo,Nintendogs (all versions),6.23
NDS,Nintendo,Super Mario 64 DS,2.39
NDS,Nintendo,New Super Mario Bros.,3.63
NDS,Nintendo,Super Mario Kart DS,3.00
NDS,Nintendo,Animal Crossing: Wild World,1.68
NDS,Nintendo,Brain Training,2.23
NDS,Nintendo,Brain Training 2,1.03
NDS,Nintendo,Big Brain Academy,1.27
NDS,Nintendo,Pokemon Diamond / Pearl,4.33
NDS,Nintendo,The Legend of Zelda: Phantom Hourglass,1.01
NDS,Nintendo,Yoshi's Island DS,1.00
Wii,Nintendo,Wii Sports,8.18
Wii,Nintendo,Wii Play,3.79
Wii,Nintendo,The Legend of Zelda: Twilight Princess,2.22
Wii,Nintendo,Super Mario Galaxy,2.01
Wii,Nintendo,Mario Party 8,1.80
,,,
PS2,Sega,ESPN NFL 2K5,2.00
PS2,Sega,Sonic Mega Collection,1.44
PS2,Sega,Sonic Heroes,1.08
PS2,Sega,Crazy Taxi,1.07
Xbox,Sega,ESPN NFL 2K5,1.38
GC,Sega,Sonic Adventure 2 Battle,1.44
DC,Sega,Sonic Adventure,1.27
GC,Sega,Sonic Mega Collection,1.38
DC,Sega,NFL 2K1,1.01
DC,Sega,NFL 2K,1.13
DC,Sega,Crazy Taxi,1.11
GEN,Sega,Sonic & Knuckles,1.24
GEN,Sega,Sonic The Hedgehog 3,1.02
,,,
PSX,Sony,Gran Turismo,4.00
PSX,Sony,Gran Turismo 2,3.96
PSX,Sony,Crash Bandicoot 2,3.87
PSX,Sony,Crash Bandicoot 3: Warpped,3.76
PSX,Sony,Crash Bandicoot,3.29
PSX,Sony,Spyro The Dragon,3.31
PSX,Sony**,Final Fantasy VII,3.09
PSX,Sony,Crash Team Racing,1.90
PSX,Sony,Twisted Metal 2,1.74
PSX,Sony,Spyro The Dragon 2,1.74
PSX,Sony,Syphon Filter,1.75
PSX,Sony,A Bug's Life,1.50
PSX,Sony,Spyro: Year of the Dragon,2.04
PSX,Sony,NFL GameDay 98,1.47
PSX,Sony,Cool Boarders 3,1.43
PSX,Sony,Cool Boarders 2,1.21
PSX,Sony,Syphon Filter 2,1.32
PSX,Sony,Jet Moto 2,1.31
PSX,Sony,Twisted Metal 3,1.29
PSX,Sony,Twisted Metal 4,1.08
PSX,Sony,NFL GameDay 99,1.12
PSX,Sony,Jet Moto,1.27
PSX,Sony,Crash Bash,1.60
PSX,Sony,Twisted Metal,1.08
PSX,Sony,2Xtreme,1.09
PS2,Sony,Gran Turismo 3: A-Spec,7.13
PS2,Sony,SOCOM: U.S. Navy Seals,2.65
PS2,Sony,Gran Turismo 4,2.26
PS2,Sony,SOCOM II: U.S. Navy Seals,2.14
PS2,Sony,ATV Offroad Fury,1.99
PS2,Sony,Jak & Daxter: The Precursor Legacy,2.01
PS2,Sony,ATV Offroad Fury 2,1.77
PS2,Sony,God of War,2.33
PS2,Sony,God of War II,1.17
PS2,Sony,Jak II,1.57
PS2,Sony,Ratchet & Clank,1.36
PS2,Sony,Ratchet & Clank 2,1.35
PS2,Sony,Jak III,1.23
PS2,Sony,Ratchet & Clank 3,1.15
PS2,Sony,The Getaway,1.13
PS2,Sony,Twisted Metal Black,1.12
PS3,Sony,Motorstorm,1.16
PS3,Sony,Resistance: Fall of Man,1.00
PSP,Sony,Daxter,1.14
,,,
PSX,Square Enix,Final Fantasy VII,3.09
PSX,Square Enix,Final Fantasy VIII,2.34
PSX,Square Enix,Final Fantasy IX,1.66
PS2,Square Enix,Final Fantasy X,2.77
PS2,Square Enix,Kingdom Hearts,3.45
PS2,Square Enix,Final Fantasy X-2,1.85
PS2,Square Enix,Kingdom Hearts II,2.03
PS2,Square Enix,Final Fantasy XII,1.70
GBA,Square Enix,Kingdom Hearts: Chain of Memories,1.20
,,,
PSX,Take 2,Spec Ops,1.27
PSX,Take 2,Grand Theft Auto 2,1.15
PS2,Take 2,Grand Theft Auto: San Andreas,7.89
PS2,Take 2,Grand Theft Auto: Vice City,8.20
PS2,Take 2,Grand Theft Auto 3,6.55
PS2,Take 2,Max Payne,1.90
PS2,Take 2,Midnight Club: Street Racing,1.87
PS2,Take 2,Midnight Club 2,1.18
PS2,Take 2,Midnight Club 3: Dub Edition,1.00
PS2,Take 2,Grand Theft Auto: Liberty City Stories,1.32
Xbox,Take 2,Grand Theft Auto Double Pack,1.59
Xbox,Take 2,Grand Theft Auto: San Andreas,1.26
PSP,Take 2,Grand Theft Auto: Liberty City Stories,1.83
PS2,Take 2,ESPN NBA 2K5,1.19
,,,
Xbox,Tecmo,Dead or Alive 3,1.06
,,,
N64,THQ,WCW/NWO Revenge,1.88
N64,THQ,WCW Vs NWO: World Tour,1.30
N64,THQ,WWE No Mercy,1.19
N64,THQ,WWE Wrestlemania 2000,1.14
PSX,THQ,WWE Smackdown! 2,1.57
PSX,THQ,Rugrats: Search Reptar,1.46
PSX,THQ,WWE Smackdown!,1.62
PSX,THQ,WCW Nitro,1.30
PSX,THQ,Spongebob Supersponge,1.06
PS2,THQ,WWE Smackdown! Shut Your Mouth,1.38
PS2,THQ,WWE: Here Comes the Pain,1.24
PS2,THQ,WWE Smackdown vs Raw 2006,1.42
PS2,THQ,WWE Smackdown vs Raw 2007,1.23
PS2,THQ,WWE Smackdown vs Raw,1.31
PS2,THQ,WWE Smackdown: Bring it On,1.11
PS2,THQ,Finding Nemo,1.12
PS2,THQ,Scooby Doo: 100 Frights,1.07
GBA,THQ,Finding Nemo,1.55
GBA,THQ,Sonic Advance,1.21
GBA,THQ,The Incredibles,1.18
GBA,THQ,Disney Princess,1.07
,,,
PSX,Ubisoft,Rayman,1.58
PS2,Ubisoft,Tom Clancy's Ghost Recon,1.32
Xbox,Ubisoft,Tom Clancy's Ghost Recon,1.12
Xbox,Ubisoft,Tom Clancy's Splinter Cell,1.80
Xbox 360,Ubisoft,Tom Clancy's Rainbox Six: Vegas,1.27
Xbox 360,Ubisoft,Assassins Creed,1.35
,,,
SNES,Viacom,The Lion King,1.27
,,,
PS2,Vivendi Universal,Crash Bandicoot: Wrath of Cortex,1.95
PS2,Vivendi Universal,Scarface: The World is Yours,1.02
GBA,Vivendi Universal,Spyro: Season of Ice,1.19
,,,
