World rank,City,Country,City population,Metro population,Mayor
n/r,Haifa,Israel,"276,000","975,000",Yona Yahav
474,Haikou,China,"830,000",,n/k
429,Haimen,China,"950,000",,n/k
151,Haiphong,Vietnam,"1,885,000","1,885,000",Trinh Quang Su
n/r,Halle,Germany,"233,000",,Dagmar Szabados
n/r,Hama,Syria,"325,000","1,500,000",Abdul Razzaq al-Qutainy
482,Hamamatsu,Japan,"815,000","1,093,000",Yasutomo Suzuki
166,Hamburg,Germany,"1,775,000","3,260,000",Olaf Scholz
479,Hamhung,North Korea,"821,000","821,000",n/k
260,Handan,China,"1,390,000","8,500,000",Guo Dajian
69,Hangzhou,China,"3,408,000","6,776,000",Cai Qi
n/r,Hannover,Germany,"520,000","1,130,000",Stephan Weil
270,HANOI,Vietnam,"1,372,000","6,500,000",Nguyen The Thao
406,Haora,India,"1,008,000",,Sri Gopal Mukherjee
407,Haora,India,"1,008,000","1,020,000",Sri Gopal Mukherjee
194,HARARE,Zimbabwe,"1,600,000","2,800,000",Muchadeyi Masunda
42,Harbin,China,"4,755,000","9,874,000",Zhang Xiaolian
116,HAVANA,Cuba,"2,430,000","3,700,000",Juan Contino Aslán
207,Hechuan,China,"1,530,000",,n/k
169,Hefei,China,"1,750,000","4,867,000",Wu Cunrong
577,HELSINKI,Finland,"583,000","1,311,000",Jussi Pajunen
456,Hengyang,China,"880,000","7,000,000",n/k
584,Hengyang,China,"561,000","799,000",n/k
303,Heze,China,"1,280,000",,Du Changwen
415,Hezhou,China,"990,000","2,090,000",n/k
476,Hims,Syria,"823,000",,Nadia Kseibi
336,Hiroshima,Japan,"1,174,000","1,700,000",Tadatoshi Akiba
26,Ho Chi Minh City,Vietnam,"7,100,000",,Pham Phuong Thao
480,Hohhot,China,"820,000","1,041,000",n/k
27,Hong Kong,China,"7,055,000",,Donald Tsang
457,Honghu,China,"880,000",,n/k
n/r,Honolulu,USA,"370,000","894,000",Peter Carlisle
126,Houston,USA,"2,242,000","5,728,000",Annise Parker
321,Huainan,China,"1,201,000",,Cao Yong
246,Huazhou,China,"1,420,000",,n/k
498,Hubli,India,"801,000","801,000",n/k
86,Huludao,China,"2,787,000",,Sun Zhaolin
159,Huzhou,China,"1,800,000","2,700,000",Ma Yi
60,Hyderabad,India,"3,637,000","6,290,000",Banda Karthika Reddy
237,Hyderabad,Pakistan,"1,447,000","1,500,000",Kanwar Naveed Jamil
102,Ibadan,Nigeria,"2,550,000","3,000,000",Adebayo Alao-Akala
96,Incheon,South Korea,"2,630,000","2,630,000",Song Young-gil
502,Indianapolis,USA,"798,000","1,715,000",Gregory A. Ballard
147,Indore,India,"1,912,000","1,920,000",Krishna Murari Moghe
295,Irbil,Iraq,"1,294,000","1,5000,000",n/k
12,Istanbul,Turkey,"9,560,000","12,600,000",Kadir Topbas
122,Izmir,Turkey,"2,330,000","3,200,000",Aziz Kocaoglu
358,Jabalpur,India,"1,117,000","1,150,000",Prabhat Sahu
493,Jacksonville,USA,"808,000","1,300,000",John Peyton
78,Jaipur,India,"3,050,000","5,690,000",Jyoti Khandelwal
11,JAKARTA,Indonesia,"10,100,000","24,100,000",Fauzi Bowo
532,Jalandhar,India,"714,000","764,000",n/k
563,Jamshedpur,India,"630,000","1,135,000",n/k
54,Jeddah,Saudi Arabia,"3,856,000","4,500,000",Adil Faqeeh
514,Jerusalem,Israel,"764,000","1,029,000",Nir Barkat Nazareth
388,Jiangdu,China,"1,053,000",,n/k
241,Jianyang,China,"1,430,000",,n/k
143,Jilin,China,"1,953,000","4,523,000",Zhang Xiaopei
361,Jimo,China,"1,112,000",,n/k
149,Jinan,China,"1,900,000","2,444,000",Zhang Jianguo
362,Jining,China,"1,110,000",,Zhang Zhen Chuan
277,Jinjiang,China,"1,350,000",,Kenneth Li
543,Jinzhou,China,"690,000","902,000",n/k
516,Jixi,China,"760,000","1,960,000","Zhu, Deyi"
538,Joao Pessoa,Brazil,"702,000","984,000",Ricardo Coutinho
408,Jodhpur,India,"1,007,000",,Om Kumari Gehlot
53,Johannesburg,South Africa,"3,888,000","10,268,000",Amos Masondo
64,KABUL,Afghanistan,"3,586,000","4,000,000",Mohammad Yunus Noandesh
229,Kaduna,Nigeria,"1,460,000","1,500,000",Mohammed Namadi Sambo
574,Kaifeng,China,"584,000","855,000",n/k
247,KAMPALA,Uganda,"1,420,000","1,600,000",Nasser Sebaggala
62,Kano,Nigeria,"3,626,000","3,900,000",Ibrahim Shekarau
75,Kanpur,India,"3,100,000","4,865,000",Ravindra Patani
n/r,Kansas City,USA,"480,000","2,050,000",Mark Funkhouser
208,Kaohsiung,Taiwan,"1,530,000","2,960,000",Chen Chu
1,Karachi,Pakistan,"15,500,000","18,000,000",Fazlur Rehman
264,Karaj,Iran,"1,380,000",,n/k
n/r,Karlsruhe,Germany,"291,000",,Heinz Fenrich
430,KATHMANDU,Nepal,"949,000","1,700,000",n/k
n/r,Katowice,Poland,"340,000","2,746,000",Piotr Uszok
261,Kawasaki,Japan,"1,390,000","1,450,000",Takao Abe
359,Kazan,Russia,"1,115,000","1,300,000",lsur Metshin
477,Kermanshah,Iran,"823,000","966,000",n/k
228,Kharkiv,Ukraine,"1,461,000","1,674,000",Mykhailo Dobkin
129,KHARTOUM,Sudan,"2,208,000","7,500,000",Abdul Rahman Alkheder
463,Khulna,Bangladesh,"856,000","1,388,000",Talukder Abdul Khaleque
84,KIEV,Ukraine,"2,820,000","3,300,000",Alexander Popov
562,KINGSTON,Jamaica,"650,000","925,000",n/k
18,KINSHASA,Congo D.R.,"8,200,000","10,100,000",André Kimbuta Yango
n/r,Kisangani,Congo D.R.,"510,000","818,000",n/k
418,Kitakyushu,Japan,"985,000","1,050,000",Kenji Kitahashi
589,Kitwe,Zambia,"548,000","786,000",n/k
206,Kobe,Japan,"1,534,000","1,560,000",Tatsuo Yada
36,Kolkata,India,"5,100,000","15,420,000",Bikash Ranjan Bhattacharya
497,Kolwezi,Congo D.R.,"803,000","803,000",n/k
139,Kowloon,China,"2,020,000","2,200,000",Wong Kwok-keung
n/r,Kozhikode,India,"437,000",,M. Bhaskaran
519,Krakow,Poland,"755,000","1,250,000",Jacek Majchrowski
534,Krasnodar,Russia,"710,000","780,000",Vladimir Yevlanov
439,Krasnoyarsk,Russia,"920,000","950,000",Pyotr Pimashkov
n/r,Krefeld,Germany,"236,000",,Gregor Kathstede
157,KUALA LUMPUR,Malaysia,"1,810,000","5,470,000",Dato Ahmed Fuad Ismail
216,Kumasi,Ghana,"1,500,000","2,500,000",Samuel Sarpong
76,Kunming,China,"3,100,000","6,800,000",Zhang Zulin
n/r,KUWAIT CITY,Kuwait,"96,000","2,380,000",n/k
227,Kyoto,Japan,"1,466,000","1,500,000",Daisaku Kadokawa
307,La Matanza,Argentina,"1,255,000",,n/k
212,LA PAZ,Bolivia,"1,517,000","1,551,000",Luis Antonio Revilla Herrero
535,La Plata,Argentina,"710,000","833,000",Pablo Bruera
20,Lagos,Nigeria,"7,938,000","9,123,000",n/k
30,Lahore,Pakistan,"6,100,000","8,600,000",Mian Amir Mahmood
312,Laiwu,China,"1,249,000",,Ma Pingchang
448,Laizhou,China,"902,000",,n/k
135,Lanzhou,China,"2,088,000","3,300,000",Zhang Jinliang
586,Las Vegas,USA,"558,000","1,866,000",Oscar B Goodman
510,Leeds,UK,"778,000","1,500,000",Paul Rogerson
n/r,Leipzig,Germany,"515,000","1,417,000",Burkhard Jung
349,Leon,Mexico,"1,138,000","1,635,000",Ricardo Sheffield
333,Leqing,China,"1,183,000",,n/k
357,Leshan,China,"1,120,000",,n/k
290,Lianjiang,China,"1,300,000",,Xing Taian
n/r,Lille,France,"226,000","1,143,000",Martine Aubry
461,LILONGWE,Malawi,"866,000",,n/k
22,LIMA,Peru,"7,606,000","8,473,000",Susana Villaran
123,Linyi,China,"2,300,000","10,080,000",Lian Chengmin
587,LISBON,Portugal,"558,000","2,612,000",António Costa
n/r,Liuan,China,"320,000","1,600,000",Tang Linxiang
265,Liuyang,China,"1,380,000",,Liang Zhong
487,Liuzhou,China,"810,000","990,000",n/k
n/r,Liverpool,UK,"435,000","817,000",n/k
506,Lodz,Poland,"783,000","1,429,000",Jerzy Kropiwickni
23,LONDON,UK,"7,557,000","12,200,000",Boris Johnson
55,Los Angeles,USA,"3,834,000","12,890,000",Antonio Villaraigosa
n/r,Louisville,USA,"260,000","1,040,000",Jerry Abramson
41,LUANDA,Angola,"4,799,000","5,500,000",José Maria Ferraz dos Santos
n/r,Lübeck,Germany,"211,000",,Bernd Saxe
347,Lubumbashi,Congo D.R.,"1,140,000","1,250,000",Moise Katumbi
121,Lucknow,India,"2,342,000","2,686,000",Dinesh Sharma
256,Ludhiana,India,"1,400,000","4,400,000",n/k
278,Lufeng,China,"1,350,000",,n/k
217,Luoyang,China,"1,500,000","1,499,000",Guo Hongchang
363,LUSAKA,Zambia,"1,110,000","3,120,000",Robert Chikwelete
266,Luzhou,China,"1,380,000","4,800,000",Liu Guoqiang
524,Lviv,Ukraine,"740,000","1,040,000",Andriy Sadovyi
n/r,Lyon,France,"472,000","1,665,000",Gérard Collomb
