Country,Capital,Area sq.km.,Population 2008 est.
Colombia,Bogota,"1,138,910","45,013,672"
Comoros,Moroni,"2,170","731,775"
"Congo, Dem. Rep. of the",Kinshasa,"2,345,410","66,514,504"
"Congo, Rep. of the",Brazzaville,"342,000","3,903,318"
Cook Islands,Avarua,237,"12,271"
Costa Rica,San Jose,"51,100","4,195,914"
Cote d'Ivoire,Yamoussoukro,"322,460","20,179,602"
Croatia,Zagreb,"56,542","4,491,543"
Cuba,Havana,"110,860","11,423,952"
Cyprus,Nicosia,"9,250","792,604"
Czech Republic,Prague,"78,866","10,220,911"
Denmark,Copenhagen,"43,094","5,484,723"
Djibouti,Djibouti,"23,000","506,221"
Dominica,Roseau,754,"72,514"
Dominican Republic,Santo Domingo,"48,730","9,507,133"
Ecuador,Quito,"283,560","13,927,650"
Egypt,Cairo,"1,001,450","81,713,520"
El Salvador,San Salvador,"21,040","7,066,403"
Equatorial Guinea,Malabo,"28,051","616,459"
Eritrea,Asmara,"121,320","5,502,026"
Estonia,Tallinn,"45,226","1,307,605"
Ethiopia,Addis Ababa,"1,127,127","82,544,840"
Falkland Islands (Islas Malvinas),Stanley,"12,173","3,140"
Faroe Islands,Torshavn,"1,399","48,668"
Fiji,Suva,"18,270","931,741"
Finland,Helsinki,"338,145","5,244,749"
France,Paris,"643,427","64,057,792"
French Polynesia,Papeete,"4,167","283,019"
Gabon,Libreville,"267,667","1,485,832"
"Gambia, The",Banjul,"11,300","1,735,464"
Georgia,T'bilisi,"69,700","4,630,841"
Germany,Berlin,"357,021","82,369,552"
Ghana,Accra,"239,460","23,382,848"
Gibraltar,Gibraltar,7,"28,002"
Greece,Athens,"131,940","10,722,816"
Greenland,Nuuk,"2,166,086","57,564"
Grenada,Saint George's,344,"90,343"
Guam,Hagatna,541,"175,877"
Guatemala,Guatemala,"108,890","13,002,206"
Guernsey,Saint Peter Port,78,"65,726"
Guinea,Conakry,"245,857","9,806,509"
Guinea-Bissau,Bissau,"36,120","1,503,182"
Guyana,Georgetown,"214,970","770,794"
Haiti,Port-au-Prince,"27,750","8,924,553"
Holy See (Vatican City),Vatican City,0,824
Honduras,Tegucigalpa,"112,090","7,639,327"
Hungary,Budapest,"93,030","9,930,915"
Iceland,Reykjavik,"103,000","304,367"
India,New Delhi,"3,287,590","1,147,995,904"
Indonesia,Jakarta,"1,919,440","237,512,352"
Iran,Tehran,"1,648,000","65,875,224"
Iraq,Baghdad,"437,072","28,221,180"
Ireland,Dublin,"70,280","4,156,119"
Israel,Jerusalem,"20,770","7,112,359"
Italy,Rome,"301,230","58,145,320"
Jamaica,Kingston,"10,991","2,804,332"
Japan,Tokyo,"377,835","127,288,416"
Jersey,Saint Helier,116,"91,533"
Jordan,Amman,"92,300","6,198,677"
Kazakhstan,Astana,"2,717,300","15,340,533"
Kenya,Nairobi,"582,650","37,953,840"
Kiribati,Tarawa,811,"110,356"
"Korea, North",P'yongyang,"120,540","23,479,088"
"Korea, South",Seoul,"98,480","48,379,392"
Kosovo,Pristina,"10,887","2,126,708"
Kuwait,Kuwait,"17,820","2,596,799"
Kyrgyzstan,Bishkek,"198,500","5,356,869"
Laos,Vientiane,"236,800","6,677,534"
Latvia,Riga,"64,589","2,245,423"
Lebanon,Beirut,"10,400","3,971,941"
Lesotho,Maseru,"30,355","2,128,180"
Liberia,Monrovia,"111,370","3,334,587"
Libya,Tripoli,"1,759,540","6,173,579"
Liechtenstein,Vaduz,160,"34,498"
Lithuania,Vilnius,"65,200","3,565,205"
Luxembourg,Luxembourg,"2,586","486,006"
Macedonia,Skopje,"25,333","2,061,315"
Madagascar,Antananarivo,"587,040","20,042,552"
Malawi,Lilongwe,"118,480","13,931,831"
Malaysia,Kuala Lumpur,"329,750","25,274,132"
Maldives,Male,300,"385,925"
Mali,Bamako,"1,240,000","12,324,029"
Malta,Valletta,316,"403,532"
"Man, Isle of",Douglas,572,"76,220"
Marshall Islands,Majuro,181,"63,174"
Mauritania,Nouakchott,"1,030,700","3,364,940"
Mauritius,Port Louis,"2,040","1,274,189"
Mayotte,Mamoutzou,374,"216,306"
Mexico,Mexico,"1,972,550","109,955,400"
"Micronesia, Federated States of",Palikir,702,"107,665"
Moldova,Chisinau,"33,843","4,324,450"
Monaco,Monaco,2,"32,796"
Mongolia,Ulaanbaatar,"1,564,116","2,996,081"
Montenegro,Podgorica,"14,026","678,177"
Montserrat,Plymouth ?,102,"5,079"
Morocco,Rabat,"446,550","34,343,220"
Mozambique,Maputo,"801,590","21,284,700"
Namibia,Windhoek,"825,418","2,088,669"
Nauru,no official capital,21,"13,770"
Nepal,Kathmandu,"147,181","29,519,114"
Netherlands,Amsterdam,"41,526","16,645,313"
Netherlands Antilles,Willemstad,960,"225,369"
New Caledonia,Noumea,"19,060","224,824"
New Zealand,Wellington,"268,680","4,173,460"
Nicaragua,Managua,"129,494","5,785,846"
Niger,Niamey,"1,267,000","13,272,679"
Nigeria,Abuja,"923,768","146,255,312"
Niue,Alofi,260,"1,444"
Norfolk Island,Kingston,35,"2,128"
Northern Mariana Islands,Saipan,477,"86,616"
Norway,Oslo,"323,802","4,644,457"
Oman,Muscat,"212,460","3,311,640"
Pakistan,Islamabad,"803,940","172,800,048"
Palau,Melekeok,458,"21,093"
"Palestinian Territory, Occupied",Ramallah,"6,220","3,907,883"
Panama,Panama,"78,200","3,309,679"
Papua New Guinea,Port Moresby,"462,840","5,931,769"
Paraguay,Asuncion,"406,750","6,831,306"
Peru,Lima,"1,285,220","29,180,900"
Philippines,Manila,"300,000","96,061,680"
Pitcairn Islands,Adamstown,47,48
Poland,Warsaw,"312,685","38,500,696"
Portugal,Lisbon,"92,391","10,676,910"
Puerto Rico,San Juan,"13,790","3,958,128"
Qatar,Doha,"11,437","824,789"
Romania,Bucharest,"237,500","22,246,862"
Russia,Moscow,"17,075,200","140,702,096"
Rwanda,Kigali,"26,338","10,186,063"
Saint Barthelemy,Gustavia,21,"7,492"
Saint Helena,Jamestown,413,"7,601"
Saint Kitts and Nevis,Basseterre,261,"39,817"
Saint Lucia,Castries,616,"159,585"
Saint Martin,Marigot,54,"29,376"
Saint Pierre and Miquelon,Saint-Pierre,242,"7,044"
Saint Vincent and the Grenadines,Kingstown,389,"118,432"
Samoa,Apia,"2,944","217,083"
San Marino,San Marino,61,"29,973"
Sao Tome and Principe,Sao Tome,"1,001","206,178"
Saudi Arabia,Riyadh,"2,149,690","28,146,656"
Senegal,Dakar,"196,190","12,853,259"
Serbia,Belgrade,"77,474","10,159,046"
Seychelles,Victoria,455,"82,247"
Sierra Leone,Freetown,"71,740","6,294,774"
Singapore,Singapore,693,"4,608,167"
Slovakia,Bratislava,"48,845","5,455,407"
Slovenia,Ljubljana,"20,273","2,007,711"
Solomon Islands,Honiara,"28,450","581,318"
Somalia,Mogadishu,"637,657","9,558,666"
South Africa,Pretoria ?,"1,219,912","48,782,756"
Spain,Madrid,"504,782","40,491,052"
Sri Lanka,Colombo,"65,610","21,128,772"
Sudan,Khartoum,"2,505,810","40,218,456"
Suriname,Paramaribo,"163,270","475,996"
Svalbard,Longyearbyen,"61,020","2,165"
Swaziland,Mbabane ?,"17,363","1,128,814"
Sweden,Stockholm,"449,964","9,045,389"
Switzerland,Bern,"41,290","7,581,520"
Syria,Damascus,"185,180","19,747,586"
Taiwan,Taipei,"35,980","22,920,946"
Tajikistan,Dushanbe,"143,100","7,211,884"
Tanzania,Dar es Salaam,"945,087","40,213,160"
Thailand,Bangkok,"514,000","65,493,296"
Timor-Leste (East-Timor),Dili,"15,007","1,108,777"
Togo,Lome,"56,785","5,858,673"
Tokelau,none,10,"1,433"
Tonga,Nuku'alofa,748,"119,009"
Trinidad and Tobago,Port-of-Spain,"5,128","1,047,366"
Tunisia,Tunis,"163,610","10,383,577"
Turkey,Ankara,"780,580","71,892,808"
Turkmenistan,Ashgabat,"488,100","5,179,571"
Turks and Caicos Islands,Cockburn Town,430,"22,352"
Tuvalu,Fongafale,26,"12,177"
Uganda,Kampala,"236,040","31,367,972"
Ukraine,Kiev,"603,700","45,994,288"
United Arab Emirates,Abu Dhabi,"83,600","4,621,399"
United Kingdom,London,"244,820","60,943,912"
United States of America,Washington DC,"9,826,630","303,824,640"
Uruguay,Montevideo,"176,220","3,477,778"
Uzbekistan,Tashkent,"447,400","27,345,026"
Vanuatu,Port-Vila,"12,200","215,446"
Venezuela,Caracas,"912,050","26,414,816"
Vietnam,Hanoi,"329,560","86,116,560"
"Virgin Islands, U.S.",Charlotte Amalie,"1,910","109,840"
Wallis and Futuna,Mata-Utu,274,"15,237"
Western Sahara,none,"266,000","393,831"
Yemen,Sanaa,"527,970","23,013,376"
Zambia,Lusaka,"752,614","11,669,534"
Zimbabwe,Harare,"390,580","11,350,111"
World,,"510,072,000","6,706,993,152"
