#,Titel,System,Reviews,Durchschnitt
56,Super Mario All-Stars,Super NES,12,5.91
57,Pok?mon - Crystal Edition,Gameboy Color,9,5.88
58,Age of Empires II,PC,8,5.87
59,Final Fantasy X,Sony Playstation 2,8,5.87
60,Tomb Raider 7: Legend,Sony Playstation 2,7,5.85
61,Resident Evil 4,Sony Playstation 2,7,5.85
62,The Legend of Zelda: Twilight Princess,Nintendo GameCube,7,5.85
63,Super Mario Bros.,NES,19,5.84
64,Mario Kart Wii,Nintendo Wii,18,5.83
65,The Legend of Zelda: The Wind Waker,Nintendo GameCube,6,5.83
66,Super Paper Mario,Nintendo Wii,6,5.83
67,The Legend of Zelda: The Minish Cap,Gameboy Advance,6,5.83
68,Super Mario World 2: Yoshi's Island,Super NES,10,5.8
69,SingStar '80s,Sony Playstation 2,5,5.8
70,Tekken Tag Tournament,Sony Playstation 2,5,5.8
71,The Legend Of Zelda - Oracle Of Seasons,Gameboy Color,5,5.8
72,Yoshi's Island: Super Mario Advance 3,Gameboy Advance,5,5.8
73,Sim City,Amiga,5,5.8
74,Age Of Empires III,PC,5,5.8
75,The Legend of Zelda: Phantom Hourglass,Nintendo DS,5,5.8
76,Burnout 3 - Takedown,Sony Playstation 2,5,5.8
77,Grand Theft Auto III,PC,5,5.8
78,Donkey Kong Country,Super NES,9,5.77
79,Super Mario Land,Gameboy,31,5.77
80,Super Mario 64,Nintendo 64,17,5.76
81,Mario Kart 64,Nintendo 64,29,5.75
82,Super Mario Kart,Super NES,20,5.75
83,World Of Warcraft: The Burning Crusade - Addon,PC,8,5.75
84,Tomb Raider III: Adventures Of Lara Croft,PC,4,5.75
85,Crysis,PC,4,5.75
86,Civilization IV,PC,4,5.75
87,Command & Conquer - Alarmstufe Rot,PC,4,5.75
88,Diablo 2,PC,4,5.75
89,Diddy Kong Racing,Nintendo 64,4,5.75
90,The Legend Of Zelda - Oracle Of Ages,Gameboy Color,4,5.75
91,Golden Sun: Die vergessene Epoche,Gameboy Advance,4,5.75
92,Tomb Raider: Anniversary,Sony Playstation 2,4,5.75
93,Pok?mon Diamant-Edition,Nintendo DS,7,5.71
94,Super Mario Galaxy,Nintendo Wii,17,5.7
95,Grand Theft Auto: San Andreas,Sony Playstation 2,25,5.68
96,Donkey Kong Country 2: Diddy's Kong Quest,Super NES,6,5.66
97,Grand Theft Auto: Liberty City Stories,Sony PSP,6,5.66
98,Pok?mon Smaragd,Gameboy Advance,6,5.66
99,Super Mario Advance,Gameboy Advance,6,5.66
100,Super Mario World: Super Mario Advance 2,Gameboy Advance,6,5.66
101,Crash Bandicoot 2: Cortex Strikes Back,Sony Playstation,6,5.66
102,Crash Bash,Sony Playstation,3,5.66
103,Tomb Raider IV: Die letzte Offenbarung,PC,3,5.66
104,Dragonball Z Budokai 2,Sony Playstation 2,3,5.66
105,EyeToy Play 3,Sony Playstation 2,3,5.66
106,Fahrenheit,Sony Playstation 2,3,5.66
107,Spyro 3: Year of the Dragon,Sony Playstation,3,5.66
108,Tekken 3,Sony Playstation,3,5.66
109,Die Siedler 3,PC,3,5.66
110,Baphomets Fluch,PC,3,5.66
111,FIFA 08,PC,3,5.66
112,Duke Nukem 3D,PC,3,5.66
113,Mad TV,PC,3,5.66
114,Dragonball Z: Das Erbe von Goku II,Gameboy Advance,3,5.66
115,Kirby's Dream Land 2,Gameboy,3,5.66
116,Mad TV,Amiga,3,5.66
117,Anstoss,Amiga,3,5.66
118,Civilization,Amiga,3,5.66
119,Winter Games,Amiga,3,5.66
120,Resident Evil 4: Wii Edition -uncut-,Nintendo Wii,3,5.66
121,Boogie,Nintendo Wii,3,5.66
122,Tekken 6,Sony Playstation 3,3,5.66
123,Pro Evolution Soccer 2008,Sony Playstation 2,3,5.66
124,Mario Kart Double Dash!!,Nintendo GameCube,17,5.64
125,Need For Speed: Underground 2,Sony Playstation 2,11,5.63
126,God of War,Sony Playstation 2,5,5.6
127,Call of Duty 4: Modern Warfare,Sony Playstation 3,5,5.6
128,Luigis Mansion,Nintendo GameCube,5,5.6
129,Giana Sisters,C64,5,5.6
130,Wario Land - Super Mario Land 3,Gameboy,5,5.6
131,Tony Hawk's Skateboarding,Sony Playstation,5,5.6
132,Buzz! Das gro?e Quiz,Sony Playstation 2,5,5.6
133,Sim City 4,PC,5,5.6
134,Super Mario Bros. 2,NES,7,5.57
135,Tekken 5,Sony Playstation 2,7,5.57
136,Super Mario Land 2 - 6 Golden Coins,Gameboy,16,5.56
137,Tetris,Gameboy,29,5.55
138,Grand Theft Auto: San Andreas,PC,20,5.55
139,New Super Mario Bros.,Nintendo DS,15,5.53
140,Grand Theft Auto IV,Sony Playstation 3,17,5.52
141,The Legend of Zelda: Ocarina of Time,Nintendo 64,20,5.5
142,The Legend of Zelda: Majora's Mask,Nintendo 64,8,5.5
143,Wii Sports Resort,Nintendo Wii,8,5.5
144,Anno 1503,PC,6,5.5
145,Command & Conquer - Gener?le,PC,6,5.5
146,Civilization,PC,6,5.5
147,The Curse of Monkey Island,PC,6,5.5
148,DTM Race Driver 3,Sony Playstation 2,4,5.5
149,Command & Conquer 3: Tiberium Wars,PC,4,5.5
150,F.E.A.R.,PC,4,5.5
151,Super Mario Bros. Deluxe,Gameboy Color,4,5.5
152,Grand Theft Auto: Vice City Stories,Sony PSP,4,5.5
153,Donkey Kong Country 3: Dixie Kong's Double Trouble,Super NES,4,5.5
154,Halo,Xbox,4,5.5
155,Jak and Daxter - The Precursor Legacy,Sony Playstation 2,4,5.5
156,GTA: Vice City,PC,22,5.45
157,Pok?mon - Silberne Edition,Gameboy Color,16,5.43
158,GTA: Liberty City Stories,Sony Playstation 2,7,5.42
159,Pro Evolution Soccer 5,Sony Playstation 2,7,5.42
160,Soul Calibur III,Sony Playstation 2,5,5.4
161,Wii Play,Nintendo Wii,5,5.4
162,Die Sims 2 - Haustiere,PC,5,5.4
163,Tony Hawk's Pro Skater 2,Sony Playstation,5,5.4
164,RollerCoaster Tycoon 2,PC,5,5.4
165,Mario Kart Super Circuit,Gameboy Advance,13,5.38
166,Pok?mon Saphir Edition,Gameboy Advance,8,5.37
167,Empire Earth,PC,8,5.37
168,World Of Warcraft,PC,11,5.36
169,Pok?mon Rubin-Edition,Gameboy Advance,11,5.36
170,Super Mario 64 DS,Nintendo DS,6,5.33
171,Assassin's Creed,Sony Playstation 3,6,5.33
172,WRC 4,Sony Playstation 2,3,5.33
173,SingStar Summer Party,Sony Playstation 2,3,5.33
174,James Bond 007 - Nightfire,Sony Playstation 2,3,5.33
175,Pro Evolution Soccer 3,Sony Playstation 2,3,5.33
176,Assassin's Creed,Xbox 360,3,5.33
177,FIFA 11,Xbox 360,3,5.33
178,NHL 10,Sony Playstation 3,3,5.33
179,Pok?mon Platin-Edition,Nintendo DS,3,5.33
180,Assassin's Creed,PC,3,5.33
181,Mario Power Tennis,Nintendo GameCube,3,5.33
182,Advance Wars,Gameboy Advance,3,5.33
183,Pok?mon Trading Card Game,Gameboy Color,3,5.33
184,Die Schl?mpfe im Albtraumland,Gameboy,3,5.33
185,California Games,Amiga,3,5.33
186,North & South,Amiga,3,5.33
187,Oil Imperium,Amiga,3,5.33
188,Trackmania,PC,3,5.33
189,Theme Park World,PC,3,5.33
190,Spyro The Dragon,Sony Playstation,3,5.33
191,V-Rally 2,Sony Playstation,3,5.33
192,Formel Eins 2001,Sony Playstation,3,5.33
193,Dead or Alive 2,Sony Playstation 2,3,5.33
194,Fifa 07,PC,3,5.33
195,Midtown Madness,PC,3,5.33
196,Die Siedler - Das Erbe der K?nige,PC,3,5.33
197,Day Of The Tentacle,PC,3,5.33
198,FIFA 07,Sony Playstation 2,10,5.3
199,Warcraft III: Reign of Chaos,PC,7,5.28
200,FIFA 10,Sony Playstation 3,7,5.28
201,Grand Theft Auto 2,PC,11,5.27
202,Pok?mon Blattgr?ne Edition,Gameboy Advance,8,5.25
203,Mario Smash Football,Nintendo GameCube,4,5.25
204,Frankreich 98 - Die Fussball WM,PC,4,5.25
205,Lemmings,PC,4,5.25
206,Trackmania Nations,PC,4,5.25
207,Def Jam Fight For NY,Sony Playstation 2,4,5.25
208,Grand Theft Auto 2,Sony Playstation,4,5.25
209,Age of Empires 2: The Age of Kings,Sony Playstation 2,4,5.25
210,Secret Of Mana,Super NES,4,5.25
211,Halo 2,Xbox,4,5.25
212,Animal Crossing: Wild World,Nintendo DS,13,5.23
213,Pok?mon - Blaue Edition,Gameboy,20,5.2
214,Gran Turismo 4,Sony Playstation 2,15,5.2
215,Virtua Tennis 3,Sony Playstation 3,5,5.2
216,Wario Land 4,Gameboy Advance,5,5.2
217,Mario & Sonic At The Olympic Games,Nintendo Wii,5,5.2
218,Midtown Madness 2,PC,5,5.2
219,GTA,PC,5,5.2
220,Die Sims 2,PC,28,5.17
221,Half-Life 2,PC,8,5.12
222,Banjo-Kazooie,Nintendo 64,8,5.12
223,SingStar Pop Hits,Sony Playstation 2,8,5.12
224,Grand Theft Auto III,Sony Playstation 2,9,5.11
225,Mario Kart DS,Nintendo DS,20,5.09
226,Pok?mon - Gelbe Edition,Gameboy,10,5.09
227,Kirby's Dream Land,Gameboy,12,5.08
228,Dr. Kawashimas Gehirn-Jogging,Nintendo DS,14,5.07
229,Pok?mon - Rote Edition,Gameboy,17,5.05
230,Age Of Empires,PC,19,5
231,Pok?mon Stadium,Nintendo 64,10,5
232,Donkey Kong,Gameboy,8,5
233,Pok?mon Feuerrote Edition,Gameboy Advance,7,5
234,Far Cry,PC,7,5
235,Call Of Duty 4: Modern Warfare,PC,7,5
236,Donkey Kong 64,Nintendo 64,6,5
237,Wario Ware Touched!,Nintendo DS,5,5
238,Icy Tower,PC,5,5
239,Tomb Raider,PC,5,5
240,Final Fantasy XII,Sony Playstation 2,5,5
241,FIFA 09,Sony Playstation 3,4,5
242,Street Fighter II,Super NES,4,5
243,Stronghold,PC,4,5
244,Sim City 3000,PC,4,5
245,Gran Turismo,Sony Playstation,4,5
246,Call Of Duty 5: World At War,PC,4,5
247,BioShock,PC,4,5
248,Mario Party 2,Nintendo 64,4,5
249,Super Mario Sunshine,Nintendo GameCube,3,5
250,Mario Party 5,Nintendo GameCube,3,5
251,Pikmin,Nintendo GameCube,3,5
252,Gradius,NES,3,5
253,1080? Snowboarding,Nintendo 64,3,5
254,Turrican II,Amiga,3,5
255,Leisure Suit Larry - The Land Of The Lounge Lizards,PC,3,5
256,Oil Imperium,PC,3,5
257,Escape from Monkey Island,PC,3,5
258,Hercules,Sony Playstation,3,5
259,Theme Park Manager,PC,3,5
260,Warcraft II: Tides of Darkness,PC,3,5
261,Secret Of Evermore,Super NES,3,5
262,FIFA 11,Sony Playstation 3,3,5
263,Halo 3,Xbox 360,3,5
264,Midnight Club II,Sony Playstation 2,3,5
265,SingStar '90s,Sony Playstation 2,3,5
266,Assassin's Creed 2,Sony Playstation 3,3,5
267,Wipeout Fusion,Sony Playstation 2,3,5
268,Tony Hawk's Pro Skater 4,Sony Playstation 2,3,5
269,GTA Vice City,Sony Playstation 2,12,4.91
270,Wario Land,Gameboy,15,4.86
271,Wii Sports,Nintendo Wii,15,4.86
272,RollerCoaster Tycoon 3,PC,7,4.85
273,Buzz! Das Musik-Quiz,Sony Playstation 2,13,4.84
274,Die Sims - Tierisch gut drauf,PC,6,4.83
275,Pok?mon Colosseum,Nintendo GameCube,6,4.83
276,Need For Speed: Most Wanted (Platinum),Sony Playstation 2,11,4.81
277,Dr. Kawashimas Mehr Gehirn-Jogging,Nintendo DS,10,4.8
278,Anno 1701,PC,5,4.8
279,Dr. Mario,Gameboy,5,4.8
280,Call Of Duty: Modern Warfare 2,PC,4,4.75
281,Frontschweine,Sony Playstation,4,4.75
282,RollerCoaster Tycoon,PC,15,4.66
283,FIFA 08,Sony Playstation 2,12,4.66
284,Battlefield 2,PC,6,4.66
285,Die Sims - Hokus Pokus,PC,6,4.66
286,Indiana Jones And The Last Crusade,PC,3,4.66
287,Herr der Ringe: Die Schlacht um Mittelerde 2,PC,3,4.66
288,Crash Bandicoot: Der Zorn des Cortex,Sony Playstation 2,3,4.66
289,Police Quest - In Pursuit Of The Death Angel,PC,3,4.66
290,Rollercoaster Tycoon 3: Soaked Expansion,PC,3,4.66
291,Tom Clancy's Rainbow Six 3: Ravenshield,PC,3,4.66
292,Duck Tales,Gameboy,3,4.66
293,Die Siedler,Amiga,3,4.66
294,Cruis'n USA,Nintendo 64,3,4.66
295,Ice Hockey,NES,3,4.66
296,Yoshi's Story,Nintendo 64,3,4.66
297,Medal of Honor: Vanguard,Sony Playstation 2,3,4.66
298,Final Fantasy X-2,Sony Playstation 2,3,4.66
299,Ratchet & Clank 3,Sony Playstation 2,3,4.66
300,Burnout 5: Paradise,Xbox 360,3,4.66
301,Counterstrike Source,PC,10,4.59
302,Zoo Tycoon,PC,7,4.57
303,Die Sims,PC,25,4.51
304,Mario Party 4,Nintendo GameCube,8,4.5
305,GTA San Andreas,Xbox,8,4.5
306,Far Cry 2,Sony Playstation 3,6,4.5
307,Die Sims 2 - Vier Jahreszeiten,PC,6,4.5
308,Die Sims 2 - H&M Fashion Stuff,PC,4,4.5
309,Die Sims - Hot Date,PC,4,4.5
310,Elder Scrolls 4: Oblivion,PC,4,4.5
311,Warcraft: Orcs & Humans,PC,4,4.5
312,The Simpsons - Hit & Run,Sony Playstation 2,4,4.5
313,Tony Hawk's Underground 2,Sony Playstation 2,4,4.5
314,FIFA Street,Sony Playstation 2,4,4.5
315,Killzone,Sony Playstation 2,4,4.5
316,Pok?mon - Goldene Edition,Gameboy Color,15,4.46
317,Pok?mon Snap,Nintendo 64,7,4.42
318,Tekken 4,Sony Playstation 2,7,4.42
319,SingStar,Sony Playstation 2,5,4.4
320,Ratchet & Clank,Sony Playstation 2,5,4.4
321,Pok?mon Perl-Edition,Nintendo DS,6,4.33
322,F-1 Race,Gameboy,3,4.33
323,Tiny Toon,Gameboy,3,4.33
324,Der Herr der Ringe: Die R?ckkehr des K?nigs,Sony Playstation 2,3,4.33
325,Der Herr der Ringe: Die zwei T?rme,Sony Playstation 2,3,4.33
326,Final Fantasy 9,Sony Playstation,3,4.33
327,Max Payne 2 - The Fall Of Max Payne,PC,3,4.33
328,SingStar Party,Sony Playstation 2,3,4.33
329,Spider-Man 2,Sony Playstation 2,3,4.33
330,Resistance: Fall Of Man,Sony Playstation 3,3,4.33
331,Need For Speed Most Wanted 5-1-0,Sony PSP,3,4.33
332,SingStar - The Dome,Sony Playstation 2,4,4.25
333,Die Sims Urlaub Total,PC,4,4.25
334,Driver 3,Sony Playstation 2,4,4.25
335,Quake III Arena,PC,4,4.25
336,SingStar Rocks!,Sony Playstation 2,9,4.22
337,Tony Hawk's Underground,Sony Playstation 2,5,4.2
338,FIFA Street 2,Sony Playstation 2,5,4.2
339,Need For Speed: Carbon,Sony Playstation 2,11,4.18
340,Little Big Planet,Sony Playstation 3,6,4.16
341,Tennis,Gameboy,6,4.16
342,Need For Speed: Underground,Sony Playstation 2,9,4.11
343,Doom,PC,7,4
344,FIFA Football 2005,Sony Playstation 2,6,4
345,GTA: Vice City Stories,Sony Playstation 2,5,4
346,MotorStorm,Sony Playstation 3,5,4
347,World Of Warcraft: Wrath Of The Lich King - Addon,PC,5,4
348,Der Herr der Ringe: Die Gef?hrten,Sony Playstation 2,4,4
349,Burnout Revenge,Sony Playstation 2,4,4
350,Die Sims Superstar,PC,4,4
351,Big Brain Academy,Nintendo Wii,4,4
352,Prof. Kageyama's Math's Training,Nintendo DS,3,4
353,Turok: Dinosaur Hunter,Nintendo 64,3,4
354,Loom,PC,3,4
355,Die Siedler 2 - Die N?chste Generation,PC,3,4
356,Spyro 2 - Gateway to Glimmer,Sony Playstation,3,4
357,Stronghold 2,PC,3,4
358,Need For Speed: Undercover,Sony Playstation 3,3,4
359,Resistance 2,Sony Playstation 3,3,4
360,Prince of Persia - The Sands of Time,Sony Playstation 2,3,4
361,FlatOut 2,Sony Playstation 2,3,4
362,FIFA 06,Sony Playstation 2,9,3.88
363,Mario Party 8,Nintendo Wii,9,3.88
364,FIFA Football 2004,PC,6,3.83
365,FIFA Fussball-Weltmeisterschaft 2006,Sony Playstation 2,6,3.83
366,Wer wird Million?r,PC,5,3.8
367,Wolfenstein 3D,PC,5,3.8
368,S.T.A.L.K.E.R.: Shadow Of Chernobyl,PC,4,3.75
369,Need For Speed: Carbon,Nintendo Wii,4,3.75
370,Wario Ware: Smooth Moves,Nintendo Wii,4,3.75
371,Mario Party DS,Nintendo DS,4,3.75
372,Pok?mon Pinball: Rubin & Saphir,Gameboy Advance,3,3.66
373,Die Sims,Sony Playstation 2,3,3.66
374,Age of Empires II,Sony Playstation 2,3,3.66
375,Microsoft Train Simulator,PC,3,3.66
376,Planescape Torment,PC,3,3.66
377,Die Sims - Das volle Leben,PC,3,3.66
378,Crazy Taxi 3,PC,3,3.66
379,FIFA 10,Sony Playstation 2,3,3.66
380,UEFA Euro 2008,Sony Playstation 2,3,3.66
381,WWE SmackDown! Here Comes The Pain,Sony Playstation 2,3,3.66
382,Need for Speed: ProStreet,Sony Playstation 2,5,3.6
383,Doom II,PC,5,3.6
384,Nintendogs Labrador & Friends,Nintendo DS,4,3.5
385,Die Siedler 4,PC,3,3.33
386,Need For Speed: Carbon,PC,3,3.33
387,Sim City,PC,3,3.33
388,Pok?mon Pinball,Gameboy Color,4,3.25
389,Tetris 2,Gameboy,4,3.25
390,Medal of Honor Frontline,Sony Playstation 2,4,3.25
391,FIFA Football 2006,PC,3,3
392,FIFA Football 2003,Sony Playstation 2,4,2.75
393,FIFA Fussball Weltmeisterschaft 2002,Sony Playstation 2,3,2.66
394,Football Mania,PC,3,2.66
395,Findet Nemo - Das Abenteuer geht weiter,Gameboy Advance,3,2.66
396,Counter Strike: Source,PC,4,2.5
397,Spider-Man 3,Sony Playstation 2,5,2.2
398,Die Sims 3,PC,4,2
