Country,Land area (km2) [49],GDP nominal (US$M)[50],Per capita GDP (US$)[51],Population[52],Government[53],Conscription[54]
Spain,"499,542","$1,375,000","$35,576.37","46,754,784",parliamentary monarchy,"No (abolished by law on December 31, 2001[101])"
Swaziland,"17,203","$3,165","$2,591.20","1,370,424",monarchy,No
Switzerland,"39,770","$522,400","$56,111.06","7,639,961","a confederation only in name, legally and structurally a federal republic",Yes
Syria,"184,050","$59,630","$1,954.98","19,747,586",republic under an authoritarian military-dominated regime,Yes
Taiwan (Republic of China) [102],"32,260","$427,000","$16,768.11","23,071,779",multiparty democracy,"Yes (alternative service available[103]) An all-volunteer force is planned by the end of 2014, but conscription will remain in practice thereafter.[104]"
Thailand,"511,770","$312,600","$3,776.0","66,720,153",constitutional monarchy,Yes
Tonga,718,$301,"$1,873.06","105,916",constitutional monarchy,No
Trinidad and Tobago,"5,128","$21,200","$19,590.99","1,227,505",parliamentary democracy,No
Turkey,"770,760","$729,100","$9,322.83","78,785,548",republican parliamentary democracy,Yes
United Kingdom,"241,590","$2,259,000","$45,626.38","62,698,362",constitutional monarchy and Commonwealth realm,No (except Bermuda Regiment[105])
United States,"9,161,923","$14,620,000","$45,958.70","313,232,044",federal republic,No[106] Draft abolished in 1975 by President Gerald Ford; however Males between 18-25 need to register with the U.S. Selective Service System.
Vanuatu,"12,200",$721,"$2,146.52","224,564",parliamentary republic,No
Venezuela,"882,050","$285,200","$9,084.09","27,635,743",federal republic,Yes[107][108]
