Name,H?he,Typ,Baujahr,See,Kanton
Schiffenen,47 m,VA,1963,65.00 Mio m3,Fribourg/Freiburg
Isola,45 m,VA,1960,6.50 Mio m3,Graubünden/Grigioni
Naret II,45 m,PG,1970,31.60 Mio m3,Ticino
St-Barthélemy B,45 m,VA,1975,0.15 Mio m3,Valais/Wallis
Vieux-Emosson,45 m,VA,1955,13.80 Mio m3,Valais/Wallis
Zervreila A'becken,44 m,ER,1957,0.14 Mio m3,Graubünden/Grigioni
Garichte,42 m,PG,1931,3.29 Mio m3,Glarus
Orden,42 m,VA,1971,1.67 Mio m3,Graubünden/Grigioni
Sanetsch,42 m,PG,1965,2.80 Mio m3,Valais/Wallis
Seeuferegg,42 m,PG,1932,101.00 Mio m3,Bern
Carmena,40 m,VA,1969,0.30 Mio m3,Ticino
Egschi,40 m,PG,1949,0.40 Mio m3,Graubünden/Grigioni
Carassina,39 m,VA,1963,0.31 Mio m3,Ticino
Bannalp,37 m,TE,1937,1.70 Mio m3,Nidwalden
Göschenerreuss,36 m,PG,1949,0.10 Mio m3,Uri
Sella,36 m,PG,1947,9.20 Mio m3,Ticino
Zöt,36 m,VA,1967,1.65 Mio m3,Ticino
Gelmer,35 m,PG,1929,14.00 Mio m3,Bern
Godey,35 m,TE,1974,0.93 Mio m3,Valais/Wallis
Verbois,34 m,PG,1943,12.00 Mio m3,Genève
Châtelard CFF,33 m,TE,1975,0.25 Mio m3,Valais/Wallis
In den Schlagen,33 m,PG,1936,96.50 Mio m3,Schwyz
Lessoc,33 m,CB,1976,1.50 Mio m3,Fribourg/Freiburg
Runcahez,33 m,PG,1961,0.48 Mio m3,Graubünden/Grigioni
Les Clées,32 m,PG,1955,0.74 Mio m3,Vaud
Pfaffensprung,32 m,VA,1921,0.15 Mio m3,Uri
Rempen,32 m,PG,1924,0.50 Mio m3,Schwyz
Turtmann,32 m,VA,1958,0.80 Mio m3,Valais/Wallis
Val d'Ambra,32 m,TE,1965,0.40 Mio m3,Ticino
Bagnes GD,31 m,TE,1957,0.30 Mio m3,Valais/Wallis
Rhodannenberg,30 m,TE,1910,56.40 Mio m3,Glarus
Rossinière,30 m,PG,1972,2.90 Mio m3,Vaud
Tobel,30 m,VA,1989,0.10 Mio m3,Uri
Barcuns,29 m,PG,1947,0.12 Mio m3,Graubünden/Grigioni
Mühleberg,29 m,PG,1920,25.00 Mio m3,Bern
Muslen,29 m,PG,1908,0.08 Mio m3,St. Gallen
Wettingen,29 m,PG,1933,3.35 Mio m3,Aargau
Ferpècle,28 m,VA,1964,0.10 Mio m3,Valais/Wallis
Innerferrera,28 m,PG,1961,0.23 Mio m3,Graubünden/Grigioni
Steinibach,28 m,PG,2000,0.02 Mio m3,Luzern
Mattenalp,27 m,PG/TE,1950,2.10 Mio m3,Bern
Piora,27 m,PG,1920,53.90 Mio m3,Ticino
Lago Bianco Süd,26 m,PG,1912,18.60 Mio m3,Graubünden/Grigioni
Löbbia,26 m,PG,1959,0.20 Mio m3,Graubünden/Grigioni
Illsee,25 m,PG,1923,6.60 Mio m3,Valais/Wallis
Schlattli,25 m,PG,1965,0.36 Mio m3,Schwyz
Tannensee,25 m,TE,1958,3.80 Mio m3,Obwalden
Alp Dado,24 m,TE,1995,0.06 Mio m3,Graubünden/Grigioni
Gübsensee Ost,24 m,PG,1900,1.50 Mio m3,St. Gallen
Maigrauge,24 m,PG,1872,0.40 Mio m3,Fribourg/Freiburg
Darbola,22 m,PG,1958,0.11 Mio m3,Graubünden/Grigioni
Le Pontet,22 m,PG,1970,0.07 Mio m3,Vaud
Rütiweiher,22 m,TE,1836,0.20 Mio m3,St. Gallen
Schlundbach,22 m,VA/PG,2000,0.01 Mio m3,Luzern
Serra,22 m,VA,1952,0.20 Mio m3,Valais/Wallis
Zen Binnen,22 m,VA,1953,0.17 Mio m3,Valais/Wallis
Hospitalet,21 m,PG,1962,0.01 Mio m3,Valais/Wallis
Jougnenaz,21 m,PG,1937,0.01 Mio m3,Vaud
Loré,21 m,TE,1996,0.07 Mio m3,Ticino
Secada,21 m,VA,1982,,Ticino
Airolo,20 m,PG/TE,1968,0.37 Mio m3,Ticino
Bortelsee,20 m,ER,1989,3.66 Mio m3,Valais/Wallis
Burvagn,20 m,PG,1949,0.20 Mio m3,Graubünden/Grigioni
Chapfensee Nord,20 m,PG,1948,0.43 Mio m3,St. Gallen
Isenthal,20 m,PG,1955,0.03 Mio m3,Uri
Les Esserts,20 m,TE,1973,0.26 Mio m3,Valais/Wallis
Othmarhang,20 m,TE,2000,0.06 Mio m3,Valais/Wallis
Plans Mayens,20 m,TE,1971,0.13 Mio m3,Valais/Wallis
Prä,20 m,PG,1961,0.00 Mio m3,Graubünden/Grigioni
Preda,20 m,VA,1961,0.27 Mio m3,Graubünden/Grigioni
Proz-Riond,20 m,TE,1957,51.00 Mio m3,Valais/Wallis
Simmenporte,20 m,PG,1908,0.25 Mio m3,Bern
Sosto,20 m,VA,1963,,Ticino
Totensee,20 m,PG,1950,2.60 Mio m3,Valais/Wallis
Bremgarten-Zufikon,19 m,PG,1975,2.20 Mio m3,Aargau
Buchholz,19 m,PG,1892,0.25 Mio m3,St. Gallen
Les Marécottes,19 m,MV,1925,0.05 Mio m3,Valais/Wallis
Sihl-Höfe,19 m,PG,1961,0.08 Mio m3,Schwyz
Brigels,18 m,TE,1960,0.30 Mio m3,Graubünden/Grigioni
Garichte Nebenmauer,18 m,PG,1931,3.29 Mio m3,Glarus
Käppelistutz,18 m,PG,1945,0.06 Mio m3,Nidwalden
La Fouly,18 m,PG,1972,0.02 Mio m3,Valais/Wallis
Arnensee,17 m,TE,1942,10.50 Mio m3,Bern
Greuel,17 m,TE,1984,0.11 Mio m3,Aargau
Gübsensee West,17 m,TE,1900,1.50 Mio m3,St. Gallen
Hühnermatt,17 m,TE,1937,96.50 Mio m3,Schwyz
Icogne,17 m,TE,1962,0.04 Mio m3,Valais/Wallis
List,17 m,PG,1901,0.04 Mio m3,Appenzell A.-Rh.
Pilgersteg,17 m,PG,1920,0.07 Mio m3,Zürich
Plan-Dessous,17 m,PG,1957,0.10 Mio m3,Vaud
Schöni,17 m,PG,1961,0.02 Mio m3,Uri
Sternenweiher,17 m,TE,1874,0.10 Mio m3,Zürich
Esslingen,16 m,TE,1988,0.10 Mio m3,Zürich
Teufenbachweiher,16 m,TE,1895,0.23 Mio m3,Zürich
Ual da Mulin,16 m,TE,1962,0.06 Mio m3,Graubünden/Grigioni
Arniboden Süd,15 m,TE,1910,0.24 Mio m3,Uri
Croix,15 m,TE,1955,0.09 Mio m3,Valais/Wallis
Giétroz-du-Fond,15 m,PG,1965,0.02 Mio m3,Valais/Wallis
La Luette,15 m,PG,1918,0.40 Mio m3,Valais/Wallis
Lago Bianco Nord,15 m,PG,1912,18.60 Mio m3,Graubünden/Grigioni
Le Chalet,15 m,PG,1894,0.10 Mio m3,Vaud
Safien-Platz,15 m,TE,1957,0.24 Mio m3,Graubünden/Grigioni
Schwänberg,15 m,VA,1916,0.08 Mio m3,Appenzell AR / St.Gallen
Vordersee,15 m,TE,1986,0.56 Mio m3,Valais/Wallis
Waldialp Nord,15 m,TE,1961,0.25 Mio m3,Schwyz
