Scientific name/Nom scientifique,Common name English name,Nom commun Nom franзais,Number of seedlots per species Nombre de lots le semences par essence
Fagus sylvatica,European beech,h?tre commun,1
Fitzroya cupressoides,Patagonia cypress,cypr?s de Patagonie,1
Fraxinus americana,white ash,fr?ne blanc,75
Fraxinus chinensis,Chinese ash,,1
Fraxinus excelsior,European ash,fr?ne commun,1
Fraxinus nigra,black ash,fr?ne noir,10
Fraxinus pennsylvanica,red ash,fr?ne rouge,69
Fraxinus pennsylvanivca var. austini,Northern red ash,fr?ne d'Austin,2
Gleditsia triacanthos,honey-locust,f?vier ?pineux,2
Hamamelis virginiana,witch-hazel,hamam?lis de Virginie,2
Hippophae rhamnoides,sea buckthorn,argousier faux-nerprun,1
Ilex verticillata,common winterberry,houx verticill?,1
Juglans nigra,black walnut,noyer noir,1
Juniperus communis,common juniper,gen?vrier commun,3
Juniperus procera hochst. ex. endl,,1,
Juniperus scopulorum,Rocky Mountain juniper,gen?vrier des Rocheuses,1
Juniperus virginiana,Eastern redcedar,gen?vrier de Virginie,5
Keteleeria chien-peii flous,,,1
,,,
Koelreuteria formosana,,,2
Koelreuteria paniculata,golden rain tree,,1
Larix decidua,European larch,m?l?ze d'Europe,12
Larix decidua var. sudetica,European larch,m?l?ze d'Europe,1
Larix eurolepis,Dunkeld larch,,5
Larix gmelini,Dahurian larch,m?l?ze de Dahurie,3
Larix kaempferi,Japanese larch,m?l?ze du Japon,4
Larix laricina,tamarack,m?l?ze laricin,55
Larix occidentalis,Western larch,m?l?ze de l'Ouest,1
Larix sibirica,Siberian larch,m?l?ze de Sib?rie,2
Liriodendron tulipifera,tulip-tree,tulipier de Virginie,4
Magnolia acuminata,cucumber-tree,magnolia acumin?,3
Maytenus boaria,,,2
Nemopanthus mucronatus,mountain-holly,n?mopanthe mucron?,1
Nothofagus dombeyi,,,3
Nothofagus nervosa,,,2
Nothofagus obliqua,Roble beech,,3
Nothofagus pumilio,lenga,,1
Nyssa sylvatica,black gum,nyssa sylvestre,2
Ostrya virginiana,ironwood,ostryer de Virginie,6
Paulownia fargesii,,,1
Paulownia fortunei,,,1
Paulownia kawakamii,,,1
Paulownia taiwaniana,,,1
Phellodendron amurense,Amur corktree,arbre li?ge de Chine,2
Picea abies,Norway spruce,?pinette de Norv?ge,105
Picea engelmannii,Engelmann spruce,?pinette d'Engelmann,13
Picea glauca,white spruce,?pinette blanche,953
Picea glauca x engelmanii,interior spruce,,6
Picea glauca x mariana,,,3
Picea glehnii,Saghalin spruce,,2
Picea jezoensis,Yeddo spruce,,1
Picea koraiensis,,,3
Picea mariana,black spruce,?pinette noire,98
Picea orientalis,Oriental spruce,,1
Picea pungens var. glauca,Colorado blue spruce,,2
Picea rubens,red spruce,?pinette rouge,71
Picea schrenkiana,Schrenk's spruce,,2
Picea sitchensis,Sitka spruce,?pinette de Sitka,34
Pinus albicaulis,whitebark pine,pin ? blanche ?corce,2
Pinus armandi var. mastersiana,,2,
Pinus banksiana,jack pine,pin gris,54
Pinus bungeana,lacebark pine,,1
Pinus caribaea var caribaea,,,2
Pinus caribaea var. bahamensis,,1,
Pinus caribaea var. hondurensis,,3,
Pinus cembra var. sibirica,,,2
Pinus contorta var. contorta,shore pine,pin tordu,3
Pinus contorta var. latifolia,lodgepole pine,pin tordu latifoli?,98
Pinus contorta var. murrayana,lodgepole pine,pin tordu latifoli?,1
Pinus coulteri,big-cone pine,,1
Pinus densata,,,1
Pinus densiflora,Japanese red pine,,2
Pinus elliottii,slash pine,,10
Pinus flexilis,limber pine,pin flexible,1
Pinus griffithii,Himalayan white pine,,1
Pinus halepensis,Aleppo pine,,1
Pinus heldreichii var. leucodermis,,1,
Pinus kesiya,Khasi pine,,3
Pinus koraiensis,Korean pine,,1
Pinus maximinoi,,,2
Pinus merkusii,,,1
Pinus monticola,Western white pine,pin argent?,11
Pinus mugo,mugho pine,pin mugo,1
Pinus mugo var. pumilio,,,1
Pinus mugo var. rostrata,,,1
Pinus muricata,,,1
Pinus nigra,Austrian pine,pin noir d'Autriche,9
Pinus nigra var. austriaca,,,4
Pinus nigra var. koekelare,,,1
Pinus oocarpa,,,4
Pinus patula tecunmanii,,,2
Pinus peuce,Macedonean pine,,1
Pinus ponderosa,ponderosa pine,pin ponderosa,5
Pinus pumila,,,2
Pinus resinosa,red pine,pin rouge,34
Pinus rigida,pitch pine,pin rigide,29
Pinus sibirica,,,4
Pinus strobiformis,Southwestern white pine,,1
Pinus strobus,Eastern white pine,pin blanc,47
Pinus strobus var. chiapensis,,1,
Pinus sylvestris,Scots pine,pin sylvestre,43
Pinus sylvestris var. mongolica,,4,
Pinus sylvestris var. rigensis,,1,
Pinus tabulaeformis,Chinese pine,,1
Pinus taiwanensis hayata,Formosa pine,,2
Pinus thunbergii,Japanese black pine,,3
Pinus wallichiana,Himalayan pine,,3
Pladycladus orientalis,,,1
Platanus occidentalis,sycamore,platane occidental,2
Populus balsamifera,balsam poplar,peuplier baumier,1
Populus grandidentata,largetooth aspen,peuplier ? grandes dents,15
Populus tremuloides,trembling aspen,peuplier faux-tremble,16
Prunus avium,sweet cherry,cerisier sauvage,1
Prunus pensylvanica,pin cherry,cerisier de Pennsylvanie,3
Prunus serotina,black cherry,cerisier tardif,2
Prunus virginiana var. virginiana,choke cherry,cerisier de Virginie,4
Pseudotsuga menziesii var. glauca,Rocky Mountain Douglas-fir,Douglas bleu,18
Pseudotsuga menziesii var. menziesii,Douglas-fir,Douglas vert,15
Ptelea trifoliata,common hoptree,pt?l?a trifoli?,1
Pterocarpus macrocarpus,,,1
Quercus rubra,red oak,ch?ne rouge,1
Rhamnus frangula,glossy buckthorn,nerprun bourdaine,1
Rhus typhina,staghorn sumac,sumac vinaigrier,3
Robinia pseudoacacia,black locust,robinier faux-acacia,2
Sabin chinensio,,,1
Sambucus canadensis,American elder,sureau blanc,2
Sambucus pubens,Eastern red elderberry,sureau rouge,3
Sambucus racemosa,European red elder,,1
Sassafras albidum,sassafras,sassafras officinal,1
Schinus patagonicus,,,1
Sorbus americana,American mountain-ash,sorbier d'Am?rique,3
Sorbus aucuparia,European mountain-ash,sorbier des oiseleurs,2
Sorbus decora,showy mountain-ash,sorbier d?coratif,3
Sorbus intermedia,Swedish whitebeam,,1
Thuja occidentalis,Eastern white-cedar,thuya occidental,10
Thuja plicata,Western redcedar,thuya g?ant,7
Tilia americana,basswood,tilleul d'Am?rique,5
Tilia euchlora,Crimea linden,,1
Tsuga canadensis,Eastern hemlock,pruche du Canada,12
Tsuga heterophylla,Western hemlock,pruche de l'Ouest,8
Tsuga mertensiana,mountain hemlock,pruche subalpine,4
Ulmus americana,white elm,orme d'Am?rique,4
Ulmus glabra,Scotch elm,orme de montagne,1
Ulmus laevis,European white elm,,1
Viburnum alnifolium,hobblebush,viorne ? feuilles d'aulne,1
Viburnum cassinoides,witherod,viorne cassino?de,1
Viburnum lentago,sweet viburnum,viorne flexible,1
Viburnum opulus,European cranberry,viorne obier,1
Viburnum trilobum,cranberry viburnum,viorne trilob?e,2
,,,
,,,
Total number of seedlots,,,
Nombre total de lots de semences,,2694,
