Common Name,Scientific Name,Abun- dance
Varied Thrush,Ixoreus naevius,FC
Wrentit,Chamaea fasciata,C
Northern Mockingbird,Mimus polyglottos,U
European Starling,Sturnus vulgaris,C
American Pipit,Anthus rubescens,FC
Cedar Waxwing,Bombycilla cedrorum,FC
Orange-crowned Warbler,Vermivora celata,C
Nashville Warbler,Vermivora ruficapilla,U
Yellow Warbler,Dendroica petechia,U
Yellow-rumped Warbler,Dendroica coronata,C
Black-throated Gray Warbler,Dendroica nigrescens,R
Townsend's Warbler,Dendroica townsendi,C
Hermit Warbler,Dendroica occidentalis,C
Palm Warbler,Dendroica palmarum,R
MacGillivray's Warbler,Oporornis tolmiei,U
Common Yellowthroat,Geothlypis trichas,FC
Wilson's Warbler,Wilsonia pusilla,C
Yellow-breasted Chat,Icteria virens,R
Western Tanager,Piranga ludoviciana,R
Spotted Towhee,Pipilo maculatus,C
California Towhee,Pipilo crissalis,C
Chipping Sparrow,Spizella passerina,U
Vesper Sparrow,Pooecetes gramineus,R
Savannah Sparrow,Passerculus sandwichensis,FC
Grasshopper Sparrow,Ammodramus savannarum,X
Fox Sparrow,Passerella iliaca,FC
Song Sparrow,Melospiza melodia,C
Lincoln's Sparrow,Melospiza lincolnii,U
White-throated Sparrow,Zonotrichia albicollis,X
White-crowned Sparrow,Zonotrichia leucophrys,C
Golden-crowned Sparrow,Zonotrichia atricapilla,FC
Dark-eyed Junco,Junco hyemalis,C
Rose-breasted Grosbeak,Pheucticus ludovicianus,X
Black-headed Grosbeak,Pheucticus melanocephalus,R
Lazuli Bunting,Passerina amoena,R
Red-winged Blackbird,Agelaius phoeniceus,C
Western Meadowlark,Sturnella neglecta,C
Yellow-headed Blackbird,Xanthocephalus xanthocephalus,R
Brown-headed Cowbird,Molothrus ater,C
Bullock's Oriole,Icterus bullockii,U
Purple Finch,Carpodacus purpureus,U
House Finch,Carpodacus mexicanus,C
Red Crossbill,Loxia curvirostra,U
Pine Siskin,Carduelis pinus,FC
Lesser Goldfinch,Carduelis psaltria,U
American Goldfinch,Carduelis tristis,C
House Sparrow,Passer domesticus,FC
