Rang,Name,Staat(en),FlÃ¤che-(km2),LÃ¤nge-(km),Max.-Tiefe-(m),Volumen-(km?)
46.,Iliamna-Lake,USA,2622,120,>150,-
47.,Chubsogol-Nor,Mongolei,2620,136,262,-
48.,Poopó-See,Bolivien,2600,-,-,"4,02"
49.,Lake-Garry,Kanada,2538,-,-,-
50.,Eduardsee,DR-Kongo Uganda,2325,65,112,-
51.,Wollaston-Lake,Kanada,2286,-,71,75
52.,Nueltin-Lake,Kanada,2279,-,-,-
53.,Tai-Hu,VR-China,2250,-,-,-
54.,Southern-Indian-Lake,Kanada,2248,-,-,-
55.,Yathkyed-Lake,Kanada,2227,-,-,-
56.,Nam-Tso,VR-China,2207,70,33,-
57.,Lake-Mistassini,Kanada,2176,150,-,-
58.,Hungtze-Hu,VR-China,1960,-,-,-
59.,Vättern,Schweden,1912,-,119,-
60.,Lake-Okeechobee,USA,1890,56,4,-
61.,Lago-Buenos-Aires,Chile Argentinien,1850,-,590,-
62.,Tschelkar-Tengis,Kasachstan,1825,-,-,-
63.,Hara-Usa-Nor,Mongolei,1760,-,-,-
64.,Saimaa,Finnland,1760,-,85,36
65.,Manzalasee,?gypten,1709,-,-,-
66.,Tschanysee,Russland,1700,-,12,-
67.,Ziling-Tso,VR-China,1640,72,33,-
68.,Lake-Pontchartrain,USA,1630,64,"4,26",-
69.,Tuz-Gölü,T?rkei,1620,80,2,-
70.,Tengis-Ozero,Kasachstan,1590,-,-,-
71.,Lago-Argentino,Argentinien,1490,-,500,-
72.,Baker-Lake,Kanada,1480,-,-,-
73.,Lake-Claire,Kanada,1436,59,-,-
74.,Island-Lake,Kanada,1425,-,-,-
75.,Lac-Seul,Kanada,1396,241,47,-
76.,Lac-a-l'eau-Claire,Kanada,1386,-,-,-
77.,Hirgis-Nur,Mongolei,1360,-,-,-
78.,Moose-Lake,Kanada,1359,-,-,-
79.,Cedar-Lake,Kanada,1339,-,-,-
80.,Tangra-Tso,VR-China,1295,-,-,-
81.,Tobasee,Indonesien,1264,100,505,240
82.,Lac-Minto,Kanada,1256,-,-,-
83.,Lake-Aberdeen,Kanada,1230,90,-,-
84.,Wyg-ozero,Russland,1200,-,-,-
85.,Lac-La-Martre,Kanada,1174,-,-,-
86.,Kleiner-Sklavensee,Kanada,1168,97,"20,5",-
87.,Lac-La-Ronge,Kanada,1166,-,-,-
88.,Cree-Lake,Kanada,1155,-,-,-
89.,Abajasee,?thiopien,1150,72,13,-
90.,Hawr-as-Saniyah,Irak,1142,-,-,-
91.,Mälaren,Schweden,1140,115,66,"14,3"
92.,Lake-Champlain,USA-Kanada,1130,180,121,-
93.,Beloje-Ozero,Russland,1125,-,-,-
94.,Lake-St.Clair,Kanada-USA,1114,42,"8,2",4
95.,Lac-Sakami,Kanada,1100,-,-,-
96.,Napaktulik-Lake,Kanada,1080,-,-,-
97.,Kasba-Lake,Kanada,1077,-,-,-
98.,Päijänne,Finnland,1068,-,95,-
99.,MacKay-Lake,Kanada,1061,-,-,-
100.,Chapalasee,Mexiko,1056,80,12,-
101.,Top-ozero,Russland,1049,-,-,-
102.,Inarisee,Finnland,1040,80,92,-
103.,Kamilukuak-Lake,Kanada,1036,-,-,-
104.,Kuschmurunsee,Kasachstan,1036,-,-,-
105.,Managuasee,Nicaragua,1035,65,-,-
106.,Ebi-Nor,VR-China,1024,-,-,-
107.,Lac-Bienville,Kanada,1015,-,-,-
108.,Granville-Lake,Kanada,1015,-,-,-
109.,Lago-San-Martin,Chile Argentinien,1010,-,-,-
110.,Lac-St.-Jean,Kanada,1003,"43,8",63,-
