Year,Winner/2nd,,Scores,Total,Money (US$)
1979,John Mahaffey,1,66-66-71-71-69,343,"50,000.00"
,Lee Trevino,2,71-68-66-70-69,344,"29,700.00"
1978,Bill Rogers,1,69-67-67-67-69,339,"45,000.00"
,Jerry McGee,2,71-68-65-70-67,341,"25,650.00"
1977,Rik Massengale,1,64-66-70-70-67,337,"40,000.00"
,Bruce Lietzke,2,67-67-70-72-67,343,"22,800.00"
1976,Johnny Miller,1,71-69-73-68-63,344,"36,000.00"
,Rik Massengale,2,69-72-71-68-67,347,"20,520.00"
1975,Johnny Miller,1,64-69-72-66-68,339,"32,000.00"
,Bob Murphy,2,74-67-67-68-66,342,"18,240.00"
1974,Hubert Green,1,72-69-66-69-65,341,"32,048.00"
,Bert Yancey,2,71-72-61-69-70,343,"18,267.40"
1973,Arnold Palmer,1,71-66-69-68-69,343,"32,000.00"
,Johnny Miller,T2,70-70-70-63-72,345,"14,800.00"
,Jack Nicklaus,T2,64-70-71-68-72,345,"14,800.00"
1972,Bob Rosburg,1,66-69-72-70-67,344,"29,000.00"
,Lanny Wadkins,2,70-69-70-69-67,345,"16,530.00"
1971,Arnold Palmer,1,67-71-66-68-70,342,"28,000.00"
,Ray Floyd,2,68-71-70-66-67,342,"16,000.00"
1970,Bruce Devlin,1,67-68-68-70-66,339,"25,000.00"
,Larry Ziegler,2,67-65-68-71-72,343,"14,300.00"
1969,Billy Casper,1,71-68-71-69-66,345,"20,000.00"
,Dave Hill,2,69-72-70-71-66,348,"11,400.00"
1968,Arnold Palmer,1,72-70-67-71-68,348,"20,000.00"
,Deane Beman,2,72-74-70-67-65,348,"12,000.00"
1967,Tom Nieporte,1,76-68-68-68-69,349,"17,600.00"
,Doug Sanders,2,70-73-69-67-71,350,"10,560.00"
1966,Doug Sanders,1,70-72-68-73-66,349,"15,000.00"
,Arnold Palmer,2,71-70-71-67-70,349,"8,000.00"
1965,Billy Casper,1,70-70-69-67-72,348,"15,000.00"
,Tommy Aaron,T2,69-69-69-72-70,349,"6,600.00"
,Arnold Palmer,T2,70-70-72-67-70,349,"6,600.00"
1964,Tommy Jacobs,1,66-74-74-69-70,353,"7,500.00"
,Jimmy Demaret,2,75-68-67-72-71,353,"4,000.00"
1963,Jack Nicklaus,1,69-66-67-71-72,345,"9,000.00"
,Gary Player,2,67-69-73-69-67,345,"4,600.00"
1962,Arnold Palmer,1,69-67-66-71-69,342,"5,300.00"
,Jay Hebert,T2,69-70-66-69-71,345,"2,800.00"
,Gene Littler,T2,67-71-64-68-75,345,"2,800.00"
1961,Billy Maxwell,1,68-70-68-68-71,345,"5,300.00"
,Doug Sanders,2,68-73-71-66-69,347,"3,400.00"
1960,Arnold Palmer,1,67-73-67-66-65,338,"12,000.00"
,Fred Hawkins,2,69-69-71-67-65,341,"6,600.00"
