No.,Name,Feet,Met,Grid Ref,Area,?,Trips
78,Birkhouse Moor,2356,718,NY363159,E Fells,1,-
79,Lonscale Fell,2346,715,NY285271,N Fells,2,1
80,Brandreth,2346,715,NY214119,W Fells,5,1234
81,Branstree,2339,713,NY477100,Far E Fells,6,12
82,Knott,2329,710,NY296329,N Fells,4,1
83,Pike of Stickle,2326,709,NY273073,C Fells,1,-
84,Whiteside,2320,707,NY170219,NW Fells,3,-
85,Yoke,2316,706,NY437067,Far E Fells,4,123
86,Pike of Blisco,2313,705,NY271042,S Fells,4,123
87,Bowscale Fell,2303,702,NY333305,N Fells,3,12
88,Cold Pike,2300,701,NY262035,S Fells,4,123
89,Pavey Ark,2297,700,NY284079,C Fells,5,123
90,Gray Crag,2293,699,NY427117,Far E Fells,3,-
91,Grey Knotts,2287,697,NY217125,W Fells,4,123
92,Caw Fell,2287,697,NY131109,W Fells,7,1234
93,Rest Dodd,2283,696,NY432137,Far E Fells,2,1
94,Seatallan,2270,692,NY139084,W Fells,4,12
95,Ullock Pike,2264,690,NY244288,N Fells,2,1
96,Great Calva,2264,690,NY290311,N Fells,3,1
97,Bannerdale Crags,2241,683,NY335290,N Fells,3,12
98,Loft Crag,2231,680,NY277071,C Fells,1,-
99,Sheffield Pike,2215,675,NY369181,E Fells,2,-
100,Bakestall,2208,673,NY266307,N Fells,1,-
101,Scar Crags,2205,672,NY208206,NW Fells,3,12
102,Loadpot Hill,2201,671,NY456181,Far E Fells,2,-
103,Wether Hill,2198,670,NY455167,Far E Fells,2,-
104,Tarn Crag,2178,664,NY488078,Far E Fells,4,12
105,Carrock Fell,2175,663,NY341336,N Fells,3,1
106,Whiteless Pike,2165,660,NY180189,NW Fells,3,-
107,High Pike (N Fells),2159,658,NY318350,N Fells,3,1
108,Place Fell,2156,657,NY405169,Far E Fells,5,12
109,High Pike (Scandale),2152,656,NY374088,E Fells,1,-
110,Selside Pike,2149,655,NY490111,Far E Fells,6,12
111,Harter Fell (S Fells),2146,654,SD218997,S Fells,6,12345
112,Middle Dodd,2146,654,NY397096,E Fells,1,-
113,High Spy,2142,653,NY234162,NW Fells,6,123
114,Great Sca Fell,2136,651,NY291339,N Fells,1,-
115,Rossett Pike,2136,651,NY249075,S Fells,4,123
116,Fleetwith Pike,2126,648,NY205141,W Fells,5,123
117,Base Brown,2119,646,NY225114,W Fells,2,1
118,Grey Crag,2093,638,NY497072,Far E Fells,4,12
119,Causey Pike,2090,637,NY218208,NW Fells,3,12
120,Little Hart Crag,2090,637,NY387100,E Fells,3,1
121,Starling Dodd,2077,633,NY141157,W Fells,4,12
122,Mungrisdale Common,2077,633,NY311293,N Fells,1,-
123,Yewbarrow,2057,627,NY173084,W Fells,3,1
124,Birks,2041,622,NY380143,E Fells,3,1
125,Hartsop Dodd,2028,618,NY411118,Far E Fells,2,-
126,Great Borne,2021,616,NY123163,W Fells,5,12
127,Heron Pike,2008,612,NY356083,E Fells,2,-
128,Illgill Head,1998,609,NY169049,S Fells,6,12345
129,High Seat,1995,608,NY287180,C Fells,1,-
130,Seathwaite Fell (Wainwright top),1972,601,NY229102,S Fells,1,-
131,Haystacks,1959,597,NY194132,W Fells,6,1234
132,Bleaberry Fell,1936,590,NY286195,C Fells,1,-
133,Shipman Knotts,1926,587,NY473062,Far E Fells,3,12
134,Brae Fell,1923,586,NY289351,N Fells,1,-
135,Middle Fell,1909,582,NY151072,W Fells,3,12
136,Ard Crags,1906,581,NY207198,NW Fells,3,12
137,The Nab,1890,576,NY434152,Far E Fells,1,-
138,Maiden Moor,1886,575,NY237182,NW Fells,3,1
139,Blake Fell,1880,573,NY110196,W Fells,3,1
140,Sergeant?s Crag,1873,571,NY274113,C Fells,1,-
141,Hartsop Above How,1870,570,NY385121,E Fells,2,1
142,Outerside,1864,568,NY211215,NW Fells,1,-
143,Angletarn Pikes,1860,567,NY414148,Far E Fells,1,-
144,Brock Crags,1841,561,NY418136,Far E Fells,1,-
145,Knott Rigg,1824,556,NY197187,NW Fells,3,12
146,Steel Fell,1814,553,NY320111,C Fells,4,1
147,Lord's Seat,1811,552,NY204265,NW Fells,2,-
148,Rosthwaite Fell - Bessyboot,1808,551,NY258125,S Fells,1,-
149,Tarn Crag (Easedale),1804,550,NY304093,C Fells,3,1
150,Meal Fell,1804,550,NY283337,N Fells,1,-
151,Hard Knott,1801,549,NY231023,S Fells,5,1234
152,Blea Rigg,1775,541,NY301078,C Fells,5,123
153,Lank Rigg,1775,541,NY092119,W Fells,3,1
154,Calf Crag,1762,537,NY301104,C Fells,5,12
155,Great Mell Fell,1762,537,NY396253,E Fells,1,-
156,Whin Rigg,1755,535,NY152034,S Fells,3,12
157,Arthur?s Pike,1749,533,NY461207,Far E Fells,1,-
158,Gavel Fell,1726,526,NY117184,W Fells,3,1
159,Great Cockup,1726,526,NY273333,N Fells,1,-
160,Eagle Crag,1722,525,NY276121,C Fells,1,-
161,Bonscale Pike,1719,524,NY453200,Far E Fells,1,-
162,Souther Fell,1713,522,NY355291,N Fells,1,-
163,Crag Fell,1706,520,NY097143,W Fells,3,12
164,High Hartsop Dodd,1703,519,NY393107,E Fells,1,-
165,Whinlatter,1696,517,NY191251,NW Fells,1,-
166,Sallows,1693,516,NY436040,Far E Fells,4,123
167,High Tove,1690,515,NY288166,C Fells,3,1
168,Mellbreak,1680,512,NY148186,W Fells,5,1
169,Broom Fell,1677,511,NY195271,NW Fells,2,-
170,Beda Fell,1670,509,NY429171,Far E Fells,1,-
171,Hen Comb,1670,509,NY132181,W Fells,1,-
172,Low Pike,1667,508,NY373078,E Fells,1,-
173,Little Mell Fell,1657,505,NY423240,E Fells,1,-
174,Dodd,1647,502,NY245273,N Fells,1,-
175,Stone Arthur,1640,500,NY347092,E Fells,1,-
176,Green Crag,1604,489,SD200982,S Fells,4,12
177,Baystones (Wansfell),1601,488,NY403051,Far E Fells,1,-
178,Grike,1594,486,NY085141,W Fells,1,-
179,Sour Howes,1585,483,NY426031,Far E Fells,1,-
180,Longlands Fell,1585,483,NY276354,N Fells,1,-
181,Gowbarrow Fell,1578,481,NY407218,E Fells,2,-
182,Armboth Fell,1572,479,NY298157,C Fells,1,-
183,Burnbank Fell,1558,475,NY110209,W Fells,3,1
184,Lingmoor Fell,1539,469,NY302046,S Fells,5,1234
185,Barf,1535,468,NY214267,NW Fells,3,-
186,Raven Crag,1512,461,NY303188,C Fells,1,-
187,Barrow,1493,455,NY227218,NW Fells,1,-
188,Graystones,1483,452,NY176266,NW Fells,1,-
189,Cat Bells,1480,451,NY244199,NW Fells,5,123
190,Nab Scar,1476,450,NY356073,E Fells,1,-
191,Great Crag,1476,450,NY270147,C Fells,1,-
192,Binsey,1467,447,NY225355,N Fells,1,-
193,Glenridding Dodd,1450,442,NY380175,E Fells,1,-
194,Arnison Crag,1421,433,NY393150,E Fells,2,1
195,Steel Knotts,1417,432,NY440182,Far E Fells,1,-
196,Low Fell,1388,423,NY137226,W Fells,2,-
197,Gibson Knott,1378,420,NY317100,C Fells,3,1
198,Fellbarrow,1365,416,NY132242,W Fells,1,-
199,Grange Fell,1362,415,NY264162,C Fells,1,-
200,Buckbarrow,1329,405,NY136061,W Fells,1,-
201,Helm Crag,1299,396,NY327093,C Fells,3,1
202,Silver How,1296,395,NY325066,C Fells,2,1
203,Hallin Fell,1273,388,NY433198,Far E Fells,1,-
204,Walla Crag,1234,376,NY277213,C Fells,2,-
205,Ling Fell,1224,373,NY179286,NW Fells,1,-
206,Latrigg,1204,367,NY279247,N Fells,1,-
207,Troutbeck Tongue,1194,364,NY422064,Far E Fells,1,-
208,High Rigg,1171,357,NY308219,C Fells,2,-
209,Sale Fell,1165,355,NY195297,NW Fells,1,-
210,Rannerdale Knotts,1165,355,NY167183,NW Fells,2,-
211,Loughrigg Fell,1099,335,NY347051,C Fells,2,1
212,Black Fell,1060,323,NY340016,S Fells,1,-
213,Holme Fell,1040,317,NY315006,S Fells,1,-
214,Castle Crag,978,298,NY249159,NW Fells,1,-
