World rank,City,Country,City population,Metro population,Mayor
503,Natal,Brazil,"790,000","1,100,000",n/k
507,Sao Bernardo do Campo,Brazil,"783,000",,Luiz Marinho
538,Joao Pessoa,Brazil,"702,000","984,000",Ricardo Coutinho
567,Sao Jose dos Campos,Brazil,"611,000","794,000",Eduardo Cury
591,Ribeirao Preto,Brazil,"547,000","789,000",Dбrcy Vera
n/r,Santos,Brazil,"418,000","1,477,000",Joгo Paulo Tavares Papa
n/r,Vitoria,Brazil,"313,000","1,628,000",Joгo Carlos Coser
n/r,Colombo,Brazil,"247,000","2,160,000",Josй Antonio Camargo
252,SOFIA,Bulgaria,"1,403,000","1,455,000",Yordanka Fandukova
225,OUAGADOUGOU,Burkina Faso,"1,475,000","1,727,000",Simon Compaorй
314,PHNOM PENH,Cambodia,"1,242,000","2,001,000",Keb Chutema
242,YAOUNDЙ,Cameroon,"1,430,000","1,550,000",n/k
263,Douala,Cameroon,"1,382,000","2,000,000",n/k
101,Toronto,Canada,"2,571,000","5,100,000",Rob Ford
189,Montreal,Canada,"1,621,000","3,636,000",Gйrald Tremblay
416,Calgary,Canada,"988,000","1,080,000",Naheed Nenshi
483,OTTAWA,Canada,"815,000","1,131,000",Larry O'Brien
526,Edmonton,Canada,"730,000","1,035,000",Stephen Mandel
580,Vancouver,Canada,"580,000","2,120,000",Gregor Robertson
n/r,Quйbec,Canada,"495,000","717,000",Rйgis Labeaume
560,BANGUI,Central African Republic,"652,000","789,000",n/k
35,SANTIAGO,Chile,"5,278,000","6,677,000",Pablo Zalaquett Said
n/r,Concepciуn,Chile,"404,000","978,000",Jacqueline van Rysselberghe
n/r,Valparaiso,Chile,"301,000","904,000",Aldo Cornej
2,Shanghai,China,"14,900,000","19,200,000",Han Zheng
4,BEIJING,China,"12,460,000","17,550,000",Guo Jinlong
24,Tianjin,China,"7,500,000","11,750,000",Huang Xingguo
27,Hong Kong,China,"7,055,000",,Donald Tsang
28,Guangzhou,China,"6,458,000","10,182,000",Wan Qingliang
29,Dongguan,China,"6,446,000","7,650,000",Li Yuquan
37,Shenyang,China,"5,090,000","7,760,000",Li Yingjie
38,Chongqing,China,"5,087,000","9,700,000",Huang Qifan
42,Harbin,China,"4,755,000","9,874,000",Zhang Xiaolian
46,Wuhan,China,"4,500,000","6,200,000",Ruan Chengfa
49,Chengdu,China,"4,334,000","11,000,000",Ge Honglin
50,Shenzhen,China,"4,320,000","8,616,000",Xy Qin
51,Nanjing,China,"4,150,000","7,600,000",Ji Jianye
65,Changchun,China,"3,581,000","7,460,000",Cui Jie
67,Guiyang,China,"3,450,000",,Yuan Zhou
69,Hangzhou,China,"3,408,000","6,776,000",Cai Qi
76,Kunming,China,"3,100,000","6,800,000",Zhang Zulin
83,Zibo,China,"2,850,000","4,200,000",Liu Huiyan
86,Huludao,China,"2,787,000",,Sun Zhaolin
88,Qingdao,China,"2,755,000","7,580,000",Xia Geng
89,Changsha,China,"2,744,000","6,140,000",Zhang Jiangfei
91,Fuzhou (Fujian),China,"2,710,000","6,630,000",Yuan Rongxiang
93,Xian,China,"2,670,000","4,480,000",Chen Baogen
97,Shijiazhuang,China,"2,630,000","9,600,000",Ai Wenli
99,Zhengzhou,China,"2,600,000","4,510,000",Zhao Jiancai
103,Taiyuan,China,"2,550,000","3,400,000",Zhang Bingsheng
109,Baoshan,China,"2,500,000",,Xiong Qinghua
111,Zhongshan,China,"2,495,000",,n/k
112,Xiamen,China,"2,490,000",,Liu Cigui
113,Chaoyang,China,"2,471,000",,Zhang Tiemin
115,Nanning,China,"2,450,000","6,480,000",Huang Fangfang
119,Suzhou,China,"2,383,000","6,298,000",Yan Li
123,Linyi,China,"2,300,000","10,080,000",Lian Chengmin
124,Dalian,China,"2,270,000","3,478,000",Li Wancai
130,Ningbo,China,"2,201,000","5,600,000",Mao Guanglie
135,Lanzhou,China,"2,088,000","3,300,000",Zhang Jinliang
136,Changzhou,China,"2,086,000","3,570,000",Wang Weicheng
139,Kowloon,China,"2,020,000","2,200,000",Wong Kwok-keung
142,Tangshan,China,"1,980,000","7,100,000",Zhang Guodong
143,Jilin,China,"1,953,000","4,523,000",Zhang Xiaopei
144,Nanchong,China,"1,950,000","7,300,000",Liu Hongjian
149,Jinan,China,"1,900,000","2,444,000",Zhang Jianguo
152,Macheng,China,"1,880,000",,n/k
154,Nanchang,China,"1,844,000","3.790,000",Hu Xian
156,Xuzhou,China,"1,830,000","9,410,000",Cao Xinping
159,Huzhou,China,"1,800,000","2,700,000",Ma Yi
161,Suzhou Anhui,China,"1,800,000","5,600,000",Tang Chengpei
162,Urumqi,China,"1,800,000","2,680,000",Jerla Isamudin
163,Yantai,China,"1,800,000","6,500,000",Zhang Jiangting
165,Tianmen,China,"1,790,000",,n/k
167,Shantou,China,"1,770,000","4,972,000",Cai Zong Ze
169,Hefei,China,"1,750,000","4,867,000",Wu Cunrong
170,Tengzhou,China,"1,750,000",,Du Yongguang
171,Wuxi,China,"1,750,000","2,230,000",Mao Xiaoping
174,Fuyang,China,"1,720,000",,Sun Yunfei
181,Suizhou,China,"1,680,000",,Li Hongyun
185,Gaozhou,China,"1,650,000",,n/k
186,Taian,China,"1,650,000","5,500,000",Li Hongfeng
188,Tianshui,China,"1,630,000","3,450,000",Li Wenqing
191,Shangqiu,China,"1,610,000","8,220,000",Tao Minglun
201,Neijiang,China,"1,560,000",,n/k
207,Hechuan,China,"1,530,000",,n/k
210,Taizhou,China,"1,528,000","5,741,000",Wu Weirong
215,Guigang,China,"1,500,000","4,400,000",n/k
217,Luoyang,China,"1,500,000","1,499,000",Guo Hongchang
220,Quanzhou,China,"1,490,000","7,790,000",Zhu Ming
224,Nanan,China,"1,480,000",,Chen Law
223,Xintai,China,"1,480,000",,Liu Daqun
230,Xinyang,China,"1,460,000",,Guo Ruimin
232,Rugao,China,"1,453,000",,Ding Dawei
233,Anyang,China,"1,450,000","3,000,000",Zhang Xiaodong
235,Weifang,China,"1,450,000","8,500,000",Xu Liquan
236,Zhanjiang,China,"1,450,000","6,900,000",Ruan Risheng
238,Fushun,China,"1,445,000","2,300,000",Wang Yang
240,Qiqihaer,China,"1,439,000","6,011,000",Liu Gang
241,Jianyang,China,"1,430,000",,n/k
245,Guiping,China,"1,420,000",,n/k
246,Huazhou,China,"1,420,000",,n/k
254,Changde,China,"1,400,000","6,000,000",Chen Wenhao
257,Tongzhou,China,"1,400,000",,Ding Dawei
260,Handan,China,"1,390,000","8,500,000",Guo Dajian
262,Suining,China,"1,385,000","3,500,000",n/k
265,Liuyang,China,"1,380,000",,Liang Zhong
266,Luzhou,China,"1,380,000","4,800,000",Liu Guoqiang
274,Taixing,China,"1,355,000",,Gao Yazi
275,Bozhou,China,"1,352,000",,Liu Jian
277,Jinjiang,China,"1,350,000",,Kenneth Li
278,Lufeng,China,"1,350,000",,n/k
279,Yongcheng,China,"1,347,000",,n/k
280,Guilin,China,"1,340,000",,Li Zhigang
281,Pingdu,China,"1,340,000",,n/k
287,Baotou,China,"1,318,000","1,750,000",Hu Ercha
290,Lianjiang,China,"1,300,000",,Xing Taian
292,Mianyang,China,"1,300,000","5,200,000",Liu Dong
293,Yiyang,China,"1,300,000","4,500,000",n/k
297,Anshan,China,"1,290,000","2,404,000",n/k
299,Rizhao,China,"1,290,000",,Zhao Xiaowei
303,Heze,China,"1,280,000",,Du Changwen
308,Datong,China,"1,253,000","1,377,000",n/k
310,Fengcheng,China,"1,250,000",,n/k
311,Ruian,China,"1,250,000",,n/k
312,Laiwu,China,"1,249,000",,Ma Pingchang
316,Pingdingshan,China,"1,230,000","5,200,000",Deng Yongjian
317,Yuzhou,China,"1,230,000",,n/k
319,Cixi,China,"1,220,000",,n/k
321,Huainan,China,"1,201,000",,Cao Yong
322,Anqiu,China,"1,200,000",,n/k
323,Fuqing,China,"1,200,000",,n/k
330,Qianjiang,China,"1,190,000",,n/k
331,Bazhong,China,"1,186,000",,n/k
333,Leqing,China,"1,183,000",,n/k
337,Dongtai,China,"1,170,000",,n/k
341,Guangyuan,China,"1,160,000","3,037,000",n/k
342,Qidong,China,"1,160,000",,n/k
353,Bijie,China,"1,130,000","7,188,000",n/k
354,Haicheng,China,"1,130,000",,n/k
357,Leshan,China,"1,120,000",,n/k
361,Jimo,China,"1,112,000",,n/k
362,Jining,China,"1,110,000",,Zhang Zhen Chuan
368,Wafangdian,China,"1,100,000",,n/k
373,Shouguang,China,"1,090,000",,n/k
381,Taishan,China,"1,070,000",,n/k
385,Ezhou,China,"1,064,000",,n/k
388,Jiangdu,China,"1,053,000",,n/k
390,Beiliu,China,"1,050,000",,n/k
391,Gongzhuling,China,"1,050,000",,n/k
392,Changshu,China,"1,048,000",,Wang Xiang
399,Fuzhou (Jiangxi),China,"1,020,000","3,700,000",Xмe Yмs®•
400,Yichun,China,"1,020,000","958,000",Gong Jianhua
402,Mudanjiang,China,"1,014,000","2,707,000",n/k
413,Baoding,China,"997,000",,n/k
415,Hezhou,China,"990,000","2,090,000",n/k
422,Wujiang,China,"970,000","1,500,000",n/k
426,Feicheng,China,"960,000",,n/k
429,Haimen,China,"950,000",,n/k
435,Weinan,China,"925,000",,n/k
445,Songzi,China,"905,000",,n/k
448,Laizhou,China,"902,000",,n/k
454,Danyang,China,"890,000",,n/k
456,Hengyang,China,"880,000","7,000,000",n/k
457,Honghu,China,"880,000",,n/k
459,Daye,China,"874,000",,n/k
473,Benxi,China,"830,000","1,567,000",Gang Rui
474,Haikou,China,"830,000",,n/k
480,Hohhot,China,"820,000","1,041,000",n/k
487,Liuzhou,China,"810,000","990,000",n/k
490,Bengbu,China,"809,000","3,470,000",Chen Qitao
499,Daqing,China,"800,000","2,770,000",n/k
500,Nanyang,China,"800,000","10,700,000",Huang Xingwei
516,Jixi,China,"760,000","1,960,000","Zhu, Deyi"
521,Ankang,China,"743,000",,n/k
533,Xining,China,"713,000","894,000",n/k
541,Fuxin,China,"690,000","969,000",n/k
543,Jinzhou,China,"690,000","902,000",n/k
551,Zhangjiakou,China,"680,000","882,000",n/k
574,Kaifeng,China,"584,000","855,000",n/k
584,Hengyang,China,"561,000","799,000",n/k
n/r,Panzhihua,China,"478,000","771,000",n/k
n/r,Liuan,China,"320,000","1,600,000",Tang Linxiang
n/r,Dongying,China,"294,000","804,000",n/k
25,BOGOTA,Colombia,"7,320,000","8,361,000",Samuel Moreno Rojas
104,Cali,Colombia,"2,525,000","2,801,000",Jorge Ivan Ospina
128,Medellin,Colombia,"2,223,000","3,312,000",Alonso Salazar Jaramillo
294,Barranquilla,Colombia,"1,298,000","1,871,000",Alejandro Char Chaljub
452,Cartagena,Colombia,"893,000","1,240,000",Judith Pinedo
595,Bucaramanga,Colombia,"542,000","956,000",n/k
352,BRAZZAVILLE,Congo Br,"1,133,000","1,134,000",n/k
n/r,Pointe Noire,Congo Br,"527,000","789,000",n/k
18,KINSHASA,Congo D.R.,"8,200,000","10,100,000",Andrй Kimbuta Yango
347,Lubumbashi,Congo D.R.,"1,140,000","1,250,000",Moise Katumbi
444,Mbuji-Mayi,Congo D.R.,"905,000","1,054,000",n/k
497,Kolwezi,Congo D.R.,"803,000","803,000",n/k
n/r,Kisangani,Congo D.R.,"510,000","818,000",n/k
n/r,SAN JOSE,Costa Rica,"357,000","1,370,000",Johnny Araya
495,ZAGREB,Croatia,"804,000","1,288,000",Milan Bandic
116,HAVANA,Cuba,"2,430,000","3,700,000",Juan Contino Aslбn
315,PRAGUE,Czech Republic,"1,242,000","1,900,000",Zdenek Tuma
369,COPENHAGEN,Denmark,"1,096,000","1,096,000",Frank Jensen
80,SANTO DOMINGO,Dominican Republic,"2,989,000","3,813,000",Roberto Salcedo
284,Santiago de los Caballeros,Dominican Republic,"1,329,000","1,937.000",Gilberto Serulle
