Priscus Attalus,Puppet Emperor,409 - 410 & 414 - 415A.D.,
Johannes,Usurper,423 - 425 A.D.,
Theodosius II,Emperor,402 - 450 A.D.,
Valentinian III,Emperor,425 - 455 A.D.,
Marcian,Emperor,450 - 457 A.D.,
Petronius Maximus,Emperor,455 A.D,
Avitus,Emperor,456 - 457 A.D.,
Leo I,Emperor,457 - 474 A.D.,
Majorian,Emperor,457 - 461 A.D.,
Minor 5th Century Western Emperors,,461 - 480 A.D.,
Romulus Augustus,Emperor,475 - 476 A.D.,
Zeno,Emperor,474 - 491 A.D.,
Anastasius,Emperor,491 - 518 A.D.,
Justin I,Emperor,518 - 527 A.D.,
Justinian,Emperor,527 - 565 A.D.,
