World rank,City,Country,City population,Metro population,Mayor
8,SEOUL,South Korea,"11,153,000","24,472,000",Oh Se-hoon
537,Sevilla,Spain,"704,000","1,135,000",lfredo Sánchez Monteseirín
2,Shanghai,China,"14,900,000","19,200,000",Han Zheng
191,Shangqiu,China,"1,610,000","8,220,000",Tao Minglun
167,Shantou,China,"1,770,000","4,972,000",Cai Zong Ze
599,Sheffield,UK,"535,000","640,000",Paul Scriven
37,Shenyang,China,"5,090,000","7,760,000",Li Yingjie
50,Shenzhen,China,"4,320,000","8,616,000",Xy Qin
97,Shijiazhuang,China,"2,630,000","9,600,000",Ai Wenli
318,Shiraz,Iran,"1,228,000","1,300,000",Mehran E'temad
530,Shizuoka,Japan,"718,000","1,211,000",Zenkichi Kojima
455,Sholapur,India,"890,000","890,000",n/k
373,Shouguang,China,"1,090,000",,n/k
39,SINGAPORE,Singapore,"4,988,000",,Lee Hsien Loong
252,SOFIA,Bulgaria,"1,403,000","1,455,000",Yordanka Fandukova
351,Solapur,India,"1,134,000",,Aruna Vakase
445,Songzi,China,"905,000",,n/k
436,Soweto,South Africa,"923,000",,Amos Masondo (Johannesburg)
440,Srinagar,India,"915,000","1,050,000",Salman Sagar
43,St Petersburg,Russia,"4,661,000","4,900,000",Valentina Matviyenko
n/r,St. Louis,USA,"372,000","2,850,000",Francis G Slay
475,STOCKHOLM,Sweden,"826,000","1,252,000",Sten Nordin
n/r,Strasbourg,France,"273,000","639,000",Roland Rie
570,Stuttgart,Germany,"600,000","2,330,000",Wolfgang Schuster
412,Subra al-Haymah,Egypt,"998,000",,n/k
262,Suining,China,"1,385,000","3,500,000",n/k
181,Suizhou,China,"1,680,000",,Li Hongyun
77,Surabaya,Indonesia,"3,100,000","3,700,000",Bambang D H
600,Surakarta,Indonesia,"533,000","857,000",n/k
34,Surat,India,"5,390,000","6,347,000",Rajendra Desai
375,Suwon,South Korea,"1,087,000",,n/k
119,Suzhou,China,"2,383,000","6,298,000",Yan Li
161,Suzhou Anhui,China,"1,800,000","5,600,000",Tang Chengpei
48,Sydney,Australia,"4,400,000",,Clover Moore
248,Tabriz,Iran,"1,420,000",,Alireza Novin
186,Taian,China,"1,650,000","5,500,000",Li Hongfeng
384,Taichung,Taiwan,"1,065,000","2,700,000",Jason Hu
512,Tainan,Taiwan,"769,000","785,000",Hsu Tain-tsair
98,TAIPEI,Taiwan,"2,620,000","6,753,000",Hau Lung-pin
381,Taishan,China,"1,070,000",,n/k
274,Taixing,China,"1,355,000",,Gao Yazi
103,Taiyuan,China,"2,550,000","3,400,000",Zhang Bingsheng
210,Taizhou,China,"1,528,000","5,741,000",Wu Weirong
n/r,TALLINN,Estonia,"407,000",,Edgar Savisaar
n/r,Tampa,USA,"341,000","2,700,000",Pam Iorio
n/r,Tampico,Mexico,"319,000","775,000",n/k
203,Tangerang,Indonesia,"1,545,000",,Wahidin Halim
536,Tangier,Morocco,"710,000",,n/k
142,Tangshan,China,"1,980,000","7,100,000",Zhang Guodong
132,TASHKENT,Uzbekistan,"2,180,000","3,400,000",Abdukahar Tuhtayev
221,TBILISI,Georgia,"1,490,000","1,550,000",Giorgi Ugulava
n/r,Tegal,Indonesia,"238,000","784,000",n/k
326,Tegucigalpa,Honduras,"1,200,000","1,324,000",Ricardo Alvarez
16,TEHRAN,Iran,"8,430,000","13,450,000",Mohammad Bagher Ghalibaf
n/r,TEL AVIV,Israel,"383,000","3,250,000",Ron Huldai
170,Tengzhou,China,"1,750,000",,Du Yongguang
453,Teresina,Brazil,"893,000","949,000",Silvio Mendes
268,Thane,India,"1,375,000",,Ashjok Vaity
n/r,The Hague,Netherlands,"486,000","1,011,000",Van Aartsen
n/r,Thessaloniki,Greece,"407,000","798,000",Vasilis Papageorgopoulos
488,Thiruvananthapuram,India,"810,000","955,000",C Jayan Babu
24,Tianjin,China,"7,500,000","11,750,000",Huang Xingguo
165,Tianmen,China,"1,790,000",,n/k
188,Tianshui,China,"1,630,000","3,450,000",Li Wenqing
222,Tijuana,Mexico,"1,484,000","1,500,000",Carlos Bustamante
517,Tiruchchirappalli,India,"760,000","863,000",n/k
545,Tlalnepantla de Baz,Mexico,"685,000","800,000",Arturo Ugalde Meneses
15,TOKYO,Japan,"8,653,000","31,036,000",Shintaro Ishihara
505,Toluca,Mexico,"785,000","1,650,000",Maria Elena Barrera Tapia
257,Tongzhou,China,"1,400,000",,Ding Dawei
101,Toronto,Canada,"2,571,000","5,100,000",Rob Ford
410,Torreon,Mexico,"1,001,000",,Eduardo Olmos Castro
n/r,Toulouse,France,"438,000","851,000",Pierre Cohen
179,TRIPOLI,Libya,"1,683,000","2,270,000",Abdullatif Abdulrahman Aldaali
209,TSHWANE (PRETORIA),South Africa,"1,530,000","2,346,000",Gwen Ramokgopa
597,Tucson,USA,"542,000","720,000",Bob Walkup
n/r,Tucuman,Argentina,"528,000","830,000",Domingo Amaya
n/r,Tulsa,USA,"399,000","813,000","Dewey F. Bartlett, Jr"
327,TUNIS,Tunisia,"1,200,000","3,980,000",Abbès Mohsen
442,Turin,Italy,"910,000","1,617,000",Sergio Chiamparino
398,Ufa,Russia,"1,023,000","1,050,000",Pavel Kachkayev
338,Ujung Pandang,Indonesia,"1,170,000","1,254,000",n/k
364,ULAANBAATAR,Mongolia,"1,108,000",,n/k
356,Ulsan,South Korea,"1,127,000",,Bak Maeng-woo
162,Urumqi,China,"1,800,000","2,680,000",Jerla Isamudin
219,Vadodara,India,"1,500,000","3,642,000",Balakrishna Shukla
489,Valencia,Spain,"810,000","1,720,000",Rita Barberá Nolla
328,Valencia,Venezuela,"1,200,000","1,750,000",Edgardo Parra
n/r,Valparaiso,Chile,"301,000","904,000",Aldo Cornej
580,Vancouver,Canada,"580,000","2,120,000",Gregor Robertson
269,Varanasi,India,"1,375,000","3,150,000",Kaushalendra Singh
n/r,Vereeniging,South Africa,"385,000","774,000",n/k
180,VIENNA,Austria,"1,681,000","2,269,000",Michael Häupl
428,Vijayawada,India,"957,000","1,150,000",Ratna Bindu
593,VILNIUS,Lithuania,"545,000",,Vilius Navickas
421,Visakhapatnam,India,"970,000","1,330,000",B N Vishnu
n/r,Vitoria,Brazil,"313,000","1,628,000",João Carlos Coser
403,Volgograd,Russia,"1,012,000","1,292,000",Roman Grebennikov
468,Voronezh,Russia,"849,000","950,000",Sergey Koliukh
368,Wafangdian,China,"1,100,000",,n/k
176,WARSAW,Poland,"1,712,000","3,350,000",Hanna Gronkiewicz-Waltz
571,WASHINGTON DC,USA,"600,000","5,300,000",Vincent Gray
235,Weifang,China,"1,450,000","8,500,000",Xu Liquan
435,Weinan,China,"925,000",,n/k
n/r,Wiesbaden,Germany,"277,000",,Helmut Müller
46,Wuhan,China,"4,500,000","6,200,000",Ruan Chengfa
422,Wujiang,China,"970,000","1,500,000",n/k
n/r,Wuppertal,Germany,"353,000",,Peter Jung
171,Wuxi,China,"1,750,000","2,230,000",Mao Xiaoping
112,Xiamen,China,"2,490,000",,Liu Cigui
93,Xian,China,"2,670,000","4,480,000",Chen Baogen
533,Xining,China,"713,000","894,000",n/k
223,Xintai,China,"1,480,000",,Liu Daqun
230,Xinyang,China,"1,460,000",,Guo Ruimin
156,Xuzhou,China,"1,830,000","9,410,000",Cao Xinping
47,Yangon,Myanmar (Burma),"4,468,000","5.500,000",Aung Thein Lynn
163,Yantai,China,"1,800,000","6,500,000",Zhang Jiangting
242,YAOUNDÉ,Cameroon,"1,430,000","1,550,000",n/k
365,YEREVAN,Armenia,"1,108,000","1,246,000",Gagik Beglaryan
400,Yichun,China,"1,020,000","958,000",Gong Jianhua
293,Yiyang,China,"1,300,000","4,500,000",n/k
n/r,Yogyakarta,Indonesia,"417,000","840,000",n/k
59,Yokohama,Japan,"3,655,000",,Fumiko Hayashi
279,Yongcheng,China,"1,347,000",,n/k
317,Yuzhou,China,"1,230,000",,n/k
495,ZAGREB,Croatia,"804,000","1,288,000",Milan Bandic
345,Zapopan,Mexico,"1,155,000","1,200,000",Hector Vielma Ordoñez
508,Zaporizhzhya,Ukraine,"782,000",,Yevgeni Kartashov
450,Zaria,Nigeria,"898,000",,n/k
551,Zhangjiakou,China,"680,000","882,000",n/k
236,Zhanjiang,China,"1,450,000","6,900,000",Ruan Risheng
99,Zhengzhou,China,"2,600,000","4,510,000",Zhao Jiancai
111,Zhongshan,China,"2,495,000",,n/k
83,Zibo,China,"2,850,000","4,200,000",Liu Huiyan
n/r,Zurich,Switzerland,"333,000","965,000",Corine Mauch
