Code,Airport Name,City,State
SMF,Sacramento International Airport,Sacramento,CA
STL,Lambert-St. Louis International Airport,Saint Louis,MO
PIE,St. Petersburg-Clearwater International Airport,Saint Petersburg,FL
GSN,Saipan International Airport,Saipan Island,CQ
SLC,Salt Lake City International Airport,Salt Lake City,UT
SAT,San Antonio International Airport,San Antonio,TX
SAN,San Diego International Airport,San Diego,CA
SFO,San Francisco International Airport,San Francisco,CA
SJC,San Jose International Airport,San Jose,CA
SJU,Luis Munoz Marin International Airport,San Juan,PR
SFB,Orlando Sanford International Airport,Sanford,FL
SBA,Santa Barbara Airport,Santa Barbara,CA
SRQ,Sarasota-Bradenton International Airport,Sarasota,FL
SAV,Savannah/Hilton Head International Airport,Savannah,GA
SEA,Seattle/Tacoma International Airport,Seattle,WA
SBN,South Bend Regional Airport,South Bend,IN
BTV,Burlington International Airport,South Burlington,VT
GEG,Spokane International Airport,Spokane,WA
SYR,Syracuse Hancock International Airport,Syracuse,NY
TLH,Tallahassee Regional Airport,Tallahassee,FL
TPA,Tampa International Airport,Tampa,FL
TUS,Tucson International Airport,Tucson,AZ
TUL,Tulsa International Airport,Tulsa,OK
VPS,Fort Walton Beach Airport,Valparaiso,FL
DCA,Ronald Reagan Washington National Airport,Washington,DC
IAD,Washington Dulles International Airport,Washington,DC
PBI,Palm Beach International Airport,West Palm Beach,FL
HPN,Westchester County Airport,White Plains,NY
ICT,Wichita Mid-Continent Airport,Wichita,KS
BDL,Bradley International Airport,Windsor Locks,CT
