Common Name (Animals),Scientific Name,Category
Southern coal skink,Eumeces anthracinus pluvialis,Reptile
Southern leopard frog,Rana utricularia,Amphibian
Southern redback salamander,Plethodon serratus,Amphibian
Southern redbelly dace,Phoxinus erythrogaster,Fish
Speckled kingsnake,Lampropeltis getula holbrooki,Reptile
Spectaclecase,Cumberlandia monodonta,Mollusk
Spike,Elliptio dilatata,Mussel
Spotfin shiner,Cyprinella spiloptera,Fish
Spothanded crayfish,Orconectes punctimanus,Crustacean
Spotted bass,Micropterus punctulatus,Fish
Spotted salamander,Ambystoma maculatum,Amphibian
Spotted sandpiper,Actitis macularia,Bird
Squawfoot,Strophitus undulatus,Mussel
Stippled darter,Etheostoma punctulatum,Fish
Stonecat,Noturus flavus,Fish
Striped shiner,Luxilus chrysocephalus,Fish
Striped skunk,Mephitis mephitis,Mammal
Summer tanager,Piranga rubra,Bird
Swainson's thrush,Catharus ustulatus,Bird
Swainson's warbler,Limnothlypis swainsonii,Bird
Tennessee warbler,Vermivora peregrina,Bird
Threehorn wartyback,Obliquaria reflexa,Mussel
Threeridge,Amblema plicata,Mussel
Three-toed box turtle,Terrapene carolina triunguis,Reptile
Timber rattlesnake,Crotalus horridus,Reptile
Tree swallow,Tachycineta bicolor,Bird
Tufted titmouse,Parus bicolor,Bird
Tundra swan,Cygnus columbianus,Bird
Turkey vulture,Cathartes aura,Bird
Unknown minnow,Cyprinidae sp.,Fish
Veery,Catharus fuscescens,Bird
Virginia rail,Rallus limicola,Bird
Wabash pigtoe,Fusconaia flava,Mussel
Walleye,Stizostedion vitreum,Fish
Warbling vireo,Vireo gilvus,Bird
Wedgespot shiner,Notropis greenei,Fish
Western chorus frog,Pseudacris triseriata triseriata,Amphibian
Western cottonmouth,Agkistrodon piscivorus leucostoma,Reptile
Western earth snake,Virginia valeriae elegans,Reptile
Western painted turtle,Chrysemys picta bellii,Reptile
Western ribbon snake,Thamnophis proximus proximus,Reptile
Western slender glass lizard,Ophisaurus attenuatus attenuatus,Reptile
Western slimy salamander,Plethodon albagula,Amphibian
Western spiny softshell,Apalone spinifera hartwegi,Reptile
Western worm snake,Carphophis vermis,Reptile
Whip-poor-will,Caprimulgus vociferus,Bird
White crappie,Pomoxis annularis,Fish
White sucker,Catostomus commersoni,Fish
White-breasted nuthatch,Sitta carolinensis,Bird
White-crowned sparrow,Zonotrichia leucophrys,Bird
White-eyed vireo,Vireo griseus,Bird
White-footed mouse,Peromyscus leucopus,Mammal
White-tailed deer,Odocoileus virginianus,Mammal
White-throated sparrow,Zonotrichia albicollis,Bird
Wild turkey,Meleagris gallopavo,Bird
Willow flycatcher,Empidonax traillii,Bird
Wilson's phalarope,Phalaropus tricolor,Bird
Wilson's warbler,Wilsonia pusilla,Bird
Winter wren,Troglodytes troglodytes,Bird
Wood duck,Aix sponsa,Bird
Wood thrush,Hylocichla mustelina,Bird
Worm-eating warbler,Helmitheros vermivorus,Bird
Yellow bullhead,Ameiurus natalis,Fish
Yellow sandshell,Lampsilis teres,Mussel
Yellow warbler,Dendroica petechia,Bird
Yellow-bellied sapsucker,Sphyrapicus varius,Bird
Yellow-billed cuckoo,Coccyzus americanus,Bird
Yellow-breasted chat,Icteria virens,Bird
Yellow-crowned night-heron,Nyctanessa violaceus,Bird
Yellow-rumped warbler,Dendroica coronata,Bird
Yellow-throated vireo,Vireo flavifrons,Bird
Yellow-throated warbler,Dendroica dominica,Bird
