Title,Publisher,North America,Europe,Japan,Cost,Size
Banjo-Kazooie: Nuts & Bolts,Microsoft Game Studios,"2010-01-05January 5, 2010","2010-01-05January 5, 2010","2010-08-03August 3, 2010",$19.99US,6 GB
Batman: Arkham Asylum,Eidos Interactive,"2010-08-03August 3, 2010","2010-08-03August 3, 2010",,$29.99US,6.67 GB
Battle Fantasia,Aksys Games (NA) Arc System Works (JP),"2010-10-05October 5, 2010",,"2010-05-11May 11, 2010",$19.99US,1.2 GB
Battlefield: Bad Company,Electronic Arts,"2009-08-11August 11, 2009","2009-08-11August 11, 2009","2009-08-11August 11, 2009",$19.99US,4.92 GB
Battlefield: Bad Company 2,Electronic Arts,"2010-12-14December 14, 2010","2010-12-14December 14, 2010","2012-01-17January 17, 2012",$19.99US,4.88 GB
Battlefield 2: Modern Combat,Electronic Arts,"2009-11-03November 3, 2009","2010-05-25May 25, 2010","2009-11-03November 3, 2009",$19.99US,6 GB
Battlestations: Midway,Eidos Interactive,"2010-05-25May 25, 2010","2010-05-25May 25, 2010",,$19.99US,4.76 GB
Battlestations: Pacific,Eidos Interactive,"2010-05-11May 11, 2010","2010-05-11May 11, 2010",,$29.99US,4.91 GB
Bayonetta,Sega,"2011-02-22February 22, 2011","2011-02-22February 22, 2011","2011-09-06September 6, 2011",$19.99US,6.81 GB
Beautiful Katamari,Namco Bandai Games,"2010-02-16February 16, 2010","2010-02-16February 16, 2010","2009-12-01December 1, 2009",$19.99US,3 GB
Bee Movie Game,Beenox,"2010-06-22June 22, 2010","2010-06-22June 22, 2010",,$19.99US,3 GB
"Biggest Loser: Ultimate Workout, TheThe Biggest Loser: Ultimate Workout",THQ,"2011-05-31May 31, 2011","2011-05-31May 31, 2011",,$29.99US,1.59 GB
"Bigs 2, TheThe Bigs 2",2K Sports,"2010-10-26October 26, 2010",,,$29.99US,6.45 GB
Bionic Commando,Capcom,"2011-06-28June 28, 2011","2011-06-28June 28, 2011",,$19.99US,6.54 GB
BioShock,2K Games,"2009-08-06August 6, 2009","2009-08-06August 6, 2009",,$19.99US,4.66 GB
BioShock 2,2K Games,"2010-11-30November 30, 2010","2010-11-30November 30, 2010",,$19.99US,6.41 GB
Bladestorm: The Hundred Years' War,Koei,"2011-02-22February 22, 2011","2011-06-07June 7, 2011","2010-06-22June 22, 2010",$34.99US,5.08 GB
Blazing Angels: Squadrons of WWII,Ubisoft,"2010-12-14December 14, 2010","2010-12-14December 14, 2010",,$19.99US,2.6 GB
Blazing Angels 2: Secret Missions of WWII,Ubisoft,"2010-10-05October 5, 2010","2010-10-05October 5, 2010","2010-04-13April 13, 2010",$19.99US,6 GB
BlazBlue: Calamity Trigger,Arc System Works,"2011-04-26April 26, 2011","2011-04-26April 26, 2011","2010-10-05October 5, 2010",$19.99US,3.02 GB
BlazBlue: Continuum Shift,Arc System Works,"2011-06-28June 28, 2011","2011-06-28June 28, 2011",,$29.99US,6.06 GB
Blood Drive,Activision,"2011-10-25October 25, 2011","2011-10-25October 25, 2011",,$49.99US,1.69 GB
Blur,Activision,"2011-09-27September 27, 2011","2011-09-27September 27, 2011",,$39.99US,5.35 GB
Bomberman: Act Zero,Hudson Soft,"2011-11-15November 15, 2011",,"2009-11-10November 10, 2009",$19.99US,388.86 MB
Borderlands,2K Games,"2010-10-19October 19, 2010","2010-10-19October 19, 2010",,$19.99US,3.30 GB
Brave: A Warrior's Tale,Evolved Games,"2010-01-19January 19, 2010",,,$29.99US,2.08 GB
Brothers in Arms: Hell's Highway,Ubisoft,"2010-05-04May 4, 2010","2010-05-04May 4, 2010",,$29.99US,5.03 GB
Bullet Soul,5pb.,,,"2011-12-13December 13, 2011","?3,990JP",1.25 GB
Bulletstorm,Electronic Arts,"2011-09-13September 13, 2011","2011-09-13September 13, 2011",,$29.99US,4.85 GB
Bullet Witch,AQ Interactive,,,"2009-08-11August 11, 2009","?2,600JP",4.81 GB
Bully: Scholarship Edition,Rockstar Games,"2010-09-01September 1, 2010","2010-09-01September 1, 2010",,$19.99US,2.96 GB
Burnout Paradise,Electronic Arts,"2009-08-11August 11, 2009","2009-08-11August 11, 2009",,$19.99US,2.81 GB
Burnout Revenge,Electronic Arts,"2009-08-25August 25, 2009","2009-08-25August 25, 2009","2009-08-25August 25, 2009",$19.99US,3.60 GB
Cabela's African Safari,Activision Value,"2010-09-01September 1, 2010",,,$19.99US,3.12 GB
Cabela's Alaskan Adventures,Activision Value,"2010-10-26October 26, 2010","2010-10-19October 19, 2010",,$19.99US,2.80 GB
Cabela's Big Game Hunter,Activision Value,"2010-11-16November 16, 2010",,,$19.99US,3.1 GB
Cabela's Dangerous Hunts 2009,Activision,"2011-01-04January 4, 2011",,,$29.99US,3.22 GB
Cabela's Dangerous Hunts 2011,Activision,"2011-09-13September 13, 2011","2011-09-13September 13, 2011",,$39.99US,5.25 GB
Cabela's Outdoor Adventures,Activision,"2012-01-31January 31, 2012",,,$39.99US,3.23 GB
Cabela's Trophy Bucks,Activision Value,"2011-02-01February 1, 2011",,,$39.99US,2.83 GB
Call of Duty 2,Activision,"2009-08-06August 6, 2009","2009-08-06August 6, 2009",,$19.99US,5.27 GB
Call of Duty 3,Activision,"2009-10-08October 8, 2009","2009-10-12October 12, 2009",,$19.99US,5.80 GB
Call of Duty 4: Modern Warfare,Activision,"2010-05-25May 25, 2010","2010-09-21September 21, 2010",,$19.99US,6.50 GB
Call of Duty: Modern Warfare 2,Activision,"2011-02-15February 15, 2011","2011-02-15February 15, 2011",,$39.99US,6.79 GB
Call of Duty: World at War,Activision,"2010-09-21September 21, 2010","2010-09-21September 21, 2010",,$19.99US,6.37 GB
Call of Duty: Black Ops,Activision,"2011-05-03May 3, 2011","2011-05-03May 3, 2011",,$59.99US,6.82 GB
Call of Juarez,Ubisoft,"2011-03-22March 22, 2011","2011-03-22March 22, 2011",,$19.99US,5.87 GB
Call of Juarez: Bound in Blood,Ubisoft,"2010-10-12October 12, 2010","2010-10-12October 12, 2010",,$19.99US,4 GB
Cars,THQ,,"2011-07-19July 19, 2011",,?14.99UK,5.48 GB
Chaos;Head Noah,5pb.,,,"2010-11-16November 16, 2010","?2,600JP",4.46 GB
Child of Eden,Ubisoft,"2011-12-27December 27, 2011","2011-12-27December 27, 2011",,$39.99US,2.3 GB
"Chronicles of Narnia: Prince Caspian, TheThe Chronicles of Narnia: Prince Caspian",Disney Interactive Studios,"2010-12-21December 21, 2010",,,$29.99US,6.50 GB
"Chronicles of Riddick, TheThe Chronicles of Riddick: Assault on Dark Athena",Atari,"2011-01-25January 25, 2011",,,$19.99US,6.74 GB
Civilization Revolution,2K Games,"2009-09-08September 8, 2009","2009-09-08September 8, 2009",,$29.99US,4.95 GB
Clannad,Prototype,,,"2010-04-06April 6, 2010","?3,990JP",6.83 GB
Cloudy with a Chance of Meatballs,Ubisoft,"2011-03-22March 22, 2011","2011-03-22March 22, 2011",,$19.99US,3.61 GB
Command & Conquer 3: Tiberium Wars,Electronic Arts,"2010-06-29June 29, 2010","2009-09-22September 22, 2009",,$19.99US,5 GB
Conan,THQ,"2010-07-13July 13, 2010","2010-07-13July 13, 2010",,$19.99US,5 GB
Condemned: Criminal Origins,Sega,"2010-03-09March 9, 2010","2010-03-09March 9, 2010",,$19.99US,3 GB
Crackdown,Microsoft Game Studios,"2009-12-01December 1, 2009","2009-12-01December 1, 2009","2010-07-06July 6, 2010",$19.99US,6.15 GB
Crackdown 2,Microsoft Game Studios,"2011-01-04January 4, 2011","2011-01-04January 4, 2011",,$29.99US,3.39 GB
Crash: Mind over Mutant,Vivendi Universal Games,"2011-03-08March 8, 2011","2011-03-08March 8, 2011",,$39.99US,6.00 GB
Crash of the Titans,Vivendi Universal Games,"2009-11-10November 10, 2009","2009-11-10November 10, 2009",,$19.99US,3.03 GB
Crash Time 4 - The Syndicate,dtp entertainment,,"2012-01-24January 24, 2012",,?17.99UK,1.25 GB
Cross Edge Dash,Compile Heart,,,"2010-11-30November 30, 2010","?3,600JP",6.47 GB
Crysis,Electronic Arts,"2011-10-04October 4, 2011","2011-10-04October 4, 2011","2011-10-04October 4, 2011",$19.99US,4.09 GB
Crysis 2,Electronic Arts,"2011-09-27September 27, 2011","2011-09-27September 27, 2011","2011-09-27September 27, 2011",$39.99US,5.49 GB
CSI: Deadly Intent,Ubisoft,"2011-03-29March 29, 2011","2011-03-29March 29, 2011",,$39.99US,3.56 GB
CSI: Fatal Conspiracy,Ubisoft,"2011-08-16August 16, 2011","2011-08-16August 16, 2011",,$29.99US,3.88 GB
CSI: Hard Evidence,Ubisoft,"2010-10-05October 5, 2010","2010-10-05October 5, 2010",,$19.99US,3.16 GB
Dance Dance Revolution Universe (DDR Universe),Konami,"2009-08-11August 11, 2009",,,$29.99US,3.01 GB
Dance Dance Revolution Universe 2 (DDR Universe 2),Konami,"2009-11-10November 10, 2009",,,$29.99US,3.21 GB
Dance Dance Revolution Universe 3 (DDR Universe 3),Konami,"2010-02-02February 2, 2010",,,$29.99US,3.58 GB
Dante's Inferno,Electronic Arts,"2011-01-18January 18, 2011","2011-01-18January 18, 2011","2012-01-17January 17, 2012",$19.99US,5.53 GB
Darkest of Days,Valcon Games,"2011-10-04October 4, 2011",,,$19.99US,2.55 GB
Dark Messiah of Might and Magic: Elements,Ubisoft,"2010-11-12November 12, 2010",,,$29.99US,6.09 GB
"Darkness, TheThe Darkness",2K Games,"2011-06-07June 7, 2011","2011-06-07June 7, 2011",,$19.99US,6.78 GB
Darksiders,THQ,"2011-02-08February 8, 2011","2011-02-08February 8, 2011",,$19.99US,6.42 GB
DarkStar One,Kalypso Media,"2011-09-13September 13, 2011","2011-09-13September 13, 2011",,$19.99US,5.25 GB
Dark Void,Capcom,"2011-02-01February 1, 2011","2011-02-01February 1, 2011",,$19.99US,5.22 GB
Deadly Premonition,Rising Star Games,,"2011-07-05July 5, 2011",,?14.99UK,5.38 GB
Dead Rising,Capcom,"2010-01-26January 26, 2010","2010-01-26January 26, 2010","2010-09-07September 7, 2010",$19.99US,5.94 GB
Dead Rising 2,Capcom,"2011-04-26April 26, 2011","2011-04-26April 26, 2011",,$29.99US,6.14 GB
Dead Space,Electronic Arts,"2009-10-27October 27, 2009","2009-10-27October 27, 2009",,$19.99US,6 GB
DeathSmiles,Rising Star Games,,"2011-11-01November 1, 2011",,?14.99UK,1.37 GB
DeathSmiles II X,Cave,"2011-05-17May 17, 2011",,,$29.99US,1.19 GB
de Blob 2,THQ,"2011-08-23August 23, 2011","2011-08-23August 23, 2011",,$19.99US,5.94 GB
Deca Sports Freedom,Hudson Soft,"2011-08-30August 30, 2011",,,$39.99US,1.93 GB
Destroy All Humans! Path of the Furon,THQ,"2011-06-21June 21, 2011","2011-06-21June 21, 2011",,$39.99US,5.65 GB
Devil May Cry 4,Capcom,"2009-12-22December 22, 2009","2010-04-13April 13, 2010",,$19.99US,6 GB
Diario: Rebirth Moon Legend,Idea Factory,,,"2009-12-08December 8, 2009","?2,940JP",2 GB
DiRT 1DiRT,Codemasters,"2009-10-27October 27, 2009","2009-10-27October 27, 2009",,$29.99US,6.10 GB
DiRT 2DiRT 2,Codemasters,"2011-05-10May 10, 2011","2011-05-10May 10, 2011","2011-03-08March 8, 2011",$29.99US,6.43 GB
DiRT 3,Codemasters,,"2011-12-13December 13, 2011",,?29.99UK,6.03 GB
Disney Bolt,Disney Interactive Studios,"2009-12-08December 8, 2009","2009-12-08December 8, 2009",,$19.99US,5.31 GB
Disney Sing It! ? High School Musical 3: Senior Year,Disney Interactive Studios,"2010-08-10August 10, 2010","2010-08-10August 10, 2010",,$29.99US,6.59 GB
Divinity II - TDKS,Atlus U.S.A. (NA) Focus Home Interactive (EU),"2011-10-18October 18, 2011","2011-07-19July 19, 2011",,$29.99US ?19.99UK,6.57 GB
Dragon Age: Origins,Electronic Arts,"2010-11-02November 2, 2010","2010-11-02November 2, 2010",,$19.99US,6.44 GB
Dragon Age II,Electronic Arts,"2011-12-06December 6, 2011","2011-12-06December 6, 2011",,$29.99US,6.81 GB
Dream Club,D3 Publisher,,,"2010-12-07December 7, 2010","?2,600JP",4.52 GB
Duke Nukem Forever,2K Games,"2012-01-24January 24, 2012","2012-01-24January 24, 2012",,$19.99US,5.75 GB
Dynasty Warriors 6,Koei,"2011-11-15November 15, 2011","2011-11-15November 15, 2011","2011-07-19July 19, 2011",$29.99US,6.74 GB
Dynasty Warriors 6: Empires,Koei,"2011-12-13December 13, 2011","2011-12-13December 13, 2011","2011-08-23August 23, 2011",$29.99US,5.62 GB
Earth Defense Force 2017,D3 Publisher,"2010-12-07December 7, 2010","2010-12-07December 7, 2010","2009-09-08September 8, 2009",$19.99US,1.6 GB
"Elder Scrolls IV: Oblivion, TheThe Elder Scrolls IV: Oblivion",Bethesda Softworks,"2009-08-11August 11, 2009","2009-08-11August 11, 2009","2009-08-06August 6, 2009",$29.99US,5.87 GB
Enslaved: Odyssey to the West,Namco Bandai Games,"2011-11-01November 1, 2011","2011-11-01November 1, 2011","2011-12-20December 20, 2011",$19.99US,4.91 GB
Eternal Sonata,Namco Bandai Games,"2011-05-24May 24, 2011","2011-05-24May 24, 2011","2009-09-29September 29, 2009",$19.99US,6.72 GB
Fable II,Microsoft Game Studios,"2010-04-06April 6, 2010","2010-04-06April 6, 2010",,$19.99US,6.59 GB
Fable III,Microsoft Game Studios,"2011-05-17May 17, 2011","2011-05-17May 17, 2011",,$29.99US,5.61 GB
FaceBreaker,EA Sports,"2010-07-20July 20, 2010","2010-07-20July 20, 2010",,$19.99US,3 GB
Fallout 3,Bethesda Softworks,"2010-03-02March 2, 2010","2010-04-06April 6, 2010","2010-11-08November 8, 2010",$29.99US,5.48 GB
Fallout: New Vegas,Bethesda Softworks,"2011-04-19April 19, 2011","2011-04-19April 19, 2011",,$39.99US,4.75 GB
Far Cry 2,Ubisoft,"2010-04-27April 27, 2010","2009-11-03November 3, 2009",,$29.99US,3.61 GB
FC Instincts Predator,Ubisoft,"2011-03-01March 1, 2011","2011-03-01March 1, 2011",,$19.99US,4.51 GB
F.E.A.R. 2: Project Origin,Warner Bros I.E,"2010-10-19October 19, 2010","2010-10-19October 19, 2010",,$19.99US,4.2 GB
FIFA Street 3,EA Sports BIG,"2009-09-15September 15, 2009","2009-09-15September 15, 2009","2009-09-15September 15, 2009",$19.99US,2.2 GB
Fighters Uncaged,Ubisoft,"2011-05-31May 31, 2011","2011-05-31May 31, 2011",,$39.99US,2.62 GB
Fight Night Round 3,EA Sports,"2009-08-11August 11, 2009","2009-08-11August 11, 2009","2009-08-11August 11, 2009",$19.99US,3.19 GB
Fight Night Round 4,EA Sports,"2010-07-06July 6, 2010","2010-07-06July 6, 2010",,$19.99US,4.19 GB
Fight Night Champion,EA Sports,"2011-11-08November 8, 2011","2011-11-08November 8, 2011","2012-01-24January 24, 2012",$29.99US,5.37 GB
"First Templar, TheThe First Templar",Kalypso Media,"2012-01-31January 31, 2012","2012-01-31January 31, 2012",,$29.99US,3.43 GB
Frontlines: Fuel of War,THQ,"2011-09-27September 27, 2011",,,$19.99US,6.29 GB
Fuel,Codemasters,"2011-07-12July 12, 2011","2011-07-12July 12, 2011","2010-10-05October 5, 2010",$24.99US,3.74 GB
Full Auto,Sega,"2011-05-17May 17, 2011","2011-05-17May 17, 2011",,$19.99US,3.27 GB
Gears of War,Microsoft Game Studios,"2009-12-29December 29, 2009","2009-12-29December 29, 2009","2010-09-07September 7, 2010",$19.99US,6.27 GB
Gears of War 2,Microsoft Game Studios,"2010-10-12October 12, 2010","2010-10-12October 12, 2010",,$19.99US,6.29 GB
Ghostbusters: The Video Game,Atari,"2010-12-28December 28, 2010","2010-12-28December 28, 2010",,$19.99US,6.2 GB
G.I. Joe,Electronic Arts,"2011-07-12July 12, 2011","2011-07-12July 12, 2011",,$19.99US,5.44 GB
Grand Theft Auto IV,Rockstar Games,"2009-10-13October 13, 2009","2009-10-13October 13, 2009",,$29.99US,6.51 GB
Gray Matter,dtp entertainment,,"2012-01-24January 24, 2012",,?14.99UK,4.94 GB
GRID,Codemasters,"2009-11-17November 17, 2009","2009-11-17November 17, 2009","2010-06-15June 15, 2010",$29.99US,6.37 GB
Guilty Gear 2: Overture,Aksys Games (NA) Arc System Works (JP),"2010-08-17August 17, 2010",,"2010-03-10March 9, 2010",$19.99US,4 GB
Gun,Activision,"2011-02-01February 1, 2011","2011-02-01February 1, 2011",,$19.99US,2.13 GB
Halo 3,Microsoft Game Studios,"2010-04-20April 20, 2010","2010-04-20April 20, 2010","2010-04-20April 20, 2010",$29.99US,5.72 GB
Halo: Reach,Microsoft Game Studios,"2011-03-15March 15, 2011","2011-03-15March 15, 2011",,$39.99US,6.57 GB
Halo Wars,Microsoft Game Studios,"2010-01-26January 26, 2010","2010-02-09February 9, 2010","2009-09-03September 3, 2009",$29.99US,5.66 GB
Hasbro Family Game Night 3,Electronic Arts,"2011-06-14June 14, 2011","2011-06-14June 14, 2011",,$29.99US,1.36 GB
Hellboy: The Science of Evil,Konami,"2012-01-17January 17, 2012",,,$19.99US,4.61 GB
Heroes Over Europe,Ubisoft,"2011-03-15March 15, 2011","2011-03-15March 15, 2011",,$29.99US,4.5 GB
Hitman: Blood Money,Eidos Interactive,"2010-03-30March 30, 2010","2010-03-30March 30, 2010",,$29.99US,4.94 GB
Homefront,THQ,"2011-09-13September 13, 2011","2011-09-13September 13, 2011",,$29.99US,5.63 GB
"Idolmaster, TheThe Idolmaster",Namco Bandai Games,,,"2009-08-11August 11, 2009","?2,600JP",4.69 GB
"Idolmaster: Live For You!, TheThe Idolmaster: Live For You!",Namco Bandai Games,,,"2009-08-11August 11, 2009","?2,600JP",4.81 GB
IL-2 Sturmovik: Birds of Prey,505 Games,"2011-11-22November 22, 2011","2011-11-22November 22, 2011",,$19.99US,3.5 GB
James Bond 007: Blood Stone,Activision,"2011-11-29November 29, 2011","2011-11-29November 29, 2011",,$49.99US,6.62 GB
James Cameron's Avatar: The Game,Ubisoft,"2010-11-23November 23, 2010",,,$19.99US,3.05 GB
Juiced 2: Hot Import Nights,THQ,"2010-08-10August 10, 2010","2010-08-10August 10, 2010",,$19.99US,5 GB
Just Cause 2,Square Enix,"2010-12-28December 28, 2010","2010-12-28December 28, 2010",,$29.99US,4.06 GB
Kameo: Elements of Power,Microsoft Game Studios,"2009-08-11August 11, 2009","2010-03-02March 2, 2010","2010-03-16March 16, 2010",$19.99US,5 GB
Kane & Lynch: Dead Men,Eidos Interactive,"2010-01-13January 13, 2010","2010-01-13January 13, 2010",,$19.99US,5.49 GB
Kane & Lynch 2: Dog Days,Eidos Interactive,"2011-03-08March 8, 2011","2011-03-08March 8, 2011",,$39.99US,5.91 GB
Karaoke Revolution,Konami,"2011-11-22November 22, 2011",,,$19.99US,4.26 GB
Kung Fu Panda,Activision,"2010-04-06April 6, 2010","2010-04-06April 6, 2010",,$29.99US,3.62 GB
Kung Fu Panda 2,THQ,"2011-11-29November 29, 2011","2011-11-29November 29, 2011",,$39.99US,3.24 GB
L.A. Noire,Rockstar Games,"2011-12-20December 20, 2011","2011-12-20December 20, 2011",,$39.99US,6.67 GB
Legendary,Gamecock Media Group,"2011-06-28June 28, 2011",,,$24.99US,6.44 GB
"Legend of Spyro: Dawn of the Dragon, TheThe Legend of Spyro: Dawn of the Dragon",Sierra Entertainment Activision,"2011-03-01March 1, 2011","2011-03-01March 1, 2011",,$19.99US,6.74 GB
Lego Batman: The Videogame,Warner Bros I.E,"2010-06-10June 15, 2010",,,$19.99US,5.96 GB
Lego Indiana Jones: The Original Adventures,LucasArts,"2009-11-24November 24, 2009","2009-11-24November 24, 2009",,$19.99US,3.53 GB
Lego Star Wars: The Complete Saga,LucasArts,"2009-08-06August 6, 2009","2009-08-06August 6, 2009",,$29.99US,5.71 GB
Lego Star Wars III: The Clone Wars,LucasArts,"2012-01-17January 17, 2012","2012-01-17January 17, 2012",,$19.99US,6.03 GB
Little League World Series 2010,Activision,"2011-10-18October 18, 2011",,,$39.99US,879.71 MB
"Lord of the Rings: Conquest, TheThe Lord of the Rings: Conquest",Electronic Arts,"2010-07-27July 27, 2010","2010-07-27July 27, 2010",,$19.99US,5 GB
Lost Planet: Extreme Condition: Colonies Edition,Capcom,"2009-12-22December 22, 2009","2009-12-22December 22, 2009","2011-02-22February 22, 2011",$19.99US,6.62 GB
Lost Planet 2,Capcom,"2011-04-19April 19, 2011","2011-04-19April 19, 2011",,$19.99US,6.67 GB
Lost: Via Domus,Ubisoft,"2010-11-02November 2, 2010","2010-11-02November 2, 2010",,$19.99US,4 GB
Mafia II,2K Games,"2011-04-19April 19, 2011","2011-04-19April 19, 2011",,$29.99US,6.41 GB
Mamoru-kun wa Norowarete Shimatta,G.rev,,,"2010-06-29June 29, 2010","?2,940JP",1.39 GB
Marvel vs. Capcom 3: Fate of Two Worlds,Capcom,"2011-11-01November 1, 2011","2011-11-01November 1, 2011",,$29.99US,2.81 GB
Mass Effect,Microsoft Game Studios,"2009-08-06August 6, 2009","2009-08-06August 6, 2009","2010-11-08November 8, 2010",$19.99US,6.83 GB
Medal of Honor: Airborne,Electronic Arts,"2010-06-01June 1, 2010","2010-02-02February 2, 2010","2010-04-27April 27, 2010",$19.99US,5 GB
Meet the Robinsons,Disney Interactive Studios,"2009-08-11August 11, 2009","2009-08-11August 11, 2009",,$29.99US,5.72 GB
MegaMind: Ultimate Showdown,THQ,"2011-08-16August 16, 2011","2011-08-16August 16, 2011",,$29.99US,2.30 GB
Memories Off 6: Next Relation,5pb.,,,"2011-03-22March 22, 2011","?2,940JP",3.33 GB
Memories Off 6: T-wave,5pb.,,,"2010-07-13July 13, 2010","?2,940JP",4.1 GB
Mercenaries 2: World in Flames,Electronic Arts,"2010-06-15June 15, 2010","2010-06-15June 15, 2010",,$19.99US,6 GB
Metro 2033,THQ,"2011-03-01March 1, 2011","2011-03-01March 1, 2011",,$29.99US,4.99 GB
Michael Jackson: The Experience,Ubisoft,"2011-12-20December 20, 2011","2011-12-20December 20, 2011",,$39.99US,4.97 GB
Midnight Club: Los Angeles,Rockstar Games,"2009-10-21October 21, 2009","2009-10-21October 21, 2009",,$19.99US,6.15 GB
Mini Ninjas,Eidos Interactive,"2011-02-08February 8, 2011","2011-02-08February 8, 2011",,$19.99US,5.57 GB
Mirror's Edge,Electronic Arts,"2010-06-22June 22, 2010","2010-06-22June 22, 2010","2011-01-11January 11, 2011",$19.99US,5 GB
MLB 2K9,2K Sports,"2011-04-05April 5, 2011",,,$29.99US,6.64 GB
MLB 2K11,2K Sports,"2011-09-20September 20, 2011","2011-09-20September 20, 2011","2011-09-20September 20, 2011",$39.99US,6.21 GB
Monopoly,Electronic Arts,"2009-11-10November 10, 2009",,,$29.99US,1.83 GB
Monopoly Streets,Electronic Arts,"2011-06-14June 14, 2011","2011-06-14June 14, 2011",,$29.99US,1.22 GB
Monster Jam: Path of Destruction,Activision,"2011-11-08November 8, 2011","2011-11-08November 8, 2011",,$39.99US,3.34 GB
Monster Madness,SouthPeak Interactive,"2011-05-03May 3, 2011",,,$39.99US,3.40 GB
Mortal Kombat,Warner Bros I.E,"2011-11-22November 22, 2011","2011-11-22November 22, 2011",,$59.99US,6.78 GB
Mortal Kombat vs. DC Universe,Midway Games,"2010-09-15September 15, 2010","2010-09-15September 15, 2010",,$19.99US,6.01 GB
MotionSports,Ubisoft,"2011-05-31May 31, 2011","2011-05-31May 31, 2011",,$29.99US,2.43 GB
MotoGP '08,Capcom,"2010-08-17August 17, 2010","2010-08-17August 17, 2010",,$19.99US,3 GB
MX vs. ATV Alive,THQ,"2011-11-29November 29, 2011","2011-11-29November 29, 2011",,$19.99US,2.71 GB
MX vs. ATV Reflex,THQ,"2011-01-04January 4, 2011","2011-01-04January 4, 2011",,$19.99US,5.7 GB
MX vs. ATV: Untamed,THQ,"2009-08-11August 11, 2009","2009-08-11August 11, 2009",,$19.99US,3 GB
MySims SkyHeroes,Electronic Arts,"2011-08-23August 23, 2011","2011-08-23August 23, 2011",,$29.99US,1.22 GB
Naughty Bear,505 Games,"2012-01-03January 3, 2012","2012-01-03January 3, 2012",,$19.99US,756.51 MB
Naval Assault,505 Games,"2012-01-10January 10, 2012","2012-01-10January 10, 2012",,$19.99US,933.15 MB
NBA 2K9,2K Sports,"2010-11-16November 16, 2010","2010-11-16November 16, 2010",,$19.99US,6.70 GB
NBA 2K10,2K Sports,"2010-11-16November 16, 2010","2010-11-16November 16, 2010",,$29.99US,6.14 GB
NBA Street Homecourt,EA Sports BIG,"2010-07-13July 13, 2010","2010-07-13July 13, 2010",,$19.99US,4 GB
NCAA Football 12,EA Sports,"2012-01-10January 10, 2012",,,$59.99US,6.11 GB
Need for Speed: Carbon,Electronic Arts,"2009-08-06August 6, 2009","2009-08-06August 6, 2009",,$19.99US,5.38 GB
Need for Speed: Hot Pursuit,Electronic Arts,"2011-07-26July 26, 2011","2011-07-26July 26, 2011","2012-01-31January 31, 2012",$29.99US,4.32 GB
