Title,Author,Source
Earth's Children (series),Jean M. Auel,ALA
The Exorcist,William Peter Blatty,ALA
The Face on the Milk Carton,Caroline B. Cooney,ALA
Fade,Robert Cormier,ALA
Fallen Angels,Walter Dean Myers,ALA
Family Secrets,Norma Klein,ALA
A Farewell to Arms,Ernest Hemingway,Rad
Final Exit,Derek Humphry,ALA
Flowers for Algernon,Daniel Keyes,ALA
For Whom the Bell Tolls,Ernest Hemingway,Rad
Forever,Judy Blume,ALA
Girls and Sex,Wardell Pomeroy,ALA
The Giver,Lois Lowry,ALA [014]
Go Ask Alice,Anonymous,ALA
Go Tell It on the Mountain,James Baldwin,Rad
The Goats,Brock Cole,ALA
Gone with the Wind,Margaret Mitchell,Rad
Goosebumps (series),R. L. Stine,ALA
The Grapes of Wrath,John Steinbeck,Rad
The Great Gatsby,F. Scott Fitzgerald,Rad
The Great Gilly Hopkins,Katherine Paterson,ALA
Guess What?,Mem Fox,ALA
Halloween ABC,Eve Merriam,ALA
The Handmaid's Tale,Margaret Atwood,ALA
Harry Potter (series),J. K. Rowling,ALA
Heart of Darkness,Joseph Conrad,Rad
Heather Has Two Mommies,Lesl?a Newman,ALA
The House of the Spirits,Isabel Allende,ALA
How to Eat Fried Worms,Thomas Rockwell,ALA
I Know Why the Caged Bird Sings,Maya Angelou,ALA
In Cold Blood,Truman Capote,Rad
In the Night Kitchen,Maurice Sendak,ALA
Invisible Man,Ralph Ellison,Rad
It's Perfectly Normal,Robie Harris,ALA
It's So Amazing,Robie Harris,ALA
Jack,A. M. Homes,ALA
James and the Giant Peach,Roald Dahl,ALA
Jay's Journal,Anonymous,ALA
Julie of the Wolves,Jean Craighead George,ALA
Jump Ship to Freedom,James Lincoln Collier and Christopher Collier,ALA
Jumper,Steven Gould,ALA
The Jungle,Upton Sinclair,Rad
Kaffir Boy,Mark Mathabane,ALA
Killing Mr. Griffin,Lois Duncan,ALA
Lady Chatterley's Lover,D. H. Lawrence,Rad
A Light in the Attic,Shel Silverstein,ALA
Little Black Sambo,Helen Bannerman,ALA
Lolita,Vladimir Nabokov,Rad
Lord of the Flies,William Golding,ALA/ Rad
Mommy Laid An Egg,Babette Cole,ALA
My Brother Sam Is Dead,James Lincoln Collier and Christopher Collier,ALA
The Naked and the Dead,Norman Mailer,Rad
Naked Lunch,William S. Burroughs,Rad
Native Son,Richard Wright,ALA /Rad
The New Joy of Gay Sex,Charles Silverstein and Felice Picano,ALA
Nineteen Eighty-four (1984),George Orwell,Rad
Of Mice and Men,John Steinbeck,ALA /Rad
On My Honor,Marion Dane Bauer,ALA
One Flew Over the Cuckoo's Nest,Ken Kesey,Rad
Ordinary People,Judith Guest,ALA
The Outsiders,S. E. Hinton,ALA
The Perks of Being a Wallflower,Stephen Chbosky,ALA
The Pillars of the Earth,Ken Follett,ALA
The Pigman,Paul Zindel,ALA
Private Parts,Howard Stern,ALA
"Rabbit, Run",John Updike,Rad
The Rabbit's Wedding,Garth Williams,ALA
Rainbow Boys,Alex Sanchez,ALA
Running Loose,Chris Crutcher,ALA
The Satanic Verses,Salman Rushdie,Rad
Scary Stories (series),Alvin Schwartz,ALA
A Separate Peace,John Knowles,Rad
Sex,Madonna,ALA
Sex Education,Jenny Davis,ALA
Slaughterhouse-Five,Kurt Vonnegut,ALA [069] /Rad
The Sledding Hill,Chris Crutcher,ALA
Sleeping Beauty Trilogy,A. N. Roquelaure (Anne Rice),ALA
Song of Solomon (novel),Toni Morrison,ALA /Rad
Sons and Lovers,D. H. Lawrence,Rad
The Stupids (series),Harry Allard,ALA
Summer of My German Soldier,Bette Greene,ALA
The Sun Also Rises,Ernest Hemingway,Rad
"That Was Then, This Is Now",S. E. Hinton,ALA
Their Eyes Were Watching God,Zora Neale Hurston,Rad
Tiger Eyes,Judy Blume,ALA
To Kill a Mockingbird,Harper Lee,ALA [041] /Rad
Tropic of Cancer,Henry Miller,Rad
Ulysses,James Joyce,Rad
View from the Cherry Tree,Willo Davis Roberts,ALA
We All Fall Down,Robert Cormier,ALA
Whale Talk,Chris Crutcher,ALA
What My Mother Doesn't Know,Sonya Sones,ALA
What's Happening to My Body? Book for Boys: A Growing-Up Guide for Parents & Sons,Lynda Madaras,ALA
What's Happening to My Body? Book for Girls: A Growing-Up Guide for Parents & Daughters,Lynda Madaras,ALA
Where Did I Come From?,Peter Mayle,ALA
The Wish Giver,Bill Brittain,ALA
The Witches,Roald Dahl,ALA
Women in Love,D. H. Lawrence,Rad
Women on Top: How Real Life Has Changed Women?s Sexual Fantasies,Nancy Friday,ALA
A Wrinkle in Time,Madeleine L'Engle,ALA
