Title,Year,Media Type,Director,Writer,Length,Matting
Gangs of New York,2002,DVD,Martin Scorsese,Jay Cocks,166,Widescreen
Garden State,2004,DVD,Zach Braff,Zach Braff,109,Widescreen
Glengarry Glen Ross,1992,DVD,James Foley,David Mamet,100,Both
"Godfather, The",1972,DVD,Francis Ford Coppola,Mario Puzo,175,Widescreen
Gone in Sixty Seconds,2000,DVD,Dominic Sena,Scott Rosenberg,117,Widescreen
Gone with the Wind,1939,DVD,Victor Fleming,Sidney Howard,238,Fullscreen
"Good Shepherd, The",2006,DVD,Robert De Niro,Eric Roth,168,Widescreen
Good Will Hunting,1997,DVD,Gus Van Sant,Ben Affleck,126,Widescreen
Goodfellas,1990,DVD,Martin Scorsese,Nicholas Pileggi,145,Widescreen
Gran Torino,2008,Blu-Ray,Clint Eastwood,Nick Schenk,116,Widescreen
Grand Prix,1966,DVD,John Frankenheimer,Robert Alan Aurthur,179,Widescreen
Great Cars: Porsche,2004,DVD,Michael Rose,Michael Rose,90,Fullscreen
"Great Gatsby, The",1974,DVD,Jack Clayton,Francis Ford Coppola,144,Widescreen
Groundhog Day,1993,DVD,Harold Ramis,Danny Rubin,101,Widescreen
Hackers,1995,DVD,Iain Softley,Rafael Moreu,107,Widescreen
Happy Gilmore,1996,DVD,Dennis Dugan,Tim Herlihy,92,Widescreen
Hart's War,2002,Blu-Ray,Gregory Hoblit,Billy Ray,125,Widescreen
Heaven Help Us,1985,DVD,Michael Dinner,Charles Purpura,104,Widescreen
High Fidelity,2000,DVD,Stephen Frears,D. V. DeVincentis,113,Widescreen
I Heart Huckabees,2004,DVD,David O. Russell,David O. Russell,106,Both
In the Valley of Elah,2007,Blu-Ray,Paul Haggis,Paul Haggis,121,Widescreen
Is It College Yet?,2002,DVD,Karen Disher,Glenn Eichler,66,Fullscreen
Is It Fall Yet?,2000,DVD,Karen Disher,Glenn Eichler,75,Fullscreen
Jackass - The Movie,2002,DVD,Jeff Tremaine,Jeff Tremaine,87,Widescreen
Jackass Number Two,2006,DVD,Jeff Tremaine,Jeff Tremaine,95,Widescreen
Jay and Silent Bob Strike Back,2001,DVD,Kevin Smith,Kevin Smith,104,Widescreen
Jesus Christ Superstar,1973,DVD,Norman Jewison,Tim Rice,108,Widescreen
Juno,2007,Blu-Ray,Jason Reitman,Diablo Cody,96,Widescreen
"Karate Kid, The",1984,DVD,John G. Avildsen,Robert Mark Kamen,127,Widescreen
Ken Block Stunts Vol. 1,2009,DVD,Ken Block,N/A,37,Widescreen
"Kids Are Alright, The",1979,Blu-Ray,Jeff Stein,Jeff Stein,101,Widescreen
Knocked Up,2007,DVD,Judd Apatow,Judd Apatow,133,Widescreen
"Last King of Scotland, The",2006,DVD,Kevin Macdonald,Peter Morgan,123,Widescreen
Le Mans,1971,DVD,Lee H. Katzin,Harry Kleiner,106,Widescreen
Lewis Black Unleashed,2002,DVD,Paul Miller,Lewis Black,116,Fullscreen
L?on The Professional,1994,Blu-Ray,Luc Besson,Luc Besson,133,Widescreen
Liar Liar,1997,DVD,Tom Shadyac,Paul Guay,86,Widescreen
Little Big League,1994,DVD,Andrew Scheinman,Gregory K. Pincus,119,Fullscreen
Lost in Translation,2003,DVD,Sofia Coppola,Sofia Coppola,102,Widescreen
Mallrats,1995,DVD,Kevin Smith,Kevin Smith,94,Widescreen
Man on the Moon,1999,DVD,Milos Forman,Scott Alexander,118,Widescreen
"Matrix, The",1999,DVD,Brothers Wachowski,Brothers Wachowski,136,Widescreen
Meeting People Is Easy,1999,DVD,Grant Gee,N/A,95,Fullscreen
Memento,2000,DVD,Christopher Nolan,Christopher Nolan,113,Widescreen
Men In Black,1997,Blu-Ray,Barry Sonnenfeld,Ed Solomon,98,Widescreen
Men with Brooms,2002,DVD,Paul Gross,Paul Gross,102,Widescreen
"Mighty Ducks, The",1992,DVD,Stephen Herek,Steven Brill,100,Widescreen
Milk,2008,Blu-Ray,Gus Van Sant,Dustin Lance Black,129,Widescreen
Miracle,2004,DVD,Gavin O'Connor,Eric Guggenheim,135,Widescreen
Mission: Impossible,1996,DVD,Brian De Palma,David Koepp,110,Widescreen
Mitch Hedberg: Mitch All Together,2003,DVD,Comedy Central,Mitch Hedberg,65,Fullscreen
Monty Python and the Holy Grail,1975,DVD,Terry Gilliam,Graham Chapman,91,Widescreen
Monty Python's Life of Brian,1979,DVD,Terry Jones,Graham Chapman,94,Widescreen
Monty Python's The Meaning of Life,1983,DVD,Terry Jones,Graham Chapman,108,Widescreen
Mr. Holland's Opus,1996,DVD,Stephen Herek,Patrick Sheane Duncan,143,Widescreen
"Music Man, The",2003,DVD,Jeff Bleckner,Sally Robinson,133,Fullscreen
My Blue Heaven,1990,DVD,Herbert Ross,Nora Ephron,96,Fullscreen
My Cousin Vinny,1992,DVD,Jonathan Lynn,Dale Launer,120,Widescreen
"Mystery, Alaska",1999,DVD,Jay Roach,David E. Kelley,119,Widescreen
Napoleon Dynamite,2004,DVD,Jared Hess,Jared Hess,82,Both
Not Another Teen Movie,2001,DVD,Joel Gallen,Michael G. Bender,89,Widescreen
"Notebook, The",2004,DVD,Nick Cassavetes,Jeremy Leven,124,Both
"Office - Season One, The",2005,DVD,Ken Kwapis,Greg Daniels,135,Widescreen
Office Space,1999,DVD,Mike Judge,Mike Judge,89,Widescreen
One Flew Over the Cuckoo's Nest,1975,Blu-Ray,Milos Forman,Lawrence Hauben,133,Widescreen
"Outsiders , The",1983,DVD,Francis Ford Coppola,Kathleen Knuten Rowell,91,Both
"Pair of Lewis Black Shorts, A",2003,DVD,Adam Dubin,Adam Dubin,35,Fullscreen
Pearl Harbor,2001,Blu-Ray,Michael Bay,Randall Wallace,183,Widescreen
Pee-wee's Big Adventure,1985,DVD,Tim Burton,Phil Hartman,90,Widescreen
"Phantom of the Opera, The",2004,DVD,Joel Schumacher,Andrew Lloyd Webber,143,Widescreen
Pi,1998,DVD,Darren Aronofsky,Darren Aronofsky,84,Widescreen
Pirates of Silicon Valley,1999,DVD,Martyn Burke,Martyn Burke,95,Fullscreen
"Practice - Volume One - Discs 1&2, The",1997,DVD,Michael Schultz,David E. Kelley,358,Fullscreen
"Practice - Volume One - Discs 3&4, The",1997,DVD,Michael Schultz,David E. Kelley,226,Fullscreen
"Prestige, The",2006,DVD,Christopher Nolan,Jonathan Nolan,130,Widescreen
"Producers, The",2005,DVD,Susan Stroman,Mel Brooks,134,Widescreen
Quantum of Solace,2008,Blu-Ray,Marc Forster,Paul Haggis,106,Widescreen
Racing into Darkness,2010,DVD,Intersport,N/A,107,Widescreen
Raging Bull,1980,Blu-Ray,Martin Scorsese,Paul Schrader,129,Widescreen
Rain Man,1988,DVD,Barry Levinson,Ronald Bass,133,Widescreen
Remember the Titans,2000,Blu-Ray,Boaz Yakin,Gregory Allen Howard,113,Widescreen
Rendezvous,1976,DVD,Claude Lelouch,Claude Lelouch,9,Fullscreen
Rent,2005,DVD,Chris Columbus,Stephen Chbosky,135,Widescreen
Rent: Filmed Live on Broadway,2008,Blu-Ray,Michael John Warren,Jonathan Larson,165,Widescreen
Requiem for a Dream,2000,DVD,Darren Aronofsky,Hubert Selby Jr.,102,Widescreen
Reservoir Dogs,1992,DVD,Quentin Tarantino,Quentin Tarantino,100,Both
Robin Hood - Men in Tights,1993,DVD,Mel Brooks,Mel Brooks,104,Widescreen
"Rocky Horror Picture Show, The",1975,DVD,Jim Sharman,Richard O'Brien,100,Widescreen
Romeo and Juliet,1968,DVD,Franco Zeffirelli,Franco Brusati,138,Widescreen
Ronin,1998,DVD,John Frankenheimer,J.D. Zeik,121,Both
Rounders,1998,DVD,John Dahl,David Levien,121,Widescreen
Rudy,1993,DVD,David Anspaugh,Angelo Pizzo,112,Widescreen
Rufus Wainwright: Live at the Fillmore,2004,DVD,Neils Alpert,Rufus Wainwright,87,Fullscreen
Rules of Engagement,2000,DVD,William Friedkin,Stephen Gaghan,127,Widescreen
Rushmore,1998,DVD,Wes Anderson,Wes Anderson,93,Widescreen
Santa Claus Conquers the Martians,1964,DVD,Nicholas Webster,Glenville Mareth,81,Fullscreen
Sarah Silverman: Jesus is Magic,2005,DVD,Liam Lynch,Sarah Silverman,72,Widescreen
Saw,2004,DVD,James Wan,Leigh Whannell,102,Widescreen
Saw II,2005,DVD,Darren Lynn Bousman,Leigh Whannell,93,Widescreen
"School of Rock , The",2003,DVD,Richard Linklater,Mike White,108,Widescreen
Se7en,1995,DVD,David Fincher,Andrew Kevin Walker,127,Widescreen
Searching for Bobby Fischer,1993,DVD,Steven Zaillian,Steven Zaillian,110,Widescreen
Seinfeld - Season 1 - Disc 1,1989,DVD,Tom Cherones,Larry David,115,Fullscreen
Seinfeld - Season 2 - Disc 1,1990,DVD,Tom Cherones,Larry David,115,Fullscreen
Seinfeld - Season 2 - Disc 2,1990,DVD,Tom Cherones,Larry David,115,Fullscreen
Seinfeld - Season 2 - Disc 3,1990,DVD,Tom Cherones,Larry David,115,Fullscreen
Seinfeld - Season 3 - Disc 1,1991,DVD,Tom Cherones,Larry David,115,Fullscreen
Seinfeld - Season 3 - Disc 2,1991,DVD,Tom Cherones,Larry David,115,Fullscreen
Seinfeld - Season 3 - Disc 3,1991,DVD,Tom Cherones,Larry David,138,Fullscreen
Seinfeld - Season 3 - Disc 4,1991,DVD,Tom Cherones,Larry David,138,Fullscreen
Seinfeld - Season 4 - Disc 1,1992,DVD,Tom Cherones,Larry David,138,Fullscreen
Seinfeld - Season 4 - Disc 2,1992,DVD,Tom Cherones,Larry David,115,Fullscreen
Seinfeld - Season 4 - Disc 3,1992,DVD,Tom Cherones,Larry David,138,Fullscreen
Seinfeld - Season 4 - Disc 4,1992,DVD,Tom Cherones,Larry David,161,Fullscreen
Seinfeld - Season 5 - Disc 1,1993,DVD,Tom Cherones,Larry David,115,Fullscreen
Seinfeld - Season 5 - Disc 2,1993,DVD,Tom Cherones,Larry David,115,Fullscreen
Seinfeld - Season 5 - Disc 3,1993,DVD,Tom Cherones,Larry David,138,Fullscreen
Seinfeld - Season 5 - Disc 4,1993,DVD,Tom Cherones,Larry David,138,Fullscreen
Seinfeld - Season 6 - Disc 1,1994,DVD,Andy Ackerman,Larry David,138,Fullscreen
Seinfeld - Season 6 - Disc 2,1994,DVD,Andy Ackerman,Larry David,138,Fullscreen
Seinfeld - Season 6 - Disc 3,1994,DVD,Andy Ackerman,Larry David,138,Fullscreen
Seinfeld - Season 6 - Disc 4,1994,DVD,Andy Ackerman,Larry David,138,Fullscreen
"Seventh Seal, The",1957,Blu-Ray,Ingmar Bergman,Ingmar Bergman,97,Fullscreen
Shakespeare in Love,1999,DVD,John Madden,Marc Norman,123,Widescreen
"Shawshank Redemption, The",1994,DVD,Frank Darabont,Frank Darabont,142,Widescreen
Showgirls,1995,DVD,Paul Verhoeven,Joe Eszterhas,128,Widescreen
"Silence of the Lambs , The",1991,DVD,Jonathan Demme,Ted Tally,118,Widescreen
"Skulls, The",2000,DVD,Rob Cohen,John Pogue,107,Widescreen
Slap Shot,1977,DVD,George Roy Hill,Nancy Dowd,123,Widescreen
SNL: Best of Will Ferrell,2003,DVD,Dave Wilson,SNL Writing Staff,76,Fullscreen
"South Park: Bigger, Longer & Uncut",1999,DVD,Trey Parker,Matt Stone,81,Widescreen
Spaceballs,1987,DVD,Mel Brooks,Mel Brooks,96,Both
Speed,1994,DVD,Jan de Bont,Graham Yost,116,Widescreen
Sports Night - Season 1 - Discs 1 & 2,1998,DVD,Thomas Schlamme,Aaron Sorkin,,Fullscreen
Sports Night - Season 1 - Discs 3 & Bonus,1999,DVD,Thomas Schlamme,Aaron Sorkin,,Fullscreen
Sports Night - Season 2 - Discs 1 & 2,1999,DVD,Thomas Schlamme,Aaron Sorkin,,Fullscreen
Sports Night - Season 2 - Discs 3 & Bonus,2000,DVD,Thomas Schlamme,Aaron Sorkin,,Fullscreen
Spun,2002,DVD,Jonas ?kerlund,Creighton Vero,101,Widescreen
Stand and Deliver,1988,DVD,Ram?n Men?ndez,Ram?n Men?ndez,103,Fullscreen
Star Wars: Episode I - The Phantom Menace,1999,DVD,George Lucas,George Lucas,133,Widescreen
Star Wars: Episode II - Attack of the Clones,2002,DVD,George Lucas,George Lucas,142,Widescreen
Star Wars: Episode III - Revenge of the Sith,2005,DVD,George Lucas,George Lucas,140,Widescreen
Star Wars: Episode IV - A New Hope,1977,DVD,George Lucas,George Lucas,123,Widescreen
Star Wars: Episode V - The Empire Strikes Back,1980,DVD,Irvin Kershner,Leigh Brackett,129,Widescreen
Star Wars: Episode VI - Return of the Jedi,1983,DVD,Richard Marquand,Lawrence Kasdan,136,Widescreen
Star Wars: Trilogy Bonus Material,2004,DVD,George Lucas,N/A,236,Widescreen
Stir of Echoes,1999,Blu-Ray,David Koepp,David Koepp,94,Widescreen
Stranger Than Fiction,2006,DVD,Marc Forster,Zach Helm,113,Widescreen
Super Size Me,2004,DVD,Morgan Spurlock,N/A,100,Widescreen
Super Troopers,2001,DVD,Jay Chandrasekhar,Jay Chandrasekhar,103,Widescreen
Swordfish,2001,DVD,Dominic Sena,Skip Woods,99,Widescreen
"Talented Mr. Ripley, The",1999,DVD,Anthony Minghella,Anthony Minghella,139,Widescreen
Talladega Nights: The Ballad of Ricky Bobby,2006,DVD,Adam McKay,Will Ferrell,121,Widescreen
Tenacious D in The Pick of Destiny,2006,DVD,Liam Lynch,Jack Black,95,Widescreen
Tenacious D: The Complete Masterworks,2003,DVD,Tom Gianas,Jack Black,133,Fullscreen
Thank You for Smoking,2006,DVD,Jason Reitman,Jason Reitman,91,Widescreen
There Will Be Blood,2007,Blu-Ray,Paul Thomas Anderson,Paul Thomas Anderson,158,Widescreen
This Is Spinal Tap,1984,DVD,Rob Reiner,Christopher Guest,82,Widescreen
"Thomas Crown Affair, The",1999,DVD,John McTiernan,Leslie Dixon,113,Both
To Kill a Mockingbird,1962,DVD,Robert Mulligan,Horton Foote,130,Widescreen
"Tom Green Subway Monkey Hour, The",2002,DVD,Tom Green,Scott Tomlinson,50,Fullscreen
Tom Green: Inside and Outside the Box,1996,DVD,Tom Green,Tom Green,600,Fullscreen
Tommy,1975,DVD,Ken Russell,Ken Russell,111,Both
Tommy Boy,1995,DVD,Peter Segal,Bonnie Turner,97,Widescreen
Top Gear Season 1,2002,DVD,Brian Klein,Jeremy Clarkson,571,Fullscreen
Top Gear Season 2,2003,DVD,Brian Klein,Jeremy Clarkson,512,Fullscreen
Top Gear Season 3,2003,DVD,Brian Klein,Jeremy Clarkson,476,Fullscreen
Top Gear Season 4,2004,DVD,Brian Klein,Jeremy Clarkson,591,Widescreen
Top Gear Season 5,2004,DVD,Brian Klein,Jeremy Clarkson,529,Widescreen
Top Gear Season 6,2005,DVD,Brian Klein,Jeremy Clarkson,652,Widescreen
Top Gear Season 7,2005,DVD,Brian Klein,Jeremy Clarkson,416,Widescreen
Top Gear Season 8,2006,DVD,Brian Klein,Jeremy Clarkson,476,Widescreen
Top Gear Season 9,2007,DVD,Brian Klein,Jeremy Clarkson,417,Widescreen
Top Gear Season 10,2007,DVD,Brian Klein,Jeremy Clarkson,604,Widescreen
Top Gear Season 11,2008,DVD,Brian Klein,Jeremy Clarkson,366,Widescreen
Top Gear Season 12,2008,DVD,Brian Klein,Jeremy Clarkson,497,Widescreen
Top Gear Season 13,2009,DVD,Brian Klein,Jeremy Clarkson,,Widescreen
Top Gear Season 14,2009,DVD,Brian Klein,Jeremy Clarkson,440,Widescreen
Top Gear Season 15,2010,DVD,Brian Klein,Jeremy Clarkson,,Widescreen
Top Gun,1986,DVD,Tony Scott,Jim Cash,110,Both
Training Day,2001,Blu-Ray,Antoine Fuqua,David Ayer,120,Widescreen
"Truman Show , The",1998,DVD,Peter Weir,Andrew Niccol,103,Widescreen
Truth in 24,2008,DVD,Keith Cossrow,Bennett Viseltear,95,Widescreen
UHF,1989,DVD,Jay Levey,Al Yankovic,97,Both
Unbreakable,2000,DVD,M. Night Shyamalan,M. Night Shyamalan,107,Widescreen
"Untouchables, The",1987,DVD,Brian De Palma,David Mamet,119,Widescreen
"Usual Suspects, The",1995,DVD,Bryan Singer,Christopher McQuarrie,106,Both
V for Vendetta,2005,DVD,James McTeigue,Brothers Wachowski,132,Widescreen
Varsity Blues,1999,DVD,Brian Robbins,W. Peter Iliff,104,Widescreen
Victory by Design: Porsche,2004,DVD,Tony Maylam,Tony Maylam,88,Widescreen
Volcano,1997,DVD,Mick Jackson,Jerome Armstrong,104,Widescreen
Waiting...,2005,DVD,Rob McKittrick,Rob McKittrick,94,Widescreen
"Wall, The",1982,DVD,Alan Parker,Roger Waters,95,Widescreen
Wall Street,1987,Blu-Ray,Oliver Stone,Stanley Weiser,126,Widescreen
"War Room, The",1994,DVD,Chris Hegedus,N/A,97,Fullscreen
WarGames,1983,DVD,John Badham,Lawrence Lasker,113,Widescreen
"Wedding Singer , The",1998,DVD,Frank Coraci,Tim Herlihy,95,Both
Weird Al Yankovic: The Videos,1996,DVD,Francis Delia,Al Yankovic,75,Fullscreen
West Side Story,1961,DVD,Jerome Robbins,Arthur Laurents,151,Fullscreen
Who Killed the Electric Car?,2006,DVD,Chris Paine,Chris Paine,91,Widescreen
Willy Wonka & the Chocolate Factory,1971,DVD,Mel Stuart,Roald Dahl,100,Fullscreen
"Wizard of Oz, The",1939,DVD,Victor Fleming,Noel Langley,203,Fullscreen
World's Greatest Roller Coaster Thrills In 3-D,1995,DVD,Ned Rodgers,Ned Rodgers,66,Fullscreen
"Wrestler, The",2008,Blu-Ray,Darren Aronofsky,Robert D. Siegel,111,Widescreen
X-Men,2000,Blu-Ray,Bryan Singer,David Hayter,104,Widescreen
Zach Galifianakis: Live at the Purple Onion,2006,DVD,Michael Blieden,Zach Galifianakis,72,Widescreen
Zoolander,2001,DVD,Ben Stiller,Drake Sather,89,Widescreen
