Date,Movie,Year,Director
2010-01-03,The Invention of Lying,2009,Ricky Gervais & Matthew Robinson
2010-01-02,Antichrist,2009,Lars von Trier
2010-01-01,Public Enemies,2009,Michael Mann
2009-12-26,Up in the Air,2009,Jason Reitman
2009-12-25,He's Just Not That Into You,2009,Ken Kwapis
2009-12-24,The Blind Side,2009,John Lee Hancock
2009-12-22,The Mummy: Tomb of the Dragon Emperor,2008,Rob Cohen
2009-12-22,The Hurt Locker,2008,Kathryn Bigelow
2009-12-19,Avatar,2009,James Cameron
2009-12-18,Dolan's Cadillac,2009,Jeff Beesley
2009-12-15,Bad Santa,2003,Terry Zwigoff
2009-12-13,Remember the Daze,2007,Jess Manafort
2009-12-12,Funny People,2009,Judd Apatow
2009-12-11,Appaloosa,2008,Ed Harris
2009-12-06,Moon,2009,Duncan Jones
2009-12-04,The Happening,2008,M. Night Shyamalan
2009-11-29,Terminator Salvation,2009,McG
2009-11-26,Julie & Julia,2009,Nora Ephron
2009-11-21,Bolt,2008,Byron Howard & Chris Williams
2009-11-16,Paper Heart,2009,Nicholas Jasenovec
2009-11-11,State of Play,2009,Kevin Macdonald
2009-10-31,Drag Me to Hell,2009,Sam Raimi
2009-10-21,Zombieland,2009,Ruben Fleischer
2009-10-20,Star Trek,2009,J.J. Abrams
2009-10-19,Bottle Rocket,2006,Wes Anderson
2009-10-06,The Proposal,2009,Anne Fletcher
2009-09-23,Defiance,2008,Edward Zwick
2009-09-19,Away We Go,2009,Sam Mendes
2009-09-04,Sunshine Cleaning,2009,Christine Jeffs
2009-09-02,District 9,2009,Neill Blomkamp
2009-08-31,Adventureland,2009,Greg Mottola
2009-08-23,Glengarry Glen Ross,1992,James Foley
2009-08-20,Death Race,2008,Paul W.S. Anderson
2009-08-07,The Heartbreak Kid,2007,Bobby Farrelly & Peter Farrelly
2009-08-06,Two Lovers,2008,James Gray
2009-08-03,Observe and Report,2009,Jody Hill
2009-08-02,August Rush,2007,Kirsten Sheridan
2009-07-30,The Class,2008,Laurent Cantet
2009-07-29,The Great Buck Howard,2008,Sean McGinly
2009-07-27,"I Love You, Man",2009,John Hamburg
2009-07-24,(500) Days of Summer,2009,Marc Webb
2009-07-20,Man on Wire,2008,James Marsh
2009-07-10,Br?no,2009,Larry Charles
2009-07-09,We Are Marshall,2006,McG
2009-07-02,The Hangover,2009,Todd Phillips
2009-06-15,Gran Torino,2008,Clint Eastwood
2009-06-06,The Wackness,2008,Jonathan Levine
2009-06-02,Shortbus,2006,John Cameron Mitchell
2009-05-29,Up,2009,Pete Docter & Bob Peterson
2009-05-24,Speed Racer,2008,Andy Wachowski & Larry Wachowski
2009-05-23,Wanted,2008,Timur Bekmambetov
2009-05-18,The Duchess,2008,Saul Dibb
2009-05-15,"Synecdoche, New York",2008,Charlie Kaufman
2009-05-12,Changeling,2008,Clint Eastwood
2009-05-08,Better Things,2008,Duane Hopkins
2009-04-18,Role Models,2008,David Wain
2009-04-17,Doubt,2008,John Patrick Shanley
2009-04-14,The Wrestler,2008,Darren Aronofsky
2009-04-08,Baby Mama,2008,Michael McCullers
2009-03-29,Madagascar: Escape 2 Africa,2008,Eric Darnell & Tom McGrath
2009-03-21,Quantum of Solace,2008,Marc Forster
2009-03-18,Priceless,2006,Pierre Salvadori
2009-03-18,AVPR: Aliens vs Predator - Requiem,2007,Colin Strause & Greg Strause
2009-03-07,Choke,2008,Clark Gregg
2009-03-06,Watchmen,2009,Zack Snyder
2009-02-17,Flawless,1999,Joel Schumacher
2009-02-02,Nick and Norah's Infinite Playlist,2008,Peter Sollett
2009-01-29,Bigger Stronger Faster*,2008,Chris Bell
2009-01-27,The Cider House Rules,1999,Lasse Hallstr?m
2009-01-25,The Band's Visit,2008,Eran Kolirin
2009-01-24,Gossip,2000,Davis Guggenheim
2009-01-21,3:10 to Yuma,2007,James Mangold
2009-01-19,The Bucket List,2007,Rob Reiner
2009-01-16,Rescue Dawn,2006,Werner Herzog
2009-01-10,Pineapple Express,2008,David Gordon Green
2009-01-09,Interview,2007,Steve Buscemi
2009-01-02,Ghost Town,2008,David Koepp
2009-01-01,Slumdog Millionaire,2008,Danny Boyle
2008-12-30,The Last Seduction,1994,John Dahl
2008-11-30,Zack and Miri Make a Porno,2008,Kevin Smith
2008-11-18,Body Heat,1981,Lawrence Kasdan
2008-11-12,Tropic Thunder,2008,Ben Stiller
2008-11-08,The Incredible Hulk,2008,Louis Leterrier
2008-11-05,Young People Fucking,2007,Martin Gero
2008-10-28,The Visitor,2007,Tom McCarthy
2008-10-09,Erin Brockovich,2000,Steven Soderbergh
2008-10-07,12 Angry Men,1957,Sidney Lumet
2008-10-04,Vantage Point,2008,Peter Travis
2008-09-24,Iron Man,2008,Jon Favreau
2008-09-19,Burn After Reading,2008,Ethan Coen and Joel Coen
2008-09-17,Sweeney Todd: The Demon Barber of Fleet Street,2007,Tim Burton
2008-09-14,Year of the Dog,2007,Mike White
2008-08-25,Gone Baby Gone,2007,Ben Affleck
2008-08-21,"Definitely, Maybe",2008,Adam Brooks
2008-07-19,The Dark Knight,2008,Christopher Nolan
2008-07-17,Smart People,2008,Noam Murro
2008-06-28,WALL-E,2008,Andrew Stanton
2008-06-11,Sex and the City,2008,Michael Patrick King
2008-05-31,Semi-Pro,2008,Kent Alterman
2008-05-26,The Other Boleyn Girl,2008,Justin Chadwick
2008-05-23,P.S. I Love You,2007,Richard LaGravenese
2008-05-18,13 Going on 30,2004,Gary Winick
2008-05-11,21,2008,Robert Luketic
2008-05-08,Music and Lyrics,2007,Marc Lawrence
2008-04-25,Water Lilies,2007,C?line Sciamma
2008-04-18,Forgetting Sarah Marshall,2008,Nick Stoller
2008-04-11,The Bank Job,2008,Roger Donaldson
2008-04-03,In Bruges,2008,Martin McDonagh
2008-03-18,Horton Hears a Who,2008,Jimmy Hayward and Steve Martino
2008-03-13,27 Dresses,2008,Anne Fletcher
2008-03-11,Simon Birch,1998,Mark Steven Johnson
2008-03-02,Enchanted,2007,Kevin Lima
2008-03-01,I Am Legend,2007,Francis Lawrence
2008-02-26,The Diving Bell and the Butterfly,2007,Julian Schnabel
2008-02-22,Be Kind Rewind,2008,Michel Gondry
2008-02-17,Margot at the Wedding,2007,Noah Baumbach
2008-02-06,Persepolis,2007,Marjane Satrapi and Vincent Paronnaud
2008-01-26,I Want Someone to Eat Cheese With,2006,Jeff Garlin
2008-01-22,The Savages,2007,Tamara Jenkins
2008-01-20,Cloverfield,2008,Matt Reeves
2008-01-13,There Will Be Blood,2007,Paul Thomas Anderson
2008-01-09,Atonement,2007,Joe Wright
2008-01-04,Charlie Wilson?s War,2007,Mike Nichols
2008-01-01,Juno,2007,Jason Reitman
2007-12-30,2 Days in Paris,2007,Julie Delpy
2007-12-29,Walk Hard: The Dewey Cox Story,2007,Jake Kasdan
2007-12-15,The Brothers Solomon,2007,Bob Odenkirk
2007-12-08,Cashback,2004,Sean Ellis
2007-12-05,No Country for Old Men,2007,Ethan Coen and Joel Coen
2007-12-03,Babel,2006,Alejandro Gonz?lez I??rritu
2007-11-29,Before the Devil Knows You?re Dead,2007,Sidney Lumet
2007-11-26,White Christmas,1954,Michael Curtiz
2007-11-24,Outsourced,2007,John Jeffcoat
2007-11-24,Manufactured Landscapes,2006,Jennifer Baichwal
2007-11-22,Amazing Grace,2006,Michael Apted
2007-11-18,"Paris, je t?aime",2006,"Olivier Assayas, Ethan Coen, Joel Coen, Wes Craven, Alfonso Cuar?n, G?rard Depardieu, Christopher Doyle, Richard LaGravenese, Alexander Payne, Walter Salles, Jr., Oliver Schmitz, Gus Van Sant, Fr?d?ric Auburtin, Gurinder Chadha, Daniela Thomas, Isabel Coi"
2007-11-16,Superbad,2007,Greg Mottola
2007-11-13,Black Hawk Down,2001,Ridley Scott
2007-11-10,Ocean?s Thirteen,2007,Steven Soderbergh
2007-11-07,Dan in Real Life,2007,Peter Hedges
2007-11-06,American Gangster,2007,Ridley Scott
2007-11-03,Eagle vs. Shark,2007,Taika Waititi
2007-10-31,Hotel Chevalier,2007,Wes Anderson
2007-10-31,The Darjeeling Limited,2007,Wes Anderson
2007-10-28,Lars and the Real Girl,2007,Craig Gillespie
2007-10-24,La Moustache,2005,Emmanuel Carr?re
2007-10-06,The Lives of Others,2006,Florian Henckel von Donnersmarck
2007-10-03,Eastern Promises,2007,David Cronenberg
2007-09-30,Knocked Up,2007,Judd Apatow
2007-09-26,Control,2007,Anton Corbijn
2007-09-12,Shoot ?Em Up,2007,Michael Davis
2007-09-05,Rocket Science,2007,Jeffrey Blitz
2007-08-29,Inland Empire,2006,David Lynch
2007-08-24,Spellbound,2002,Jeffrey Blitz
2007-07-25,The Number 23,2007,Joel Schumacher
2007-07-18,Sicko,2007,Michael Moore
2007-06-19,Hot Fuzz,2007,Edgar Wright
2007-05-19,28 Weeks Later,2007,Juan Carlos Fresnadillo
2007-05-15,The Last King of Scotland,2006,Kevin MacDonald
2007-05-11,The Rocketeer,1991,Joe Johnston
2007-04-27,Fast Food Nation,2006,Richard Linklater
2007-04-23,Aqua Teen Hunger Force Colon Movie Film for Theaters,2007,Dave Willis & Matt Maiellaro
2007-04-07,Death Proof,2007,Quentin Tarantino
2007-04-07,Planet Terror,2007,Robert Rodriguez
2007-04-03,Blades of Glory,2007,Will Speck & Josh Gordon
2007-03-24,Night at the Museum,2006,Shawn Levy
2007-03-18,The Princess Bride,1987,Rob Reiner
2007-03-03,Zodiac,2007,David Fincher
2007-03-02,Volver,2006,Pedro Almod?var
2007-02-28,For Your Consideration,2006,Michael Guest
2007-02-26,Stranger Than Fiction,2006,Marc Forster
2007-02-10,Little Children,2006,Todd Field
2007-02-04,Great Expectations,1998,Alfonso Cuar?n
2007-01-25,The Prestige,2006,Christopher Nolan
2007-01-20,The Painted Veil,2006,John J. Curran
2007-01-19,Pan's Labyrinth,2006,Guillermo del Toro
2007-01-15,Curse of the Golden Flower,2006,Zhang Yimou
2007-01-10,This Film Is Not Yet Rated,2005,Kirby Dick
2007-01-06,Children of Men,2006,Alfonso Cuar?n
2006-12-30,The Illusionist,2006,Neil Burger
2006-12-12,Piggy Banks,2005,Morgan J. Freeman
2006-12-03,The Fountain,2006,Darren Aronofsky
2006-12-01,World Trade Center,2006,Oliver Stone
2006-11-28,Casino Royale,2006,Martin Campbell
2006-11-17,Let's Go to Prison!,2006,Bob Odenkirk
2006-11-15,Jesus Camp,2005,Heidi Ewing and Rachel Grady
2006-11-14,Tenacious D in The Pick of Destiny,2006,Liam Lynch
2006-11-11,Accepted,2006,Steve Pink
2006-11-08,Marie Antoinette,2006,Sofia Coppola
2006-11-03,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,2006,Larry Charles
2006-10-29,Saw III,2006,Darren Lynn Bousman
2006-10-26,The Break-Up,2006,Peyton Reed
2006-10-21,Nacho Libre,2006,Jared Hess
2006-10-16,A Scanner Darkly,2006,Richard Linklater
2006-10-14,The Science of Sleep,2006,Michel Gondry
2006-10-10,Thank You for Smoking,2005,Jason Reitman
2006-10-10,The Departed,2006,Martin Scorsese
2006-10-04,Art School Confidential,2006,Terry Zwigoff
2006-09-09,Strangers with Candy,2005,Paul Dinello
2006-09-05,I Am a Sex Addict,2005,Caveh Zahedi
2006-08-30,The Matador,2005,Richard Shepard
2006-08-28,Stay,2005,Marc Forster
2006-08-21,When Do We Eat?,2005,Salvador Litvak
2006-08-21,Snakes on a Plane,2006,David R. Ellis
2006-08-19,Melinda and Melinda,2004,Woody Allen
2006-08-16,From Hell,2001,Albert Hughes
2006-08-10,Cach?,2005,Michael Haneke
2006-08-07,Ellie Parker,2004,Scott Coffey
2006-08-04,Talladega Nights: The Ballad of Ricky Bobby,2006,Adam McKay
2006-08-02,Hard Candy,2004,David Slade
2006-08-02,Over the Hedge,2006,Karey Kirkpatrick and Tim Johnson
2006-07-31,Under the Tuscan Sun,2003,Audrey Wells
2006-07-26,Edmond,2005,Stuart Gordon
2006-07-25,Little Miss Sunshine,2006,Jonathan Dayton and Valerie Faris
2006-07-23,"Kiss Kiss, Bang Bang",2005,Shane Black
2006-07-22,Brick,2005,Rian Johnson
2006-07-19,Birthday Girl,2001,Jez Butterworth
2006-07-16,The Unbearable Lightness of Being,1988,Philip Kaufman
2006-07-14,Turtles Can Fly,2004,Bahman Ghobadi
2006-07-13,The Benchwarmers,2006,Dennis Dugan
2006-07-12,Candy,2006,Neil Armfield
2006-07-07,16 Blocks,2006,Richard Donner
2006-07-06,The Shipping News,2001,Lasse Hallstr?m
2006-07-04,Nine Lives,2004,Rodrigo Garc?a
2006-07-04,Kicking & Screaming,2005,Jesse Dylan
2006-07-03,The House of Yes,1997,Mark S. Waters
2006-06-28,The Good Girl,2002,Miguel Arteta
2006-06-23,Feeling Minnesota,1996,Steven Baigelman
2006-06-20,Maria Full of Grace,2003,Joshua Marston
2006-06-19,Lucky Number Slevin,2006,Paul McGuigan
2006-06-18,The Pianist,2002,Roman Polanski
2006-06-14,Network,1976,Sidney Lumet
2006-06-10,"Scotland, PA",2001,Billy Morrissette
2006-06-09,Mysterious Skin,2004,Gregg Araki
2006-06-08,Junebug,2005,Phil Morrison
2006-06-03,11:14,2003,Greg Marcks
2006-05-29,Failure to Launch,2006,Tom Dey
2006-05-26,These Girls,2005,John Hazlett
2006-05-21,Haiku Tunnel,2001,Josh Kornbluth and Jacob Kornbluth
2006-05-20,Nineteen Eighty-Four,1984,Michael Radford
2006-05-18,Me You and Everyone We Know,2005,Miranda July
2006-05-17,Monster's Ball,2001,Marc Forster
2006-05-16,Talk to Her,2002,Pedro Almod?var
2006-05-12,Waking the Dead,2000,Keith Gordon
2006-05-11,American Graffiti,1973,George Lucas
2006-05-09,Hollywood Ending,2002,Woody Allen
2006-05-06,Mission Impossible III,2006,J.J. Abrams
2006-05-02,Pride & Prejudice,2005,Joe Wright
2006-04-25,Everything is Illuminated,2005,Liev Schreiber
2006-04-21,Oldboy,2004,Park Chan-wook
2006-04-19,Owning Mahowny,2003,Richard Kwietniowski
2006-04-08,V for Vendetta,2006,James McTeigue
2006-03-30,Slither,2006,James Gunn
2006-03-25,Inside Man,2006,Spike Lee
2006-03-18,The Manchurian Candidate,2004,Jonathan Demme
2006-03-15,The Libertine,2004,Laurence Dunmore
2006-03-08,Crash,2004,Paul Haggis
2006-03-07,Election,1999,Alexander Payne
2006-03-06,Domino,2005,Tony Scott
2006-03-04,Red Eye,2005,Wes Craven
2006-02-26,Shopgirl,2005,Anand Tucker
2006-02-24,"Good Night, and Good Luck",2005,George Clooney
2006-02-20,Hotel Rwanda,2004,Terry George
2006-02-18,The Weather Man,2005,Gore Verbinski
2006-02-12,Brokeback Mountain,2005,Ang Lee
2006-02-10,Games of Love and Chance,2005,Abdel Kechiche
2006-02-03,Thumbsucker,2005,Mike Mills
2006-01-31,Capote,2005,Bennett Miller
2006-01-30,Saving Private Ryan,1998,Steven Spielberg
2006-01-21,Run Ronnie Run!,2002,Troy Miller
2006-01-20,Cheaper by the Dozen,2003,Shawn Levy
2006-01-13,The Grudge,2004,Takashi Shimizu
2006-01-12,The Chumscrubber,2005,Arie Posin
2006-01-08,The Hot Chick,2002,Tom Brady
2006-01-07,Solaris,1972,Andrei Tarkovsky
2006-01-02,The Constant Gardner,2005,Fernando Meirelles
2006-01-01,March of the Penguins,2005,Luc Jacquet
2005-12-31,Fun with Dick and Jane,2005,Dean Parisot
2005-12-28,The Squid and the Whale,2005,Noah Baumbach
2005-12-28,Last Samurai,2003,Edward Zwick
2005-12-26,Shallow Hal,2001,Bobby Farrelly and Peter Farrelly
2005-12-26,Blazing Saddles,1974,Mel Brooks
2005-12-24,Madagascar,2005,Eric Darnell and Tom McGrath
2005-12-23,It's A Wonderful Life,1946,Frank Capra
2005-12-20,Broken Flowers,2005,Jim Jarmusch
2005-12-18,Prime,2005,Ben Younger
2005-12-14,King Kong,2005,Peter Jackson
2005-12-11,A Love Song for Bobby Long,2004,Shainee Gabel
2005-12-10,The Interpreter,2005,Sydney Pollack
2005-12-07,Brown Bunny,2003,Vincent Gallo
2005-12-05,Love Liza,2002,Todd Louiso
2005-12-04,Dukes of Hazzard,2005,Jay Chandrasekhar
2005-12-03,Lord of War,2005,Andrew Niccol
2005-11-26,Just Friends,2005,Roger Kumble
2005-11-25,Ice Harvest,2005,Harold Ramis
2005-11-24,Surviving Christmas,2004,Mike Mitchell
2005-11-24,Walk the Line,2005,James Mangold
