Abbreviation,Species,Common Name
CARLEND,Carex lenticularis var. dolia,Kellog's sedge
CARLIV,Carex livida,pale sedge
CARPEN,Carex pensylvanica,yellow sedge
CARPET,Carex petricosa,rock sedge
CARROS,Carex rossii,Ross's sedge
CARROT,Carex rostrata,beaked sedge
CARSAX,Carex saxatilis,russet sedge
CARSTR,Carex stricta,tussock sedge
CARUTR,Carex utriculata,Northwest Territory sedge
CARVAG,Carex vaginata,sheathed sedge
CLAJAM,Cladium jamaicense,sawgrass
CYNDAC,Cynodon dactylon,Bermuda grass
DACGLO,Dactylis glomerata,orchardgrass
DANCOM,Danthonia compressa,mountain oatgrass
DANINT,Danthonia intermedia,timber oatgrass
DANSPI,Danthonia spicata,poverty oatgrass
DANUNI,Danthonia unispicata,onespike oatgrass
DESCES,Deschampsia cespitosa,tufted hairgrass
DESELO,Deschampsia elongata,slender hairgrass
DICACU,Dichanthelium acuminatum,woolly panicum
DIGCAL,Digitaria californica,Arizona cottontop
DISSPI,Distichlis spicata,saltgrass
ECHCRU,Echinochloa crus-galli,barnyard grass
ELEPAL,Eleocharis palustris,common spikerush
ELEROS,Eleocharis rostellata,beaked spikerush
ELYCAN,Elymus canadensis,Canada wildrye
ELYELY,Elymus elymoides,bottlebrush squirreltail
ELYGLA,Elymus glaucus,blue wildrye
ELYLAN,Elymus lanceolatus,thickspike wheatgrass
ELYMAC,Elymus macrourus,thickspike wildrye
ELYREP,Elymus repens,quackgrass
ELYTRA,Elymus trachycaulus,slender wheatgrass
ERACUR,Eragrostis curvula,weeping lovegrass
ERAINT,Eragrostis intermedia,plains lovegrass
ERALEH,Eragrostis lehmanniana,Lehmann lovegrass
EREOPH,Eremochloa ophiuroides,centipede grass
ERIVAG,Eriophorum vaginatum,sheathed cottonsedge
ERIVIR,Eriophorum viridi-carinatum,green-keeled cottonsedge
FESSPP,Festuca altaica,northern rough fescue
FESARI,Festuca arizonica,Arizona fescue
FESCAL,Festuca californica,California fescue
FESSPP,Festuca campestris,mountain rough fescue
FESSPP,Festuca hallii,plains rough fescue
FESIDA,Festuca idahoensis,Idaho fescue
FESOVI,Festuca ovina var. vivipara,viviparous sheep fescue
FESRUB,Festuca rubra,red fescue
FESSUB,Festuca subulata,bearded fescue
FESTHU,Festuca thurberi,Thurber fescue
HESCOM,Hesperostipa comata,needle-and-thread grass
HESSPA,Hesperostipa spartea,porcupine grass
HIEODO,Hierochloe odorata,sweet grass
HILBEL,Hilaria belangeri,curlymesquite
HOLLAN,Holcus lanatus,common velvetgrass
HORJUB,Hordeum jubatum,foxtail barley
IMPBRA,Imperata brasiliensis,Brazilian satintail
IMPCYL,Imperata cylindrica,cogon grass
JUNBAL,Juncus balticus,Baltic rush
JUNCAS,Juncus castaneus,chestnut rush
JUNROE,Juncus roemerianus,black rush
JUNTRIA,Juncus triglumis var. albescens,three-flowered rush
KOBSIM,Kobresia simpliciuscula,simple kobresia
KOEMAC,Koeleria macrantha,prairie Junegrass
LEUKIN,Leucopoa kingii,spike fescue
LEYAMB,Leymus ambiguus,Colorado wildrye
LEYCIN,Leymus cinereus,basin wildrye
LEYINN,Leymus innovatus,boreal wildrye
LEYSAL,Leymus salinus,Salina wildrye
LOLMUL,Lolium multiflorum,Italian ryegrass
LOLPER,Lolium perenne,perennial ryegrass
LUZHIT,Luzula hitchcockii,smooth woodrush
LYCSPP,Lycurus phleoides,common wolfstail
LYCSPP,Lycurus setosus,bristly wolfstail
LYCSPP,Lycurus spp.,wolfstail
MELMIN,Melinis minutiflora,molasses grass
MICVIM,Microstegium vimineum,Japanese stiltgrass
MISSIN,Miscanthus sinensis,Chinese silvergrass
MUHCUS,Muhlenbergia cuspidata,plains muhly
MUHGLO,Muhlenbergia glomerata,spiked muhly
MUHMON,Muhlenbergia montana,mountain muhly
MUHPOR,Muhlenbergia porteri,bush muhly
MUHRAC,Muhlenbergia racemosa,green muhly
MUHRIC,Muhlenbergia richardsonis,mat muhly
NASPUL,Nassella pulchra,purple needlegrass
NASVIR,Nassella viridula,green needlegrass
NEYREY,Neyraudia reynaudiana,silk reed
PANHEM,Panicum hemitomon,maidencane
PANOBT,Panicum obtusum,vine-mesquite
PANREP,Panicum repens,torpedograss
PANVIR,Panicum virgatum,switchgrass
PASDIS,Paspalum distichum,knotgrass
PASSMI,Pascopyrum smithii,western wheatgrass
PENCIL,Pennisetum ciliare,buffelgrass
PHAARU,Phalaris arundinacea,reed canarygrass
PHLPRA,Phleum pratense,timothy
PHRAUS,Phragmites australis,common reed
PHYAUR,Phyllostachys aurea,golden bamboo
PLEJAM,Pleuraphis jamesii,galleta
PLEMUT,Pleuraphis mutica,tobosa
PLERIG,Pleuraphis rigida,big galleta
POAARI,Poa arida,plains bluegrass
POABUL,Poa bulbosa,bulbous bluegrass
POACOM,Poa compressa,Canada bluegrass
POACUS,Poa cusickii,Cusick's bluegrass
POAPRA,Poa pratensis,Kentucky bluegrass
POASEC,Poa secunda,Sandberg bluegrass
PSAJUN,Psathyrostachys juncea,Russian wildrye
PSESPI,Pseudoroegneria spicata,bluebunch wheatgrass
SCHARU,Schedonorus arundinaceus,tall fescue
SCHPRA,Schedonorus pratensis,meadow fescue
SCHSCO,Schizachyrium scoparium,little bluestem
SCHTEN,Schizachyrium tenerum,slender bluestem
SCHACU,Schoenoplectus acutus,hardstem bulrush
SCHAME,Schoenoplectus americanus,Olney's three-square bulrush
SCHSUB,Schoenoplectus subterminalis,water bulrush
SCHTAB,Schoenoplectus tabernaemontani,soft-stem bulrush
SCOFES,Scolochloa festucacea,common river grass
SORHAL,Sorghum halepense,Johnson grass
SORNUT,Sorghastrum nutans,indiangrass
SPAALT,Spartina alterniflora,smooth cordgrass
SPAPAT,Spartina patens,saltmeadow cordgrass
SPAPEC,Spartina pectinata,prairie cordgrass
SPOAIR,Sporobolus airoides,alkali sacaton
SPOCOM,Sporobolus compositus,tall dropseed
SPOCRY,Sporobolus cryptandrus,sand dropseed
SPOFLE,Sporobolus flexuous,mesa dropseed
SPOHET,Sporobolus heterolepis,prairie dropseed
SPOWRI,Sporobolus wrightii,big sacaton
TAECAP,Taeniatherum caput-medusae,medusahead
TRIALP,Trichophorum alpinum,alpine bulrush
TRIMUT,Tridens muticus,slim tridens
TYPANG,Typha angustifolia,narrow-leaved cattail
TYPLAT,Typha latifolia,common cattail
UNIPAN,Uniola paniculata,sea oats
UROMUT,Urochloa mutica,para grass
VULMIC,Vulpia microstachys,small sixweeks grass
VULMYU,Vulpia myuros,rattail sixweeks grass
VULOCT,Vulpia octoflora,sixweeks grass
