Name,City,Country,Meters,Feets,Pictures
John Hancock Tower,"Boston, HU",USA,241,791,
Woolworth Building,"New York, NY",USA,241,791,[1] [2]
Bank One Center,"Dallas, TX",USA,240,787,[1]
NationsBank Center,"Houston, TX",USA,238,781,
Seoul Tower,Seoul,South Korea,237,778,
IDS Center,"Minneapolis, MS",USA,236,774,[1]
Shinjuku Park Tower,Tokyo,Japan,235,771,
191 Peachtree Tower,"Atlanta, GE",USA,235,770,
Rhine Tower,Düsseldorf,Germany,234,768,[1] [2]
Kompleks Tun Abdul Razak,Penang,Malaysia,232,761,[1] [2]
Television Tower,Johannesburg,South Africa,232,761,
Torrespana,Madrid,Spain,231,758,
Transmission Tower,Kiel,Germany,230,755,
Shangri,Hong Kong,P.R. China,228,748,
Cosco Tower,Hong Kong,P.R. China,228,748,
Tower of the Americas,"San Antonio, TX",USA,227,745,[1]
Sunshine 60,Tokyo,Japan,226,741,[1]
Maxdo Centre,Shanghai,P.R. China,226,741,
Two Union Square,"Seattle, WS",USA,226,741,
Chase Tower,"Dallas, TX",USA,225,738,[1]
Washington Mutual Tower,"Seattle, WS",USA,224,735,
M?nster Telecommunications Tower,M?nster,Germany,222,728,[1]
Peachtree Plaza Hotel,Atlanta,USA,221,725,[1]
Westin Peachtree Plaza,"Atlanta, GE",USA,220,723,
Florian Tower,Dortmund,Germany,220,722,
Key Tower,"Seattle, WS",USA,220,722,
TAU TV Tower,Ekaterinburg,Russia,220,722,[1]
Fountain Place,"Dallas, TX",USA,219,720,[1] [2]
Stuttgart Television Tower,Stuttgart,Germany,217,712,[1]
Terminal Tower,"Cleveland, OH",USA,216,708,
Metropolitian Life Tower,"New York, NY",USA,213,698,
Pemex Tower,Mexico City,Mexico,213,702,[1]
Georgia Pacific Tower,"Atlanta, GE",USA,212,697,
King Tower,Shanghai,P.R. China,212,695,
Manara Maxis,Kuala Lumpur,Malaysia,212,695,
Promenade 2,"Atlanta, GA",USA,211,692,
California Center,"San Francisco, CA",USA,211,692,
Americas Tower,"New York, NY",USA,211,692,
Petron Megaplaza,Makati City,Philippines,210,689,
Plaza MBF,Kuala Lumpur,Malaysia,210,689,
Trammell Crow Center,"Dallas, TX",USA,209,686,[1]
Golden Bell Plaza,Shanghai,P.R. China,208,682,
DG-Bank,Frankfurt,Germany,208,682,[1]
Bellsouth Building,"Atlanta, GE",USA,206,677,
Bertelsman Building,"New York, NY",USA,206,676,
Television Tower,Sasbachwalden,Germany,206,676,[1]
Television Tower,Mannheim,Germany,205,673,
Shanghai Senmao International Building,Shanghai,P.R. China,203,667,
Berjaya Star City Tower,Kuala Lumpur,Malaysia,203,667,
1700 Pacific,"Dallas, TX",USA,200,655,[1]
Main Tower,Frankfurt,Germany,198,649,
Amartapura,Tangerang,Indonesia,198,650,
AT&T Headquarters,"New York, NY",USA,197,646,[1]
Lake Point Tower,"Chicago, IL",USA,197,646,[1] [2]
Thanksgiving Tower,"Dallas, TX",USA,197,645,[1]
China Insurance Building,Shanghai,P.R. China,196,643,
Telstra Tower,Canberra,Australia,195,640,
Altus Tower,Mexico City,Mexico,195,640,[1]
PPG Place,"Pittsburgh, PA",USA,194,636,
Belmont Centre,Kuala Lumpur,Malaysia,193,633,
1001 Fourth Avenue Plaza,"Seattle, WS",USA,192,630,
Energy Plaza,"Dallas, TX",USA,192,629,[1] [2]
Calgary Tower,Calgary,Canada,191,626,
Elm Place,"Dallas, TX",USA,191,625,[1] [2]
Cairo Television Tower,Cairo,Egypt,190,623,
BT Tower,London,United Kingdom,189,620,[1]
Comerica Tower,"Detroit, MI",USA,189,620,
Bellsouth Building,"Nashville, TN",USA,188,617,
750 7th Avenue,"New York, NY",USA,187,614,
China Merchants Tower,Shanghai,P.R. China,186,610,
Trianon Building,Frankfurt,Germany,186,610,
GLG Grand/Four Seasons Hotel,"Atlanta, GE",USA,186,609,
Euromast Tower,Rotterdam,Netherlands,185,607,
World Trade Center,Dubai,UAE,184,605,
The Space Needle,"Seattle, WS",USA,184,605,[1]
Republic Center Tower II,"Dallas, TX",USA,182,598,[1]
WDR Sendemast,Münster,Germany,182,598,
Latinoamericana Tower,Mexico City,Mexico,181,594,
Makuhari Prince Hotel,Chiba,Mexico,181,594,[1]
Bankasi Towers,Instanbul,Turkey,181,594,[1]
NEC Supertower,Tokyo,Japan,180,590,
Hotel Bali 3,Benidorm,Spain,180,591,
Kuwait Water Towers,Kuwait,Kuwait,180,591,[1]
Marina City,"Chicago, IL",USA,179,587,[1] [2] [3]
Hong Kong and Shanghai Bank,Hong Kong,PR China,179,587,[1]
Harbour Center Tower,Vancouver,Canada,177,581,[1]
Lukasrand Tower,Pretoria,South Africa,177,581,
US Bank Center,"Seattle, WA",USA,177,581,
Concourse Tower 5,"Dunwoody, GA",USA,177,581,
One Bell Plaza,"Dallas, TX",USA,177,580,[1] [2]
Lincoln Plaza,"Dallas, TX",USA,176,579,[1] [2] [3]
800 Fifth Avenue Plaza,"Seattle, WA",USA,176,577,
Wells Fargo Center,"Seattle, WA",USA,175,574,
Montreal Tower,Montreal,Canada,175,574,[1]
Concourse Tower 5,"Atlanta, GE",USA,174,570,
Umeda Sky Building,Osaka,Japan,173,568,
Reunion Tower,"Dallas, TX",USA,171,560,[1] [2]
Riyadh Television Tower,Riyadh,Saudi-Arabia,170,558,[1]
Concourse Tower 6,"Dunwoody, GA",USA,169,554,
111 Huntington Avenue,"Boston, MA",USA,169,554,
N?sinneula Tower,Tampere,Finland,168,551,[1]
Adam's Mark Hotel,"Dallas, TX",USA,168,550,[1]
Torre Dataflux,Monterrey,Mexico,167,548,[1]
Dresdner Bank,Frankfurt,Germany,166,545,[1]
800 5th Avenue Plaza,"Seattle, WA",USA,166,545,
The Peak,Sydney,Australia,166,545,[1]
Union Bank of California Center,"Seattle, WA",USA,163,534,
Baynunah Tower,Abu Dhabi,UAE,163,534,
RWE-Tower,Essen,Germany,162,531,[1]
Telecommunications Tower,Ermingen,Germany,162,531,
PBC [Marriott Hotel),Frankfurt,Germany,162,531,
William Green Building,"Columbus, OH",USA,162,531,
Arch Tower One,Mexico City,Mexico,162,529,[1]
Ulmer Münster,Ulm,Germany,161,528,[1]
Travelers Tower,"Hartford, CT",USA,161,528,
Kölner Dom,Köln,Germany,160,525,
Seagram Building,"New York, NY",USA,160,525,[1] [2]
Vehicle Assembly Building,"Florida, FL",USA,160,525,[1] [2]
Goodwin Square,"Hartford, CT",USA,159,521,
Blackpool Tower,Blackpool,United Kingdom,158,518,[1] [2] [3]
Akbank Tower,Istanbul,Turkey,158,518,[1]
Rainier Tower,"Seattle, WA",USA,157,514,
Dayabumi Complex,Kuala Lumpur,Malaysia,157,514,[1] [2]
Bryan Tower,"Dallas, TX",USA,156,512,[1]
Urban Bank Plaza,Makati City,Philippines,155,509,[1]
Deutsche Bank Headquarters,Frankfurt,Germany,155,509,[1]
Kaknas Tower,Stockholm,Sweden,155,509,[1]
,,,,,
