Country,Land area,GDP nominal (US$M),Per capita GDP (US$),Population,Government,Conscription
Germany,"349,223","$2,872,000","$34,853.95","82,400,996",federal republic,Yes
Greece,"130,800","$256,300","$24,000","10,706,290",parliamentary republic,Yes
Grenada,344,$454,"$5,046.07","89,971",parliamentary democracy,No (no military service)
Hungary,"93,030","$207,000","$11,369.91","10,064,000",parliamentary democracy,No
Iran,"1,636,000","$193,500","$2,958.83","68,251,090",theocratic republic,Yes
India,"2,973,190","$804,000",$657.60,"1,094,583,000",federal republic,No
Israel,"20,330","$140,300","$21,830.87","6,426,679",parliamentary democracy,Yes (both sexes)
Jamaica,"10,831","$9,230","$3,319.99","2,780,132",constitutional parliamentary democracy,No
Japan,"374,744","$4,883,000","$38,318.03","127,433,494",constitutional monarchy with a parliamentary government,No
Jordan,"92,300","$300,000","$2,068.33","6,053,193",constitutional monarchy,No
"Korea, North","120,410","$40,000","$1,800","23,301,725",juche socialist republic,Yes
"Korea, South","98,190","$897,400","$18,297.56","49,044,790",republic,Yes
Kuwait,"17,820","$60,720","$24,234.11","2,505,559",constitutional emirate,Yes
Lebanon,"10,230","$19,890","$5,066.87","3,925,502",republic,No (abolished in 2007)
Libya,"1,759,540","$34,200","$5,665.15","6,036,914","jamahiriya (a state of the masses) in theory, governed by the populace through local councils; in practice, an authoritarian state",Yes
Luxembourg,"2,586","$34,530","$71,904.24","480,222",constitutional monarchy,No
"Macedonia, Republic of","24,856","$6,225","$3,027.85","2,055,915",parliamentary democracy,No
Malaysia,"328,550","$132,300,","$5,330.10","24,821,286",constitutional monarchy,Yes (selective)
Maldives,300,$906,"$2,455.08","369,031",republic,No
Malta,316,"$5,447","$13,553.80","401,880",republic,No
Moldova,"33,371","$2,574",$595.77,"4,320,490",republic,Yes
Netherlands,"33,883","$612,700","$36,975.10","16,570,613",constitutional monarchy,"Legal, not practiced"
New Zealand,"268,021","$98,390","$23,079.36","4,098,900",parliamentary democracy,No
Qatar,"11,437","$30,760","$33,905.44","907,229",emirate,No
Romania,"238,392","$256,900","$10,661","22,276,056",democracy,No (ended in 2007)
Russia,"16,995,800","$733,600","$5,188.94","141,377,752",federation,Yes
Rwanda,"24,948","$1,968",$198.64,"9,907,509","republic; presidential, multiparty system",No
Saudi Arabia,"2,149,690","$276,900","$10,032.23","27,601,038",absolute monarchy,No
Seychelles,455,$712,"$8,694.06","81,895",republic,Yes
Singapore,692,"$137,762","$30,723.61","4,553,009",parliamentary republic,Yes
Slovenia,"20,151","$37,920","$18,872.76","2,009,245",parliamentary republic,No
South Africa,"1,219,912","$201,400","$3,994.61","46,888,200",republic,No
Spain,"499,542","$1,084,000","$23,480.26","43,398,150",parliamentary monarchy,No
Syria,"184,050","$24,260,","$1,356.90","19,043,380",republic under an authoritarian military-dominated regime,Yes
Swaziland,"17,203","$2,195","$1,937.22","1,131,000",monarchy,No
Switzerland,"41,285","$386,100","$51,107.52","7,508,700",formally a confederation but similar in structure to a federal republic,Yes
Taiwan (Republic of China),"32,260","$681,800","$29,600","22,858,872",multiparty democracy,Yes (alternative service available
Thailand,"511,770","$197,700","$3,038.35","64,232,760",constitutional monarchy,Yes
Tonga,718,$244,"$2,086.88","116,921",constitutional monarchy,No
Trinidad and Tobago,"5,128","$14,900","$14,101.73","1,056,608",parliamentary democracy,No
Turkey,"780,580","$635,600","$9,000","71,158,647",republican parliamentary democracy,Yes
United Kingdom,"241,590","$2,346,000","$38,600.61","60,776,238",constitutional monarchy,No (except Bermuda Regiment )
United States,"9,161,923","$13,210,000","$42,137.52","296,410,400",federal republic,No
Vanuatu,"12,200",$341,"$1,608.71","211,971",parliamentary republic,No
