Rank,Country,Population,Date of Information
86,Dominican Republic,"9,049,595",July 2005 est.
87,Sweden,"9,001,774",July 2005 est.
88,Bolivia,"8,857,870",July 2005 est.
89,Somalia,"8,591,629",July 2005 est.
90,Rwanda,"8,440,820",July 2005 est.
91,Austria,"8,184,691",July 2005 est.
92,Haiti,"8,121,622",July 2005 est.
93,Azerbaijan,"7,911,974",July 2005 est.
94,Burundi,"7,795,426",July 2005 est.
95,Benin,"7,649,360",July 2005 est.
96,Switzerland,"7,489,370",July 2005 est.
97,Bulgaria,"7,450,349",July 2005 est.
98,Honduras,"7,167,902",July 2005 est.
99,Tajikistan,"7,163,506",July 2005 est.
100,Hong Kong,"6,898,686",July 2005 est.
101,El Salvador,"6,704,932",July 2005 est.
102,Paraguay,"6,347,884",July 2005 est.
103,Israel,"6,276,883",July 2005 est.
104,Laos,"6,217,141",July 2005 est.
105,Sierra Leone,"5,867,426",July 2005 est.
106,Libya,"5,765,563",July 2005 est.
107,Jordan,"5,759,732",July 2005 est.
108,Papua New Guinea,"5,545,268",July 2005 est.
109,Nicaragua,"5,465,100",July 2005 est.
110,Denmark,"5,432,335",July 2005 est.
111,Slovakia,"5,431,363",July 2005 est.
112,Togo,"5,399,991",July 2005 est.
113,Finland,"5,223,442",July 2005 est.
114,Kyrgyzstan,"5,146,281",July 2005 est.
115,Turkmenistan,"4,952,081",July 2005 est.
116,Georgia,"4,677,401",July 2005 est.
117,Eritrea,"4,669,638",July 2005 est.
118,Norway,"4,593,041",July 2005 est.
119,Croatia,"4,495,904",July 2005 est.
120,Moldova,"4,455,421",July 2005 est.
121,Bosnia and Herzegovina,"4,430,494",July 2005 est.
122,Singapore,"4,425,720",July 2005 est.
123,Central African Republic,"4,237,703",July 2005 est.
124,New Zealand,"4,035,461",July 2005 est.
125,Costa Rica,"4,016,173",July 2005 est.
126,Ireland,"4,015,676",July 2005 est.
127,Puerto Rico,"3,911,299",July 2005 est.
128,Lebanon,"3,826,018",July 2005 est.
129,"Congo, Republic of the","3,602,269",July 2005 est.
130,Lithuania,"3,596,617",July 2005 est.
131,Albania,"3,563,112",July 2005 est.
132,Uruguay,"3,415,920",July 2005 est.
133,Panama,"3,140,232",July 2005 est.
134,Mauritania,"3,086,859",July 2005 est.
135,Oman,"3,001,583",July 2005 est.
136,Armenia,"2,982,904",July 2005 est.
137,Liberia,"2,900,269",July 2005 est.
138,Mongolia,"2,791,272",July 2005 est.
139,Jamaica,"2,735,520",July 2005 est.
140,United Arab Emirates,"2,563,212",July 2005 est.
141,West Bank,"2,385,615",NA
142,Kuwait,"2,335,648",July 2005 est.
143,Latvia,"2,290,237",July 2005 est.
144,Bhutan,"2,232,291",July 2005 est.
145,Macedonia,"2,045,262",July 2005 est.
146,Lesotho,"2,031,348",July 2005 est.
147,Namibia,"2,030,692",July 2005 est.
148,Slovenia,"2,011,070",July 2005 est.
149,Botswana,"1,640,115",July 2005 est.
150,"Gambia, The","1,595,086",July 2005 est.
151,Guinea-Bissau,"1,413,446",July 2005 est.
152,Gabon,"1,394,307",July 2005 est.
153,Gaza Strip,"1,376,289",July 2005 est.
154,Estonia,"1,332,893",July 2005 est.
155,Mauritius,"1,230,602",July 2005 est.
156,Swaziland,"1,138,227",July 2005 est.
157,Trinidad and Tobago,"1,075,066",July 2005 est.
158,East Timor,"1,040,880",July 2005 est.
159,Fiji,"893,354",July 2005 est.
160,Qatar,"863,051",July 2005 est.
161,Cyprus,"780,133",July 2005 est.
162,Reunion,"776,948",July 2005 est.
163,Guyana,"765,283",July 2005 est.
164,Bahrain,"688,345",July 2005 est.
165,Comoros,"671,247",July 2005 est.
166,Solomon Islands,"538,032",July 2005 est.
167,Equatorial Guinea,"529,034",July 2005 est.
168,Djibouti,"476,703",July 2005 est.
169,Luxembourg,"468,571",July 2005 est.
170,Macau,"449,198",July 2005 est.
171,Guadeloupe,"448,713",July 2005 est.
172,Suriname,"438,144",July 2005 est.
173,Martinique,"432,900",July 2005 est.
174,Cape Verde,"418,224",July 2005 est.
175,Malta,"398,534",July 2005 est.
176,Brunei,"372,361",July 2005 est.
177,Maldives,"349,106",July 2005 est.
178,"Bahamas, The","301,790",July 2005 est.
179,Iceland,"296,737",July 2005 est.
180,Belize,"281,084",July 2005 est.
181,Barbados,"278,870",July 2005 est.
182,Western Sahara,"273,008",July 2005 est.
183,French Polynesia,"270,485",July 2005 est.
184,Netherlands Antilles,"219,958",July 2005 est.
185,New Caledonia,"216,494",July 2005 est.
186,Vanuatu,"205,754",July 2005 est.
187,French Guiana,"195,506",July 2005 est.
188,Mayotte,"193,633",July 2005 est.
189,Sao Tome and Principe,"187,410",July 2005 est.
190,Samoa,"177,287",July 2005 est.
191,Guam,"168,564",July 2005 est.
192,Saint Lucia,"166,312",July 2005 est.
193,Saint Vincent and the Grenadines,"117,534",July 2005 est.
194,Tonga,"112,422",July 2005 est.
195,Virgin Islands,"108,708",July 2005 est.
196,"Micronesia, Federated States of","108,105",July 2005 est.
197,Kiribati,"103,092",July 2005 est.
198,Jersey,"90,812",July 2005 est.
199,Grenada,"89,502",July 2005 est.
200,Seychelles,"81,188",July 2005 est.
201,Northern Mariana Islands,"80,362",July 2005 est.
202,"Man, Isle of","75,049",July 2005 est.
203,Aruba,"71,566",July 2005 est.
204,Andorra,"70,549",July 2005 est.
205,Dominica,"69,029",July 2005 est.
206,Antigua and Barbuda,"68,722",July 2005 est.
207,Bermuda,"65,365",July 2005 est.
208,Guernsey,"65,228",July 2005 est.
209,Marshall Islands,"59,071",July 2005 est.
210,American Samoa,"57,881",July 2005 est.
211,Greenland,"56,375",July 2005 est.
212,Faroe Islands,"46,962",July 2005 est.
213,Cayman Islands,"44,270",July 2005 est.
214,Saint Kitts and Nevis,"38,958",July 2005 est.
215,Liechtenstein,"33,717",July 2005 est.
216,Monaco,"32,409",July 2005 est.
217,San Marino,"28,880",July 2005 est.
218,Gibraltar,"27,884",July 2005 est.
219,British Virgin Islands,"22,643",July 2005 est.
220,Cook Islands,"21,388",July 2005 est.
221,Turks and Caicos Islands,"20,556",July 2005 est.
222,Palau,"20,303",July 2005 est.
223,Wallis and Futuna,"16,025",July 2005 est.
224,Anguilla,"13,254",July 2005 est.
225,Nauru,"13,048",July 2005 est.
226,Tuvalu,"11,636",July 2005 est.
227,Montserrat,"9,341",July 2005 est.
228,Saint Helena,"7,460",July 2005 est.
229,Saint Pierre and Miquelon,"7,012",July 2005 est.
230,Falkland Islands (Islas Malvinas),"2,967",July 2005 est.
231,Svalbard,"2,701",July 2005 est.
232,Niue,"2,166",July 2005 est.
233,Norfolk Island,"1,828",July 2005 est.
234,Tokelau,"1,392",July 2005 est.
235,Holy See (Vatican City),932,July 2005 est.
236,Cocos (Keeling) Islands,628,July 2005 est.
237,Johnston Atoll,361,July 2005 est.
238,Christmas Island,361,July 2005 est.
239,Pitcairn Islands,45,July 2005 est.
