Eurasian marsh harrier,Circus aeruginosus,single female at MU
Eastern chanting-goshawk,Melierax poliopterus,MU
Dark chanting-goshawk,M. metabates,MU
Lizard buzzard,Kaupifalco monogrammicus,"MB, QE, B"
Shikra,Accipiter badius,"MB, Kampala, en route to MU"
African goshawk,A. tachiro,"BH, EF, B. There was some confusion at Buhoma over the identity of an immature raptor (being claimed by local birders as a Congo serpent eagle) - examination of photographs when we got home revealed that it was in fact this species."
Great sparrowhawk,A. melanoleucos,"LB (pair), B (three birds)"
Bat hawk,Macheiramphus alcinus,single at dusk at the bat cave at MU
African harrier-hawk,Polyboroides typus,widespread
Augur buzzard,Buteo augur,widespread
Mountain buzzard,B. oreophilus,RZ
Tawny eagle,Aquila rapax,single going south along the escarpment near Butiaba on 1/8
Wahlberg's eagle,A. wahlbergi,widespread
Ayre's hawk-eagle,Hieraaetus ayresii,BH (single)
Bateleur,Terathopius ecaudatus,"LM, en route to Bwindi, QE, MU"
Long-crested eagle,Lophaetus occipitalis,widespread
Martial eagle,Polemaetus bellicosus,singles at QE and en route to MU
African crowned eagle,Stephanoetus coronatus,"BH (single), B (2 pairs)"
Common kestrel,Falco tinnunculus,single en route to Bwindi
Grey kestrel,F. ardosiacus,"en route to LM, MU area (including one taking bats at the bat cave)"
African hobby,F. cuvieri,"3 from garden of Red Chilli Lodge, Kampala"
Eurasian hobby,F. subbuteo,"single from garden of Red Chilli Lodge, Kampala"
Lanner falcon,F. biarmicus,2 birds at KW
Peregrine falcon,F. peregrinus,single hunting successfully in Bundibugyu
Helmeted guineafowl,Numida meleagris,"LM, QE, MU"
Crested guineafowl,Guttera pucherani,B - three birds in response to proactive playback at Kanio Pabidi
[Scaly francolin],Francolinus squamatus,[QE]
Nahan's francolin,F. nahani,B - three birds whistled in by Vincent gave good views
Handsome francolin,F. nobilis,RZ - single taped in at the end of the bamboo zone
Coqui francolin,F. coqui,single seen well at close range at LM
Heuglin's francolin,F. icterorhynchus,"[B], MU - 4+ birds seen during game drives including a very amorous male in full display"
Crested francolin,F. sephaena,"LM, MU area (numerous in habitat)"
Red-necked spurfowl,F. afer,"LM, QE"
Harlequin quail,Coturnix delagorguei,MU - single on track
Blue quail,C. adansonii,QE - single fluttered across track to Jacana Lodge
Common button-quail,Turnix sylvatica,"QE, MU (patchily common at both sites)"
White-spotted flufftail,Sarothrura pulchra,"[QE], KS, B, [MF]"
African crake,Crex egregia,QE - 2 birds from game drives
Black crake,Amaurornis flavirostris,widespread
Purple swamphen,Porphyrio porphyrio,MB
Common moorhen,Gallinula chloropus,"Kaaku Swamp, KW"
African jacana,Actophilornis africanus,widespread
Grey crowned crane,Balearica regulorum,widespread in south
Black-bellied bustard,Eupodotis melanogaster,"LM, MU (singles)"
Water thick-knee,Burhinus vermiculatus,"LM, QE"
Senegal thick-knee,B. senegalensis,MU (single)
Collared pratincole,Glareola pratincola,QE
Rock pratincole,G. nuchalis,MU
Spur-winged lapwing,Vanellus spinosus,"QE, MU"
Long-toed lapwing,V. crassirostris,"MB, Kaaku Swamp, MU"
African wattled lapwing,V. senegalensis,"LM, QE, MU"
Crowned lapwing,V. coronatus,QE
Black-headed lapwing,V. tectus,"en route to MU, MU"
Senegal lapwing,V. lugubris,"LM, QE"
Brown-chested lapwing,V. superciliosus,"LM (6), QE (2)"
Kittlitz's plover,Charadrius pecuarius,QE
Three-banded plover,C. tricollaris,"QE, SM"
Common sandpiper,Actitis hypoleucos,"QE, MU"
Wood sandpiper,Tringa glareola,LM
Common greenshank,Tringa nebularia,QE
Grey-headed gull,Larus cirrocephalus,"MB, QE"
African skimmer,Rhynchops flavirostris,QE
White-winged tern,Chlidonias leucopterus,"MB, QE, MU"
African green pigeon,Treron calva,widespread
Speckled pigeon,Columba guinea,"Kampala, Kisoro"
Afep pigeon,C. unicincta,"[SM], B"
Olive pigeon,C. arquatrix,"RZ, BH, EF, SM"
Feral pigeon,C. livia,widespread
Emerald-spotted wood-dove,Turtur chalcospilos,LM
Blue-spotted wood-dove,T. afer,"BH, QE, B"
Black-billed wood-dove,T. abyssinicus,"en route to MU, MU"
Tambourine dove,T. typanistria,widespread
Namaqua dove,Oena capensis,"en route to MU, MU"
Ring-necked dove,Streptopelia capicola,"LM, QE, MU"
Red-eyed dove,S. semitorquata,widespread
African mourning dove,S. decipens,"QE, SM, MU"
Vinaceous dove,S. vinacea,MU (single)
Laughing dove,S. senegalensis,"QE, MU"
Dusky turtle dove,S. lugens,MG
Brown parrot,Poicephalus meyeri,"LM, Kampala, Masindi"
Grey parrot,Psittacus erithacus,"BH (pair flying over high), Bundibugyo (pair), B (70+ flying to roost)"
Red-headed lovebird,Agapornis pullarius,B (2 sightings of singles)
Great blue turaco,Corythaeola cristata,widespread
Ross's turaco,Musophaga rossae,"Kampala, LM, BH, B"
Rwenzori turaco,Tauraco johnstoni,MG (common at this site)
White-crested turaco,T. leucolophus,"B, MU"
Black-billed turaco,T. schuetti,"BH, RZ (heard elsewhere)"
Bare-faced go-away-bird,Corythaixoides personata,"LM area, QE area"
Eastern grey plantain-eater,Crinifer zonurus,widespread
Black-and-white cuckoo,Oxylophus jacobinus,single near MF
Madagascar lesser cuckoo,Cuculus rochii,single seen well at B
Red-chested cuckoo,C. solitarius,"1 immature at BH, common at B"
Black cuckoo,C. clamosus,1 at B
Barred long-tailed cuckoo,Cercococcyx montanus,RZ (single)
Dusky long-tailed cuckoo,C. mechowi,"BH, SM, [B]"
Diederik cuckoo,Chrysococcyx caprius,"LM, MU"
Klaas's cuckoo,C. klaas,widespread
African emerald cuckoo,C. cupreus,"MB, BH, B"
Yellowbill,Ceuthmochares aereus,"BH, B, MF"
White-browed coucal,Centropus superciliosus,widespread
Blue-headed coucal,C. monachus,"MB, KW, MU"
Senegal coucal,C. senegalensis,"B, [MU]"
[Black-throated coucal],C. leucogaster,[SM]
African wood-owl,Strix woodfordii,"RZ, [Kisoro]"
[Barn owl],Tyto alba,[B] - almost certainly heard from the hostel pre-dawn but this is viewed with some scepticism by Herbert and Vincent!
African scops-owl,Otus senegalensis,LM - we walked in on calling birds near the campsite after dusk
Verreaux's eagle-owl,Bubo lacteus,"QE, MU (singles)"
Spotted eagle-owl,Bubo africanus,"2 birds during night drive at MU - note that this cinarescens race is split by Clements as ""grayish eagle-owl"""
Square-tailed nightjar,Caprimulgus fossii,"LM, QE"
Long-tailed nightjar,C. climacurus,1 during night drive at MU
Swamp nightjar,C. natalensis,MU - female hunting at dawn from the Red Chilli Lodge
Rwenzori nightjar,C. ruwenzorii,RZ - singles noted on two occasions from or on the roads around the resthouse. Lumped into montane nightjar by Clements.
Black-shouldered nightjar,C. nigriscapularis,"LM, B"
Pennant-winged nightjar,Macrodipteryx vexilllaris,"QE, B, MU"
Little swift,Apus affinis,widespread
White-rumped swift,A. caffer,widespread
Horus swift,A. horus,2 over falls at MU
Mottled swift,A. aequatorialis,single swift over B during weather related passage of swifts was considered to be this species
Alpine swift,A. melba,QE
Eurasian swift,A. apus,B (small numbers)
Scarce swift,Schoutedenapus myoptilus,BH - birds flying high over the forest here were considered to be this species
African palm swift,Cypsiurus parvus,"SM, B, MU"
Sabine's spinetail,Rhaphidura sabini,"B (small numbers over forest), MF"
Cassin's spinetail,R. cassini,B (2 over forest)
Speckled mousebird,Colius striatus,widespread
Blue-naped mousebird,Urocolius macrourus,"LM, QE, MU"
Narina trogon,Apaloderma narina,QE (Maramagembo)
Bar-tailed trogon,A. vittatum,"BH, RZ"
Pied kingfisher,Ceryle rudis,widespread
Striped kingfisher,Halcyon chelicuti,"MB, LM, [B], MU"
Grey-headed kingfisher,H. leucocephala,widespread
Giant kingfisher,Megaceryle maxima,single bird on Nile at MU.
Woodland kingfisher,Halccyon senegalensis,en route to RZ
Blue-breasted kingfisher,H. malimbica,"QE, [SM], B"
Chocolate-backed kingfisher,H. badia,"SM, [B]"
Malachite kingfisher,Alcedo cristata,"MB, LM, LB"
African pygmy-kingfisher,Ispidina picta,"MB, QE, MU"
African dwarf-kingfisher,I. lecontei,"QE, SM, B"
Shining-blue kingfisher,Alcedo quadribrachys,"[SM], B"
Little bee-eater,Merops pusillus,"LM, QE"
Cinnamon-chested bee-eater,M. oreobates,"BH, RZ"
Blue-breasted bee-eater,M. variegatus,"MB, LB, MU"
White-throated bee-eater,M. albicollis,"Kampala, QE, B"
Swallow-tailed bee-eater,M. hirundineus,MU area
Black bee-eater,M. gularis,BH (2)
Madagascar bee-eater,M. supercilosus,"QE, MU"
Red-throated bee-eater,M. bulocki,MU
Northern carmine bee-eater,M. nubicus,MU
Broad-billed roller,Eurystomus glaucurus,"MB, MU area"
Blue-throated roller,E. gularis,"The Neck (flight view), SM (single perched)"
Lilac-breasted roller,Coracias caudata,en route to LM
Green wood-hoopoe,Phoeniculus purpureus,"QE, MU"
Forest wood-hoopoe,P. castaneiceps,MF (single)
Black scimitarbill,Rhinopomastus aterrimus,MU
African grey hornbill,Tockus nasutus,"LM, MU area"
Crowned hornbill,T. alboterminatus,"MB, MP, MG, SM"
African pied hornbill,T. fasciatus,"MB, MP, SM, MU"
Piping hornbill,Bycanistes fistulator,SM
Red-billed dwarf hornbill,Tockus camurus,SM
White-crested hornbill,Tropicranus albocristatus,SM
Black-and-white casqued hornbill,Bycanistes subcylindricus,widespread
White-thighed hornbill,B. cylindricus,B
Black-casqued wattled hornbill,Ceratogymna atrata,SM
Abyssinian ground-hornbill,Bucorvus abyssinicus,MU (pair)
Yellow-rumped tinkerbird,Pogoniulus bilineatus,widespread
Yellow-throated tinkerbird,P. subsulphureus,widespread
Red-rumped tinkerbird,P. atroflavus,SM
Western green tinkerbird,P. coryphaeus,RZ
Speckled tinkerbird,P. scolopaceus,widespread
Grey-throated barbet,Gymnobucco bonapartei,"BH, MF"
Yellow-fronted tinkerbird,Pogoniulus chrysoconus,"Kampala, QE, MF"
Spot-flanked barbet,Trcholaema lacrymosa,"LM, QE, MU area"
Hairy-breasted barbet,T. hirsuta,"MP, BH, MF"
Yellow-spotted barbet,Buccanodon duchaillui,"[MP], BH, B"
White-headed barbet,Lybius leucocephalus,en route to MU
Black-billed barbet,L. guifsobalito,en route to MU
Red-faced barbet,L. rubrifacies,LM (single)
Double-toothed barbet,L. bidentatus,"Kampala (2), MU (1)"
Yellow-billed barbet,Trachylaemus purpuratus,"SM, [B], MF"
Greater honeyguide,Indicator indicator,"LM, en route to MU"
Lesser honeyguide,I. minor,"QE, KS, en route to MU"
Willcock's honeyguide,I. willcocksi,"BH, B"
Least honeyguide,I. exilis,QE (Maramagembo) - single
Tullberg's woodpecker,Campethera tullbergi,"BH, RZ"
Buff-spotted woodpecker,C. nivosa,MF
Brown-eared woodpecker,C. caroli,"QE, SM, B"
Nubian woodpecker,C. nubica,LM
Green-backed woodpecker,C. cailliautii,LM
Cardinal woodpecker,Dendropicos fuscescens,"BH, RZ, QE"
Elliott's woodpecker,D. elliottii,BH
Speckle-breasted woodpecker,D. poecilolaemus,single female at KS
Yellow-crested woodpecker,D. xantholophus,"BH, SM, B, MF"
Grey woodpecker,D. goertae,"QE, MU"
Olive woodpecker,D. griseocephalus,"[MG], EF"
African broadbill,Smithornis capensis,BH - single bird displaying in response to proactive tape playback
Rufous-sided broadbill,S. rufolateralis,SM - single bird displaying in response to proactive tape playback
[African green broadbill],Pseudocalyptomena graueri,[RZ] - single bird heard and seen flying in and out of tree in response to tape playback - could we get views though? Disappointing result
Rufous-naped lark,Mirafra africana,QE
Flappet lark,M. rufocinnamomea,"QE, MU"
Red-capped lark,Calandrella cinerea,QE
Rock martin,Hirundo fuligula,highlands
Plain martin,Riparia paludicola,"LM, QE, MU"
Banded martin,R. cincta,"LM, MU"
Mosque swallow,Hirundo senegalensis,"QE, Fort Portal"
Rufous-chested swallow,H. semirufa,"LM, QE"
Lesser striped swallow,H. abyssinica,widespread
Barn swallow,H. rustica,"QE, MU"
Angola swallow,H. angolensis,lowlands
Wire-tailed swallow,H. smithii,"QE, MU"
Black saw-wing,Psalidoprocne holomelas,"BH, RZ, MG"
White-headed saw-wing,P. albiceps,"LM, QE, MU"
African pied wagtail,Motacilla aguimp,widespread
Cape wagtail,M. capensis,"MB, BH"
Yellow-throated longclaw,Macronyx croceus,"MB, LM, QE, MU"
Grassland pipit,Anthus cinnamomeus,"LM, ""Jackson's pipit"" near KW"
Plain-backed pipit,A. leucophrys,"B, MU"
Black cuckoo-shrike,Campephaga flava,"BH, SM, QE"
Red-shouldered cuckoo-shrike,C. phoenicea,"QE, MU"
Purple-throated cuckoo-shrike,C. quiscalina,MF
Petit's cuckoo-shrike,C. petiti,BH
Grey cuckoo-shrike,Coracina caesia,RZ
Western nicator,Nicator chloris,"SM, B"
[Yellow-throated nicator],N. vireo,[SM]
Common bulbul,Pycnonotus barbatus,widespread
Yellow-whiskered greenbul,Andropadus latirostris,"BH, RZ, MF"
Little greenbul,A. virens,widespread
Mountain greenbul,A. nigriceps,"RZ, BH, MG, EF"
Slender-billed greenbul,A. gracilirostris,widespread
Shelley's greenbul,A. masukensis,"BH, RZ"
Yellow-streaked greenbul,Phyllastrephus flavostriatus,"[BH], RZ, SM"
Cabanis's greenbul,P. cabinisi,KS
Ansorge's greenbul,Andropadus ansorgei,BH
Little grey greenbul,A. gracilis,QE
Toro olive greenbul,Phyllastrephus hypochloris,"QE, B"
Cameroon sombre greenbul,Andropadus curvirostris,B
Icterine greenbul,Phyllastrephus icterinus,SM - difficult to separate from the next species without using vocalisations and a little tape playback
Xavier's greenbul,P. xavieri,"QE, SM"
Joyful greenbul,Chlorocichla laetissima,KS
Red-tailed bristlebill,Bleda syndactyla,"QE, [SM], B, [MF]"
[Green-tailed bristlebill],B. eximia,[SM]
Red-tailed greenbul,Criniger calurus,"BH, RZ, SM, B, MF"
White-throated greenbul,Phyllastrephus albigularis,"B, MF"
Yellow-throated greenbul,Chlorocichla flavicollis,"MP, B, MU"
Swamp palm bulbul,Thescilocichla leucopleura,SM
Honeyguide greenbul,Baeopogon indicator,"[BH], SM"
Spotted greenbul,Ixonotus guttatus,B
White-starred robin,Pogonocichla stellata,"RZ, MG, EF"
Equatorial akalat,Sheppardia aequatorialis,BH
Forest robin,Stiphrornis erythrothorax,"SM, B"
Brown-chested alethe,Alethe poliocephala,QE
Red-throated alethe,A. poliophrys,BH
Fire-crested alethe,A. diademata,"SM, B"
Cape robin-chat,Cossypha caffra,MG
White-browed robin-chat,C. heuglini,widespread
Blue-shouldered robin-chat,C. cyanocampter,"[SM], [KS], MF"
Snowy-headed robin-chat,C. niveicapilla,"LM, QE"
Red-capped robin-chat,C. natalensis,QE
Archer's robin,C. archeri,"RZ, MG"
White-bellied robin-chat,Cossyphicula roberti,BH
Olive thrush,Turdus olivaceus,RZ
African thrush,T. pelios,widespread (except RZ)
Kivu ground-thrush,Zoothera tanganjicae,MG - bad views in response to tape playback
White-tailed ant-thrush,Neocossyphus poensis,"[BH], RZ"
Red-tailed ant-thrush,N. rufus,"SM, QE, B"
Rufous flycatcher-thrush,Stizorhina fraseri,"MP, BH, SM, QE, B"
Sooty chat,Myrmecocichla nigra,widespread
African stonechat,Saxicola torquata,widespread in uplands
White-browed scrub-robin,Cercotrichas leucophrys,"B, en route to MU"
Brown-backed scrub-robin,C. hartlaubi,QE
Spotted mourning-thrush,Cichladusa guttata,MU area
Dark-capped yellow warbler,Chloropeta natalensis,"QE, B"
Mountain yellow warbler,C. similis,"RZ, MG"
Lesser reed warbler,Acrocephalus gracilirostris,"LB, QE"
[Greater swamp warbler],A. rufescens,"[MB], [LM]"
African reed warbler,A. baeticus,LM
White-winged warbler,Bradypterus carpalis,LM - single seen very well from boat
Cinnamon bracken warbler,B. cinnamomeus,"[RZ], MG (common)"
Little rush warbler,B. baboecala,LB
Grauer's rush-warbler,B. graueri,RZ
Buff-bellied warbler,Phyllolais pulchella,"LM, en route to MU"
Uganda woodland warbler,Phylloscopus budongoensis,B - tricky canopy species eventually taped into the scope
Red-faced woodland warbler,P. laetus,"BH, RZ, EF"
Green hylia,Hylia prasina,"MP, BH, SM, B"
Short-tailed warbler,Hemitesia neumanni,BH - appalling and brief view of this skulking little b****r in response to tape playback
White-browed crombec,Sylvietta leucophrys,"MG, EF"
Green crombec,S. virens,"BH, SM"
Lemon-bellied crombec,S. denti,"B (single - very tape responsive, coming right out of the canopy to within a few metres)"
Yellow longbill,Macrosphenus flavicans,B
Grey longbill,M. concolor,"B, [MF]"
Northern crombec,Sylvietta brachyura,en route to MU
Red-faced crombec,S. whytii,LM
Rufous-crowned eromomela,Eromomela badiceps,B
Black-faced rufous warbler,Bathmocercus rufus,"BH, [MF]"
African moustached warbler,Melocichla mentalis,"QE, B, MU"
Grauer's warbler,Graueria vittata,"[BH], RZ (one eventually seen after an awful lot of tape playback)"
Zitting cisticola,Cisticola juncidis,"MU, QE"
Stout cisticola,C. robustus,QE
Croaking cisticola,C. natalensis,"QE, MU"
Rattling cisticola,C. chiniana,MU area
Winding cisticola,C. galactotes,"MB, en route to RZ, QE"
Carruther's cisticola,C. carruthersi,"MB, LM, LB, MU"
Singing cisticola,C. cantans,en route to MU
Red-faced cisticola,C. erythrops,en route to MU
Chubb's cisticola,C. chubbi,"BH, RZ, MG"
Trilling cisticola,C. woosnami,"LM, QE"
Whistling cisticola,C. lateralis,B
Siffling cisticola,C. brachypterus,"LM, QE"
Foxy cisticola,C. troglodytes,MU area
Red-winged grey warbler,Drymocichla incana,MU - family group taped in on the northside of the Paraa ferry
Tawny-flanked prinia,Prinia subflava,widespread
White-chinned prinia,P. leucopogon,"BH, RZ, KS"
Banded prinia,P. bairdii,"BH, RZ"
Grey-capped warbler,Eminia lepida,"[LM], en route to Kisoro, [MU]"
Grey-backed camaroptera,Camaroptera brachyura,widespread
Olive-green camaroptera,C. chloronota,"BH, KS, [B], [MF]"
Yellow-browed camaroptera,C. superciliaris,"B, MF"
Yellow-breasted apalis,Apalis flavida,"LM, MU"
Grey apalis,A. cinerea,"BH, SM, KS, QE, B"
Chestnut-throated apalis,A. porphyrolaema,"RZ, MG"
Buff-throated apalis,A. rufogularis,widespread
Collared apalis,A. ruwenzorii,"RZ, EF"
Black-throated apalis,A. jacksoni,BH
Mountain masked apalis,A. personata,"BH, RZ"
Black-capped apalis,A. nigriceps,B
White-eyed slaty flycatcher,Melaenornis fischeri,"BH, RZ, MG"
Northern black flycatcher,M. edoloides,widespread
Yellow-eyed black-flycatcher,M. ardesiacus,"BH, RZ"
Pale flycatcher,Bradornis pallidus,en route to MU
Ashy flycatcher,Muscicapa caerulescens,The Neck
African dusky flycatcher,M. adusta,widespread
Lead-coloured flycatcher,Myioparus plumbeus,"QE, B"
Grey-throated flycatcher,M. griseigularis,"MP, B"
Swamp flycatcher,Muscicapa aquatica,"MB, LB, QE, MU"
Cassin's grey flycatcher,M. cassini,"bridge over Ihihizo River at The Neck, river en route to B"
Dusky-blue flycatcher,M. comitata,BH
Sooty flycatcher,M. infuscata,"BH, MF"
Forest flycatcher,Fraseria ocreata,B (3)
Chin-spot batis,Batis molitor,RZ
Black-headed batis,B. minor,"QE, MU, B"
Rwenzori batis,B. diops,"BH, RZ"
African shrike-flycatcher,Megabias flammulatus,"BH, B"
Black-and-white shrike-flycatcher,Bias musicus,BH
Brown-throated wattle-eye,Platysteira cyanea,widespread
Chestnut wattle-eye,Dyaphorophyia castanea,"QE, SM, B"
Jameson's wattle-eye,D. jamesoni,"[SM], MF"
Yellow-bellied wattle-eye,D. concreta,QE - a single in Maramagembo Forest was a real surprise and a tick for Herbert!
African paradise flycatcher,Terpsiphone viridis,Widespread - watch out for the melanistic population in the Maramagembo Forest (QE)!
Red-bellied paradise-flycatcher,T. rufiventer,"SM, B"
Silverbird,Empidornis semipartitus,MU area
White-tailed crested-flycatcher,Trochocercus albonotatus,MG
White-bellied crested-flycatcher,T. albiventris,BH
African blue-flycatcher,Elminia longicauda,"BH, QE, MU"
White-tailed blue-flycatcher,E. albicauda,BH (under-recorded)
Chestnut-capped flycatcher,Erythrocercus mccallii,B
Scaly-breasted illadopsis,Illadopsis albipectus,"KS, B"
Mountain illadopsis,I. pyrrhoptera,BH
Brown illadopsis,I. fulvescens,B
Pale-breasted illadopsis,I. rufipennis,"BH, MF"
Puvel's illadopsis,I. puveli,"B - seemingly present throughout the forest here, we saw one well whilst chimp-tracking"
African hill-babbler,Pseudoalcippe abyssinica,RZ area
Arrow-marked babbler,Turdoides jardineii,"LM, QE"
Brown babbler,T. plebejus,en route to MU
Black-lored babbler,T. sharpei,"LM, MG, Kisoro, QE"
Dusky tit,Parus funereus,BH
White-shouldered tit,P. guineensis,"B, MU, MF"
Stripe-breasted tit,P. fasciiventer,"RZ, MG"
Yellow-white-eye,Zosterops senegalensis,widespread
Bronze sunbird,Nectarinia kilimensis,"BH, en route to SM"
Green-headed sunbird,Cyanomitra verticalis,"BH, QE, MU"
Blue-throated brown sunbird,C. cyanolaema,BH
Blue-headed sunbird,C. alinae,BH
Northern double-collared sunbird,Cinnyris preussi,BH
Olive-bellied sunbird,C. chloropygia,"B, BH"
Rwenzori double-collared sunbird,C. stuhlmanni,MG
Regal sunbird,C. regia,"RZ, MG"
Green-throated sunbird,Chalcomitra rubescens,"BH, MF"
Green sunbird,Anthreptes rectirostris,"BH, B"
Olive sunbird,Cyanomitra olivacea,widespread - split as obscura or western olive sunbird by Clements
Little green sunbird,Anthreptes seimundi,"BH, B"
Grey-headed sunbird,Deleornis axillaris,BH
Copper sunbird,Cinnyris cuprea,"LB, QE, B"
Superb sunbird,C. superba,B - single female
Marico sunbird,C. mariquensis,LM
Purple-banded sunbird,C. bifasciata,Kampala
Scarlet-chested sunbird,Chalcomitra senegalensis,"Kampala, QE, MU"
Beautiful sunbird,Cinnyris pulchella,MU area
Red-chested sunbird,C. erythrocerca,"MB, Kampala, LB, QE"
Variable sunbird,C. venusta,Kampala
Collared sunbird,Hedydipna collaris,"BH, B, MU"
Common fiscal,Lanius collaris,widespread
Grey-backed fiscal,L. excubitoroides,widespread
Mackinnon's fiscal,L. mackinnoni,"BH, RZ"
Tropical boubou,Laniarius aethiopicus,"[LM], [Kisoro], QE"
Luedher's bush-shrike,L. luedheri,"BH, KS"
Black-headed gonolek,L. erythrogaster,"Kaaku Swamp, LM, QE"
Papyrus gonolek,L. mufumbiri,"LM, [QE]"
Mountain black boubou,L. poensis,"RZ, MG"
Sooty boubou,L. leucorhynchus,BH
Northern puffback,Dryoscopus gambensis,"RZ, B, MU area"
Pink-footed puffback,D. angolensis,BH
Black-crowned tchagra,Tchagra senegala,"QE, MU"
Brown-crowned tchagra,T. australis,single en route to RZ
Marsh tchagra,T. minuta,"QE, B"
Sulphur-breasted bush-shrike,Malaconotus sulfureopectus,"LM, QE"
Grey-headed bush-shrike,M. blanchoti,en route to MU
[Lagden's bush-shrike],M. lagdeni,[en route to Kisoro]
Doherty's bush-shrike,M. dohertyi,RZ
Bocages's bush-shrike,M. bocagei,"BH, QE"
Fork-tailed drongo,Dicrurus adsimilis,"LM, QE, MU"
Velvet-mantled drongo,D. modestus,"MP, BH, MF"
Piapiac,Ptilostomus afer,"Houmia, en route to B, en route to MU, MU"
Pied crow,Corvus albus,widespread
White-naped raven,Corvus albicollis,RZ
African black-headed oriole,Oriolus larvatus,en route to LM
Montane oriole,O. percivali,RZ
Western black-headed oriole,O. brachyrhynchus,"SM, B"
African golden oriole,O. auratus,RZ
Yellow-billed oxpecker,Buphagus africanus,"LM, QE, MU"
Stuhlmann's starling,Poeoptera stuhlmanni,RZ
Narrow-tailed starling,P. lugubris,BH
Waller's starling,Onychognathus walleri,RZ
Greater blue-eared starling,Lamprotornis chalybeus,"Bundibugyo, SM, QE"
Lesser blue-eared starling,L. chloropterus,common in MU area
Ruppell's long-tailed starling,L. purpuropterus,widespread
Purple-headed starling,L. purpureiceps,QE (2-3 near Maramagembo)
Violet-backed starling,Cinnyricinclus leucogaster,"MP, QE, SM, MU"
Sharpe's starling,C. sharpei,"RZ, EF"
Wattled starling,Creatophora cinerea,"LM, QE"
Rufous sparrow,Passer rufocinctus,MU
Speckle-fronted weaver,Sporopipes frontalis,MU
Grey-headed sparrow,Passer griseus,widespread
White-browed sparrow-weaver,Plocepasser mahali,MU (2)
Chestnut-crowned sparrow-weaver,P. superciliosus,MU area
Black-headed weaver,Ploceus cucullatus,"LM, QE, SM, MU"
Lesser masked weaver,P. intermedius,QE
Vitelline weaver,P. velatus,MU area
Northern masked weaver,P. taeniopterus,"LB - small colony present at the outflow of this lake, this species appears to be expanding its range."
Spectacled weaver,P. ocularis,LM
Black-necked weaver,P. nigricollis,"BH, QE, MF"
Baglafecht weaver,P. baglafecht,widespread
Grosbeak weaver,Ambylospiza albifrons,widespread
Little weaver,Ploceus luteolus,QE
Slender-billed weaver,P. pelzelni,"Kaaku Swamp, LM"
Yellow-backed weaver,P. melanocephalus,"Kisoro, QE, MU"
