Sequence,Date,New?,Title,Country,Director,Year,Grade,Theater,Shorts,Additional Info,Ignore This,12,13
72,20-Apr-02,49,Freddy Got Fingered,USA,Green,2001,B+,,,,3.3,,
73,22-Apr-02,50,His Girl Friday,USA,Hawks,1940,C+,,,,2.3,,
74,23-Apr-02,51,Waking Life,USA,Linklater,2001,A-,,,,3.7,,
75,24-Apr-02,52,Novocaine,USA,Atkins,2001,B-,,,,2.7,,
76,25-Apr-02,,Primal Fear,USA,Hoblit,1996,B-,,,,2.7,,
77,26-Apr-02,53,La Femme Nikita,France,Besson,1990,B,,,,3,,
78,26-Apr-02,54,Best In Show,USA,Guest,2000,B,,,,3,,
79,27-Apr-02,55,O,USA,Nelson,2001,C+,,,,2.3,,
80,28-Apr-02,56,Swimming With Sharks,USA,Huang,1994,C+,,,,2.3,,
81,30-Apr-02,,Freddy Got Fingered,USA,Green,2001,B+,,,,3.3,,
82,1-May-02,57,Storytelling,USA,Solondz,2001,B,1,,3,,,
83,3-May-02,58,Pledge,USA,Penn,2001,C-,,,,1.7,,
84,4-May-02,59,Boys Don't Cry,USA,Peirce,1999,B-,,,,2.7,,
85,6-May-02,60,It Happened One Night,USA,Capra,1934,C,,,,2,,
86,8-May-02,61,Swordfish,USA,Sena,2001,C+,,,,2.3,,
87,9-May-02,62,Crossroads,USA,Davis,2001,D,,,,1,,
88,11-May-02,63,Pallbearer,USA,Reeves,1996,B-,,,,2.7,,
89,11-May-02,64,Donnie Darko,USA,Kelly,2001,B,,,,3,,
90,12-May-02,,Blade Runner,USA,Scott,1982,B-,,,,2.7,,
91,12-May-02,65,Hollow Man,USA,Verhoeven,2000,C+,,,,2.3,,
92,13-May-02,66,Midnight Express,UK,Parker,1978,B-,,,,2.7,,
93,14-May-02,67,Fire,India,Mehta,1996,B-,,,,2.7,,
94,17-May-02,,Summer Of Sam,USA,Lee,1999,B,,,,3,,
95,18-May-02,68,Requiem For A Dream,USA,Aronofsky,2000,B+,,,,3.3,,
96,19-May-02,69,To Kill A Mockingbird,USA,Mulligan,1962,B-,,,,2.7,,
97,20-May-02,,Royal Tenenbaums,USA,Anderson,2001,B,,,,3,,
98,23-May-02,70,Clockstoppers,USA,Frakes,2002,D,,,,1,,
99,24-May-02,71,Amelie,France,Jeunet,2001,C,,,,2,,
100,26-May-02,72,Contender,USA,Lurie,2000,C,,,,2,,
101,27-May-02,73,Spiderman,USA,Raimi,2002,C+,1,,2.3,,,
102,27-May-02,74,Thin Line Between Love And Hate,USA,Lawrence,1996,C,,,,2,,
103,30-May-02,75,Gummo,USA,Korine,1997,B,,,,3,,
104,31-May-02,76,Insomnia,USA,Nolan,2002,C+,,,,2.3,,
105,6-Jun-02,,Discreet Charm Of The Bourgeoisie,France,Bunuel,1972,C+,,,,2.3,,
106,7-Jun-02,77,Bully,USA,Clark,2001,C,,,,2,,
107,8-Jun-02,78,Sum Of All Fears,USA,Robinson,2002,B,1,,3,,,
108,9-Jun-02,,Best In Show,USA,Guest,2000,B,,,,3,,
109,9-Jun-02,79,Get On The Bus,USA,Lee,1996,B,,,,3,,
110,10-Jun-02,,Meet The Parents,USA,Roach,2000,B+,,,,3.3,,
111,10-Jun-02,,Atomic Cafe,USA,Rafferty,1982,A-,,,,3.7,,
112,10-Jun-02,80,Manufacturing Consent,Canada,Wintonick,1992,B,,,,3,,
113,11-Jun-02,81,Changing Lanes,USA,Mitchell,2002,B-,,,,2.7,,
114,12-Jun-02,82,Close Encounters Of The Third Kind,USA,Spielberg,1977,C+,,,,2.3,,
115,13-Jun-02,83,Chopper,Australia,Dominik,2000,B,,,,3,,
116,15-Jun-02,,Menace II Society,USA,Hughes,1993,A,,,,4,,
117,16-Jun-02,84,Buffalo '66,USA,Gallo,1998,B+,,,,3.3,,
118,17-Jun-02,85,Idiots,Denmark,Von Trier,1998,C-,,,,1.7,,
119,17-Jun-02,86,Pet Sematary,USA,Lambert,1989,C,,,,2,,
120,18-Jun-02,87,General,UK,Boorman,1998,B+,,,,3.3,,
121,19-Jun-02,88,Amittyville Horror,USA,Rosenberg,1979,C-,,,,1.7,,
122,20-Jun-02,89,Lumiere et Compagnie,France,Various,1995,C,,,,2,,
123,20-Jun-02,90,First Year,USA,Guggenheim,2001,B+,,,,3.3,,
124,21-Jun-02,91,Hearts Of Darkness,USA,Coppola,1991,B,,,,3,,
125,23-Jun-02,92,Angels And Insects,UK,Haas,1995,B+,,,,3.3,,
126,24-Jun-02,93,Dancer In The Dark,Denmark,Von Trier,2000,C+,,,,2.3,,
127,25-Jun-02,94,Ghost World,USA,Zwigoff,2001,B,,,,3,,
128,27-Jun-02,95,Fat Man And Little Boy,USA,Joffe,1989,C,,,,2,,
129,28-Jun-02,96,Star Wars: Episode II - Attack Of The Clones,USA,Lucas,2002,D,,,,1,,
130,29-Jun-02,,Terminator 2:Judgment Day,USA,Cameron,1991,A,,,,4,,
131,29-Jun-02,97,Bourne Identity,USA,Liman,2002,B,1,,3,,,
132,29-Jun-02,,Spanish Prisoner,USA,Mamet,1997,C+,,,,2.3,,
133,30-Jun-02,98,Wall Street,USA,Stone,1987,B-,,,,2.7,,
134,30-Jun-02,99,Kurt & Courtney,USA,Broomfield,1998,B-,,,,2.7,,
135,2-Jul-02,,Big One,USA,Moore,1997,A+,,,,4.3,,
136,2-Jul-02,,Roger & Me,USA,Moore,1989,A+,,,,4.3,,
137,4-Jul-02,100,Repo Man,USA,Cox,1984,C-,,,,1.7,,
138,5-Jul-02,101,Waking The Dead,USA,Gordon,2000,C+,,,,2.3,,
139,6-Jul-02,,Uncle Buck,USA,Hughes,1989,A,,,,4,,
140,6-Jul-02,102,Sexy Beast,UK,Glazer,2000,B-,,,,2.7,,
141,7-Jul-02,103,Men In Black II,USA,Sonnenfeld,2002,C,1,,2,,,
142,10-Jul-02,104,Windtalkers,USA,Woo,2002,C,1,,2,,,
143,11-Jul-02,105,Following,UK,Nolan,1998,B+,,,,3.3,,
144,12-Jul-02,106,Waking Ned Devine,UK,Jones,1998,B-,,,,2.7,,
145,14-Jul-02,107,Men Of Honor,USA,Tillman Jr.,2000,C-,,,,1.7,,
146,14-Jul-02,108,Road To Perdition,USA,Mendes,2002,B,1,,3,,,
147,18-Jul-02,109,Man With The Movie Camera,USSR,Vertov,1929,B+,,,,3.3,,
148,18-Jul-02,,Man With The Movie Camera,USSR,Vertov,1929,B+,,,,3.3,,
149,19-Jul-02,110,Mr. Deeds,USA,Brill,2002,B,1,,3,,,
150,20-Jul-02,111,Born On The Fourth Of July,USA,Stone,1989,C+,,,,2.3,,
151,20-Jul-02,112,Baraka,USA,Fricke,1992,C+,,,,2.3,,
152,21-Jul-02,,Austin Powers: The Spy Who Shagged Me,USA,Roach,1999,A-,,,,3.7,,
153,26-Jul-02,113,K-19: The Widowmaker,USA,Bigelow,2002,C-,1,,1.7,,,
154,28-Jul-02,,Kids,USA,Clark,1995,A,,,,4,,
155,1-Aug-02,114,Minority Report,USA,Spielberg,2002,C+,1,,2.3,,,
156,3-Aug-02,115,Austin Powers In Goldmember,USA,Roach,2002,B,1,,3,,,
157,4-Aug-02,116,Bubble Boy,USA,Hayes,2001,C-,,,,1.7,,
158,6-Aug-02,117,Startup.com,USA,Hegedus,2001,A,,,,4,,
159,7-Aug-02,118,Dogtown And Z-Boys,USA,Peralta,2001,B,,,,3,,
160,11-Aug-02,119,Full Frontal,USA,Soderbergh,2002,C-,1,,1.7,,,
161,14-Aug-02,120,L.I.E.,USA,Cuesta,2001,C+,,,,2.3,,
162,16-Aug-02,,Kiss Of The Dragon,USA,Nahon,2001,B+,,,,3.3,,
163,17-Aug-02,,Graduate,USA,Nichols,1967,A+,,,,4.3,,
164,17-Aug-02,121,Blood Work,USA,Eastwood,2002,B-,1,,2.7,,,
165,18-Aug-02,,Lord Of The Rings: The Fellowship Of The Ring,New Zealand,Jackson,2001,A,,,,4,,
166,18-Aug-02,,Super Troopers,USA,Chandrasekhar,2001,A,,,,4,,
167,21-Aug-02,,Sum Of All Fears,USA,Robinson,2002,B,,,,3,,
168,23-Aug-02,,Searchers,USA,Ford,1956,B,,,,3,,
169,23-Aug-02,,Usual Suspects,USA,Singer,1995,A-,,,,3.7,,
170,24-Aug-02,122,Some Like It Hot,USA,Wilder,1959,C,,,,2,,
171,25-Aug-02,,Ocean's Eleven,USA,Soderbergh,2001,B+,,,,3.3,,
172,25-Aug-02,,Producers,USA,Brooks,1968,A-,,,,3.7,,
173,25-Aug-02,,Midnight Cowboy,USA,Schlesinger,1969,A,,,,4,,
174,29-Aug-02,123,John Q.,USA,Cassavetes,2002,B,,,,3,,
175,31-Aug-02,,American Psycho,USA,Harron,2000,B,,,,3,,
176,31-Aug-02,,Yojimbo,Japan,Kurosawa,1961,A,,,,4,,
177,1-Sep-02,124,Max Keeble's Big Move,USA,Hill,2001,C-,,,,1.7,,
178,1-Sep-02,,Silence Of The Lambs,USA,Demme,1991,A,,,,4,,
179,1-Sep-02,125,Mulholland Drive,USA,Lynch,2001,B,,,,3,,
180,2-Sep-02,126,My Big Fat Greek Wedding,USA,Zwick,2002,B,1,,3,,,
181,6-Sep-02,127,City By The Sea,USA,Caton-Jones,2002,B-,1,,2.7,,,
182,7-Sep-02,128,Blue Crush,USA,Stockwell,2002,D,1,,1,,,
183,8-Sep-02,129,Steamboat Bill Jr.,USA,Keaton,1928,,,,,X,,
184,9-Sep-02,130,Pope Of Greenwich Village,USA,Rosenberg,1984,C+,,,,2.3,,
185,9-Sep-02,131,Bedazzled,USA,Ramis,2000,C+,,,,2.3,,
186,14-Sep-02,,Back To The Future,USA,Zemeckis,1985,A,,,,4,,
187,15-Sep-02,,Star Trek II: Wrath Of Khan,USA,Meyer,1982,B,,,,3,,
188,15-Sep-02,,American Pie 2,USA,Rogers,2001,C,,,,2,,
189,19-Sep-02,132,Bicycle Thief,Italy,DeSica,1948,B+,,,,3.3,,
190,20-Sep-02,133,Natural,USA,Levinson,1984,B-,,,,2.7,,
191,21-Sep-02,134,Mo Better Blues,USA,Lee,1990,C,,,,2,,
192,21-Sep-02,,Koyaanisqatsi,USA,Reggio,1982,A,,,,4,,
193,23-Sep-02,,Big Lebowski,USA,Coen,1998,A-,,,,3.7,,
194,24-Sep-02,135,Life as A House,USA,Winkler,2001,B-,,,,2.7,,
195,25-Sep-02,136,One Hour Photo,USA,Romanek,2002,B-,1,,2.7,,,
196,26-Sep-02,137,"Fast, Cheap, And Out Of Control",USA,Morris,1997,B,,,,3,,
197,28-Sep-02,,There's Something About Mary,USA,Farrelly,1998,A+,,,,4.3,,
198,28-Sep-02,138,Stop Making Sense,USA,Demme,1984,C,,,,2,,
199,30-Sep-02,139,Signs,USA,Shyamalan,2002,C+,,,,2.3,,
200,5-Oct-02,140,Amistad,USA,Spielberg,1997,C+,,,,2.3,,
201,5-Oct-02,,History Of The World Part I,USA,Brooks,1981,C+,,,,2.3,,
202,6-Oct-02,141,42up,UK,Apted,1998,B,,,,3,,
203,6-Oct-02,,Blair Witch Project,USA,Myrick/Sanchez,1999,B+,,,,3.3,,
204,7-Oct-02,,Joy Ride,USA,Dahl,2001,B-,,,,2.7,,
205,12-Oct-02,142,Wind Will Carry Us,Iran,Kiarostami,1999,B,,,,3,,
206,13-Oct-02,143,Tuxedo,USA,Donovan,2002,D-,1,,0.7,,,
207,14-Oct-02,144,Spaceman,USA,Dikkers,1997,B+,,,,3.3,,
208,17-Oct-02,145,Bowling For Columbine,USA,Moore,2002,A,1,,4,,,
209,19-Oct-02,,Koyaanisqatsi,USA,Reggio,1982,A-,,,,3.7,,
210,20-Oct-02,146,Straw Dogs,UK,Peckinpah,1971,,,,,X,,
211,20-Oct-02,147,Pop And Me,USA,Roe,1999,,,,,X,,
212,25-Oct-02,146,Punch-Drunk Love,USA,Anderson,2002,A,1,,4,,,
213,25-Oct-02,147,Abandon,USA,Gaghan,2002,F,1,,0,,,
214,28-Oct-02,,Powaqqatsi,USA,Reggio,1988,B-,,,,2.7,,
215,1-Nov-02,148,Don't Look Back,USA,Pennebaker,1967,C+,,,,2.3,,
216,2-Nov-02,149,Ring,USA,Verbinski,2002,B,1,,3,,,
217,10-Nov-02,,Bowling For Columbine,USA,Moore,2002,A,,,,4,,
218,10-Nov-02,150,Femme Fatale,USA,DePalma,2002,B+,1,,3.3,,,
219,13-Nov-02,151,King Of Masks,China,Wu,1999,B,,,,3,,
220,16-Nov-02,152,Jackass,USA,Tremaine,2002,B-,1,,2.7,,,
221,22-Nov-02,153,Sound And Fury,USA,Aronson,2000,C+,,,,2.3,,
222,23-Nov-02,154,Naqoyqatsi,USA,Reggio,2002,B,1,,3,,,
223,25-Nov-02,,Executive Decision,USA,Baird,1996,C,,,,2,,
224,26-Nov-02,,Spartacus,USA,Kubrick,1960,B+,,,,3.3,,
225,3-Dec-02,155,George Washington,USA,Green,2000,C+,,,,2.3,,
226,6-Dec-02,156,Sanjuro,Japan,Kurosawa,1962,A,,,,4,,
227,7-Dec-02,157,Wild Strawberries,Sweden,Bergman,1957,B+,,,,3.3,,
228,8-Dec-02,,Spaceballs,USA,Brooks,1987,C,,,,2,,
229,9-Dec-02,,Black Knight,USA,Junger,2001,C+,,,,2.3,,
230,13-Dec-02,158,War Room,USA,Hegedus/Pennebaker,1993,B+,,,,3.3,,
231,17-Dec-02,159,Bamboozled,USA,Lee,2000,B+,,,,3.3,,
232,20-Dec-02,160,Seven Samurai,Japan,Kurosawa,1954,A-,,,,3.7,,
233,20-Dec-02,161,Magnificent Seven,USA,Sturges,1960,C,,,,2,,
234,20-Dec-02,,Mr. Deeds,USA,Brill,2002,C+,,,,2.3,,
235,21-Dec-02,,Austin Powers In Goldmember,USA,Roach,2002,B-,,,,2.7,,
236,21-Dec-02,,Evil Dead 2,USA,Raimi,1987,A-,,,,3.7,,
237,21-Dec-02,162,Mad Max,Australia,Miller,1979,B,,,,3,,
238,21-Dec-02,,Election,USA,Payne,1999,A,,,,4,,
239,22-Dec-02,,Man Bites Dog,France,Belvaux,1992,B,,,,3,,
240,22-Dec-02,163,Hidden Fortress,Japan,Kurosawa,1958,B,,,,3,,
241,24-Dec-02,,A Christmas Story,USA,Clark,1983,A+,,,,4.3,,
242,25-Dec-02,,Iron Monkey,Hong Kong,Yuen,1993,B,,,,3,,
243,28-Dec-02,,Se7en,USA,Fincher,1995,A+,,,,4.3,,
244,28-Dec-02,164,Monster's Ball,USA,Forster,2001,D+,,,,1.3,,
245,29-Dec-02,,Fight Club,USA,Fincher,1999,A-,,,,3.7,,
246,30-Dec-02,,Office Space,USA,Judge,1999,A-,,,,3.7,,
,,,,,,,,,,,,,
